date,open,high,low,close,volume,adjrate
1981-12-31,2.519685,2.551583,2.487792,2.487792,32100,0.127579
1982-01-04,2.519685,2.535634,2.487792,2.535634,71400,0.127579
1982-01-05,2.471843,2.535634,2.408056,2.408056,23700,0.127579
1982-01-06,2.392108,2.424001,2.360214,2.376159,25200,0.127579
1982-01-07,2.392107,2.408056,2.376159,2.408056,39300,0.127579
1982-01-08,2.424001,2.455898,2.392107,2.455898,73200,0.127579
1982-01-11,2.455899,2.471843,2.43995,2.43995,33600,0.127579
1982-01-12,2.43995,2.471843,2.408056,2.424001,441000,0.127579
1982-01-13,2.43995,2.455899,2.408057,2.43995,464400,0.127579
1982-01-14,2.392108,2.408056,2.376159,2.376159,29700,0.127579
1982-01-15,2.408056,2.424001,2.376159,2.424001,57600,0.127579
1982-01-18,2.424001,2.43995,2.408056,2.424001,33300,0.127579
1982-01-19,2.43995,2.455898,2.408056,2.424001,59700,0.127579
1982-01-20,2.439949,2.455898,2.424001,2.455898,13200,0.127579
1982-01-21,2.439949,2.471843,2.408056,2.408056,63000,0.127579
1982-01-22,2.424001,2.424001,2.408056,2.408056,6300,0.127579
1982-01-25,2.408056,2.424001,2.392107,2.408056,38100,0.127579
1982-01-26,2.424001,2.439949,2.408056,2.408056,12600,0.127579
1982-01-27,2.43995,2.471843,2.392108,2.43995,460200,0.127579
1982-01-28,2.471843,2.50374,2.424001,2.50374,150000,0.127579
1982-01-29,2.503741,2.503741,2.487792,2.487792,53100,0.127579
1982-02-01,2.471843,2.471843,2.455898,2.455898,49800,0.127579
1982-02-02,2.487791,2.50374,2.455898,2.455898,228000,0.127579
1982-02-03,2.455898,2.471843,2.424001,2.455898,40500,0.127579
1982-02-04,2.455898,2.471843,2.424001,2.424001,13500,0.127579
1982-02-05,2.43995,2.455898,2.424001,2.424001,69600,0.127579
1982-02-08,2.408056,2.424,2.392107,2.392107,165000,0.127579
1982-02-09,2.392107,2.408056,2.360214,2.392107,69000,0.127579
1982-02-10,2.392108,2.392108,2.376159,2.376159,39900,0.127579
1982-02-11,2.376159,2.392107,2.360214,2.360214,50400,0.127579
1982-02-12,2.360214,2.376159,2.328317,2.328317,163800,0.127579
1982-02-16,2.312372,2.312372,2.312372,2.312372,116700,0.127579
1982-02-17,2.296424,2.328317,2.26453,2.280475,409200,0.127579
1982-02-18,2.280475,2.296424,2.26453,2.280475,18900,0.127579
1982-02-19,2.26453,2.26453,2.248581,2.248581,55800,0.127579
1982-02-22,2.264529,2.280474,2.232632,2.232632,98100,0.127579
1982-02-23,2.248581,2.26453,2.232633,2.26453,48600,0.127579
1982-02-24,2.280475,2.312372,2.248581,2.312372,747000,0.127579
1982-02-25,2.344266,2.376159,2.312372,2.328317,1059600,0.127579
1982-02-26,2.328317,2.360214,2.296424,2.328317,70200,0.127579
1982-03-01,2.392107,2.424001,2.344265,2.408056,232800,0.127579
1982-03-02,2.408056,2.408056,2.408056,2.408056,193800,0.127579
1982-03-03,2.376159,2.408056,2.344266,2.376159,31200,0.127579
1982-03-04,2.328316,2.360214,2.296423,2.296423,113400,0.127579
1982-03-05,2.328317,2.360214,2.296424,2.328317,440700,0.127579
1982-03-08,2.360214,2.392108,2.312372,2.312372,27000,0.127579
1982-03-09,2.344265,2.392107,2.296423,2.392107,90000,0.127579
1982-03-10,2.408056,2.455898,2.360214,2.392107,132000,0.127579
1982-03-11,2.360214,2.408056,2.312372,2.312372,87000,0.127579
1982-03-12,2.32854,2.32854,2.32854,2.32854,70200,0.129363
1982-03-15,2.344711,2.360879,2.312368,2.344711,210000,0.129363
1982-03-16,2.312368,2.344711,2.263856,2.280028,66000,0.129363
1982-03-17,2.263856,2.280028,2.247688,2.280028,93600,0.129363
1982-03-18,2.280028,2.2962,2.263857,2.2962,494400,0.129363
1982-03-19,2.280028,2.312368,2.263857,2.2962,58500,0.129363
1982-03-22,2.2962,2.312368,2.280028,2.312368,74700,0.129363
1982-03-23,2.344711,2.360879,2.312368,2.360879,231300,0.129363
1982-03-24,2.377051,2.393223,2.344711,2.377051,87600,0.129363
