date,open,high,low,close,volume,adjrate
1995-08-25,4.215499,4.278183,4.215499,4.262512,3541000,0.125368
1995-08-28,4.246841,4.246841,4.168486,4.199828,1418500,0.125368
1995-08-29,4.23117,4.246841,4.152815,4.199828,879000,0.125368
1995-08-30,4.199828,4.215499,4.184157,4.215499,436500,0.125368
1995-08-31,4.215499,4.215499,4.168486,4.199828,606500,0.125368
1995-09-01,4.199828,4.215499,4.184157,4.215499,217000,0.125368
1995-09-05,4.199828,4.215499,4.184157,4.199828,385500,0.125368
1995-09-06,4.184157,4.199828,4.168486,4.184157,247000,0.125368
1995-09-07,4.184157,4.184157,4.137144,4.152815,738000,0.125368
1995-09-08,4.121473,4.137144,3.933421,3.933421,946000,0.125368
1995-09-11,3.949092,4.090131,3.949092,4.027447,434000,0.125368
1995-09-12,4.105802,4.184157,4.105802,4.168486,817500,0.125368
1995-09-13,4.23117,4.246841,4.168486,4.184157,542500,0.125368
1995-09-14,4.184157,4.199828,4.168486,4.199828,154500,0.125368
1995-09-15,4.184157,4.199828,4.184157,4.199828,218500,0.125368
1995-09-18,4.184157,4.215499,4.168486,4.215499,422500,0.125368
1995-09-19,4.199828,4.199828,4.168486,4.184157,116500,0.125368
1995-09-20,4.168486,4.168486,4.090131,4.105802,124500,0.125368
1995-09-21,4.137144,4.152815,4.105802,4.137144,157000,0.125368
1995-09-22,4.105802,4.105802,4.043118,4.043118,94500,0.125368
1995-09-25,4.07446,4.07446,4.027447,4.027447,53000,0.125368
1995-09-26,4.105802,4.137144,4.090131,4.090131,266500,0.125368
1995-09-27,4.07446,4.090131,4.07446,4.07446,95000,0.125368
1995-09-28,4.105802,4.152815,4.105802,4.137144,205000,0.125368
1995-09-29,4.262512,4.340867,4.262512,4.325196,1303000,0.125368
1995-10-02,4.38788,4.466235,4.38788,4.403551,570000,0.125368
1995-10-03,4.419223,4.434894,4.387881,4.419223,165000,0.125368
1995-10-04,4.403551,4.403551,4.372209,4.372209,108500,0.125368
1995-10-05,4.38788,4.403551,4.372209,4.403551,70500,0.125368
1995-10-06,4.403551,4.403551,4.356538,4.372209,277000,0.125368
1995-10-09,4.356539,4.387881,4.340868,4.340868,77000,0.125368
1995-10-10,4.340867,4.340867,4.262512,4.278183,80000,0.125368
1995-10-11,4.278183,4.325196,4.278183,4.278183,80500,0.125368
1995-10-12,4.309525,4.419222,4.309525,4.403551,170000,0.125368
1995-10-13,4.481906,4.560261,4.481906,4.54459,201000,0.125368
1995-10-16,4.575932,4.654287,4.575932,4.622945,130000,0.125368
1995-10-17,4.607274,4.607274,4.560261,4.560261,154500,0.125368
1995-10-18,4.560261,4.685629,4.560261,4.622945,169000,0.125368
1995-10-19,4.654287,4.716971,4.654287,4.716971,130500,0.125368
1995-10-20,4.748313,4.826668,4.748313,4.795326,212500,0.125368
1995-10-23,4.810998,4.810998,4.795327,4.810998,66000,0.125368
1995-10-24,4.779656,4.779656,4.732643,4.732643,71500,0.125368
1995-10-25,4.732642,4.732642,4.716971,4.716971,284500,0.125368
1995-10-26,4.716971,4.732642,4.654287,4.669958,96000,0.125368
1995-10-27,4.654287,4.669958,4.638616,4.669958,25000,0.125368
1995-10-30,4.654288,4.68563,4.654288,4.654288,18500,0.125368
1995-10-31,4.732642,4.795326,4.732642,4.795326,208000,0.125368
1995-11-01,4.779655,4.779655,4.685629,4.7013,107000,0.125368
1995-11-02,4.716971,4.795326,4.716971,4.763984,291000,0.125368
1995-11-03,4.952037,4.967708,4.952037,4.967708,252500,0.125368
1995-11-06,4.967707,5.01472,4.920694,5.01472,235000,0.125368
1995-11-07,5.014721,5.014721,4.967708,4.967708,192000,0.125368
1995-11-08,4.967707,4.983378,4.952036,4.983378,14500,0.125368
1995-11-09,4.967707,5.046062,4.967707,5.030391,41500,0.125368
1995-11-10,5.01472,5.01472,4.983378,4.983378,11000,0.125368
1995-11-13,4.967708,4.967708,4.936366,4.967708,29000,0.125368
1995-11-14,4.952037,4.952037,4.889353,4.889353,35500,0.125368
1995-11-15,4.889352,4.936365,4.889352,4.936365,11500,0.125368
1995-11-16,4.936365,5.01472,4.936365,5.01472,31000,0.125368
1995-11-17,5.01472,5.01472,5.01472,5.01472,14500,0.125368
1995-11-20,5.01472,5.077404,5.01472,5.061733,25000,0.125368
1995-11-21,5.061733,5.093075,5.061733,5.093075,6500,0.125368
1995-11-22,5.077405,5.15576,5.077405,5.15576,21500,0.125368
1995-11-24,5.15576,5.15576,5.108746,5.108746,12000,0.125368
1995-11-27,5.108747,5.108747,5.046063,5.046063,21000,0.125368
1995-11-28,5.046062,5.108746,5.046062,5.093075,12000,0.125368
1995-11-29,5.077404,5.077404,5.061733,5.061733,6500,0.125368
1995-11-30,5.077404,5.124417,5.077404,5.108746,16000,0.125368
1995-12-01,5.108746,5.108746,5.093075,5.093075,8500,0.125368
1995-12-04,5.077404,5.093075,5.077404,5.093075,6500,0.125368
1995-12-05,5.077404,5.093075,5.077404,5.093075,3000,0.125368
1995-12-06,5.077405,5.077405,5.046063,5.046063,18000,0.125368
1995-12-07,5.077405,5.140089,5.077405,5.124418,102500,0.125368
1995-12-08,5.093076,5.093076,5.077405,5.077405,5500,0.125368
1995-12-11,5.061733,5.061733,5.061733,5.061733,2500,0.125368
1995-12-12,5.046063,5.046063,5.046063,5.046063,2000,0.125368
1995-12-13,5.077405,5.077405,5.030391,5.030391,8500,0.125368
1995-12-14,5.01472,5.01472,4.999049,4.999049,17000,0.125368
1995-12-15,4.983378,4.983378,4.983378,4.983378,8000,0.125368
1995-12-18,4.952036,4.952036,4.952036,4.952036,4000,0.125368
1995-12-19,4.920694,4.920694,4.85801,4.85801,15500,0.125368
1995-12-20,4.858011,4.858011,4.810998,4.810998,6500,0.125368
1995-12-21,4.810997,4.842339,4.795326,4.795326,7000,0.125368
1995-12-22,4.795326,4.795326,4.795326,4.795326,3000,0.125368
1995-12-26,4.779655,4.779655,4.779655,4.779655,1500,0.125368
1995-12-27,4.779655,4.810997,4.779655,4.779655,19500,0.125368
1995-12-28,4.826668,4.85801,4.826668,4.85801,28000,0.125368
1995-12-29,4.842339,4.85801,4.842339,4.85801,10500,0.125368
1996-01-02,4.889352,4.920694,4.889352,4.905023,38500,0.125368
1996-01-03,4.936365,4.999049,4.936365,4.983378,25000,0.125368
1996-01-04,4.983379,4.983379,4.889353,4.889353,19500,0.125368
1996-01-05,4.889353,4.905024,4.889353,4.889353,15500,0.125368
1996-01-08,4.85801,4.85801,4.826668,4.826668,8500,0.125368
1996-01-09,4.826668,4.826668,4.763984,4.763984,17500,0.125368
1996-01-10,4.763984,4.763984,4.669958,4.669958,14500,0.125368
1996-01-11,4.669958,4.7013,4.669958,4.669958,204000,0.125368
1996-01-12,4.654287,4.654287,4.607274,4.622945,19000,0.125368
1996-01-15,4.607274,4.622945,4.607274,4.622945,8000,0.125368
1996-01-16,4.607274,4.607274,4.591603,4.591603,7000,0.125368
1996-01-17,4.607274,4.654287,4.607274,4.638616,10000,0.125368
1996-01-18,4.669958,4.7013,4.669958,4.7013,59000,0.125368
1996-01-19,4.638616,4.638616,4.638616,4.638616,285000,0.125368
1996-01-22,4.654287,4.654287,4.638616,4.638616,2000,0.125368
1996-01-23,4.607274,4.607274,4.513248,4.513248,18000,0.125368
1996-01-24,4.54459,4.575932,4.54459,4.54459,19000,0.125368
1996-01-25,4.575932,4.575932,4.481906,4.481906,44000,0.125368
1996-01-26,4.450564,4.450564,4.434893,4.450564,23000,0.125368
1996-01-29,4.481906,4.54459,4.450564,4.54459,45000,0.125368
1996-01-30,4.54459,4.54459,4.513248,4.513248,18000,0.125368
1996-01-31,4.54459,4.732642,4.54459,4.7013,174000,0.125368
1996-02-01,4.732642,4.826668,4.732642,4.826668,23500,0.125368
1996-02-02,4.826668,4.85801,4.795326,4.795326,67500,0.125368
1996-02-05,4.826669,4.905024,4.826669,4.889353,23000,0.125368
1996-02-06,4.920694,4.983378,4.920694,4.983378,21000,0.125368
1996-02-07,5.01472,5.01472,5.01472,5.01472,4000,0.125368
1996-02-08,4.999049,4.999049,4.983378,4.999049,8500,0.125368
1996-02-09,4.999049,5.01472,4.936365,4.983378,119500,0.125368
1996-02-12,5.140088,5.265456,5.140088,5.265456,39500,0.125368
1996-02-13,5.218443,5.234114,5.17143,5.17143,23500,0.125368
1996-02-14,5.296798,5.48485,5.296798,5.48485,82000,0.125368
1996-02-15,5.516192,5.516192,5.422166,5.422166,60000,0.125368
1996-02-16,5.390824,5.390824,5.296798,5.296798,20000,0.125368
1996-02-20,5.296798,5.32814,5.281127,5.296798,26000,0.125368
1996-02-21,5.265456,5.296798,5.265456,5.296798,5500,0.125368
1996-02-22,5.296798,5.375153,5.296798,5.32814,46500,0.125368
1996-02-23,5.31247,5.31247,5.265456,5.31247,36500,0.125368
1996-02-26,5.312469,5.312469,5.265456,5.296798,11000,0.125368
1996-02-27,5.265456,5.31247,5.265456,5.31247,27500,0.125368
1996-02-28,5.265456,5.265456,5.218443,5.218443,138500,0.125368
1996-02-29,5.202772,5.202772,5.17143,5.17143,7500,0.125368
1996-03-01,5.187101,5.187101,5.140088,5.140088,8000,0.125368
1996-03-04,5.17143,5.17143,5.140088,5.140088,6000,0.125368
1996-03-05,5.17143,5.17143,5.17143,5.17143,1000,0.125368
1996-03-06,5.187101,5.187101,5.187101,5.187101,7000,0.125368
1996-03-07,5.15576,5.15576,5.140089,5.15576,13000,0.125368
1996-03-08,5.140088,5.140088,5.108746,5.108746,6500,0.125368
1996-03-11,5.077404,5.077404,5.01472,5.01472,31000,0.125368
1996-03-12,4.983378,4.983378,4.920694,4.920694,17500,0.125368
1996-03-13,4.905024,4.905024,4.889353,4.889353,8500,0.125368
1996-03-14,4.873682,4.889353,4.873682,4.889353,2000,0.125368
1996-03-15,4.889353,4.889353,4.889353,4.889353,500,0.125368
1996-03-18,4.905023,4.952036,4.905023,4.920694,7500,0.125368
1996-03-19,4.952036,5.01472,4.952036,5.01472,15000,0.125368
1996-03-20,5.046062,5.108746,5.046062,5.108746,11000,0.125368
1996-03-21,5.124417,5.15576,5.108746,5.108746,15000,0.125368
1996-03-22,5.077405,5.077405,5.046063,5.046063,9500,0.125368
1996-03-25,5.01472,5.01472,4.983378,5.01472,8500,0.125368
1996-03-26,4.983379,5.077405,4.983379,5.046063,37500,0.125368
1996-03-27,5.046062,5.046062,4.999049,5.030391,7000,0.125368
1996-03-28,5.01472,5.030391,5.01472,5.01472,3000,0.125368
1996-03-29,5.030391,5.030391,4.999049,5.030391,8500,0.125368
1996-04-01,5.030391,5.030391,4.952036,4.952036,18500,0.125368
1996-04-02,4.983378,4.983378,4.936365,4.952036,9500,0.125368
1996-04-03,4.983378,5.01472,4.983378,5.01472,4500,0.125368
1996-04-04,5.046062,5.046062,4.983378,4.983378,27500,0.125368
1996-04-08,4.983379,4.983379,4.952037,4.967708,8000,0.125368
1996-04-09,4.967707,4.967707,4.920694,4.920694,11000,0.125368
1996-04-10,4.920695,4.920695,4.889353,4.889353,5500,0.125368
1996-04-11,4.842339,4.842339,4.763984,4.763984,30500,0.125368
1996-04-12,4.763984,4.763984,4.669958,4.7013,131500,0.125368
1996-04-15,4.732642,4.748313,4.685629,4.685629,13000,0.125368
1996-04-16,4.669958,4.669958,4.669958,4.669958,2000,0.125368
1996-04-17,4.654287,4.7013,4.654287,4.7013,28000,0.125368
1996-04-18,4.732642,4.732642,4.654287,4.669958,9000,0.125368
1996-04-19,4.638616,4.638616,4.607274,4.607274,11000,0.125368
1996-04-22,4.607274,4.622945,4.607274,4.622945,13500,0.125368
1996-04-23,4.654287,4.732642,4.654287,4.669958,328000,0.125368
1996-04-24,4.701301,4.732643,4.701301,4.732643,13500,0.125368
1996-04-25,4.763984,4.763984,4.7013,4.7013,7000,0.125368
1996-04-26,4.7013,4.748313,4.7013,4.748313,10000,0.125368
1996-04-29,4.763984,4.779655,4.748313,4.748313,10000,0.125368
1996-04-30,4.716971,4.716971,4.638616,4.638616,177000,0.125368
1996-05-01,4.669958,4.669958,4.607274,4.607274,134000,0.125368
1996-05-02,4.622945,4.669958,4.622945,4.638616,76000,0.125368
1996-05-03,4.607274,4.622945,4.607274,4.607274,8500,0.125368
1996-05-06,4.607274,4.638616,4.607274,4.607274,14000,0.125368
1996-05-07,4.607275,4.654288,4.607275,4.654288,16500,0.125368
1996-05-08,4.638617,4.638617,4.575933,4.575933,11000,0.125368
1996-05-09,4.591603,4.638616,4.591603,4.638616,7000,0.125368
1996-05-10,4.638616,4.669958,4.638616,4.669958,2500,0.125368
1996-05-13,4.638617,4.638617,4.575933,4.575933,15500,0.125368
1996-05-14,4.575933,4.575933,4.544591,4.575933,13000,0.125368
1996-05-15,4.591603,4.638616,4.591603,4.638616,6000,0.125368
1996-05-16,4.638616,4.638616,4.638616,4.638616,2000,0.125368
1996-05-17,4.732642,4.810997,4.732642,4.748313,57000,0.125368
1996-05-20,4.842228,4.92187,4.842228,4.905941,44000,0.127427
1996-05-21,4.921869,4.937797,4.921869,4.921869,9500,0.127427
1996-05-22,4.953725,4.969654,4.953725,4.969654,5500,0.127427
1996-05-23,4.937797,4.937797,4.937797,4.937797,3500,0.127427
1996-05-24,4.937797,4.937797,4.890012,4.890012,6500,0.127427
1996-05-28,4.858156,4.858156,4.858156,4.858156,5500,0.127427
1996-05-29,4.858156,4.890013,4.858156,4.874084,29000,0.127427
1996-05-30,4.890013,4.890013,4.874084,4.874084,151500,0.127427
1996-05-31,4.874084,4.905941,4.874084,4.874084,9500,0.127427
1996-06-03,4.905941,4.905941,4.874084,4.874084,3500,0.127427
1996-06-04,4.874084,4.874084,4.874084,4.874084,2000,0.127427
1996-06-05,4.90594,4.969654,4.90594,4.969654,11000,0.127427
1996-06-06,4.969654,4.969654,4.937797,4.937797,28500,0.127427
1996-06-07,4.90594,4.90594,4.81037,4.842227,19500,0.127427
1996-06-10,4.81037,4.81037,4.81037,4.81037,4000,0.127427
1996-06-11,4.842228,4.842228,4.778514,4.778514,65000,0.127427
1996-06-12,4.794441,4.81037,4.794441,4.81037,35000,0.127427
1996-06-13,4.842227,4.842227,4.81037,4.81037,20000,0.127427
1996-06-14,4.778513,4.81037,4.778513,4.81037,3500,0.127427
1996-06-17,4.842227,4.874084,4.842227,4.874084,8000,0.127427
1996-06-18,4.842227,4.842227,4.794441,4.81037,95000,0.127427
1996-06-19,4.81037,4.81037,4.778513,4.81037,4500,0.127427
1996-06-20,4.778514,4.778514,4.746657,4.746657,10500,0.127427
1996-06-21,4.778514,4.778514,4.7148,4.7148,8500,0.127427
1996-06-24,4.746657,4.746657,4.698872,4.698872,33500,0.127427
1996-06-25,4.7148,4.7148,4.7148,4.7148,500,0.127427
1996-06-26,4.682943,4.682943,4.682943,4.682943,3000,0.127427
1996-06-27,4.651087,4.651087,4.587373,4.587373,40500,0.127427
1996-06-28,4.555516,4.555516,4.459946,4.459946,28000,0.127427
1996-07-01,4.507731,4.52366,4.491803,4.491803,261500,0.127427
1996-07-02,4.61923,4.667015,4.61923,4.651087,407000,0.127427
1996-07-03,4.698872,4.810371,4.698872,4.794442,78500,0.127427
1996-07-05,4.794442,4.794442,4.778514,4.778514,25500,0.127427
1996-07-08,4.730729,4.778514,4.730729,4.778514,25500,0.127427
1996-07-09,4.762585,4.762585,4.762585,4.762585,500,0.127427
1996-07-10,4.730729,4.730729,4.667015,4.667015,12500,0.127427
1996-07-11,4.667015,4.667015,4.667015,4.667015,23000,0.127427
1996-07-12,4.698872,4.7148,4.651087,4.7148,39000,0.127427
1996-07-15,4.682943,4.682943,4.523659,4.523659,33000,0.127427
1996-07-16,4.459946,4.459946,4.364376,4.364376,171500,0.127427
1996-07-17,4.396232,4.428089,4.396232,4.428089,10000,0.127427
1996-07-18,4.459946,4.491803,4.428089,4.491803,10500,0.127427
1996-07-19,4.459946,4.459946,4.412161,4.412161,32000,0.127427
1996-07-22,4.396233,4.396233,4.284734,4.284734,203000,0.127427
1996-07-23,4.300662,4.300662,4.268805,4.268805,41000,0.127427
1996-07-24,4.252878,4.268806,4.236949,4.236949,100000,0.127427
1996-07-25,4.268805,4.364376,4.268805,4.332519,27500,0.127427
1996-07-26,4.364376,4.364376,4.332519,4.332519,127500,0.127427
