date,open,high,low,close,volume,adjrate
1993-05-03,0.774179,0.799985,0.76128,0.787078,859200,0.103224
1993-05-04,0.787078,0.787078,0.748373,0.774179,1188000,0.103224
1993-05-05,0.748373,0.799985,0.748373,0.774179,1298400,0.103224
1993-05-06,0.76128,0.83869,0.76128,0.83869,1876800,0.103224
1993-05-07,0.83869,0.877403,0.825791,0.877403,1213600,0.103224
1993-05-10,0.877403,0.906438,0.864504,0.903209,940000,0.103224
1993-05-11,0.903209,0.903209,0.851597,0.890302,768800,0.103224
1993-05-12,0.890302,0.893531,0.825791,0.825791,532800,0.103224
1993-05-13,0.877403,0.877403,0.822562,0.864504,255200,0.103224
1993-05-14,0.825791,0.864504,0.825791,0.864504,207200,0.103224
1993-05-17,0.864504,0.877403,0.825791,0.851597,460800,0.103224
1993-05-18,0.877403,0.877403,0.83869,0.851597,278400,0.103224
1993-05-19,0.83869,0.877403,0.83869,0.851597,164800,0.103224
1993-05-20,0.851597,0.877403,0.851597,0.877403,515200,0.103224
1993-05-21,0.877403,0.929015,0.851597,0.929015,838400,0.103224
1993-05-24,0.890302,0.916116,0.877403,0.916116,405600,0.103224
1993-05-25,0.916116,0.916116,0.851597,0.903209,303200,0.103224
1993-05-26,0.903209,0.916116,0.851597,0.877403,1228000,0.103224
1993-05-27,0.890302,0.903209,0.83869,0.83869,1132800,0.103224
1993-05-28,0.825791,0.851597,0.799985,0.799985,1062400,0.103224
1993-06-01,0.825791,0.825791,0.774179,0.774179,1884000,0.103224
1993-06-02,0.77418,0.77418,0.64515,0.709669,2239200,0.103224
1993-06-03,0.709668,0.722567,0.670955,0.722567,525600,0.103224
1993-06-04,0.696761,0.825791,0.696761,0.825791,482400,0.103224
1993-06-07,0.851597,0.851597,0.774179,0.825791,964000,0.103224
1993-06-08,0.851597,0.851597,0.787078,0.851597,470400,0.103224
1993-06-09,0.851597,0.877403,0.825791,0.877403,627200,0.103224
1993-06-10,0.877403,0.903209,0.825791,0.877403,232800,0.103224
1993-06-11,0.877403,0.903209,0.825791,0.825791,234400,0.103224
1993-06-14,0.877404,0.877404,0.825792,0.832241,244800,0.103224
1993-06-15,0.825791,0.851597,0.774179,0.851597,512000,0.103224
1993-06-16,0.851597,0.851597,0.799985,0.825791,188000,0.103224
1993-06-17,0.851597,0.851597,0.799985,0.825791,247200,0.103224
1993-06-18,0.851597,0.851597,0.799985,0.825791,104000,0.103224
1993-06-21,0.851597,0.851597,0.799985,0.825791,76000,0.103224
1993-06-22,0.825791,0.864504,0.774179,0.825791,698400,0.103224
1993-06-23,0.83869,0.916116,0.799985,0.851597,1614400,0.103224
1993-06-24,0.916116,1.006433,0.851597,0.929015,1463200,0.103224
1993-06-25,0.929015,0.980627,0.903209,0.929015,889600,0.103224
1993-06-28,0.929015,0.980627,0.929015,0.980627,940000,0.103224
1993-06-29,0.980627,0.980627,0.929015,0.980627,884800,0.103224
1993-06-30,0.954821,1.006433,0.954821,1.006433,876800,0.103224
1993-07-01,1.006433,1.032239,0.980627,0.980627,262400,0.103224
1993-07-02,1.01934,1.032239,0.980627,0.980627,315200,0.103224
1993-07-06,1.032239,1.032239,0.929015,0.929015,216000,0.103224
1993-07-07,0.903209,0.954821,0.903209,0.929015,210400,0.103224
1993-07-08,0.929015,0.929015,0.890302,0.929015,20000,0.103224
1993-07-09,0.890302,0.954821,0.890302,0.954821,114400,0.103224
1993-07-12,0.954821,0.954821,0.929015,0.929015,216000,0.103224
1993-07-13,0.929015,0.954821,0.929015,0.929015,77600,0.103224
1993-07-14,0.954821,0.980627,0.929015,0.929015,126400,0.103224
1993-07-15,0.903209,0.954821,0.877403,0.903209,165600,0.103224
1993-07-16,0.929015,0.929015,0.877403,0.877403,32000,0.103224
1993-07-19,0.877403,0.929015,0.825791,0.83869,292800,0.103224
1993-07-20,0.877403,0.877403,0.825791,0.825791,131200,0.103224
1993-07-21,0.877403,0.877403,0.825791,0.877403,308000,0.103224
1993-07-22,0.877403,0.877403,0.851597,0.877403,110400,0.103224
1993-07-23,0.851597,0.903209,0.851597,0.903209,486400,0.103224
1993-07-26,0.864504,0.929015,0.864504,0.877403,62400,0.103224
1993-07-27,0.877403,0.929015,0.877403,0.929015,220000,0.103224
1993-07-28,0.903209,0.954821,0.877403,0.916116,512800,0.103224
1993-07-29,0.799985,0.851597,0.670955,0.683854,2735200,0.103224
1993-07-30,0.722567,0.722567,0.670955,0.670955,1904000,0.103224
1993-08-02,0.696762,0.696762,0.64515,0.658057,946400,0.103224
1993-08-03,0.670955,0.670955,0.619343,0.645149,899200,0.103224
1993-08-04,0.619343,0.696761,0.619343,0.670955,925600,0.103224
1993-08-05,0.683854,0.696761,0.645149,0.645149,568000,0.103224
1993-08-06,0.645149,0.696761,0.645149,0.696761,522400,0.103224
1993-08-09,0.64515,0.696762,0.64515,0.658057,447200,0.103224
1993-08-10,0.696761,0.696761,0.645149,0.670955,524000,0.103224
1993-08-11,0.696761,0.748373,0.696761,0.748373,160800,0.103224
1993-08-12,0.748373,0.799985,0.722567,0.774179,555200,0.103224
1993-08-13,0.774179,0.774179,0.722567,0.748373,211200,0.103224
1993-08-16,0.722567,0.774179,0.722567,0.774179,1297600,0.103224
1993-08-17,0.774179,0.774179,0.722567,0.748373,231200,0.103224
1993-08-18,0.748373,0.774179,0.722567,0.774179,529600,0.103224
1993-08-19,0.774179,0.774179,0.722567,0.735466,436000,0.103224
1993-08-20,0.774179,0.774179,0.722567,0.735466,344800,0.103224
1993-08-23,0.722567,0.774179,0.722567,0.722567,89600,0.103224
1993-08-24,0.774179,0.799985,0.722567,0.748373,189600,0.103224
1993-08-25,0.799985,0.799985,0.722567,0.748373,282400,0.103224
1993-08-26,0.799985,0.799985,0.748373,0.799985,177600,0.103224
1993-08-27,0.799985,0.799985,0.748373,0.787078,299200,0.103224
1993-08-30,0.799985,0.825791,0.774179,0.825791,124000,0.103224
1993-08-31,0.825791,0.851597,0.799985,0.851597,389600,0.103224
1993-09-01,0.851597,0.851597,0.799985,0.825791,224000,0.103224
1993-09-02,0.851597,0.851597,0.799985,0.851597,140000,0.103224
1993-09-03,0.851597,0.903209,0.825791,0.877403,729600,0.103224
1993-09-07,0.877403,0.877403,0.825791,0.83869,259200,0.103224
1993-09-08,0.851597,0.851597,0.799985,0.799985,305600,0.103224
1993-09-09,0.825791,0.851597,0.799985,0.799985,92800,0.103224
1993-09-10,0.851597,0.851597,0.799985,0.799985,299200,0.103224
1993-09-13,0.851597,0.851597,0.799985,0.83869,309600,0.103224
1993-09-14,0.799986,0.851598,0.77418,0.812893,452000,0.103224
1993-09-15,0.851597,0.851597,0.787078,0.851597,123200,0.103224
1993-09-16,0.851597,0.851597,0.799985,0.851597,433600,0.103224
1993-09-17,0.851597,0.851597,0.799985,0.851597,559200,0.103224
1993-09-20,0.851597,0.851597,0.799985,0.799985,576000,0.103224
1993-09-21,0.851597,0.851597,0.748373,0.825791,258400,0.103224
1993-09-22,0.825791,0.825791,0.774179,0.774179,560000,0.103224
1993-09-23,0.774179,0.825791,0.774179,0.774179,490400,0.103224
1993-09-24,0.825791,0.825791,0.774179,0.825791,481600,0.103224
1993-09-27,0.825791,0.825791,0.774179,0.825791,372000,0.103224
1993-09-28,0.774179,0.825791,0.774179,0.825791,316800,0.103224
1993-09-29,0.825791,0.825791,0.774179,0.799985,261600,0.103224
1993-09-30,0.799985,0.851597,0.774179,0.851597,572000,0.103224
1993-10-01,0.825791,0.877403,0.825791,0.825791,1336800,0.103224
1993-10-04,0.825791,0.903209,0.825791,0.903209,413600,0.103224
1993-10-05,0.903209,0.929015,0.877403,0.929015,724000,0.103224
1993-10-06,0.929015,0.929015,0.825791,0.83869,659200,0.103224
1993-10-07,0.825791,0.877403,0.825791,0.825791,139200,0.103224
1993-10-08,0.877403,0.890302,0.877403,0.877403,19200,0.103224
1993-10-11,0.851597,0.877403,0.825791,0.825791,284800,0.103224
1993-10-12,0.877403,0.929015,0.851597,0.903209,647200,0.103224
1993-10-13,0.903209,0.929015,0.877403,0.877403,308000,0.103224
1993-10-14,0.877403,0.877403,0.851597,0.877403,168000,0.103224
1993-10-15,0.877403,0.903209,0.851597,0.851597,451200,0.103224
1993-10-18,0.851597,0.903209,0.851597,0.851597,484800,0.103224
1993-10-19,0.851597,0.903209,0.774179,0.825791,358400,0.103224
1993-10-20,0.799985,0.825791,0.722567,0.825791,1060000,0.103224
1993-10-21,0.799986,0.825792,0.799986,0.812893,335200,0.103224
1993-10-22,0.799986,0.825792,0.799986,0.812893,210400,0.103224
1993-10-25,0.825791,0.825791,0.774179,0.774179,132000,0.103224
1993-10-26,0.774179,0.825791,0.774179,0.825791,141600,0.103224
1993-10-27,0.799985,0.799985,0.748373,0.799985,284800,0.103224
1993-10-28,0.774179,0.799985,0.748373,0.799985,320800,0.103224
