date,open,high,low,close,volume,adjrate
1987-09-28,4.123293,4.142471,4.065759,4.084937,369700,0.153425
1987-09-29,4.084937,4.123293,4.065759,4.123293,303300,0.153425
1987-09-30,4.123293,4.123293,4.065759,4.084937,200300,0.153425
1987-10-01,4.084937,4.142471,4.065759,4.142471,712900,0.153425
1987-10-02,4.142471,4.180827,4.142471,4.180827,116200,0.153425
1987-10-05,4.180827,4.238361,4.142471,4.200005,796200,0.153425
1987-10-06,4.200006,4.200006,4.027403,4.065759,251400,0.153425
1987-10-07,4.065759,4.065759,3.893156,3.912334,867800,0.153425
1987-10-08,3.912333,4.027402,3.854799,4.027402,293700,0.153425
1987-10-09,4.027402,4.180827,4.027402,4.123293,261100,0.153425
1987-10-12,4.065758,4.065758,3.95069,3.95069,85600,0.153425
1987-10-13,3.95069,4.008224,3.893156,3.95069,172600,0.153425
1987-10-14,3.912334,3.912334,3.797265,3.816443,257400,0.153425
1987-10-15,3.816443,3.854799,3.567128,3.64384,960700,0.153425
1987-10-16,3.64384,3.701375,3.375347,3.375347,502500,0.153425
1987-10-19,3.317813,3.317813,2.646579,2.646579,1535700,0.153425
1987-10-20,2.646578,3.183565,2.569866,2.953428,2079200,0.153425
1987-10-21,2.972607,3.260279,2.972607,3.183566,1132100,0.153425
1987-10-22,3.183565,3.183565,2.83836,2.93425,620300,0.153425
1987-10-23,2.895894,2.895894,2.646579,2.723291,845700,0.153425
1987-10-26,2.627401,2.627401,2.416442,2.512332,1145000,0.153425
1987-10-27,2.608223,2.684935,2.608223,2.646579,1051200,0.153425
1987-10-28,2.646579,2.665757,2.493154,2.665757,872200,0.153425
1987-10-29,2.915072,3.030141,2.915072,2.93425,984500,0.153425
1987-10-30,3.068497,3.375347,3.068497,3.183566,1066900,0.153425
1987-11-02,3.183566,3.202744,3.068497,3.183566,494400,0.153425
1987-11-03,3.183566,3.202744,3.126032,3.183566,496400,0.153425
1987-11-04,3.183565,3.183565,3.126031,3.145209,281600,0.153425
1987-11-05,3.145209,3.2411,3.126031,3.2411,520200,0.153425
1987-11-06,3.2411,3.279456,3.183566,3.183566,441300,0.153425
1987-11-09,3.068497,3.068497,2.972607,2.991785,644100,0.153425
1987-11-10,2.991784,2.991784,2.915072,2.953428,738200,0.153425
1987-11-11,2.991785,3.2411,2.991785,3.183566,442500,0.153425
1987-11-12,3.2411,3.298634,3.2411,3.279456,209600,0.153425
1987-11-13,3.279456,3.298634,3.202744,3.298634,157700,0.153425
1987-11-16,3.298634,3.413703,3.298634,3.298634,553200,0.153425
1987-11-17,3.2411,3.2411,3.14521,3.183566,516900,0.153425
1987-11-18,3.183566,3.202744,3.126032,3.183566,186200,0.153425
1987-11-19,3.183566,3.202744,3.14521,3.183566,192700,0.153425
1987-11-20,3.183566,3.183566,3.126032,3.183566,237300,0.153425
1987-11-23,3.183565,3.183565,3.126031,3.126031,197900,0.153425
1987-11-24,3.126032,3.2411,3.126032,3.183566,129900,0.153425
1987-11-25,3.183566,3.279456,3.183566,3.279456,132700,0.153425
1987-11-27,3.279456,3.33699,3.2411,3.33699,142400,0.153425
1987-11-30,3.183566,3.183566,2.991785,3.010963,606700,0.153425
1987-12-01,3.068497,3.145209,3.068497,3.126031,168100,0.153425
1987-12-02,3.145209,3.2411,3.145209,3.2411,243400,0.153425
1987-12-03,3.2411,3.2411,3.087675,3.087675,628400,0.153425
1987-12-04,3.068497,3.068497,2.915072,2.953428,330700,0.153425
1987-12-07,2.953429,3.010963,2.953429,2.991785,345200,0.153425
1987-12-08,2.991785,3.030141,2.953429,3.010963,295700,0.153425
1987-12-09,3.010963,3.126031,3.010963,3.030141,516100,0.153425
1987-12-10,3.030141,3.068497,2.972606,3.068497,319400,0.153425
1987-12-11,3.068497,3.126031,3.010963,3.030141,337100,0.153425
