date,open,high,low,close,volume,adjrate
2001-05-25,5.285586,6.221888,5.285586,6.131284,12145000,0.377542
2001-05-29,6.131284,6.418217,6.040671,6.221888,1889500,0.377542
2001-05-30,6.221889,6.418218,6.131284,6.252096,4239600,0.377542
2001-05-31,6.252095,6.418217,6.131284,6.221888,3943800,0.377542
2001-06-01,6.221888,6.508822,6.161482,6.221888,3449400,0.377542
2001-06-04,6.221888,6.418218,6.221888,6.312501,7595200,0.377542
2001-06-05,6.312501,6.418218,6.221888,6.372907,4901800,0.377542
2001-06-06,6.372907,6.418218,6.221888,6.372907,4768200,0.377542
2001-06-07,6.312501,6.312501,6.161482,6.221888,1733100,0.377542
2001-06-08,6.221888,6.312501,6.131284,6.221888,2965000,0.377542
2001-06-11,6.221889,6.221889,6.161483,6.19169,1093200,0.377542
2001-06-12,6.19169,6.221888,6.101077,6.131284,2542200,0.377542
2001-06-13,6.131284,6.161483,6.101077,6.161483,825000,0.377542
2001-06-14,6.131284,6.131284,6.101077,6.101077,646600,0.377542
2001-06-15,6.138835,6.138835,6.11618,6.135055,20200,0.377542
2001-06-18,6.135055,6.135055,6.07843,6.11618,692200,0.377542
2001-06-19,6.135055,6.135055,6.097305,6.11618,499900,0.377542
2001-06-20,6.135056,6.135056,5.99914,6.021796,1156200,0.377542
2001-06-21,6.002921,6.002921,5.663133,5.663133,798400,0.377542
2001-06-22,5.700884,5.851902,5.700884,5.851902,179100,0.377542
2001-06-25,6.085973,6.135055,5.927411,6.135055,1919700,0.377542
2001-06-26,6.135056,6.248324,6.097305,6.248324,3242700,0.377542
2001-06-27,6.361584,6.380459,6.248324,6.248324,1255900,0.377542
2001-06-28,6.248324,6.248324,6.191689,6.22944,161200,0.377542
2001-06-29,6.210566,6.210566,6.172815,6.19169,553500,0.377542
2001-07-02,6.22944,6.22944,6.172814,6.22944,1115200,0.377542
2001-07-03,6.19169,6.248324,6.19169,6.236992,978900,0.377542
2001-07-05,6.248324,6.267199,6.22944,6.267199,39600,0.377542
2001-07-06,6.191689,6.278522,6.191689,6.22944,521100,0.377542
2001-07-09,6.286074,6.30495,6.248324,6.30495,861300,0.377542
2001-07-10,6.30495,6.323825,6.286075,6.323825,231900,0.377542
2001-07-11,6.342708,6.357803,6.304949,6.357803,417700,0.377542
2001-07-12,6.342709,6.380459,6.30495,6.323825,3497800,0.377542
2001-07-13,6.323825,6.323825,6.286075,6.323825,847500,0.377542
2001-07-16,6.323825,6.323825,6.30495,6.30495,208800,0.377542
2001-07-17,6.30495,6.323824,6.286074,6.286074,249000,0.377542
2001-07-18,6.30495,6.323825,6.30495,6.316282,22900,0.377542
2001-07-19,6.30495,6.323825,6.22944,6.30495,363600,0.377542
2001-07-20,6.267199,6.30495,6.210565,6.22944,4671900,0.377542
2001-07-23,6.22944,6.248324,6.210565,6.210565,1201200,0.377542
2001-07-24,6.210565,6.22944,6.059545,6.135055,1024300,0.377542
2001-07-25,6.097305,6.135055,6.097305,6.097305,110400,0.377542
2001-07-26,6.135055,6.135055,6.097305,6.097305,72600,0.377542
2001-07-27,6.097305,6.135056,6.07843,6.108629,1584900,0.377542
2001-07-30,6.108629,6.116181,6.07843,6.101077,143100,0.377542
2001-07-31,6.108629,6.108629,6.059546,6.097305,1284000,0.377542
2001-08-01,6.11618,6.176586,6.067098,6.097305,862200,0.377542
2001-08-02,6.142607,6.795756,6.142607,6.482395,5323000,0.377542
2001-08-03,6.512602,6.644737,6.493719,6.520154,4326900,0.377542
2001-08-06,6.512603,6.512603,6.380459,6.437093,1545900,0.377542
2001-08-07,6.440865,6.569228,6.418218,6.550353,1529200,0.377542
2001-08-08,6.569228,6.678716,6.323825,6.606987,2439100,0.377542
2001-08-09,6.606986,6.663612,6.531477,6.610758,2120100,0.377542
2001-08-10,6.610759,6.663613,6.599435,6.637186,264600,0.377542
2001-08-13,6.622091,6.659841,6.588112,6.614539,302500,0.377542
2001-08-14,6.606987,6.637186,6.569228,6.57678,1180800,0.377542
2001-08-15,6.595654,6.625861,6.569227,6.584331,2278300,0.377542
2001-08-16,6.603207,6.606987,6.561676,6.561676,146800,0.377542
2001-08-17,6.595654,6.663612,6.539029,6.663612,1348800,0.377542
2001-08-20,6.65607,6.799528,6.606987,6.758006,1185700,0.377542
2001-08-21,6.909016,7.056263,6.776881,6.776881,2117200,0.377542
2001-08-22,6.882588,6.882588,6.697591,6.739122,3978100,0.377542
2001-08-23,6.795756,6.833507,6.720247,6.829735,3208000,0.377542
2001-08-24,6.833507,6.833507,6.73535,6.81086,925200,0.377542
2001-08-27,6.814631,6.89014,6.814631,6.85239,94900,0.377542
2001-08-28,6.825963,6.863714,6.754225,6.765549,85900,0.377542
2001-08-29,6.81086,6.833507,6.791984,6.803308,161200,0.377542
2001-08-30,6.799528,6.829735,6.727799,6.776881,1473000,0.377542
2001-08-31,6.776881,6.829735,6.739122,6.776881,1135000,0.377542
2001-09-04,6.931671,7.343187,6.780652,7.229928,3708600,0.377542
2001-09-05,7.260135,7.324313,7.150647,7.260135,5380600,0.377542
2001-09-06,7.267687,7.343188,7.218605,7.294114,4176900,0.377542
2001-09-07,7.286562,7.286562,7.07891,7.07891,5096200,0.377542
2001-09-10,7.094014,7.124221,6.720246,6.750454,8001400,0.377542
2001-09-17,6.467291,6.512602,5.606499,6.044451,4768600,0.377542
2001-09-18,6.11618,6.252095,6.040671,6.044451,3753600,0.377542
2001-09-19,6.089754,6.101077,5.644249,5.663133,1110700,0.377542
2001-09-20,5.738642,5.738642,5.300689,5.383751,2424700,0.377542
2001-09-21,5.410178,5.410178,5.191202,5.247836,2356800,0.377542
2001-09-24,5.323346,5.776393,5.323346,5.659353,2338200,0.377542
2001-09-25,5.663133,5.889653,5.663133,5.814143,472900,0.377542
2001-09-26,5.749965,5.753737,5.61027,5.644249,629200,0.377542
2001-09-27,5.678228,5.678228,5.364876,5.606499,161200,0.377542
2001-09-28,5.474356,5.738642,5.474356,5.606499,2647900,0.377542
