date,open,high,low,close,volume,adjrate
1991-11-22,1.223632,1.23128,1.215986,1.223632,6522600,0.061182
1991-11-25,1.223632,1.223632,1.215986,1.223632,868800,0.061182
1991-11-26,1.223632,1.223632,1.223632,1.223632,165000,0.061182
1991-11-27,1.223632,1.223632,1.215986,1.223632,93600,0.061182
1991-11-29,1.223632,1.223632,1.215986,1.223632,151400,0.061182
1991-12-02,1.223633,1.223633,1.208339,1.215987,420200,0.061182
1991-12-03,1.215987,1.223633,1.208339,1.215987,154800,0.061182
1991-12-04,1.223633,1.223633,1.215987,1.215987,189200,0.061182
1991-12-05,1.215987,1.215987,1.215987,1.215987,173600,0.061182
1991-12-06,1.215986,1.215986,1.208338,1.208338,270200,0.061182
1991-12-09,1.208338,1.215986,1.208338,1.208338,54200,0.061182
1991-12-10,1.208338,1.215986,1.208338,1.208338,177600,0.061182
1991-12-11,1.193041,1.208338,1.177748,1.208338,302600,0.061182
1991-12-12,1.208338,1.208338,1.20069,1.208338,72800,0.061182
1991-12-13,1.208338,1.215986,1.208338,1.208338,157800,0.061182
1991-12-16,1.215986,1.215986,1.208338,1.208338,49400,0.061182
1991-12-17,1.215987,1.215987,1.208339,1.215987,63200,0.061182
1991-12-18,1.215987,1.215987,1.208339,1.215987,24200,0.061182
1991-12-19,1.208338,1.223632,1.208338,1.223632,62000,0.061182
1991-12-20,1.223632,1.23128,1.223632,1.223632,137600,0.061182
1991-12-23,1.223633,1.254226,1.223633,1.254226,158600,0.061182
1991-12-24,1.254225,1.254225,1.238929,1.246577,62400,0.061182
1991-12-26,1.254226,1.277168,1.254226,1.26952,83600,0.061182
1991-12-27,1.269519,1.269519,1.254225,1.261871,183000,0.061182
1991-12-30,1.269519,1.269519,1.261871,1.261871,101600,0.061182
1991-12-31,1.26952,1.315407,1.26952,1.315407,126000,0.061182
1992-01-02,1.307759,1.330701,1.292462,1.315407,173000,0.061182
1992-01-03,1.315407,1.338349,1.315407,1.323055,215000,0.061182
1992-01-06,1.3307,1.376587,1.3307,1.353645,198000,0.061182
1992-01-07,1.353645,1.384236,1.353645,1.361291,434000,0.061182
1992-01-08,1.361291,1.368939,1.353645,1.361291,131600,0.061182
1992-01-09,1.361291,1.361291,1.353645,1.353645,149400,0.061182
1992-01-10,1.353646,1.376588,1.353646,1.376588,184400,0.061182
1992-01-13,1.36894,1.384236,1.36894,1.376588,92600,0.061182
1992-01-14,1.376588,1.39953,1.376588,1.39953,153000,0.061182
1992-01-15,1.391885,1.414827,1.391885,1.414827,106200,0.061182
1992-01-16,1.430121,1.437769,1.414827,1.414827,73200,0.061182
1992-01-17,1.407178,1.422475,1.407178,1.422475,116000,0.061182
1992-01-20,1.422475,1.430121,1.414827,1.414827,60200,0.061182
1992-01-21,1.414827,1.430121,1.414827,1.422475,37800,0.061182
1992-01-22,1.414827,1.430121,1.414827,1.422475,36000,0.061182
1992-01-23,1.414827,1.430121,1.414827,1.422475,50600,0.061182
1992-01-24,1.424506,1.439905,1.416806,1.432207,44000,0.0616
1992-01-27,1.432208,1.432208,1.416806,1.424507,35400,0.0616
1992-01-28,1.439905,1.439905,1.424506,1.439905,31400,0.0616
1992-01-29,1.463007,1.486107,1.447606,1.447606,222600,0.0616
1992-01-30,1.447606,1.455307,1.447606,1.455307,224400,0.0616
1992-01-31,1.447606,1.463008,1.447606,1.455307,32600,0.0616
1992-02-03,1.455306,1.478406,1.447606,1.463007,148400,0.0616
1992-02-04,1.463007,1.501508,1.463007,1.478406,55800,0.0616
1992-02-05,1.478406,1.493807,1.478406,1.493807,30600,0.0616
1992-02-06,1.493807,1.516906,1.493807,1.493807,129000,0.0616
1992-02-07,1.493807,1.516907,1.493807,1.509206,152400,0.0616
1992-02-10,1.509206,1.524607,1.501508,1.509206,49400,0.0616
1992-02-11,1.524607,1.524607,1.501508,1.501508,37800,0.0616
1992-02-12,1.493807,1.501508,1.486107,1.501508,321200,0.0616
1992-02-13,1.493808,1.493808,1.478406,1.486107,263600,0.0616
1992-02-14,1.478406,1.486107,1.478406,1.486107,41400,0.0616
1992-02-18,1.493807,1.493807,1.478406,1.478406,26000,0.0616
1992-02-19,1.478406,1.478406,1.470708,1.470708,36200,0.0616
1992-02-20,1.455306,1.470708,1.455306,1.463007,138600,0.0616
1992-02-21,1.455306,1.463007,1.455306,1.463007,4800,0.0616
1992-02-24,1.463007,1.470708,1.463007,1.470708,117000,0.0616
1992-02-25,1.470708,1.478406,1.463007,1.478406,65600,0.0616
1992-02-26,1.470708,1.470708,1.463007,1.463007,101000,0.0616
1992-02-27,1.478406,1.493807,1.478406,1.493807,96600,0.0616
1992-02-28,1.486107,1.486107,1.478406,1.478406,5600,0.0616
1992-03-02,1.493807,1.516906,1.493807,1.516906,162200,0.0616
1992-03-03,1.532307,1.563107,1.532307,1.540008,96200,0.0616
1992-03-04,1.547706,1.563107,1.540008,1.547706,43400,0.0616
1992-03-05,1.540009,1.547707,1.509206,1.509206,31800,0.0616
1992-03-06,1.516907,1.516907,1.478406,1.486107,174000,0.0616
1992-03-09,1.486107,1.532308,1.486107,1.509206,29600,0.0616
1992-03-10,1.516906,1.516906,1.493807,1.493807,503400,0.0616
1992-03-11,1.501508,1.501508,1.493807,1.493807,13400,0.0616
1992-03-12,1.509206,1.509206,1.486107,1.486107,23400,0.0616
1992-03-13,1.486107,1.501508,1.486107,1.501508,311400,0.0616
1992-03-16,1.493808,1.493808,1.486107,1.486107,36000,0.0616
1992-03-17,1.486107,1.486107,1.470708,1.478406,46800,0.0616
1992-03-18,1.478406,1.486107,1.478406,1.478406,79200,0.0616
1992-03-19,1.493807,1.493807,1.486106,1.493807,16200,0.0616
1992-03-20,1.493807,1.493807,1.478406,1.478406,28200,0.0616
1992-03-23,1.478406,1.486107,1.478406,1.486107,16200,0.0616
1992-03-24,1.478406,1.486106,1.463007,1.463007,204600,0.0616
1992-03-25,1.478406,1.478406,1.447606,1.455307,63800,0.0616
1992-03-26,1.447606,1.455307,1.447606,1.447606,7200,0.0616
1992-03-27,1.447606,1.447606,1.447606,1.447606,40400,0.0616
1992-03-30,1.447606,1.447606,1.439905,1.447606,9200,0.0616
1992-03-31,1.439906,1.455307,1.439906,1.455307,56600,0.0616
1992-04-01,1.447606,1.455307,1.447606,1.447606,147600,0.0616
1992-04-02,1.447606,1.447606,1.439905,1.439905,120600,0.0616
1992-04-03,1.447606,1.447606,1.439905,1.439905,2000,0.0616
1992-04-06,1.447606,1.447606,1.432207,1.432207,46800,0.0616
1992-04-07,1.439906,1.439906,1.401408,1.401408,55800,0.0616
1992-04-08,1.393707,1.401407,1.362907,1.386006,65600,0.0616
1992-04-09,1.378306,1.393707,1.370605,1.370605,108800,0.0616
1992-04-10,1.370605,1.378306,1.362907,1.378306,174000,0.0616
1992-04-13,1.378306,1.401408,1.370605,1.393707,219600,0.0616
1992-04-14,1.409105,1.416806,1.409105,1.416806,115400,0.0616
1992-04-15,1.424506,1.432207,1.424506,1.432207,99800,0.0616
