date,open,high,low,close,volume,adjrate
1987-11-05,1.300564,1.314112,1.287017,1.307336,65600,0.05419
1987-11-06,1.314112,1.327659,1.307336,1.307336,15200,0.05419
1987-11-09,1.314113,1.314113,1.300565,1.300565,9600,0.05419
1987-11-10,1.300565,1.334432,1.300565,1.32766,32000,0.05419
1987-11-11,1.32766,1.341208,1.32766,1.32766,94400,0.05419
1987-11-12,1.32766,1.334431,1.314112,1.314112,213600,0.05419
1987-11-13,1.314112,1.320888,1.287017,1.287017,26400,0.05419
1987-11-16,1.300565,1.314112,1.287017,1.287017,175200,0.05419
1987-11-17,1.273469,1.273469,1.253146,1.253146,58400,0.05419
1987-11-18,1.246374,1.259922,1.232827,1.259922,339200,0.05419
1987-11-19,1.259922,1.273469,1.253146,1.253146,320800,0.05419
1987-11-20,1.247153,1.247153,1.226706,1.233519,69600,0.05452
1987-11-23,1.233519,1.240336,1.219893,1.233519,19200,0.05452
1987-11-24,1.253966,1.281226,1.253966,1.267596,219200,0.05452
1987-11-25,1.260779,1.260779,1.253966,1.253966,89600,0.05452
1987-11-27,1.253966,1.253966,1.213076,1.213076,76800,0.05452
1987-11-30,1.199446,1.206259,1.144926,1.158556,144000,0.05452
1987-12-01,1.172186,1.213076,1.172186,1.206259,28800,0.05452
1987-12-02,1.206259,1.219893,1.206259,1.206259,80000,0.05452
1987-12-03,1.219893,1.219893,1.185816,1.185816,445600,0.05452
1987-12-04,1.178999,1.185816,1.144926,1.158556,219200,0.05452
1987-12-07,1.151738,1.151738,1.144925,1.144925,112800,0.05452
1987-12-08,1.144925,1.151738,1.131295,1.144925,186400,0.05452
1987-12-09,1.144925,1.192632,1.144925,1.178998,53600,0.05452
1987-12-10,1.178999,1.185816,1.138113,1.138113,211200,0.05452
1987-12-11,1.144925,1.144925,1.110852,1.110852,266400,0.05452
1987-12-14,1.117665,1.144925,1.117665,1.144925,96000,0.05452
1987-12-15,1.151738,1.192633,1.151738,1.192633,109600,0.05452
1987-12-16,1.206259,1.301673,1.206259,1.288039,132800,0.05452
1987-12-17,1.301673,1.308486,1.267596,1.267596,148000,0.05452
1987-12-18,1.267596,1.288039,1.260779,1.288039,90400,0.05452
1987-12-21,1.274413,1.281226,1.253966,1.281226,167200,0.05452
1987-12-22,1.274413,1.281226,1.260779,1.260779,372800,0.05452
1987-12-23,1.274414,1.274414,1.219893,1.233519,97600,0.05452
1987-12-24,1.219893,1.226706,1.206259,1.219893,100800,0.05452
1987-12-28,1.219893,1.226706,1.199446,1.199446,141600,0.05452
1987-12-29,1.199446,1.213076,1.192633,1.213076,34400,0.05452
1987-12-30,1.226706,1.253966,1.226706,1.233519,218400,0.05452
1987-12-31,1.226706,1.226706,1.199446,1.199446,107200,0.05452
1988-01-04,1.213076,1.253966,1.206258,1.247153,469600,0.05452
1988-01-05,1.253966,1.288039,1.253966,1.274413,332800,0.05452
1988-01-06,1.267596,1.281226,1.253966,1.260779,105600,0.05452
1988-01-07,1.253966,1.253966,1.247153,1.253966,108800,0.05452
1988-01-08,1.226706,1.240336,1.199446,1.199446,281600,0.05452
1988-01-11,1.185816,1.206259,1.185816,1.199446,56000,0.05452
1988-01-12,1.206259,1.206259,1.172186,1.199446,54400,0.05452
1988-01-13,1.213076,1.213076,1.192633,1.206259,335200,0.05452
1988-01-14,1.199446,1.213076,1.199446,1.213076,22400,0.05452
