date,open,high,low,close,volume,adjrate
1987-11-05,0.647812,0.67095,0.647812,0.67095,158400,0.046272
1987-11-06,0.694085,0.728789,0.688302,0.711437,122400,0.046272
1987-11-09,0.723006,0.723006,0.67095,0.699868,141000,0.046272
1987-11-10,0.688302,0.694085,0.665164,0.688302,63600,0.046272
1987-11-11,0.688302,0.694085,0.682516,0.682516,27600,0.046272
1987-11-12,0.699868,0.705654,0.688302,0.688302,165000,0.046272
1987-11-13,0.682516,0.694085,0.682516,0.682516,50400,0.046272
1987-11-16,0.694085,0.705654,0.694085,0.694085,30000,0.046272
1987-11-17,0.694085,0.705654,0.676733,0.676733,73200,0.046272
1987-11-18,0.682516,0.699868,0.67095,0.699868,105600,0.046272
1987-11-19,0.694085,0.705654,0.682516,0.682516,34200,0.046272
1987-11-20,0.676733,0.694085,0.67095,0.688302,73800,0.046272
1987-11-23,0.699868,0.711437,0.699868,0.711437,203400,0.046272
1987-11-24,0.728789,0.740358,0.728789,0.728789,214800,0.046272
1987-11-25,0.71722,0.723006,0.699868,0.705654,64200,0.046272
1987-11-27,0.705654,0.711437,0.694085,0.694085,58200,0.046272
1987-11-30,0.694085,0.694085,0.676733,0.694085,159000,0.046272
1987-12-01,0.682516,0.694085,0.682516,0.688302,102600,0.046272
1987-12-02,0.688302,0.699868,0.676733,0.699868,75600,0.046272
1987-12-03,0.699868,0.711437,0.699868,0.705654,97800,0.046272
1987-12-04,0.694085,0.699868,0.694085,0.694085,58800,0.046272
1987-12-07,0.688302,0.694085,0.676733,0.682516,123600,0.046272
1987-12-08,0.694085,0.694085,0.688302,0.694085,67800,0.046272
1987-12-09,0.694085,0.711437,0.694085,0.694085,105000,0.046272
1987-12-10,0.694085,0.71722,0.694085,0.699868,73800,0.046272
1987-12-11,0.699868,0.699868,0.694085,0.694085,111000,0.046272
1987-12-14,0.688302,0.694085,0.682516,0.688302,122400,0.046272
1987-12-15,0.682516,0.694085,0.682516,0.694085,59400,0.046272
1987-12-16,0.688302,0.705654,0.682516,0.694085,398400,0.046272
1987-12-17,0.705654,0.763493,0.705654,0.763493,333000,0.046272
1987-12-18,0.751924,0.798197,0.751924,0.792414,172800,0.046272
1987-12-21,0.798197,0.798197,0.75771,0.769276,140400,0.046272
1987-12-22,0.763493,0.769276,0.740358,0.75771,270600,0.046272
1987-12-23,0.763493,0.80398,0.763493,0.769276,837600,0.046272
1987-12-24,0.780845,0.786628,0.775062,0.775062,201600,0.046272
1987-12-28,0.763493,0.763493,0.711437,0.711437,78000,0.046272
1987-12-29,0.699868,0.705654,0.676733,0.705654,139200,0.046272
1987-12-30,0.699868,0.751924,0.699868,0.751924,520200,0.046272
1987-12-31,0.751924,0.775062,0.746141,0.769276,578400,0.046272
1988-01-04,0.751924,0.780845,0.751924,0.775062,155400,0.046272
1988-01-05,0.786629,0.827119,0.786629,0.827119,128400,0.046272
1988-01-06,0.832902,0.832902,0.809767,0.827119,156600,0.046272
1988-01-07,0.821333,0.832902,0.803981,0.832902,90000,0.046272
1988-01-08,0.821333,0.821333,0.746141,0.746141,131400,0.046272
1988-01-11,0.734572,0.740358,0.705654,0.728789,137400,0.046272
1988-01-12,0.734572,0.740358,0.705654,0.711437,63600,0.046272
1988-01-13,0.71722,0.740358,0.71722,0.734572,93600,0.046272
1988-01-14,0.740359,0.786629,0.740359,0.786629,89400,0.046272
1988-01-15,0.798197,0.798197,0.780845,0.792414,93000,0.046272
1988-01-18,0.798198,0.827119,0.798198,0.798198,62400,0.046272
1988-01-19,0.798198,0.809767,0.798198,0.803981,38400,0.046272
1988-01-20,0.792415,0.798198,0.780846,0.786629,91200,0.046272
1988-01-21,0.786628,0.792414,0.780845,0.780845,48000,0.046272
1988-01-22,0.786629,0.803981,0.786629,0.803981,128400,0.046272
1988-01-25,0.809766,0.809766,0.792414,0.792414,30000,0.046272
1988-01-26,0.792415,0.821333,0.792415,0.809767,32400,0.046272
1988-01-27,0.798198,0.809767,0.792415,0.809767,127800,0.046272
1988-01-28,0.803981,0.832902,0.803981,0.832902,93600,0.046272
1988-01-29,0.856037,0.856037,0.827119,0.827119,167400,0.046272
1988-02-01,0.84151,0.853118,0.84151,0.84151,83400,0.046428
1988-02-02,0.84151,0.853118,0.829905,0.853118,81600,0.046428
1988-02-03,0.853118,0.92276,0.847315,0.911152,506400,0.046428
1988-02-04,0.893741,0.899546,0.882136,0.893741,398400,0.046428
1988-02-05,0.887939,0.92276,0.887939,0.911152,215400,0.046428
1988-02-08,0.905349,0.905349,0.870528,0.882136,127800,0.046428
1988-02-09,0.882136,0.893742,0.882136,0.887939,236400,0.046428
1988-02-10,0.882136,0.893741,0.882136,0.893741,70800,0.046428
1988-02-11,0.882136,0.882136,0.870528,0.876331,439200,0.046428
1988-02-12,0.870528,0.870528,0.812494,0.847315,477600,0.046428
1988-02-16,0.853118,0.853118,0.835707,0.835707,156000,0.046428
1988-02-17,0.847315,0.853118,0.835707,0.835707,116400,0.046428
1988-02-18,0.824099,0.835707,0.818296,0.829904,253800,0.046428
1988-02-19,0.829905,0.858921,0.829905,0.853118,154200,0.046428
1988-02-22,0.841509,0.864725,0.835707,0.85892,158400,0.046428
1988-02-23,0.853118,0.858921,0.84151,0.853118,52200,0.046428
1988-02-24,0.847315,0.858921,0.847315,0.853118,74400,0.046428
1988-02-25,0.84151,0.864726,0.84151,0.853118,93600,0.046428
1988-02-26,0.847315,0.858921,0.84151,0.853118,117000,0.046428
1988-02-29,0.853117,0.870528,0.853117,0.870528,56400,0.046428
1988-03-01,0.85892,0.870528,0.853117,0.85892,25200,0.046428
1988-03-02,0.882136,0.882136,0.864725,0.870528,106200,0.046428
1988-03-03,0.864725,0.876331,0.864725,0.870528,48600,0.046428
1988-03-04,0.870529,0.870529,0.84151,0.84151,51600,0.046428
1988-03-07,0.84151,0.864726,0.84151,0.864726,177000,0.046428
1988-03-08,0.864726,0.876331,0.85892,0.876331,31200,0.046428
1988-03-09,0.864726,0.864726,0.847315,0.847315,27000,0.046428
1988-03-10,0.847315,0.853118,0.84151,0.847315,22800,0.046428
1988-03-11,0.847315,0.858921,0.847315,0.853118,72000,0.046428
1988-03-14,0.84151,0.870529,0.84151,0.853118,61800,0.046428
1988-03-15,0.847315,0.85892,0.847315,0.847315,218400,0.046428
1988-03-16,0.847315,0.864726,0.847315,0.864726,124200,0.046428
1988-03-17,0.858921,0.870529,0.853118,0.864726,49800,0.046428
