date,open,high,low,close,volume,adjrate
1972-06-01,1.029191,1.041181,1.029191,1.035186,456000,0.015987
1972-06-02,1.037185,1.047177,1.037185,1.047177,640000,0.015987
1972-06-05,1.045179,1.045179,1.029191,1.033188,464000,0.015987
1972-06-06,1.033187,1.033187,1.023195,1.023195,796800,0.015987
1972-06-07,1.023195,1.037184,1.021197,1.035186,584000,0.015987
1972-06-08,1.035186,1.039182,1.021197,1.023195,726400,0.015987
1972-06-09,1.025194,1.037184,1.025194,1.035186,296000,0.015987
1972-06-12,1.035186,1.04318,1.027193,1.033188,473600,0.015987
1972-06-13,1.035186,1.047177,1.035186,1.04318,478400,0.015987
1972-06-14,1.047176,1.069159,1.047176,1.065162,795200,0.015987
1972-06-15,1.071158,1.083149,1.071158,1.071158,836800,0.015987
1972-06-16,1.071158,1.073156,1.05517,1.059167,267200,0.015987
1972-06-19,1.059167,1.065162,1.039182,1.051173,1001600,0.015987
1972-06-20,1.05517,1.065162,1.05517,1.065162,345600,0.015987
1972-06-21,1.065162,1.069159,1.053172,1.05517,556800,0.015987
1972-06-22,1.05517,1.065162,1.051173,1.063164,321600,0.015987
1972-06-23,1.063164,1.069159,1.063164,1.067161,212800,0.015987
1972-06-26,1.06716,1.079151,1.057168,1.079151,278400,0.015987
1972-06-27,1.079151,1.085147,1.067161,1.073156,268800,0.015987
1972-06-28,1.069159,1.069159,1.051173,1.05517,433600,0.015987
1972-06-29,1.05517,1.061166,1.049175,1.049175,313600,0.015987
1972-06-30,1.051173,1.067161,1.051173,1.063164,404800,0.015987
1972-07-03,1.063164,1.077153,1.061166,1.075155,240000,0.015987
1972-07-05,1.083148,1.095139,1.083148,1.087145,734400,0.015987
1972-07-06,1.101134,1.113124,1.101134,1.107129,809600,0.015987
1972-07-07,1.109128,1.133109,1.109128,1.133109,595200,0.015987
1972-07-10,1.133109,1.135107,1.11912,1.121118,316800,0.015987
1972-07-11,1.121118,1.133109,1.121118,1.125115,232000,0.015987
1972-07-12,1.127113,1.145099,1.127113,1.135107,1132800,0.015987
1972-07-13,1.135107,1.147098,1.123116,1.135107,790400,0.015987
1972-07-14,1.137106,1.159089,1.137106,1.155092,950400,0.015987
1972-07-17,1.155091,1.155091,1.135107,1.135107,187200,0.015987
1972-07-18,1.129112,1.129112,1.123117,1.127114,385600,0.015987
1972-07-19,1.127113,1.155091,1.127113,1.139104,636800,0.015987
1972-07-20,1.139104,1.151095,1.139104,1.151095,326400,0.015987
1972-07-21,1.155092,1.169081,1.155092,1.169081,340800,0.015987
1972-07-24,1.169081,1.203054,1.167082,1.189065,811200,0.015987
1972-07-25,1.189065,1.201056,1.179073,1.179073,312000,0.015987
1972-07-26,1.199057,1.213046,1.199057,1.209049,816000,0.015987
1972-07-27,1.209049,1.217043,1.199057,1.209049,422400,0.015987
1972-07-28,1.209049,1.211048,1.207051,1.207051,208000,0.015987
1972-07-31,1.203054,1.203054,1.191064,1.193062,174400,0.015987
1972-08-01,1.193062,1.207051,1.191064,1.207051,368000,0.015987
1972-08-02,1.207051,1.211048,1.199057,1.203054,384000,0.015987
1972-08-03,1.203054,1.207051,1.191064,1.207051,355200,0.015987
1972-08-04,1.207051,1.207051,1.199057,1.199057,193600,0.015987
1972-08-07,1.201975,1.209988,1.201975,1.201975,204800,0.016026
1972-08-08,1.201975,1.209989,1.197969,1.205982,243200,0.016026
1972-08-09,1.205982,1.205982,1.199972,1.201975,126400,0.016026
1972-08-10,1.203978,1.209988,1.203978,1.207985,184000,0.016026
1972-08-11,1.207985,1.209988,1.203978,1.209988,180800,0.016026
1972-08-14,1.213995,1.238035,1.213995,1.232025,308800,0.016026
1972-08-15,1.232025,1.232025,1.199972,1.213995,420800,0.016026
1972-08-16,1.209988,1.209988,1.189955,1.195965,268800,0.016026
1972-08-17,1.195966,1.199972,1.185949,1.191959,348800,0.016026
1972-08-18,1.195966,1.218002,1.195966,1.211992,185600,0.016026
1972-08-21,1.222009,1.248051,1.222009,1.238035,316800,0.016026
1972-08-22,1.238034,1.250054,1.234028,1.244044,580800,0.016026
1972-08-23,1.242041,1.242041,1.232025,1.234028,353600,0.016026
1972-08-24,1.234028,1.242041,1.220005,1.220005,179200,0.016026
1972-08-25,1.213995,1.213995,1.195965,1.195965,371200,0.016026
1972-08-28,1.195966,1.209989,1.191959,1.191959,177600,0.016026
1972-08-29,1.191959,1.201975,1.187952,1.201975,238400,0.016026
1972-08-30,1.201976,1.201976,1.195966,1.197969,177600,0.016026
1972-08-31,1.197969,1.197969,1.193962,1.197969,137600,0.016026
1972-09-01,1.199972,1.201975,1.199972,1.201975,163200,0.016026
1972-09-05,1.201975,1.201975,1.193962,1.193962,124800,0.016026
1972-09-06,1.193962,1.195965,1.187952,1.187952,228800,0.016026
1972-09-07,1.187952,1.193962,1.187952,1.189955,356800,0.016026
1972-09-08,1.189956,1.193962,1.173929,1.177936,160000,0.016026
1972-09-11,1.177936,1.183946,1.159906,1.159906,104000,0.016026
1972-09-12,1.159906,1.159906,1.12585,1.141876,291200,0.016026
1972-09-13,1.141876,1.151893,1.133863,1.133863,499200,0.016026
1972-09-14,1.13787,1.165916,1.13787,1.161909,331200,0.016026
1972-09-15,1.16191,1.165916,1.14989,1.1559,102400,0.016026
1972-09-18,1.1559,1.159906,1.151893,1.151893,273600,0.016026
1972-09-19,1.157903,1.177935,1.157903,1.167919,288000,0.016026
1972-09-20,1.167919,1.177935,1.165916,1.167919,260800,0.016026
1972-09-21,1.16792,1.175933,1.1559,1.1559,132800,0.016026
1972-09-22,1.155899,1.161909,1.153896,1.153896,51200,0.016026
1972-09-25,1.153897,1.157903,1.147887,1.14989,198400,0.016026
1972-09-26,1.14989,1.161909,1.145883,1.145883,369600,0.016026
1972-09-27,1.147886,1.153896,1.147886,1.147886,129600,0.016026
1972-09-28,1.147886,1.159906,1.145883,1.151893,299200,0.016026
1972-09-29,1.157903,1.167919,1.157903,1.157903,516800,0.016026
1972-10-02,1.157902,1.161909,1.141876,1.141876,120000,0.016026
1972-10-03,1.141876,1.145883,1.13787,1.145883,172800,0.016026
1972-10-04,1.145883,1.14989,1.13787,1.13787,428800,0.016026
1972-10-05,1.13787,1.139873,1.117837,1.117837,356800,0.016026
1972-10-06,1.117837,1.13787,1.109824,1.11984,560000,0.016026
1972-10-09,1.12585,1.13186,1.12585,1.13186,35200,0.016026
1972-10-10,1.13186,1.135866,1.12585,1.133863,140800,0.016026
1972-10-11,1.133863,1.133863,1.123847,1.12585,172800,0.016026
1972-10-12,1.12585,1.133863,1.11383,1.127853,408000,0.016026
1972-10-13,1.127854,1.127854,1.113831,1.121844,337600,0.016026
1972-10-16,1.121843,1.121843,1.11383,1.11383,185600,0.016026
1972-10-17,1.11383,1.12585,1.111827,1.12585,174400,0.016026
1972-10-18,1.13787,1.153896,1.13787,1.153896,492800,0.016026
1972-10-19,1.153896,1.177936,1.153896,1.177936,193600,0.016026
1972-10-20,1.177936,1.191959,1.169923,1.191959,195200,0.016026
1972-10-23,1.191959,1.209989,1.191959,1.191959,252800,0.016026
1972-10-24,1.193962,1.240037,1.193962,1.230021,414400,0.016026
1972-10-25,1.230021,1.240038,1.224012,1.234028,540800,0.016026
1972-10-26,1.240038,1.270087,1.240038,1.262074,608000,0.016026
1972-10-27,1.256064,1.256064,1.238035,1.240038,204800,0.016026
1972-10-30,1.240037,1.244044,1.236031,1.244044,123200,0.016026
1972-10-31,1.246048,1.274094,1.246048,1.266081,449600,0.016026
1972-11-01,1.26608,1.282107,1.262074,1.270087,897600,0.016026
1972-11-02,1.270087,1.274094,1.258067,1.270087,232000,0.016026
1972-11-03,1.268084,1.268084,1.262074,1.262074,220800,0.016026
1972-11-06,1.262074,1.264077,1.258067,1.264077,369600,0.016026
1972-11-08,1.264077,1.270087,1.246047,1.250054,358400,0.016026
1972-11-09,1.250054,1.252057,1.226015,1.242041,134400,0.016026
1972-11-10,1.238035,1.238035,1.226015,1.226015,222400,0.016026
1972-11-13,1.224923,1.224923,1.212875,1.216891,236800,0.016065
1972-11-14,1.224924,1.236972,1.224924,1.236972,251200,0.016065
1972-11-15,1.240988,1.251028,1.240988,1.251028,265600,0.016065
1972-11-16,1.251028,1.261068,1.245004,1.251028,219200,0.016065
1972-11-17,1.251028,1.251028,1.240988,1.240988,92800,0.016065
1972-11-20,1.22894,1.22894,1.216892,1.226932,201600,0.016065
1972-11-21,1.226932,1.226932,1.208859,1.224924,769600,0.016065
1972-11-22,1.224923,1.234963,1.220907,1.222915,164800,0.016065
