date,open,high,low,close,volume,adjrate
1987-11-05,1.586268,1.586268,1.520174,1.586268,33000,0.132189
1987-11-06,1.553221,1.619315,1.536697,1.536697,27900,0.132189
1987-11-09,1.520174,1.553221,1.470603,1.470603,104700,0.132189
1987-11-10,1.437555,1.454079,1.404508,1.437555,146700,0.132189
1987-11-11,1.437555,1.520173,1.437555,1.487126,52200,0.132189
1987-11-12,1.487127,1.520174,1.470603,1.470603,24600,0.132189
1987-11-13,1.454079,1.487126,1.404508,1.437555,58800,0.132189
1987-11-16,1.454079,1.454079,1.421031,1.437555,72300,0.132189
1987-11-17,1.437555,1.487126,1.421031,1.437555,191100,0.132189
1987-11-18,1.404508,1.421032,1.387985,1.421032,51900,0.132189
1987-11-19,1.454079,1.454079,1.371461,1.421032,88200,0.132189
1987-11-20,1.387984,1.387984,1.37146,1.387984,34200,0.132189
1987-11-23,1.354937,1.421032,1.354937,1.404508,71100,0.132189
1987-11-24,1.387984,1.454079,1.387984,1.404508,144600,0.132189
1987-11-25,1.387985,1.437556,1.387985,1.421032,36000,0.132189
1987-11-27,1.404508,1.487127,1.387985,1.470603,42300,0.132189
1987-11-30,1.437555,1.437555,1.387984,1.387984,100200,0.132189
1987-12-01,1.404508,1.421032,1.387984,1.404508,69900,0.132189
1987-12-02,1.404508,1.404508,1.32189,1.32189,171000,0.132189
1987-12-03,1.338414,1.338414,1.288843,1.288843,97200,0.132189
1987-12-04,1.272319,1.305366,1.272319,1.272319,62700,0.132189
1987-12-07,1.255796,1.32189,1.255796,1.32189,28800,0.132189
1987-12-08,1.305366,1.32189,1.288843,1.32189,23100,0.132189
1987-12-09,1.288843,1.32189,1.288843,1.32189,31200,0.132189
1987-12-10,1.305366,1.305366,1.288842,1.305366,32400,0.132189
1987-12-11,1.288843,1.32189,1.272319,1.32189,47100,0.132189
1987-12-14,1.288843,1.338414,1.288843,1.338414,75900,0.132189
1987-12-15,1.32911,1.412179,1.312496,1.395565,65100,0.132911
1987-12-16,1.412179,1.412179,1.279268,1.32911,89100,0.132911
1987-12-17,1.312496,1.32911,1.279268,1.32911,14400,0.132911
1987-12-18,1.32911,1.495249,1.295882,1.495249,568800,0.132911
1987-12-21,1.462021,1.495249,1.412179,1.445407,91200,0.132911
1987-12-22,1.428793,1.462021,1.412179,1.462021,41100,0.132911
1987-12-23,1.445407,1.462021,1.395565,1.412179,88800,0.132911
1987-12-24,1.395566,1.495249,1.378952,1.495249,69900,0.132911
1987-12-28,1.462021,1.462021,1.412179,1.462021,36000,0.132911
1987-12-29,1.462021,1.495249,1.445407,1.462021,54000,0.132911
1987-12-30,1.428793,1.462021,1.428793,1.462021,49200,0.132911
1987-12-31,1.428793,1.462021,1.395565,1.445407,170700,0.132911
1988-01-04,1.428793,1.478635,1.428793,1.478635,39000,0.132911
1988-01-05,1.478635,1.511863,1.462021,1.495249,68400,0.132911
1988-01-06,1.478634,1.528476,1.462021,1.528476,63000,0.132911
1988-01-07,1.54509,1.711229,1.54509,1.711229,48600,0.132911
1988-01-08,1.678001,1.711229,1.54509,1.54509,53100,0.132911
1988-01-11,1.528477,1.528477,1.478635,1.495249,27000,0.132911
1988-01-12,1.462021,1.495249,1.462021,1.495249,13800,0.132911
1988-01-13,1.478635,1.578318,1.478635,1.578318,21000,0.132911
1988-01-14,1.561704,1.578318,1.528476,1.578318,12000,0.132911
1988-01-15,1.578318,1.594932,1.54509,1.561704,17100,0.132911
1988-01-18,1.561704,1.578318,1.54509,1.54509,9000,0.132911
1988-01-19,1.528476,1.594932,1.528476,1.594932,11100,0.132911
1988-01-20,1.628159,1.628159,1.528476,1.528476,30300,0.132911
1988-01-21,1.528477,1.528477,1.495249,1.495249,15000,0.132911
1988-01-22,1.495249,1.495249,1.495249,1.495249,22800,0.132911
1988-01-25,1.478635,1.495249,1.478635,1.495249,18300,0.132911
1988-01-26,1.478635,1.495249,1.478635,1.478635,4800,0.132911
1988-01-27,1.495249,1.495249,1.478635,1.478635,55800,0.132911
1988-01-28,1.511862,1.54509,1.495248,1.54509,102600,0.132911
1988-01-29,1.528476,1.54509,1.511862,1.54509,29100,0.132911
1988-02-01,1.578318,1.594932,1.561704,1.561704,42300,0.132911
1988-02-02,1.54509,1.561704,1.528476,1.561704,6300,0.132911
1988-02-03,1.528476,1.561704,1.511862,1.528476,15900,0.132911
1988-02-04,1.561704,1.561704,1.528476,1.528476,13200,0.132911
1988-02-05,1.528477,1.545091,1.511863,1.511863,52200,0.132911
1988-02-08,1.511863,1.511863,1.478635,1.495249,24600,0.132911
1988-02-09,1.495249,1.511863,1.478635,1.495249,9900,0.132911
1988-02-10,1.528477,1.528477,1.495249,1.495249,54600,0.132911
1988-02-11,1.511862,1.511862,1.445407,1.445407,166200,0.132911
1988-02-12,1.445407,1.445407,1.395565,1.412179,154200,0.132911
1988-02-16,1.445407,1.462021,1.395566,1.462021,122400,0.132911
1988-02-17,1.495249,1.511863,1.462021,1.495249,15900,0.132911
1988-02-18,1.495248,1.495248,1.428793,1.428793,18600,0.132911
1988-02-19,1.428793,1.445407,1.428793,1.445407,26400,0.132911
1988-02-22,1.395566,1.462021,1.395566,1.462021,52800,0.132911
1988-02-23,1.462021,1.462021,1.428793,1.428793,139200,0.132911
1988-02-24,1.445407,1.462021,1.428793,1.462021,11100,0.132911
1988-02-25,1.462021,1.462021,1.445407,1.445407,67200,0.132911
1988-02-26,1.445407,1.445407,1.412179,1.412179,7800,0.132911
1988-02-29,1.428793,1.46202,1.395565,1.395565,76800,0.132911
1988-03-01,1.445407,1.462021,1.428793,1.462021,187200,0.132911
1988-03-02,1.445407,1.594931,1.445407,1.528476,56700,0.132911
1988-03-03,1.561704,1.561704,1.54509,1.561704,264300,0.132911
1988-03-04,1.561704,1.594932,1.561704,1.578318,27000,0.132911
1988-03-07,1.561704,1.578318,1.561704,1.578318,40200,0.132911
1988-03-08,1.578318,1.62816,1.561704,1.594932,136200,0.132911
1988-03-09,1.62816,1.644774,1.594932,1.594932,40800,0.132911
1988-03-10,1.578318,1.62816,1.578318,1.594932,60600,0.132911
1988-03-11,1.611546,1.611546,1.561704,1.578318,12300,0.132911
1988-03-14,1.611546,1.611546,1.578318,1.578318,10200,0.132911
1988-03-15,1.578318,1.611546,1.578318,1.611546,70800,0.132911
1988-03-16,1.6022,1.6022,1.568821,1.6022,26400,0.133517
1988-03-17,1.618889,1.618889,1.602199,1.618889,87900,0.133517
1988-03-18,1.635579,1.635579,1.602199,1.618889,61200,0.133517
1988-03-21,1.618889,1.618889,1.58551,1.58551,21900,0.133517
1988-03-22,1.568821,1.568821,1.552131,1.552131,12000,0.133517
1988-03-23,1.535441,1.552131,1.518751,1.535441,21000,0.133517
1988-03-24,1.502062,1.502062,1.451993,1.468683,27000,0.133517
1988-03-25,1.502062,1.502062,1.468683,1.468683,17100,0.133517
1988-03-28,1.451994,1.451994,1.435304,1.435304,14400,0.133517
1988-03-29,1.451994,1.451994,1.435304,1.435304,8700,0.133517
1988-03-30,1.435304,1.451994,1.435304,1.435304,3000,0.133517
1988-03-31,1.418614,1.485373,1.418614,1.468683,69000,0.133517
1988-04-04,1.451993,1.468683,1.451993,1.451993,7800,0.133517
1988-04-05,1.435303,1.451993,1.435303,1.451993,56700,0.133517
1988-04-06,1.468682,1.502062,1.468682,1.485372,40200,0.133517
1988-04-07,1.468683,1.535441,1.468683,1.502062,9000,0.133517
1988-04-08,1.468683,1.535441,1.468683,1.535441,23100,0.133517
1988-04-11,1.518752,1.518752,1.518752,1.518752,8700,0.133517
1988-04-12,1.502062,1.518752,1.502062,1.502062,36300,0.133517
1988-04-13,1.502062,1.518752,1.485372,1.502062,94800,0.133517
1988-04-14,1.485372,1.485372,1.418614,1.418614,43200,0.133517
1988-04-15,1.401924,1.418614,1.401924,1.418614,224700,0.133517
1988-04-18,1.401924,1.451993,1.401924,1.418614,410400,0.133517
1988-04-19,1.418614,1.451994,1.401925,1.435304,46200,0.133517
1988-04-20,1.418614,1.435304,1.418614,1.418614,18600,0.133517
1988-04-21,1.418614,1.451993,1.418614,1.418614,6600,0.133517
