date,open,high,low,close,volume,adjrate
1977-01-03,0.389669,0.394935,0.389669,0.394935,165200,0.042126
1977-01-04,0.394935,0.400201,0.373872,0.394935,179800,0.042126
1977-01-05,0.394935,0.405467,0.394935,0.405467,189600,0.042126
1977-01-06,0.405467,0.42653,0.405467,0.42653,384200,0.042126
1977-01-07,0.42653,0.431796,0.421264,0.431796,345200,0.042126
1977-01-10,0.431796,0.437062,0.42653,0.431796,311000,0.042126
1977-01-11,0.431796,0.431796,0.421264,0.421264,155400,0.042126
1977-01-12,0.415998,0.415998,0.405466,0.410732,198400,0.042126
1977-01-13,0.410733,0.410733,0.400201,0.405467,155400,0.042126
1977-01-14,0.405467,0.410733,0.405467,0.405467,116200,0.042126
1977-01-17,0.410732,0.42653,0.410732,0.415998,222000,0.042126
1977-01-18,0.421264,0.42653,0.421264,0.42653,112400,0.042126
1977-01-19,0.42653,0.431796,0.421264,0.421264,149600,0.042126
1977-01-20,0.421264,0.42653,0.415998,0.415998,179800,0.042126
1977-01-21,0.415998,0.421264,0.410732,0.410732,185800,0.042126
1977-01-24,0.42653,0.447593,0.42653,0.447593,850800,0.042126
1977-01-25,0.447593,0.46339,0.442327,0.447593,502600,0.042126
1977-01-26,0.447593,0.447593,0.437061,0.442327,263000,0.042126
1977-01-27,0.442327,0.447593,0.431795,0.442327,258000,0.042126
1977-01-28,0.442327,0.447593,0.431795,0.442327,122200,0.042126
1977-01-31,0.437062,0.437062,0.42653,0.431796,114400,0.042126
1977-02-01,0.431796,0.431796,0.42653,0.431796,81000,0.042126
1977-02-02,0.42653,0.42653,0.415998,0.415998,112400,0.042126
1977-02-03,0.415998,0.421264,0.405467,0.421264,153400,0.042126
1977-02-04,0.421264,0.42653,0.421264,0.421264,121200,0.042126
1977-02-07,0.42653,0.437062,0.42653,0.42653,82000,0.042126
1977-02-08,0.42653,0.42653,0.421264,0.421264,115400,0.042126
1977-02-09,0.421264,0.431796,0.421264,0.421264,283600,0.042126
1977-02-10,0.421264,0.421264,0.410732,0.415998,74200,0.042126
1977-02-11,0.415998,0.415998,0.400201,0.400201,152400,0.042126
1977-02-14,0.394935,0.394935,0.389669,0.389669,143600,0.042126
1977-02-15,0.394935,0.405467,0.394935,0.405467,175000,0.042126
1977-02-16,0.405467,0.410733,0.400201,0.405467,225800,0.042126
1977-02-17,0.405467,0.42653,0.405467,0.421264,1001400,0.042126
1977-02-18,0.421264,0.437062,0.421264,0.42653,472200,0.042126
1977-02-22,0.431796,0.437062,0.431796,0.431796,275600,0.042126
1977-02-23,0.431796,0.437062,0.42653,0.42653,81000,0.042126
1977-02-24,0.42653,0.42653,0.421264,0.421264,228800,0.042126
1977-02-25,0.421264,0.421264,0.415998,0.415998,355000,0.042126
1977-02-28,0.415998,0.421264,0.415998,0.421264,86000,0.042126
1977-03-01,0.421264,0.437062,0.421264,0.431796,293400,0.042126
1977-03-02,0.431796,0.431796,0.421264,0.421264,243400,0.042126
1977-03-03,0.421264,0.421264,0.415998,0.415998,52800,0.042126
1977-03-04,0.415998,0.421264,0.415998,0.421264,45800,0.042126
1977-03-07,0.415999,0.415999,0.405467,0.405467,65400,0.042126
1977-03-08,0.405467,0.410733,0.405467,0.405467,59600,0.042126
1977-03-09,0.405467,0.410733,0.405467,0.405467,68400,0.042126
1977-03-10,0.405466,0.421264,0.405466,0.415998,203400,0.042126
1977-03-11,0.415998,0.421264,0.415998,0.415998,158400,0.042126
1977-03-14,0.421264,0.437062,0.421264,0.431796,328600,0.042126
1977-03-15,0.431796,0.431796,0.42653,0.42653,112400,0.042126
