date,open,high,low,close,volume,adjrate
1984-05-04,2.142332,2.169111,2.142332,2.142332,2578800,0.214233
1984-05-07,2.142332,2.169111,2.115553,2.115553,102600,0.214233
1984-05-08,2.115553,2.142332,2.115553,2.115553,137100,0.214233
1984-05-09,2.115553,2.142332,2.115553,2.115553,741600,0.214233
1984-05-10,2.115552,2.115552,2.061994,2.061994,303600,0.214233
1984-05-11,2.061994,2.088773,2.035215,2.035215,228000,0.214233
1984-05-14,2.035215,2.115552,2.035215,2.035215,49800,0.214233
1984-05-15,2.088774,2.142332,2.088774,2.088774,43500,0.214233
1984-05-16,2.088774,2.142332,2.088774,2.088774,35100,0.214233
1984-05-17,2.088774,2.115553,2.088774,2.088774,65100,0.214233
1984-05-18,1.87454,1.87454,1.820982,1.820982,384600,0.214233
1984-05-21,1.820982,1.87454,1.820982,1.820982,225300,0.214233
1984-05-22,1.820982,1.87454,1.820982,1.820982,12000,0.214233
1984-05-23,1.847761,1.87454,1.847761,1.847761,14700,0.214233
1984-05-24,1.847761,1.87454,1.847761,1.847761,23400,0.214233
1984-05-25,1.847761,1.87454,1.847761,1.847761,158400,0.214233
1984-05-29,1.847761,1.901319,1.847761,1.847761,19200,0.214233
1984-05-30,1.847761,1.87454,1.847761,1.847761,33300,0.214233
1984-05-31,1.847761,1.87454,1.847761,1.847761,300,0.214233
1984-06-01,1.901319,1.954877,1.901319,1.901319,102900,0.214233
1984-06-04,1.928099,1.981657,1.928099,1.928099,7200,0.214233
1984-06-05,1.954878,1.981657,1.954878,1.954878,103500,0.214233
1984-06-06,1.954878,1.981657,1.954878,1.954878,148800,0.214233
1984-06-07,2.008436,2.061994,2.008436,2.008436,41400,0.214233
1984-06-08,2.008436,2.061994,2.008436,2.008436,117300,0.214233
1984-06-11,2.008436,2.088773,2.008436,2.008436,120000,0.214233
1984-06-12,2.035215,2.088773,2.035215,2.035215,126300,0.214233
1984-06-13,2.035215,2.115552,2.035215,2.035215,72900,0.214233
1984-06-14,2.035215,2.142332,2.035215,2.035215,10200,0.214233
1984-06-15,2.035215,2.142332,2.035215,2.035215,1200,0.214233
1984-06-18,2.035215,2.142332,2.035215,2.035215,4500,0.214233
1984-06-19,2.061994,2.142331,2.061994,2.061994,5700,0.214233
1984-06-20,2.061994,2.115552,2.061994,2.061994,20700,0.214233
1984-06-21,2.061994,2.115552,2.061994,2.061994,10800,0.214233
1984-06-22,2.061994,2.115552,2.061994,2.061994,14700,0.214233
1984-06-25,2.061994,2.088773,2.035215,2.035215,10800,0.214233
1984-06-26,2.035215,2.088774,1.981657,1.981657,15300,0.214233
1984-06-27,1.981657,2.061994,1.981657,1.981657,2700,0.214233
1984-06-28,1.981657,1.981657,1.928099,1.928099,60300,0.214233
1984-06-29,1.928099,1.981657,1.928099,1.928099,3600,0.214233
1984-07-02,1.928099,1.954878,1.928099,1.928099,3600,0.214233
1984-07-03,1.87454,1.87454,1.820982,1.820982,9000,0.214233
1984-07-05,1.820982,1.87454,1.820982,1.820982,3900,0.214233
1984-07-06,1.820982,1.87454,1.820982,1.820982,4500,0.214233
1984-07-09,1.820982,1.847761,1.767424,1.767424,6600,0.214233
1984-07-10,1.767424,1.847761,1.767424,1.767424,900,0.214233
1984-07-11,1.794203,1.87454,1.794203,1.794203,48000,0.214233
1984-07-12,1.794203,1.847761,1.794203,1.794203,382800,0.214233
1984-07-13,1.794203,1.87454,1.794203,1.794203,45000,0.214233
1984-07-16,1.794203,1.87454,1.794203,1.794203,44400,0.214233
1984-07-17,1.794203,1.87454,1.794203,1.794203,1200,0.214233
1984-07-18,1.820982,1.87454,1.820982,1.820982,2700,0.214233
1984-07-19,1.847761,1.928098,1.847761,1.847761,74700,0.214233
1984-07-20,1.847761,1.928098,1.847761,1.847761,13500,0.214233
1984-07-23,1.847761,1.901319,1.847761,1.847761,11700,0.214233
1984-07-24,1.847761,1.901319,1.847761,1.847761,4800,0.214233
1984-07-25,1.847761,1.901319,1.847761,1.847761,9000,0.214233
1984-07-26,1.847761,1.901319,1.847761,1.847761,1200,0.214233
1984-07-27,1.847761,1.901319,1.847761,1.847761,12900,0.214233
1984-07-30,1.847761,1.901319,1.820982,1.820982,26100,0.214233
1984-07-31,1.820982,1.901319,1.820982,1.820982,2100,0.214233
1984-08-01,1.820982,1.901319,1.820982,1.820982,13500,0.214233
1984-08-02,1.847761,1.901319,1.847761,1.847761,112800,0.214233
1984-08-03,1.954878,2.008436,1.954878,1.954878,177600,0.214233
1984-08-06,2.061994,2.115552,2.061994,2.061994,56100,0.214233
