date,open,high,low,close,volume,adjrate
1998-03-31,537.1875,555.0,372.1875,537.1875,0,7.5
1998-04-01,596.25,628.125,540.0,556.875,1831400,7.5
1998-04-02,562.5,565.3125,517.96875,524.0625,863600,7.5
1998-04-03,525.0,525.0,465.9375,468.75,961600,7.5
1998-04-06,491.25,493.125,414.375,461.25,987100,7.5
1998-04-07,473.4375,508.125,449.0625,486.5625,586500,7.5
1998-04-08,488.4375,489.375,482.8125,483.75,286100,7.5
1998-04-09,487.5,489.375,473.4375,476.25,226900,7.5
1998-04-13,487.5,489.375,453.75,455.625,290200,7.5
1998-04-14,468.75,480.0,463.125,476.25,400200,7.5
1998-04-15,483.75,489.375,470.625,487.5,746600,7.5
1998-04-16,487.5,488.4375,480.9375,487.96875,448200,7.5
1998-04-17,489.375,502.5,486.5625,502.5,621000,7.5
1998-04-20,510.0,522.1875,498.75,515.625,421600,7.5
1998-04-21,514.6875,516.5625,505.3125,510.0,862900,7.5
1998-04-22,508.125,509.0625,498.75,499.6875,145800,7.5
1998-04-23,503.4375,503.4375,472.5,478.125,234900,7.5
1998-04-24,480.0,484.6875,468.75,474.375,204800,7.5
1998-04-27,470.625,470.625,451.875,457.96875,274900,7.5
1998-04-28,468.75,468.75,451.875,451.875,148300,7.5
1998-04-29,466.875,472.5,451.875,457.96875,241300,7.5
1998-04-30,466.875,487.03125,461.25,465.0,866100,7.5
1998-05-01,474.375,474.375,454.6875,463.125,234600,7.5
1998-05-04,466.875,474.375,463.125,473.4375,77600,7.5
1998-05-05,472.5,476.25,463.125,468.75,86000,7.5
1998-05-06,476.25,476.25,461.25,461.25,85900,7.5
1998-05-07,467.8125,476.25,442.5,448.59375,546100,7.5
1998-05-08,449.0625,457.5,448.125,452.8125,226000,7.5
1998-05-11,451.875,457.5,446.25,448.59375,124200,7.5
1998-05-12,450.0,451.875,431.25,435.9375,294500,7.5
1998-05-13,436.875,438.75,416.25,421.875,468700,7.5
1998-05-14,420.46875,420.46875,384.375,394.6875,606800,7.5
1998-05-15,382.5,390.0,367.5,384.375,811800,7.5
1998-05-18,386.25,388.125,356.25,360.0,946200,7.5
1998-05-19,360.9375,381.5625,358.125,375.0,858400,7.5
1998-05-20,376.875,376.875,369.375,371.71875,263700,7.5
1998-05-21,373.125,385.3125,372.1875,376.40625,281800,7.5
1998-05-22,376.875,378.75,374.0625,375.9375,191100,7.5
1998-05-26,382.03125,382.5,366.5625,374.0625,311300,7.5
1998-05-27,373.125,375.0,363.28125,370.3125,257900,7.5
1998-05-28,371.25,378.75,363.75,375.9375,190100,7.5
1998-05-29,377.8125,377.8125,371.25,375.46875,212000,7.5
1998-06-01,374.0625,374.0625,363.75,365.625,230200,7.5
1998-06-02,369.375,376.875,365.625,374.0625,97700,7.5
