date,open,high,low,close,volume,adjrate
1995-11-15,8.769183,9.126069,8.565249,8.820167,11716200,0.407869
1995-11-16,8.820167,9.075085,8.820167,9.075085,2424600,0.407869
1995-11-17,9.075085,9.075085,8.616232,8.616232,1637600,0.407869
1995-11-20,8.565249,8.565249,8.15738,8.15738,1894800,0.407869
1995-11-21,8.157379,8.361314,8.055412,8.055412,613400,0.407869
1995-11-22,8.055413,8.106396,7.749511,7.749511,1217800,0.407869
1995-11-24,7.749511,7.851478,7.749511,7.749511,47800,0.407869
1995-11-27,7.851478,7.953446,7.851478,7.902462,281800,0.407869
1995-11-28,7.953445,8.055413,7.800495,8.004429,507000,0.407869
1995-11-29,7.953445,8.004429,7.851478,7.851478,498200,0.407869
1995-11-30,7.902462,7.953446,7.851478,7.902462,170000,0.407869
1995-12-01,7.902462,8.004429,7.851478,7.902462,211800,0.407869
1995-12-04,7.851478,8.004429,7.851478,7.902462,371600,0.407869
1995-12-05,7.953446,7.953446,7.494593,7.494593,568400,0.407869
1995-12-06,7.647544,7.851478,7.647544,7.851478,1030600,0.407869
1995-12-07,7.851478,8.055412,7.698527,7.698527,312000,0.407869
1995-12-08,7.74951,7.851478,7.647543,7.800494,340200,0.407869
1995-12-11,8.15738,8.208363,7.953445,8.004429,527200,0.407869
1995-12-12,7.953446,8.055413,7.749511,7.749511,186800,0.407869
1995-12-13,7.902461,7.902461,7.74951,7.800494,187600,0.407869
1995-12-14,7.851478,7.851478,7.443609,7.545576,155000,0.407869
1995-12-15,7.545576,7.545576,6.831805,6.882789,377800,0.407869
1995-12-18,6.831805,6.831805,6.321969,6.47492,352600,0.407869
1995-12-19,6.576887,6.780822,6.576887,6.729838,694800,0.407869
1995-12-20,6.831806,6.984757,6.831806,6.933773,483800,0.407869
1995-12-21,6.831805,7.239674,6.831805,7.137707,392200,0.407869
1995-12-22,7.239674,7.239674,7.137707,7.137707,345400,0.407869
1995-12-26,7.188691,7.239674,7.137707,7.137707,104800,0.407869
1995-12-27,7.137707,7.545576,7.137707,7.443609,68200,0.407869
