date,open,high,low,close,volume,adjrate
2006-05-25,3.857882,4.408325,3.848309,4.403538,395343000,0.095729
2006-05-26,4.432257,4.474377,4.22261,4.301108,103044000,0.095729
2006-05-30,4.304937,4.305895,4.101991,4.21208,49898000,0.095729
2006-05-31,4.245585,4.342271,4.245585,4.302065,30002000,0.095729
2006-06-01,4.301108,4.604569,4.298236,4.548089,62344000,0.095729
2006-06-02,4.642861,4.662007,4.479164,4.49831,37253000,0.095729
2006-06-05,4.504054,4.714658,4.499267,4.705085,37188000,0.095729
2006-06-06,4.78454,4.846764,4.575851,4.623715,49045000,0.095729
2006-06-07,4.626587,4.633288,4.475335,4.556705,25013000,0.095729
2006-06-08,4.556705,4.568192,4.355674,4.568192,34439000,0.095729
2006-06-09,4.67158,4.67158,4.564363,4.573936,13372000,0.095729
2006-06-12,4.594997,4.618928,4.432257,4.494481,14546000,0.095729
2006-06-13,4.422684,4.532773,4.336528,4.355674,16716000,0.095729
2006-06-14,4.298236,4.350888,4.254201,4.319297,15971000,0.095729
2006-06-15,4.3461,4.415025,4.320253,4.398751,16500000,0.095729
2006-06-16,4.355673,4.403537,4.307809,4.309723,12280000,0.095729
2006-06-19,4.350887,4.350887,4.221653,4.244628,11509000,0.095729
2006-06-20,4.282919,4.307808,4.161343,4.213994,23792000,0.095729
2006-06-21,4.213995,4.39205,4.21208,4.336528,18063000,0.095729
2006-06-22,4.441829,4.494481,4.39205,4.460975,13038000,0.095729
2006-06-23,4.49831,4.588296,4.486822,4.494481,11612000,0.095729
2006-06-26,4.494481,4.547132,4.444702,4.547132,8565000,0.095729
2006-06-27,4.547132,4.597868,4.523199,4.528943,9826000,0.095729
2006-06-28,4.484908,4.537559,4.451403,4.495438,8756000,0.095729
2006-06-29,4.49448,4.603611,4.49448,4.594996,14470000,0.095729
2006-06-30,4.561491,4.594996,4.460975,4.594996,25964000,0.095729
2006-07-03,4.585423,4.594997,4.481079,4.527986,7029000,0.095729
2006-07-05,4.537559,4.57968,4.471506,4.556705,13266000,0.095729
2006-07-06,4.523199,4.532772,4.479164,4.480121,8097000,0.095729
2006-07-07,4.475336,4.484908,4.379606,4.415026,8380000,0.095729
2006-07-10,4.422683,4.458103,4.415025,4.450445,4978000,0.095729
2006-07-11,4.450445,4.450445,4.336527,4.437043,8079000,0.095729
2006-07-12,4.44183,4.44183,4.359503,4.36046,7672000,0.095729
2006-07-13,4.32504,4.32504,4.240798,4.281005,16625000,0.095729
2006-07-14,4.271431,4.277175,4.202506,4.207293,9663000,0.095729
2006-07-17,4.203464,4.228354,4.188148,4.211123,6458000,0.095729
2006-07-18,4.211123,4.221653,4.18049,4.202507,12483000,0.095729
2006-07-19,4.203464,4.350887,4.192934,4.334613,15840000,0.095729
