date,open,high,low,close,volume,adjrate
1983-06-10,3.051501,3.115608,3.03868,3.077144,529900,0.102571
1983-06-13,3.051501,3.077144,3.000215,3.077144,562600,0.102571
1983-06-14,3.102786,3.128429,3.077144,3.115608,527600,0.102571
1983-06-15,3.089965,3.154072,3.077144,3.141251,454300,0.102571
1983-06-16,3.141251,3.320752,3.141251,3.30793,1027800,0.102571
1983-06-17,3.333573,3.538716,3.333573,3.538716,1367000,0.102571
1983-06-20,3.513073,3.654109,3.513073,3.602823,631800,0.102571
1983-06-21,3.590001,3.641287,3.590001,3.615644,584500,0.102571
1983-06-22,3.692572,3.743858,3.641287,3.743858,692400,0.102571
1983-06-23,3.795144,3.795144,3.718215,3.731037,471600,0.102571
1983-06-24,3.718215,3.731037,3.615644,3.641287,327700,0.102571
1983-06-27,3.615644,3.628465,3.538715,3.564358,235300,0.102571
1983-06-28,3.538716,3.564358,3.461787,3.48743,353200,0.102571
1983-06-29,3.461787,3.48743,3.384858,3.410501,277200,0.102571
1983-06-30,3.436144,3.436144,3.320751,3.346394,384600,0.102571
1983-07-01,3.372037,3.410501,3.333572,3.384858,107900,0.102571
1983-07-05,3.359215,3.372037,3.30793,3.372037,85100,0.102571
1983-07-06,3.372037,3.39768,3.269466,3.282287,134300,0.102571
1983-07-07,3.295109,3.372037,3.282287,3.30793,808000,0.102571
1983-07-08,3.320751,3.320751,3.256644,3.295108,112400,0.102571
1983-07-11,3.319297,3.319297,3.267836,3.306432,159300,0.102924
1983-07-12,3.319298,3.383626,3.164912,3.164912,462000,0.102924
1983-07-13,3.139181,3.139181,3.087719,3.139181,609100,0.102924
1983-07-14,3.25497,3.293567,3.11345,3.293567,172500,0.102924
1983-07-15,3.293567,3.319298,3.254971,3.319298,109700,0.102924
1983-07-18,3.319297,3.357894,3.293567,3.332163,198900,0.102924
1983-07-19,3.306432,3.357894,3.306432,3.332163,244000,0.102924
1983-07-20,3.383625,3.435087,3.345029,3.409356,394700,0.102924
1983-07-21,3.409356,3.486549,3.357894,3.357894,296800,0.102924
1983-07-22,3.332163,3.370759,3.306432,3.357894,289100,0.102924
1983-07-25,3.357894,3.370759,3.332163,3.357894,77400,0.102924
1983-07-26,3.357895,3.37076,3.319298,3.37076,378700,0.102924
1983-07-27,3.345029,3.37076,3.332164,3.345029,196600,0.102924
1983-07-28,3.293567,3.319298,3.139181,3.164912,608100,0.102924
1983-07-29,3.087719,3.177777,3.087719,3.177777,466100,0.102924
1983-08-01,3.152046,3.177777,2.99766,2.99766,370100,0.102924
1983-08-02,3.023392,3.087719,3.010526,3.036257,950500,0.102924
1983-08-03,3.036257,3.049122,2.997661,3.010526,531200,0.102924
1983-08-04,2.933333,2.99766,2.88187,2.971929,1642800,0.102924
1983-08-05,2.97193,3.049122,2.959064,2.959064,488000,0.102924
1983-08-08,2.907601,2.946198,2.88187,2.894736,676900,0.102924
1983-08-09,2.894737,2.907602,2.830409,2.881871,391500,0.102924
1983-08-10,2.88187,2.907601,2.88187,2.894736,174300,0.102924
1983-08-11,2.907602,2.984795,2.907602,2.984795,453400,0.102924
1983-08-12,3.010526,3.061988,3.010526,3.036257,366900,0.102924
1983-08-15,3.036257,3.113449,3.023391,3.100584,552200,0.102924
1983-08-16,3.113449,3.126315,3.049122,3.100584,99200,0.102924
1983-08-17,3.074854,3.267836,3.049122,3.242105,129700,0.102924
1983-08-18,3.345029,3.357894,3.164912,3.203508,176200,0.102924
1983-08-19,3.242105,3.242105,3.203508,3.203508,71900,0.102924
1983-08-22,3.242105,3.319298,3.242105,3.319298,197600,0.102924
1983-08-23,3.332164,3.37076,3.280702,3.345029,210300,0.102924
1983-08-24,3.319297,3.319297,3.203508,3.203508,239400,0.102924
1983-08-25,3.190643,3.203508,3.11345,3.152046,136100,0.102924
1983-08-26,3.152046,3.152046,3.087719,3.11345,131600,0.102924
1983-08-29,3.100585,3.152046,3.087719,3.11345,78700,0.102924
1983-08-30,3.087719,3.139181,3.087719,3.100584,144300,0.102924
1983-08-31,3.126316,3.293567,3.126316,3.293567,518000,0.102924
1983-09-01,3.293567,3.293567,3.216374,3.293567,105200,0.102924
1983-09-02,3.319298,3.357894,3.319298,3.357894,145700,0.102924
1983-09-06,3.345029,3.383625,3.267836,3.293567,227600,0.102924
1983-09-07,3.39649,3.422221,3.370759,3.383625,506600,0.102924
1983-09-08,3.396491,3.447952,3.370759,3.435087,350000,0.102924
1983-09-09,3.409356,3.447953,3.409356,3.447953,248500,0.102924
1983-09-12,3.473683,3.538011,3.460818,3.460818,273600,0.102924
1983-09-13,3.473684,3.525146,3.422222,3.499415,485700,0.102924
1983-09-14,3.473684,3.473684,3.435088,3.447953,1249500,0.102924
1983-09-15,3.447953,3.447953,3.396491,3.396491,150700,0.102924
1983-09-16,3.396491,3.460818,3.396491,3.460818,126500,0.102924
1983-09-19,3.473683,3.499414,3.460818,3.486549,259000,0.102924
1983-09-20,3.499415,3.589473,3.499415,3.550877,599000,0.102924
1983-09-21,3.563742,3.640935,3.563742,3.589473,875800,0.102924
1983-09-22,3.589473,3.602339,3.563742,3.563742,315500,0.102924
1983-09-23,3.550877,3.550877,3.525146,3.550877,204800,0.102924
1983-09-26,3.563742,3.640935,3.550877,3.640935,385600,0.102924
1983-09-27,3.640935,3.640935,3.576607,3.589473,274500,0.102924
1983-09-28,3.602339,3.602339,3.563742,3.602339,97400,0.102924
1983-09-29,3.602339,3.602339,3.460819,3.473684,169300,0.102924
1983-09-30,3.473683,3.538011,3.447953,3.538011,119300,0.102924
1983-10-03,3.499415,3.51228,3.383626,3.396491,281800,0.102924
1983-10-04,3.37076,3.422222,3.37076,3.396491,1224500,0.102924
1983-10-05,3.422221,3.435087,3.319297,3.383625,1458500,0.102924
1983-10-06,3.37076,3.447953,3.37076,3.447953,352800,0.102924
1983-10-07,3.499415,3.602339,3.499415,3.602339,244400,0.102924
1983-10-10,3.628069,3.679531,3.628069,3.679531,89700,0.102924
1983-10-11,3.705263,3.743859,3.525146,3.602339,488400,0.102924
1983-10-12,3.576607,3.602338,3.538011,3.538011,148900,0.102924
1983-10-13,3.51228,3.615204,3.499415,3.602339,97400,0.102924
1983-10-14,3.602339,3.602339,3.409357,3.422222,167100,0.102924
1983-10-17,3.396491,3.435087,3.383625,3.409356,165700,0.102924
1983-10-18,3.394901,3.394901,3.278726,3.291634,310900,0.103267
1983-10-19,3.201276,3.278726,3.201276,3.278726,143400,0.103267
1983-10-20,3.291634,3.356176,3.278726,3.356176,209800,0.103267
1983-10-21,3.356176,3.356176,3.252909,3.291634,184800,0.103267
1983-10-24,3.265817,3.291634,3.252909,3.291634,125200,0.103267
1983-10-25,3.317451,3.356176,3.278726,3.356176,504800,0.103267
1983-10-26,3.343268,3.343268,3.278726,3.317451,96000,0.103267
1983-10-27,3.317451,3.330359,3.265818,3.278726,61900,0.103267
1983-10-28,3.252909,3.265817,3.136733,3.16255,395100,0.103267
1983-10-31,3.175459,3.188367,3.136734,3.149642,137500,0.103267
1983-11-01,3.149642,3.175459,3.123826,3.136734,152900,0.103267
1983-11-02,3.136734,3.175459,3.123826,3.175459,208500,0.103267
1983-11-03,3.098009,3.149642,3.072192,3.110917,578100,0.103267
1983-11-04,3.110917,3.123826,3.085101,3.098009,122000,0.103267
1983-11-07,3.098009,3.098009,3.033467,3.072192,359600,0.103267
1983-11-08,3.046375,3.072192,3.00765,3.046375,338700,0.103267
1983-11-09,3.046376,3.214184,3.046376,3.201276,1076500,0.103267
1983-11-10,3.201276,3.227093,3.175459,3.201276,844900,0.103267
1983-11-11,3.188367,3.188367,3.085101,3.175459,731500,0.103267
1983-11-14,3.188367,3.278725,3.188367,3.265817,487100,0.103267
1983-11-15,3.240001,3.278726,3.214184,3.252909,405100,0.103267
