date,open,high,low,close,volume,adjrate
1994-10-31,6.927274,7.033034,6.927274,7.033034,1984200,0.42304
1994-11-01,7.033034,7.033034,6.927274,6.980154,2176400,0.42304
1994-11-02,6.980154,6.980154,6.927274,6.927274,2348200,0.42304
1994-11-03,6.927274,6.980154,6.874394,6.927274,2060800,0.42304
1994-11-04,6.927274,6.980154,6.874394,6.874394,2663800,0.42304
1994-11-07,6.821514,6.821514,6.768634,6.821514,1049400,0.42304
1994-11-08,6.821514,6.821514,6.662874,6.662874,5761000,0.42304
1994-11-09,6.715754,6.821514,6.715754,6.768634,2480000,0.42304
1994-11-10,6.768634,6.821514,6.768634,6.821514,1956000,0.42304
1994-11-11,6.821514,6.821514,6.768634,6.768634,1300200,0.42304
1994-11-14,6.715754,6.715754,6.662874,6.715754,1419200,0.42304
1994-11-15,6.715754,6.715754,6.662874,6.662874,3118800,0.42304
1994-11-16,6.662874,6.715754,6.662874,6.662874,813400,0.42304
1994-11-17,6.662874,6.662874,6.557114,6.609994,1477600,0.42304
1994-11-18,6.609994,6.609994,6.504234,6.557114,2452600,0.42304
1994-11-21,6.557115,6.557115,6.398475,6.398475,3276000,0.42304
1994-11-22,6.398475,6.451355,6.292715,6.292715,2725000,0.42304
1994-11-23,6.292715,6.345595,6.186955,6.345595,2634200,0.42304
1994-11-25,6.345595,6.345595,6.345595,6.345595,640800,0.42304
1994-11-28,6.345595,6.398475,6.292715,6.398475,1583400,0.42304
1994-11-29,6.398475,6.398475,6.292715,6.345595,1056400,0.42304
1994-11-30,6.345595,6.345595,6.292715,6.345595,1086800,0.42304
1994-12-01,6.345595,6.345595,6.292715,6.292715,979000,0.42304
1994-12-02,6.292715,6.345595,6.239835,6.345595,1257200,0.42304
1994-12-05,6.345595,6.398475,6.292715,6.292715,1071200,0.42304
1994-12-06,6.292715,6.292715,6.239835,6.292715,1819200,0.42304
1994-12-07,6.292715,6.292715,6.186955,6.239835,1223400,0.42304
1994-12-08,6.239835,6.292715,6.239835,6.239835,1178400,0.42304
1994-12-09,6.239835,6.239835,6.186955,6.239835,1682000,0.42304
1994-12-12,6.239835,6.292715,6.186955,6.239835,1011400,0.42304
1994-12-13,6.239835,6.345595,6.239835,6.292715,1555200,0.42304
1994-12-14,6.292715,6.345595,6.292715,6.345595,1351600,0.42304
1994-12-15,6.345595,6.398475,6.239835,6.345595,2600400,0.42304
1994-12-16,6.345595,6.398475,6.292715,6.345595,3428800,0.42304
1994-12-19,6.345595,6.451355,6.239835,6.398475,3590000,0.42304
1994-12-20,6.398475,6.451355,6.398475,6.451355,1464200,0.42304
1994-12-21,6.451355,6.504235,6.451355,6.451355,3717600,0.42304
1994-12-22,6.451354,6.557114,6.451354,6.557114,1467200,0.42304
1994-12-23,6.557115,6.557115,6.451355,6.451355,1012000,0.42304
1994-12-27,6.451354,6.557114,6.451354,6.557114,3242800,0.42304
1994-12-28,6.557114,6.557114,6.451354,6.557114,1814400,0.42304
1994-12-29,6.557114,6.609994,6.557114,6.609994,1436200,0.42304
1994-12-30,6.609994,6.609994,6.504234,6.609994,1365600,0.42304
1995-01-03,6.609994,6.609994,6.504234,6.557114,1064200,0.42304
1995-01-04,6.557115,6.609995,6.451355,6.504235,1751600,0.42304
1995-01-05,6.504234,6.557114,6.451354,6.557114,1600200,0.42304
1995-01-06,6.557115,6.609995,6.504235,6.504235,2230600,0.42304
1995-01-09,6.504235,6.557115,6.451355,6.504235,2108800,0.42304
1995-01-10,6.504235,6.557115,6.504235,6.504235,1580600,0.42304
1995-01-11,6.504235,6.504235,6.398475,6.451355,3488600,0.42304
1995-01-12,6.398475,6.398475,6.345595,6.345595,1875600,0.42304
1995-01-13,6.398475,6.398475,6.398475,6.398475,2206600,0.42304
1995-01-16,6.398475,6.451355,6.398475,6.451355,3502000,0.42304
1995-01-17,6.451355,6.504235,6.451355,6.451355,1322800,0.42304
1995-01-18,6.451355,6.451355,6.398475,6.398475,2150400,0.42304
1995-01-19,6.345595,6.345595,6.292715,6.345595,3214600,0.42304
1995-01-20,6.345595,6.398475,6.292715,6.345595,2263800,0.42304
1995-01-23,6.345595,6.398475,6.292715,6.398475,4176200,0.42304
1995-01-24,6.398475,6.451355,6.345595,6.398475,1362800,0.42304
1995-01-25,6.398475,6.451355,6.398475,6.451355,2840000,0.42304
1995-01-26,6.028315,6.028315,5.816795,5.975435,14524000,0.42304
1995-01-27,5.975435,6.028315,5.869675,5.869675,7288800,0.42304
1995-01-30,5.869675,5.922555,5.869675,5.922555,3881000,0.42304
1995-01-31,5.922555,5.975435,5.922555,5.975435,2975200,0.42304
1995-02-01,5.975435,5.975435,5.816795,5.869675,2668000,0.42304
1995-02-02,5.869675,5.922555,5.816795,5.869675,1846800,0.42304
1995-02-03,5.869675,5.975435,5.869675,5.975435,3790800,0.42304
1995-02-06,5.975435,6.028315,5.922555,5.975435,2963200,0.42304
1995-02-07,6.028315,6.081195,6.028315,6.081195,2994800,0.42304
1995-02-08,6.081195,6.186955,6.028315,6.081195,3764800,0.42304
1995-02-09,6.081195,6.134075,5.975435,6.134075,1978400,0.42304
1995-02-10,6.134075,6.134075,6.081195,6.081195,1724200,0.42304
1995-02-13,6.081195,6.081195,6.028315,6.028315,1560000,0.42304
1995-02-14,6.028315,6.081195,5.975435,6.028315,1967200,0.42304
1995-02-15,6.028315,6.081195,6.028315,6.081195,1822800,0.42304
1995-02-16,6.081195,6.081195,6.028315,6.081195,1477000,0.42304
1995-02-17,6.081195,6.186955,6.081195,6.134075,3836600,0.42304
