date,open,high,low,close,volume,adjrate
1981-12-31,0.387321,0.389223,0.38542,0.389223,563200,0.010143
1982-01-04,0.391922,0.394467,0.388105,0.394467,1305600,0.01018
1982-01-05,0.391922,0.394467,0.388105,0.391922,486400,0.01018
1982-01-06,0.386832,0.388104,0.384287,0.384287,595200,0.01018
1982-01-07,0.380469,0.384287,0.376652,0.379197,4870400,0.01018
1982-01-08,0.381742,0.384287,0.377925,0.379197,198400,0.01018
1982-01-11,0.379197,0.381742,0.376653,0.377925,1612800,0.01018
1982-01-12,0.37029,0.374107,0.366473,0.367745,6675200,0.01018
1982-01-13,0.369017,0.371562,0.3652,0.367745,889600,0.01018
1982-01-14,0.36011,0.366473,0.353748,0.356293,2380800,0.01018
1982-01-15,0.363928,0.37029,0.356293,0.363928,1715200,0.01018
1982-01-18,0.371562,0.376652,0.366472,0.376652,544000,0.01018
1982-01-19,0.376652,0.376652,0.37538,0.376652,96000,0.01018
1982-01-20,0.376652,0.376652,0.37538,0.376652,204800,0.01018
1982-01-21,0.371563,0.377925,0.363928,0.363928,1305600,0.01018
1982-01-22,0.366472,0.369017,0.363927,0.369017,268800,0.01018
1982-01-25,0.367745,0.371562,0.363927,0.371562,768000,0.01018
1982-01-26,0.3652,0.366473,0.362656,0.363928,396800,0.01018
1982-01-27,0.371562,0.375379,0.366472,0.369017,2163200,0.01018
1982-01-28,0.372834,0.379197,0.366472,0.366472,3699200,0.01018
1982-01-29,0.377924,0.381742,0.374107,0.374107,1619200,0.01018
1982-02-01,0.377924,0.379197,0.37538,0.376652,2713600,0.01018
1982-02-02,0.377924,0.381742,0.374107,0.376652,947200,0.01018
1982-02-03,0.372835,0.376652,0.369018,0.37029,608000,0.01018
1982-02-04,0.371562,0.376652,0.3652,0.376652,4160000,0.01018
1982-02-05,0.386833,0.393195,0.379198,0.39065,889600,0.01018
1982-02-08,0.395739,0.403374,0.386832,0.391922,1568000,0.01018
1982-02-09,0.383015,0.388105,0.377925,0.377925,268800,0.01018
1982-02-10,0.371562,0.376652,0.366472,0.366472,2457600,0.01018
1982-02-11,0.367744,0.370289,0.3652,0.366472,3635200,0.01018
1982-02-12,0.369017,0.370289,0.366472,0.366472,640000,0.01018
1982-02-16,0.366472,0.369017,0.363928,0.3652,1337600,0.01018
1982-02-17,0.369017,0.371562,0.366472,0.371562,1216000,0.01018
1982-02-18,0.375379,0.376652,0.374107,0.374107,454400,0.01018
1982-02-19,0.377924,0.381742,0.374107,0.374107,627200,0.01018
1982-02-22,0.377924,0.381742,0.374107,0.374107,716800,0.01018
1982-02-23,0.367745,0.372835,0.361383,0.363928,1952000,0.01018
1982-02-24,0.366473,0.37029,0.362655,0.37029,812800,0.01018
1982-02-25,0.383015,0.391922,0.372835,0.38047,2668800,0.01018
1982-02-26,0.384287,0.386832,0.38047,0.386832,3539200,0.01018
1982-03-01,0.388105,0.391922,0.383015,0.391922,704000,0.01018
1982-03-02,0.39065,0.394467,0.386832,0.394467,857600,0.01018
1982-03-03,0.391922,0.394467,0.389377,0.391922,1036800,0.01018
1982-03-04,0.388104,0.391922,0.383015,0.386832,3001600,0.01018
