date,open,high,low,close,volume,adjrate
2000-10-18,7.788484,8.469976,7.691128,8.37262,27891200,0.389424
2000-10-19,8.567333,9.346181,8.421299,9.346181,3950200,0.389424
2000-10-20,9.200147,9.200147,8.567333,9.005435,2456200,0.389424
2000-10-23,9.005435,9.005435,8.421299,8.567333,1974600,0.389424
2000-10-24,8.567333,8.664689,8.177909,8.616011,1375400,0.389424
2000-10-25,8.616011,9.054113,8.616011,8.932418,1068600,0.389424
2000-10-26,8.932418,9.151469,8.494316,9.12713,766800,0.389424
2000-10-27,9.12713,9.346181,9.078452,9.321842,704200,0.389424
2000-10-30,9.224486,9.8573,9.200147,9.589571,750200,0.389424
2000-10-31,9.492215,10.125029,8.908078,9.930317,2295400,0.389424
2000-11-01,9.832961,9.832961,9.200147,9.248825,612000,0.389424
2000-11-02,9.200147,9.200147,8.810723,8.981096,640600,0.389424
2000-11-03,9.054113,9.054113,8.786384,8.932418,437200,0.389424
2000-11-06,9.005435,9.346181,9.005435,9.078452,400200,0.389424
2000-11-07,9.029774,9.054113,8.713367,9.054113,256000,0.389424
2000-11-08,9.054113,9.054113,8.908079,8.981096,209800,0.389424
2000-11-09,8.932418,9.102791,8.908079,8.956757,302200,0.389424
2000-11-10,8.88374,8.88374,8.664689,8.762045,311200,0.389424
2000-11-13,8.713367,8.932418,8.64035,8.786384,341000,0.389424
2000-11-14,9.005435,9.12713,8.88374,9.12713,444200,0.389424
2000-11-15,9.443537,9.516554,9.346181,9.492215,792600,0.389424
2000-11-16,9.394859,9.443537,9.248825,9.273164,457400,0.389424
2000-11-17,9.224486,9.443537,9.200147,9.394859,647200,0.389424
2000-11-20,9.346181,9.394859,9.029774,9.078452,631600,0.389424
2000-11-21,9.175808,9.175808,8.981096,9.005435,291800,0.389424
2000-11-22,8.908079,8.956757,8.762045,8.88374,332400,0.389424
2000-11-24,8.956757,9.224486,8.956757,9.12713,59600,0.389424
2000-11-27,9.175808,9.200147,9.029774,9.175808,282400,0.389424
2000-11-28,9.151469,9.346181,9.151469,9.297503,462000,0.389424
2000-11-29,9.297503,9.735605,9.297503,9.735605,277800,0.389424
2000-11-30,9.638249,9.784283,9.443537,9.759944,1279800,0.389424
2000-12-01,9.711266,9.832961,9.540893,9.662588,397800,0.389424
2000-12-04,9.565232,9.832961,9.467876,9.832961,324200,0.389424
2000-12-05,9.784283,9.978995,9.735605,9.832961,742800,0.389424
2000-12-06,9.784283,9.978995,9.735605,9.8573,247000,0.389424
2000-12-07,9.832961,9.954656,9.638249,9.711266,272600,0.389424
2000-12-08,9.808622,9.832961,9.248825,9.686927,278600,0.389424
2000-12-11,9.686927,10.003334,9.686927,10.003334,185800,0.389424
2000-12-12,9.954656,9.954656,9.711266,9.784283,151000,0.389424
2000-12-13,9.784283,9.954656,9.759944,9.832961,223000,0.389424
2000-12-14,9.832961,9.881639,9.808622,9.881639,161400,0.389424
