date,open,high,low,close,volume,adjrate
1993-02-23,4.656126,4.728878,4.456058,4.510622,40594800,0.145504
1993-02-24,4.583374,4.692502,4.52881,4.637938,9426400,0.145504
1993-02-25,4.656126,4.747066,4.637938,4.747066,5229200,0.145504
1993-02-26,4.747066,4.819818,4.674314,4.819818,2761200,0.145504
1993-03-01,4.765254,4.783442,4.656126,4.656126,3014400,0.145504
1993-03-02,4.692502,4.80163,4.674314,4.783442,3022800,0.145504
1993-03-03,4.765254,4.838006,4.728878,4.765254,2808800,0.145504
1993-03-04,4.747066,4.80163,4.747066,4.747066,1783600,0.145504
1993-03-05,4.728878,4.856194,4.656126,4.838006,3868800,0.145504
1993-03-08,4.80163,4.838006,4.765254,4.819818,2516000,0.145504
1993-03-09,4.80163,5.019886,4.80163,4.965322,2449200,0.145504
1993-03-10,4.928946,5.183578,4.910758,5.16539,3192800,0.145504
1993-03-11,5.219954,5.219954,5.110826,5.16539,1276400,0.145504
1993-03-12,5.129014,5.274518,4.947134,5.25633,2958800,0.145504
1993-03-15,5.238142,5.238142,5.129014,5.16539,1858400,0.145504
1993-03-16,5.129014,5.183578,5.038074,5.056262,2182000,0.145504
1993-03-17,5.056262,5.110826,5.001698,5.110826,2413600,0.145504
1993-03-18,5.092638,5.25633,5.092638,5.238142,1765200,0.145504
1993-03-19,5.274518,5.274518,5.183578,5.183578,2397600,0.145504
1993-03-22,5.201766,5.201766,5.110826,5.16539,729200,0.145504
1993-03-23,5.16539,5.16539,5.056262,5.056262,924000,0.145504
1993-03-24,5.056262,5.056262,4.856194,5.001698,1787600,0.145504
1993-03-25,4.965322,5.001698,4.89257,5.001698,1080400,0.145504
1993-03-26,5.16539,5.329082,5.147202,5.329082,2376800,0.145504
1993-03-29,5.292706,5.383646,5.201766,5.383646,1273600,0.145504
1993-03-30,5.456398,5.583714,5.401834,5.583714,1463600,0.145504
1993-03-31,5.601902,5.71103,5.565526,5.583714,1856000,0.145504
1993-04-01,5.510962,5.52915,5.34727,5.383646,1410000,0.145504
1993-04-02,5.310894,5.401834,5.183578,5.183578,1338800,0.145504
