date,open,high,low,close,volume,adjrate
1986-03-13,0.06012,0.068961,0.06012,0.066014,1031788800,0.002358
1986-03-14,0.066014,0.069551,0.066014,0.068372,308160000,0.002358
1986-03-17,0.068372,0.07014,0.068372,0.069551,133171200,0.002358
1986-03-18,0.06955,0.07014,0.067193,0.067782,67766400,0.002358
1986-03-19,0.067783,0.068372,0.066015,0.066604,47894400,0.002358
1986-03-20,0.066603,0.066603,0.064246,0.064835,58435200,0.002358
1986-03-21,0.064835,0.066014,0.061888,0.063067,59990400,0.002358
1986-03-24,0.063067,0.063067,0.06071,0.061299,65289600,0.002358
1986-03-25,0.061299,0.062478,0.06071,0.062478,32083200,0.002358
1986-03-26,0.062478,0.064835,0.061888,0.064246,22752000,0.002358
1986-03-27,0.064246,0.065425,0.064246,0.065425,16848000,0.002358
1986-03-31,0.065424,0.065424,0.063656,0.064835,12873600,0.002358
1986-04-01,0.064835,0.064835,0.064246,0.064246,11088000,0.002358
1986-04-02,0.064246,0.066014,0.064246,0.064835,27014400,0.002358
1986-04-03,0.065425,0.067193,0.065425,0.065425,23040000,0.002358
1986-04-04,0.065425,0.066014,0.065425,0.065425,26582400,0.002358
1986-04-07,0.065425,0.066014,0.063067,0.064246,16560000,0.002358
1986-04-08,0.064246,0.066014,0.064246,0.064835,10252800,0.002358
1986-04-09,0.064835,0.066603,0.064835,0.066014,12153600,0.002358
1986-04-10,0.066015,0.067193,0.064836,0.066604,13881600,0.002358
1986-04-11,0.067193,0.068961,0.067193,0.067782,17222400,0.002358
1986-04-14,0.067783,0.068961,0.067783,0.068372,12153600,0.002358
1986-04-15,0.068372,0.068372,0.066014,0.068372,9302400,0.002358
1986-04-16,0.068371,0.071318,0.067782,0.070729,31910400,0.002358
1986-04-17,0.07073,0.071319,0.07073,0.071319,22003200,0.002358
1986-04-18,0.071319,0.071319,0.068372,0.068961,21628800,0.002358
1986-04-21,0.068961,0.06955,0.067193,0.068961,22924800,0.002358
1986-04-22,0.068961,0.068961,0.067782,0.067782,15552000,0.002358
1986-04-23,0.067782,0.068372,0.067193,0.068077,15609600,0.002358
1986-04-24,0.068077,0.076034,0.067782,0.074855,62352000,0.002358
1986-04-25,0.075445,0.082813,0.075445,0.079571,85795200,0.002358
1986-04-28,0.079571,0.080749,0.078981,0.08016,28886400,0.002358
1986-04-29,0.08016,0.08016,0.077213,0.077802,30326400,0.002358
1986-04-30,0.077802,0.078392,0.074266,0.076034,30902400,0.002358
1986-05-01,0.076034,0.076034,0.073676,0.074855,54345600,0.002358
1986-05-02,0.074855,0.076034,0.074266,0.074855,20246400,0.002358
1986-05-05,0.074855,0.074855,0.074266,0.074266,3254400,0.002358
1986-05-06,0.074855,0.076034,0.074855,0.074855,9734400,0.002358
1986-05-07,0.074855,0.075444,0.073676,0.074855,5155200,0.002358
1986-05-08,0.074856,0.075445,0.074266,0.075445,3542400,0.002358
1986-05-09,0.075444,0.075444,0.074855,0.074855,6076800,0.002358
1986-05-12,0.074856,0.077213,0.074856,0.075445,10483200,0.002358
1986-05-13,0.075445,0.076623,0.075445,0.076034,3830400,0.002358
1986-05-14,0.076034,0.076034,0.075445,0.075445,9302400,0.002358
1986-05-15,0.075445,0.076624,0.075445,0.075445,3801600,0.002358
1986-05-16,0.075445,0.077802,0.075445,0.076034,11952000,0.002358
1986-05-19,0.076034,0.076034,0.074266,0.074855,11001600,0.002358
1986-05-20,0.074855,0.074855,0.073677,0.074266,61977600,0.002358
1986-05-21,0.074266,0.074855,0.073087,0.073087,8092800,0.002358
1986-05-22,0.073087,0.073676,0.073087,0.073087,4406400,0.002358
1986-05-23,0.073087,0.074266,0.073087,0.073087,4089600,0.002358
1986-05-27,0.073087,0.075445,0.073087,0.075445,13881600,0.002358
1986-05-28,0.075444,0.077802,0.075444,0.077802,15523200,0.002358
1986-05-29,0.077803,0.08075,0.077213,0.079571,45676800,0.002358
1986-05-30,0.08016,0.083697,0.08016,0.082518,27072000,0.002358
1986-06-02,0.082518,0.082518,0.08016,0.08016,19728000,0.002358
1986-06-03,0.08016,0.08016,0.078981,0.08016,5011200,0.002358
1986-06-04,0.08016,0.08075,0.078982,0.079571,4723200,0.002358
1986-06-05,0.07957,0.080749,0.078981,0.080749,13708800,0.002358
1986-06-06,0.080749,0.080749,0.07957,0.080749,3427200,0.002358
1986-06-09,0.080749,0.080749,0.077213,0.077213,12672000,0.002358
1986-06-10,0.077213,0.077213,0.076034,0.077213,3427200,0.002358
1986-06-11,0.077213,0.077213,0.076034,0.077213,2304000,0.002358
1986-06-12,0.077213,0.077213,0.073677,0.074266,13708800,0.002358
1986-06-13,0.074266,0.074855,0.073677,0.074266,7891200,0.002358
1986-06-16,0.074265,0.074855,0.073087,0.073676,9590400,0.002358
1986-06-17,0.074266,0.076034,0.074266,0.074855,13075200,0.002358
1986-06-18,0.074855,0.074855,0.073087,0.074266,4348800,0.002358
1986-06-19,0.074265,0.074855,0.073087,0.073676,8467200,0.002358
1986-06-20,0.073676,0.074266,0.073676,0.073971,3801600,0.002358
1986-06-23,0.073971,0.074855,0.072497,0.074855,46195200,0.002358
1986-06-24,0.074855,0.075445,0.073677,0.074266,14572800,0.002358
1986-06-25,0.074266,0.074855,0.073087,0.073087,15235200,0.002358
1986-06-26,0.073087,0.073676,0.070729,0.070729,19152000,0.002358
1986-06-27,0.070729,0.071319,0.069551,0.07014,10396800,0.002358
