date,open,high,low,close,volume,adjrate
1977-01-03,3.197303,3.269154,3.197303,3.204486,227800,0.05748
1977-01-04,3.190119,3.190119,3.13264,3.13264,164100,0.05748
1977-01-05,3.139824,3.204486,3.139824,3.147007,193000,0.05748
1977-01-06,3.147007,3.16138,3.125451,3.125451,139200,0.05748
1977-01-07,3.12545,3.147006,3.082344,3.082344,119300,0.05748
1977-01-10,3.082345,3.089528,3.024866,3.046422,235700,0.05748
1977-01-11,3.032049,3.032049,2.967387,2.967387,201900,0.05748
1977-01-12,2.960198,2.960198,2.895535,2.931458,184000,0.05748
1977-01-13,2.960197,2.97457,2.960197,2.960197,241700,0.05748
1977-01-14,2.960197,3.00331,2.938647,2.996126,761100,0.05748
1977-01-17,2.996126,3.010493,2.988937,3.00331,672600,0.05748
1977-01-18,3.00331,3.017676,3.00331,3.010493,222800,0.05748
1977-01-19,3.010493,3.060788,3.010493,3.060788,94500,0.05748
1977-01-20,3.075161,3.111084,3.075161,3.075161,176100,0.05748
1977-01-21,3.075161,3.096711,3.067972,3.082344,1066600,0.05748
1977-01-24,3.082344,3.103901,3.060788,3.075161,511400,0.05748
1977-01-25,3.075161,3.075161,2.988937,2.988937,317400,0.05748
1977-01-26,2.988937,3.017677,2.97457,2.988937,117400,0.05748
1977-01-27,2.94583,2.94583,2.873979,2.888351,254700,0.05748
1977-01-28,2.902719,2.945831,2.902719,2.931458,112400,0.05748
1977-01-31,2.931457,2.931457,2.852422,2.888351,202900,0.05748
1977-02-01,2.888351,2.91709,2.881162,2.902718,81500,0.05748
1977-02-02,2.902718,2.924274,2.866795,2.866795,538200,0.05748
1977-02-03,2.866795,2.873979,2.852423,2.852423,126300,0.05748
1977-02-04,2.852423,2.852423,2.744649,2.759021,359100,0.05748
1977-02-07,2.759021,2.759021,2.65843,2.65843,299400,0.05748
1977-02-08,2.658429,2.715908,2.658429,2.694358,422800,0.05748
1977-02-09,2.694358,2.694358,2.644063,2.644063,14900,0.05748
1977-02-10,2.644063,2.65843,2.622507,2.622507,269600,0.05748
1977-02-11,2.622507,2.644063,2.622507,2.644063,292500,0.05748
1977-02-14,2.644063,2.672802,2.622507,2.672802,306400,0.05748
1977-02-15,2.672802,2.679986,2.65843,2.65843,502400,0.05748
