date,open,high,low,close,volume,adjrate
1991-10-04,5.750424,5.750424,5.690834,5.690834,12000,0.05959
1991-10-07,5.705731,5.705731,5.661039,5.661039,20000,0.05959
1991-10-08,5.675936,5.675936,5.571655,5.601449,97000,0.05959
1991-10-09,5.601449,5.661039,5.601449,5.661039,40000,0.05959
1991-10-10,5.661038,5.661038,5.646141,5.646141,26000,0.05959
1991-10-11,5.661039,5.675936,5.65359,5.675936,104000,0.05959
1991-10-14,5.668488,5.720629,5.668488,5.690834,23000,0.05959
1991-10-15,5.71318,5.71318,5.631244,5.661039,28000,0.05959
1991-10-16,5.661039,5.661039,5.631244,5.661039,62000,0.05959
1991-10-17,5.616347,5.675936,5.616347,5.661039,140000,0.05959
1991-10-18,5.675936,5.690834,5.661039,5.661039,105000,0.05959
1991-10-21,5.675936,5.675936,5.661039,5.675936,159000,0.05959
1991-10-22,5.675935,5.690833,5.646141,5.646141,17000,0.05959
1991-10-23,5.541859,5.541859,5.541859,5.541859,38000,0.05959
1991-10-24,5.571654,5.571654,5.36309,5.467372,2530000,0.05959
1991-10-25,5.497167,5.497167,5.467372,5.467372,66000,0.05959
1991-10-28,5.467372,5.512064,5.467372,5.512064,42000,0.05959
1991-10-29,5.541859,5.556756,5.541859,5.541859,26000,0.05959
1991-10-30,5.556756,5.556756,5.526961,5.526961,31000,0.05959
1991-10-31,5.541859,5.541859,5.541859,5.541859,3000,0.05959
1991-11-01,5.541859,5.556756,5.541859,5.556756,12000,0.05959
1991-11-04,5.556756,5.556756,5.556756,5.556756,0,0.05959
1991-11-05,5.571654,5.571654,5.482269,5.482269,137000,0.05959
1991-11-06,5.497167,5.497167,5.467372,5.482269,78000,0.05959
1991-11-07,5.377987,5.452474,5.377987,5.452474,95000,0.05959
1991-11-08,5.422679,5.422679,5.422679,5.422679,2000,0.05959
1991-11-11,5.407781,5.407781,5.392884,5.392884,4000,0.05959
1991-11-12,5.392885,5.392885,5.377987,5.377987,61000,0.05959
1991-11-13,5.377987,5.422679,5.377987,5.400333,56000,0.05959
1991-11-14,5.422679,5.422679,5.392884,5.392884,92000,0.05959
1991-11-15,5.392884,5.392884,5.333294,5.333294,63000,0.05959
1991-11-18,5.273705,5.288602,5.18432,5.229012,104000,0.05959
1991-11-19,5.229011,5.229011,5.094934,5.154524,99000,0.05959
1991-11-20,5.154524,5.154524,5.12473,5.154524,27000,0.05959
1991-11-21,5.169423,5.18432,5.169423,5.18432,9000,0.05959
1991-11-22,5.214114,5.214114,5.154524,5.154524,35000,0.05959
1991-11-25,5.139627,5.214114,5.139627,5.199217,117000,0.05959
1991-11-26,5.220158,5.26503,5.220158,5.26503,50000,0.05983
1991-11-27,5.250072,5.26503,5.2052,5.2052,53000,0.05983
1991-11-29,5.235115,5.235115,5.235115,5.235115,2000,0.05983
1991-12-02,5.2052,5.235115,5.2052,5.235115,158000,0.05983
1991-12-03,5.26503,5.26503,5.212678,5.212678,39000,0.05983
1991-12-04,5.242594,5.242594,5.212679,5.220158,318000,0.05983
1991-12-05,5.235115,5.235115,5.235115,5.235115,11000,0.05983
1991-12-06,5.205199,5.220157,5.205199,5.212678,39000,0.05983
1991-12-09,5.220158,5.235115,5.220158,5.235115,15000,0.05983
1991-12-10,5.227637,5.272509,5.227637,5.272509,14000,0.05983
1991-12-11,5.279987,5.369732,5.279987,5.369732,90000,0.05983
1991-12-12,5.384689,5.384689,5.369732,5.369732,10000,0.05983
1991-12-13,5.369732,5.369732,5.369732,5.369732,20000,0.05983
1991-12-16,5.354775,5.354775,5.309902,5.317381,56000,0.05983
1991-12-17,5.309902,5.309902,5.294945,5.294945,120000,0.05983
1991-12-18,5.279987,5.287466,5.279987,5.287466,14000,0.05983
1991-12-19,5.309902,5.309902,5.279987,5.279987,8000,0.05983
1991-12-20,5.26503,5.317381,5.26503,5.317381,153000,0.05983
1991-12-23,5.354775,5.459477,5.354775,5.459477,75000,0.05983
1991-12-24,5.489392,5.489392,5.466956,5.489392,29000,0.05983
1991-12-26,5.504349,5.594094,5.504349,5.594094,27000,0.05983
1991-12-27,5.609052,5.818457,5.609052,5.818457,34000,0.05983
1991-12-30,5.833414,5.945595,5.833414,5.930638,29000,0.05983
1991-12-31,5.953073,5.968031,5.953073,5.968031,11000,0.05983
1992-01-02,5.938116,5.982988,5.923158,5.982988,103000,0.05983
1992-01-03,5.968032,5.997946,5.968032,5.997946,8000,0.05983
1992-01-06,5.968031,6.102648,5.953073,6.102648,76000,0.05983
1992-01-07,6.087691,6.162478,6.087691,6.162478,48000,0.05983
1992-01-08,6.147521,6.222308,6.147521,6.222308,115000,0.05983
1992-01-09,6.252222,6.401797,6.252222,6.371882,36000,0.05983
1992-01-10,6.341968,6.356925,6.32701,6.32701,31000,0.05983
1992-01-13,6.282138,6.282138,6.177436,6.222308,41000,0.05983
1992-01-14,6.252222,6.26718,6.252222,6.259701,7000,0.05983
1992-01-15,6.274659,6.32701,6.274659,6.32701,15000,0.05983
1992-01-16,6.32701,6.32701,6.282138,6.312053,67000,0.05983
1992-01-17,6.312053,6.32701,6.312053,6.32701,3000,0.05983
1992-01-20,6.304574,6.312053,6.304574,6.312053,3000,0.05983
1992-01-21,6.312053,6.312053,6.267181,6.289617,19000,0.05983
1992-01-22,6.274659,6.274659,6.274659,6.274659,10000,0.05983
1992-01-23,6.274659,6.274659,6.162478,6.162478,37000,0.05983
1992-01-24,6.162478,6.162478,6.162478,6.162478,0,0.05983
1992-01-27,6.192394,6.21483,6.192394,6.207351,8000,0.05983
1992-01-28,6.237266,6.237266,6.222308,6.222308,11000,0.05983
1992-01-29,6.282138,6.297095,6.282138,6.282138,86000,0.05983
1992-01-30,6.282138,6.334489,6.282138,6.282138,73000,0.05983
1992-01-31,6.312053,6.32701,6.312053,6.312053,37000,0.05983
1992-02-03,6.319532,6.341968,6.319532,6.341968,45000,0.05983
1992-02-04,6.356925,6.38684,6.312053,6.341968,64000,0.05983
1992-02-05,6.371883,6.476585,6.341968,6.44667,62000,0.05983
