date,open,high,low,close,volume,adjrate
1990-03-26,2.879506,2.921236,2.837769,2.837769,29700,0.333856
1990-03-27,2.837769,2.921236,2.837769,2.837769,15100,0.333856
1990-03-28,2.921236,2.921236,2.837769,2.879506,32300,0.333856
1990-03-29,2.921236,2.921236,2.879506,2.921236,22200,0.333856
1990-03-30,2.837769,2.921236,2.837769,2.879506,175500,0.333856
1990-04-02,2.837769,3.088163,2.837769,3.088163,328100,0.333856
1990-04-03,3.213359,3.463753,3.171629,3.380286,714500,0.333856
1990-04-04,3.338557,3.463754,3.338557,3.463754,394000,0.333856
1990-04-05,3.422023,3.463753,3.380286,3.380286,107800,0.333856
1990-04-06,3.463753,3.463753,3.380286,3.380286,36400,0.333856
1990-04-09,3.463753,3.463753,3.296826,3.380286,215100,0.333856
1990-04-10,3.296827,3.380287,3.296827,3.296827,325100,0.333856
1990-04-11,3.296827,3.338557,3.21336,3.296827,215300,0.333856
1990-04-12,3.296826,3.380286,3.213359,3.380286,342500,0.333856
1990-04-16,3.380287,3.463754,3.338557,3.422024,246900,0.333856
1990-04-17,3.380287,3.422024,3.338557,3.422024,434900,0.333856
1990-04-18,3.380287,3.547213,3.380287,3.463754,408600,0.333856
1990-04-19,3.58895,3.58895,3.463753,3.58895,204300,0.333856
1990-04-20,3.588951,3.588951,3.463754,3.463754,66400,0.333856
1990-04-23,3.547213,3.547213,3.422024,3.422024,80500,0.333856
1990-04-24,3.422024,3.505484,3.422024,3.463754,75000,0.333856
1990-04-25,3.422024,3.588951,3.422024,3.547213,557600,0.333856
1990-04-26,3.547213,3.63068,3.505483,3.63068,479300,0.333856
1990-04-27,3.63068,3.63068,3.547212,3.58895,121700,0.333856
1990-04-30,3.547213,3.58895,3.505483,3.505483,85300,0.333856
1990-05-01,3.505483,3.547213,3.463753,3.505483,56300,0.333856
1990-05-02,3.422024,3.547213,3.422024,3.547213,282600,0.333856
1990-05-03,3.505483,3.547213,3.505483,3.547213,113900,0.333856
1990-05-04,3.547213,3.547213,3.505483,3.505483,25400,0.333856
1990-05-07,3.547213,3.547213,3.505483,3.505483,54500,0.333856
1990-05-08,3.547213,3.547213,3.505483,3.547213,22900,0.333856
1990-05-09,3.547212,3.58895,3.505483,3.58895,591000,0.333856
1990-05-10,3.58895,3.63068,3.505483,3.63068,87400,0.333856
1990-05-11,3.63068,3.67241,3.58895,3.67241,966700,0.333856
1990-05-14,3.58895,3.755877,3.58895,3.67241,283000,0.333856
1990-05-15,3.755877,3.755877,3.63068,3.714147,1165500,0.333856
1990-05-16,3.755877,3.755877,3.67241,3.755877,30000,0.333856
1990-05-17,3.67241,3.839336,3.67241,3.839336,543600,0.333856
1990-05-18,3.755876,3.839336,3.755876,3.839336,33400,0.333856
1990-05-21,3.797607,3.839337,3.797607,3.797607,44600,0.333856
1990-05-22,3.797606,3.839336,3.797606,3.839336,170000,0.333856
1990-05-23,3.839337,3.839337,3.755877,3.797607,57000,0.333856
1990-05-24,3.839337,3.839337,3.797607,3.797607,72500,0.333856
1990-05-25,3.755877,3.797607,3.714147,3.714147,21000,0.333856
1990-05-29,3.714147,3.797607,3.714147,3.797607,44800,0.333856
1990-05-30,3.797607,3.797607,3.714147,3.714147,41600,0.333856
1990-05-31,3.714147,3.797607,3.714147,3.797607,26800,0.333856
1990-06-01,3.755877,3.797607,3.714147,3.755877,42100,0.333856
1990-06-04,3.797607,3.797607,3.755877,3.797607,107500,0.333856
1990-06-05,3.797607,3.839337,3.755877,3.755877,649600,0.333856
1990-06-06,3.797607,3.797607,3.714147,3.714147,197900,0.333856
1990-06-07,3.714147,3.755877,3.63068,3.714147,365200,0.333856
1990-06-08,3.714147,3.714147,3.63068,3.67241,22200,0.333856
1990-06-11,3.63068,3.67241,3.58895,3.67241,51700,0.333856
1990-06-12,3.58895,3.67241,3.58895,3.63068,89000,0.333856
1990-06-13,3.67241,3.714147,3.63068,3.714147,194900,0.333856
1990-06-14,3.63068,3.714147,3.63068,3.67241,19000,0.333856
1990-06-15,3.63068,3.714147,3.63068,3.63068,41000,0.333856
1990-06-18,3.63068,3.714147,3.547212,3.58895,165900,0.333856
1990-06-19,3.547213,3.58895,3.463753,3.505483,95000,0.333856
1990-06-20,3.505483,3.505483,3.338556,3.338556,160800,0.333856
1990-06-21,3.422023,3.422023,3.338556,3.338556,51700,0.333856
1990-06-22,3.380287,3.380287,3.17163,3.21336,138700,0.333856
1990-06-25,3.21336,3.296827,3.1299,3.1299,72300,0.333856
1990-06-26,3.21336,3.21336,3.1299,3.21336,128600,0.333856
1990-06-27,3.21336,3.21336,3.17163,3.17163,45300,0.333856
1990-06-28,3.21336,3.21336,3.17163,3.21336,55400,0.333856
1990-06-29,3.17163,3.25509,3.17163,3.21336,351900,0.333856
1990-07-02,3.21336,3.21336,3.17163,3.21336,19000,0.333856
1990-07-03,3.17163,3.21336,3.17163,3.21336,22000,0.333856
1990-07-05,3.21336,3.21336,3.17163,3.21336,35200,0.333856
1990-07-06,3.21336,3.25509,3.17163,3.17163,61300,0.333856
1990-07-09,3.1299,3.25509,3.1299,3.1299,13500,0.333856
1990-07-10,3.1299,3.17163,3.046433,3.046433,216200,0.333856
1990-07-11,3.088163,3.1299,3.046433,3.1299,234700,0.333856
1990-07-12,3.1299,3.1299,3.088163,3.1299,35900,0.333856
1990-07-13,3.1299,3.17163,3.088163,3.088163,37100,0.333856
1990-07-16,3.17163,3.25509,3.088163,3.25509,51300,0.333856
1990-07-17,3.17163,3.25509,3.17163,3.17163,18300,0.333856
1990-07-18,3.17163,3.25509,3.17163,3.25509,113900,0.333856
1990-07-19,3.25509,3.25509,3.17163,3.21336,57200,0.333856
1990-07-20,3.296826,3.380286,3.296826,3.380286,93100,0.333856
1990-07-23,3.380286,3.380286,3.338556,3.338556,167500,0.333856
1990-07-24,3.380286,3.505483,3.338556,3.505483,111900,0.333856
1990-07-25,3.505483,3.67241,3.505483,3.67241,65400,0.333856
1990-07-26,3.67241,3.67241,3.505483,3.58895,134500,0.333856
1990-07-27,3.588951,3.588951,3.505483,3.547213,34500,0.333856
1990-07-30,3.505484,3.505484,3.422024,3.422024,31600,0.333856
1990-07-31,3.505483,3.547213,3.422023,3.505483,145700,0.333856
1990-08-01,3.505484,3.547213,3.463754,3.463754,60600,0.333856
1990-08-02,3.547213,3.755877,3.505483,3.755877,648000,0.333856
1990-08-03,3.755877,3.839336,3.67241,3.714147,437900,0.333856
1990-08-06,3.714147,3.755876,3.58895,3.58895,209100,0.333856
1990-08-07,3.63068,3.63068,3.463753,3.58895,66100,0.333856
1990-08-08,3.505483,3.505483,3.422023,3.505483,122000,0.333856
1990-08-09,3.505483,3.505483,3.25509,3.25509,275200,0.333856
1990-08-10,3.21336,3.25509,3.17163,3.25509,175500,0.333856
1990-08-13,3.21336,3.21336,3.17163,3.21336,173000,0.333856
1990-08-14,3.17163,3.25509,3.17163,3.25509,178200,0.333856
1990-08-15,3.25509,3.380287,3.17163,3.296827,245000,0.333856
1990-08-16,3.380286,3.422023,3.338556,3.338556,85300,0.333856
1990-08-17,3.338556,3.505483,3.338556,3.505483,127200,0.333856
1990-08-20,3.505483,3.714147,3.463754,3.547213,311600,0.333856
1990-08-21,3.463753,3.505482,3.338556,3.380286,157200,0.333856
1990-08-22,3.25509,3.296827,3.17163,3.21336,1808900,0.333856
1990-08-23,3.17163,3.21336,2.962966,2.962966,817700,0.333856
1990-08-24,3.046433,3.088162,2.754309,2.879506,548400,0.333856
1990-08-27,2.879506,3.1299,2.879506,3.004703,641800,0.333856
1990-08-28,3.088163,3.088163,2.921236,3.004703,304300,0.333856
1990-08-29,2.962966,3.004703,2.921236,2.921236,320100,0.333856
1990-08-30,2.921236,3.004703,2.879506,2.962966,97200,0.333856
1990-08-31,3.004703,3.046433,2.962966,2.962966,294700,0.333856
1990-09-04,2.962966,3.004703,2.879506,2.962966,181400,0.333856
1990-09-05,2.921236,3.046433,2.921236,3.046433,764400,0.333856
1990-09-06,3.046433,3.1299,3.004703,3.088163,1659000,0.333856
1990-09-07,3.1299,3.21336,3.046434,3.21336,1393800,0.333856
1990-09-10,3.21336,3.296827,3.1299,3.296827,510500,0.333856
1990-09-11,3.296827,3.296827,3.21336,3.296827,209100,0.333856
1990-09-12,3.255089,3.338556,3.255089,3.338556,820200,0.333856
1990-09-13,3.338556,3.338556,3.296826,3.338556,921400,0.333856
1990-09-14,3.338556,3.338556,3.296826,3.338556,505000,0.333856
1990-09-17,3.338557,3.338557,3.25509,3.296827,867800,0.333856
1990-09-18,3.25509,3.338557,3.21336,3.296827,96800,0.333856
1990-09-19,3.25509,3.338557,3.21336,3.25509,94000,0.333856
1990-09-20,3.296827,3.338557,3.21336,3.296827,201100,0.333856
1990-09-21,3.25509,3.296827,3.25509,3.296827,645700,0.333856
1990-09-24,3.255089,3.338556,3.255089,3.338556,441800,0.333856
1990-09-25,3.296827,3.338557,3.296827,3.296827,387800,0.333856
1990-09-26,3.296827,3.296827,3.088163,3.17163,176200,0.333856
1990-09-27,3.088163,3.17163,3.088163,3.088163,49900,0.333856
1990-09-28,3.088163,3.17163,2.796039,3.088163,129000,0.333856
1990-10-01,3.046433,3.046433,2.837769,2.962966,176900,0.333856
1990-10-02,2.879506,3.004703,2.837769,3.004703,389900,0.333856
1990-10-03,3.046433,3.088163,2.962966,2.962966,19200,0.333856
1990-10-04,3.004703,3.088163,2.962966,2.962966,37300,0.333856
1990-10-05,2.962966,3.046433,2.962966,3.004703,62200,0.333856
1990-10-08,3.046433,3.088163,3.046433,3.088163,140500,0.333856
1990-10-09,3.046433,3.088162,2.921236,2.921236,134800,0.333856
1990-10-10,2.879506,2.921236,2.837769,2.921236,90800,0.333856
1990-10-11,2.837769,2.879506,2.71258,2.71258,494900,0.333856
1990-10-12,2.71258,2.837769,2.71258,2.796039,219000,0.333856
1990-10-15,2.837769,2.837769,2.754309,2.837769,283000,0.333856
1990-10-16,2.837769,2.879506,2.796039,2.837769,186500,0.333856
1990-10-17,2.796039,2.921236,2.796039,2.796039,61100,0.333856
1990-10-18,2.921236,2.921236,2.796039,2.879506,154200,0.333856
1990-10-19,2.837769,2.921236,2.796039,2.879506,131300,0.333856
1990-10-22,2.837769,2.879506,2.796039,2.796039,144100,0.333856
1990-10-23,2.879506,2.879506,2.796039,2.796039,120300,0.333856
1990-10-24,2.754309,2.837769,2.754309,2.796039,600600,0.333856
1990-10-25,2.837769,2.879506,2.796039,2.837769,463500,0.333856
1990-10-26,2.837769,2.879506,2.796039,2.796039,626000,0.333856
1990-10-29,2.837769,2.837769,2.71258,2.71258,330800,0.333856
1990-10-30,2.71258,2.71258,2.420456,2.462186,800600,0.333856
1990-10-31,2.503916,2.545645,2.211792,2.336989,711100,0.333856
1990-11-01,2.420456,2.420456,2.336989,2.420456,191300,0.333856
1990-11-02,2.420457,2.420457,2.336989,2.378719,110700,0.333856
1990-11-05,2.378719,2.545646,2.336989,2.503916,248700,0.333856
1990-11-06,2.545646,2.796039,2.545646,2.71258,341800,0.333856
1990-11-07,2.71258,2.796039,2.670842,2.796039,239300,0.333856
1990-11-08,2.754309,2.921236,2.754309,2.837769,227900,0.333856
1990-11-09,2.837769,2.879506,2.754309,2.837769,159900,0.333856
1990-11-12,2.837769,2.879506,2.754309,2.879506,91100,0.333856
