date,open,high,low,close,volume,adjrate
2002-05-23,1.156429,1.242858,1.145715,1.196429,104790000,0.071429
2002-05-24,1.214286,1.225,1.197143,1.21,11104800,0.071429
2002-05-28,1.213572,1.232143,1.157143,1.157143,6609400,0.071429
2002-05-29,1.164285,1.164285,1.085714,1.103571,6757800,0.071429
2002-05-30,1.107858,1.107858,1.071429,1.071429,10154200,0.071429
2002-05-31,1.078572,1.078572,1.071429,1.076429,8464400,0.071429
2002-06-03,1.08,1.149285,1.076428,1.128571,3151400,0.071429
2002-06-04,1.135714,1.14,1.110714,1.117857,3105200,0.071429
2002-06-05,1.110714,1.159286,1.107143,1.147143,1531600,0.071429
2002-06-06,1.15,1.232143,1.148571,1.182143,2305800,0.071429
2002-06-07,1.177857,1.177857,1.103571,1.118571,1369200,0.071429
2002-06-10,1.135,1.175,1.134286,1.156429,484400,0.071429
2002-06-11,1.156428,1.188571,1.128571,1.153571,1003800,0.071429
2002-06-12,1.153571,1.182143,1.089286,1.092857,1799000,0.071429
2002-06-13,1.104286,1.122143,1.08,1.082857,2567600,0.071429
2002-06-14,1.082143,1.085715,0.98,0.986429,4783800,0.071429
2002-06-17,1.013572,1.059286,0.917857,0.922143,4855200,0.071429
2002-06-18,0.938571,0.939285,0.842143,0.910714,10808000,0.071429
2002-06-19,0.911429,0.996429,0.892858,0.951429,5482400,0.071429
2002-06-20,0.971429,1.04,0.95,0.957143,6111000,0.071429
2002-06-21,0.982143,0.989286,0.947857,0.979286,2346400,0.071429
2002-06-24,0.979285,1.014285,0.957142,0.978571,2567600,0.071429
2002-06-25,0.988572,1.007143,0.947143,0.964286,3941000,0.071429
2002-06-26,0.963571,0.996428,0.921428,0.988571,2924600,0.071429
2002-06-27,1.009285,1.018571,0.942857,0.943571,3817800,0.071429
2002-06-28,0.960715,1.013572,0.960715,0.999286,9234400,0.071429
2002-07-01,1.0,1.046428,0.992857,1.027857,4585000,0.071429
2002-07-02,1.053571,1.195,1.039286,1.172857,9020200,0.071429
2002-07-03,1.178572,1.214286,1.117857,1.214286,4957400,0.071429
2002-07-05,1.214286,1.299286,1.213572,1.276429,2003400,0.071429
2002-07-08,1.252143,1.252143,1.167857,1.175714,1953000,0.071429
2002-07-09,1.175,1.196428,1.114285,1.160714,2935800,0.071429
2002-07-10,1.161428,1.178571,1.132142,1.163571,1554000,0.071429
2002-07-11,1.154286,1.278572,1.132857,1.269286,2529800,0.071429
2002-07-12,1.278571,1.28,1.207143,1.207857,2837800,0.071429
2002-07-15,1.242857,1.248571,1.076428,1.142857,4239200,0.071429
2002-07-16,1.152858,1.157143,1.104286,1.126429,1941800,0.071429
2002-07-17,1.145,1.163572,1.075714,1.089286,1261400,0.071429
2002-07-18,1.117143,1.166429,1.110715,1.149286,2899400,0.071429
2002-07-19,1.152857,1.160714,1.122143,1.16,1792000,0.071429
2002-07-22,1.135714,1.179285,1.115,1.170714,1993600,0.071429
2002-07-23,1.176429,1.213572,1.130715,1.146429,1577800,0.071429
2002-07-24,1.146429,1.159286,1.074286,1.114286,3355800,0.071429
2002-07-25,1.125,1.127858,1.035,1.036429,4755800,0.071429
2002-07-26,1.05,1.058572,0.85,0.871429,7046200,0.071429
2002-07-29,0.896429,0.924286,0.85,0.876429,3260600,0.071429
2002-07-30,0.893572,0.942857,0.893572,0.914286,3777200,0.071429
2002-07-31,0.928571,0.96,0.905714,0.953571,3333400,0.071429
2002-08-01,0.95,0.96,0.877858,0.891429,4529000,0.071429
2002-08-02,0.886428,0.887857,0.706428,0.777857,6655600,0.071429
2002-08-05,0.778571,0.812857,0.760714,0.775,3808000,0.071429
2002-08-06,0.795714,0.803571,0.742857,0.760714,3217200,0.071429
2002-08-07,0.760714,0.793571,0.742857,0.793571,2758000,0.071429
2002-08-08,0.796429,0.803572,0.750715,0.796429,2283400,0.071429
2002-08-09,0.798572,0.821429,0.778572,0.787143,1500800,0.071429
2002-08-12,0.802857,0.807143,0.753572,0.757143,2130800,0.071429
2002-08-13,0.767857,0.805,0.754286,0.772857,1677200,0.071429
2002-08-14,0.775714,0.833571,0.771428,0.833571,4047400,0.071429
2002-08-15,0.837143,0.910714,0.832857,0.882857,3263400,0.071429
2002-08-16,0.892857,0.924286,0.857143,0.912857,1828400,0.071429
2002-08-19,0.925,0.984286,0.917857,0.982143,2074800,0.071429
2002-08-20,0.985,0.993572,0.921429,0.946429,2539600,0.071429
2002-08-21,0.952857,0.971428,0.918571,0.968571,2779000,0.071429
2002-08-22,0.973571,0.999285,0.929285,0.983571,2963800,0.071429
2002-08-23,0.993571,0.996428,0.967857,0.993571,2406600,0.071429
2002-08-26,0.996428,0.996428,0.937857,0.967857,2644600,0.071429
2002-08-27,0.967857,0.967857,0.857857,0.873571,4984000,0.071429
2002-08-28,0.861429,0.89,0.825,0.864286,2275000,0.071429
2002-08-29,0.832857,0.922142,0.824285,0.903571,2395400,0.071429
2002-08-30,0.914286,0.962858,0.894286,0.936429,2121000,0.071429
2002-09-03,0.936429,0.963571,0.913571,0.925,1593200,0.071429
2002-09-04,0.925714,0.945714,0.907857,0.928571,373800,0.071429
2002-09-05,0.917857,0.935714,0.910714,0.917857,285600,0.071429
2002-09-06,0.927857,0.935715,0.910715,0.914286,763000,0.071429
2002-09-09,0.919286,0.925,0.892858,0.901429,1419600,0.071429
2002-09-10,0.900714,0.95,0.889286,0.945,4746000,0.071429
2002-09-11,0.938572,0.976429,0.938572,0.961429,1629600,0.071429
2002-09-12,0.962857,0.967143,0.914286,0.925,1943200,0.071429
2002-09-13,0.921428,0.927142,0.864285,0.878571,2485000,0.071429
2002-09-16,0.892143,0.892143,0.852857,0.857143,3512600,0.071429
2002-09-17,0.863571,0.864286,0.825,0.83,2863000,0.071429
2002-09-18,0.836428,0.841428,0.785,0.787857,1521800,0.071429
