date,open,high,low,close,volume,adjrate
1993-11-12,4.5,4.625,4.5,4.53125,3055200,0.25
1993-11-15,4.53125,4.59375,4.53125,4.53125,998400,0.25
1993-11-16,4.53125,4.5625,4.375,4.375,722800,0.25
1993-11-17,4.40625,4.46875,4.40625,4.40625,325600,0.25
1993-11-18,4.40625,4.40625,4.375,4.40625,227600,0.25
1993-11-19,4.375,4.375,4.125,4.125,584400,0.25
1993-11-22,4.1875,4.3125,4.1875,4.28125,146000,0.25
1993-11-23,4.28125,4.3125,4.21875,4.25,124400,0.25
1993-11-24,4.3125,4.40625,4.25,4.375,137200,0.25
1993-11-26,4.3125,4.3125,4.3125,4.3125,202800,0.25
1993-11-29,4.3125,4.34375,4.09375,4.125,263600,0.25
1993-11-30,4.125,4.1875,4.09375,4.09375,64000,0.25
1993-12-01,4.125,4.125,4.09375,4.125,55200,0.25
1993-12-02,4.15625,4.15625,4.125,4.15625,24800,0.25
1993-12-03,4.25,4.25,4.0625,4.09375,110400,0.25
1993-12-06,4.0625,4.0625,3.9375,4.0,216800,0.25
1993-12-07,4.03125,4.0625,4.0,4.0625,82000,0.25
1993-12-08,4.09375,4.125,4.09375,4.09375,38400,0.25
1993-12-09,4.125,4.25,4.125,4.21875,65600,0.25
1993-12-10,4.21875,4.25,4.21875,4.21875,98800,0.25
1993-12-13,4.1875,4.25,4.15625,4.15625,34000,0.25
1993-12-14,4.15625,4.1875,4.09375,4.09375,102000,0.25
1993-12-15,4.125,4.1875,4.125,4.15625,112800,0.25
1993-12-16,4.1875,4.21875,4.1875,4.1875,70800,0.25
1993-12-17,4.15625,4.21875,4.125,4.15625,36000,0.25
1993-12-20,4.125,4.1875,4.125,4.15625,95600,0.25
1993-12-21,4.1875,4.28125,4.1875,4.25,365200,0.25
1993-12-22,4.25,4.28125,4.25,4.25,6800,0.25
1993-12-23,4.25,4.28125,4.25,4.28125,23600,0.25
1993-12-27,4.25,4.3125,4.25,4.28125,47200,0.25
1993-12-28,4.28125,4.28125,4.25,4.25,24400,0.25
1993-12-29,4.3125,4.40625,4.28125,4.375,65600,0.25
1993-12-30,4.40625,4.4375,4.34375,4.375,113200,0.25
1993-12-31,4.375,4.40625,4.34375,4.40625,49600,0.25
1994-01-03,4.34375,4.375,4.34375,4.375,99200,0.25
1994-01-04,4.375,4.375,4.34375,4.34375,75200,0.25
1994-01-05,4.40625,4.625,4.40625,4.53125,699200,0.25
1994-01-06,4.53125,4.8125,4.53125,4.75,213600,0.25
1994-01-07,4.75,4.78125,4.71875,4.71875,198800,0.25
1994-01-10,4.78125,4.84375,4.75,4.84375,59200,0.25
1994-01-11,4.8125,4.90625,4.78125,4.78125,198800,0.25
1994-01-12,4.75,4.75,4.65625,4.71875,159200,0.25
1994-01-13,4.71875,4.75,4.6875,4.75,82800,0.25
1994-01-14,4.78125,4.78125,4.75,4.75,132400,0.25
1994-01-17,4.75,4.8125,4.75,4.8125,104800,0.25
1994-01-18,4.8125,4.875,4.8125,4.84375,56000,0.25
1994-01-19,4.875,4.90625,4.875,4.90625,251200,0.25
1994-01-20,4.9375,4.96875,4.9375,4.96875,95600,0.25
1994-01-21,4.96875,5.03125,4.96875,5.03125,68400,0.25
1994-01-24,5.0,5.0,4.96875,4.96875,294800,0.25
1994-01-25,4.9375,5.0625,4.9375,5.0,100800,0.25
1994-01-26,5.0625,5.0625,5.0,5.0,10800,0.25
1994-01-27,5.0625,5.0625,4.9375,4.9375,51600,0.25
1994-01-28,4.96875,5.0,4.90625,5.0,138800,0.25
1994-01-31,5.03125,5.25,5.0,5.25,128800,0.25
1994-02-01,5.21875,5.21875,5.15625,5.15625,10800,0.25
1994-02-02,5.15625,5.375,5.15625,5.375,149200,0.25
1994-02-03,5.34375,5.5625,5.34375,5.5625,115200,0.25
1994-02-04,5.5,5.53125,5.3125,5.3125,368400,0.25
1994-02-07,5.3125,5.5625,5.3125,5.5625,78000,0.25
1994-02-08,5.65625,5.75,5.625,5.75,138000,0.25
1994-02-09,5.8125,5.8125,5.6875,5.78125,74000,0.25
1994-02-10,5.75,5.75,5.75,5.75,54400,0.25
1994-02-11,5.6875,5.75,5.6875,5.71875,154000,0.25
1994-02-14,5.75,5.75,5.71875,5.71875,102400,0.25
1994-02-15,5.6875,5.75,5.6875,5.75,48800,0.25
1994-02-16,5.78125,5.78125,5.65625,5.6875,261600,0.25
1994-02-17,5.6875,5.6875,5.53125,5.53125,118800,0.25
1994-02-18,5.53125,5.53125,5.46875,5.46875,11200,0.25
1994-02-22,5.46875,5.46875,5.3125,5.34375,41600,0.25
1994-02-23,5.3125,5.375,5.3125,5.375,12400,0.25
1994-02-24,5.375,5.375,5.3125,5.3125,16400,0.25
1994-02-25,5.3125,5.3125,5.21875,5.25,37200,0.25
1994-02-28,5.3125,5.46875,5.3125,5.46875,228400,0.25
