date,open,high,low,close,volume,adjrate
1981-12-31,2.864055,2.87089,2.857219,2.864055,33800,0.054684
1982-01-04,2.857219,2.864055,2.850384,2.850384,65000,0.054684
1982-01-05,2.857219,2.864055,2.850384,2.850384,318000,0.054684
1982-01-06,2.782029,2.836713,2.72051,2.754687,369200,0.054684
1982-01-07,2.686333,2.706839,2.658991,2.706839,151400,0.054684
1982-01-08,2.761522,2.816206,2.706839,2.802535,305400,0.054684
1982-01-11,2.652156,2.788864,2.508611,2.508611,687300,0.054684
1982-01-12,2.488104,2.515446,2.453927,2.453927,238400,0.054684
1982-01-13,2.385573,2.433421,2.337725,2.337725,478100,0.054684
1982-01-14,2.365067,2.378738,2.351396,2.351396,130100,0.054684
1982-01-15,2.392408,2.41975,2.365066,2.41975,564400,0.054684
1982-01-18,2.385573,2.399244,2.365066,2.371902,813500,0.054684
1982-01-19,2.378737,2.392408,2.358231,2.378737,345300,0.054684
1982-01-20,2.412915,2.453928,2.371903,2.440257,763000,0.054684
1982-01-21,2.49494,2.522282,2.460762,2.515446,56400,0.054684
1982-01-22,2.556459,2.583801,2.529117,2.583801,82300,0.054684
1982-01-25,2.638485,2.652156,2.624814,2.638485,70300,0.054684
1982-01-26,2.658991,2.679497,2.638485,2.658991,292800,0.054684
1982-01-27,2.658991,2.658991,2.652156,2.658991,95600,0.054684
1982-01-28,2.65899,2.665826,2.652155,2.665826,67000,0.054684
1982-01-29,2.686333,2.706839,2.658991,2.686333,115500,0.054684
1982-02-01,2.706839,2.734181,2.679497,2.706839,320700,0.054684
1982-02-02,2.72051,2.747852,2.693168,2.747852,79600,0.054684
1982-02-03,2.7957,2.898232,2.693168,2.72051,929700,0.054684
1982-02-04,2.72051,2.761523,2.679498,2.700004,195200,0.054684
1982-02-05,2.72051,2.747852,2.686333,2.734181,132800,0.054684
1982-02-08,2.700004,2.734181,2.658991,2.658991,71000,0.054684
1982-02-09,2.624813,2.652155,2.590636,2.604307,156700,0.054684
1982-02-10,2.549623,2.583801,2.515446,2.515446,39100,0.054684
1982-02-11,2.501775,2.515446,2.488105,2.508611,61000,0.054684
1982-02-12,2.49494,2.508611,2.474434,2.474434,51100,0.054684
1982-02-16,2.49494,2.529117,2.460763,2.529117,71000,0.054684
1982-02-17,2.556459,2.563294,2.542788,2.542788,35100,0.054684
1982-02-18,2.563295,2.590636,2.535953,2.583801,161300,0.054684
1982-02-19,2.576966,2.583802,2.570131,2.576966,94200,0.054684
1982-02-22,2.556459,2.597472,2.515446,2.515446,146700,0.054684
1982-02-23,2.512684,2.52649,2.498878,2.505781,71700,0.055224
1982-02-24,2.519587,2.533393,2.505781,2.512684,67700,0.055224
1982-02-25,2.533393,2.540296,2.519587,2.52649,71000,0.055224
1982-02-26,2.52649,2.52649,2.52649,2.52649,4600,0.055224
1982-03-01,2.52649,2.52649,2.52649,2.52649,17900,0.055224
1982-03-02,2.533393,2.540296,2.52649,2.52649,19200,0.055224
1982-03-03,2.547199,2.567908,2.52649,2.547199,108900,0.055224
1982-03-04,2.547199,2.554102,2.540296,2.547199,182600,0.055224
1982-03-05,2.547199,2.554102,2.540296,2.540296,102200,0.055224
1982-03-08,2.498878,2.554102,2.443654,2.443654,222400,0.055224
1982-03-09,2.353916,2.40914,2.291789,2.360819,230400,0.055224
1982-03-10,2.374625,2.388431,2.360819,2.374625,183200,0.055224
1982-03-11,2.333207,2.388431,2.27108,2.27108,389800,0.055224
1982-03-12,2.20205,2.236565,2.167535,2.195147,312100,0.055224
1982-03-15,2.195147,2.20205,2.181341,2.195147,303400,0.055224
1982-03-16,2.195147,2.20205,2.188244,2.195147,309400,0.055224
1982-03-17,2.208953,2.215856,2.195147,2.215856,250300,0.055224
1982-03-18,2.27108,2.291789,2.243468,2.291789,261600,0.055224
1982-03-19,2.333207,2.34011,2.319401,2.34011,87600,0.055224
1982-03-22,2.395334,2.40914,2.374625,2.40914,29200,0.055224
1982-03-23,2.443654,2.485072,2.402236,2.485072,102900,0.055224
1982-03-24,2.491975,2.498878,2.485072,2.498878,34500,0.055224
1982-03-25,2.533393,2.567908,2.498878,2.540296,110200,0.055224
1982-03-26,2.547199,2.567908,2.52649,2.554102,115500,0.055224
1982-03-29,2.561005,2.567908,2.554102,2.567908,117500,0.055224
1982-03-30,2.588617,2.59552,2.574811,2.59552,33200,0.055224
1982-03-31,2.588617,2.609326,2.567908,2.567908,141400,0.055224
1982-04-01,2.554102,2.567908,2.540296,2.547199,140100,0.055224
1982-04-02,2.602423,2.650744,2.547199,2.623132,624900,0.055224
1982-04-05,2.547199,2.609326,2.485072,2.491975,454200,0.055224
1982-04-06,2.505781,2.512684,2.491975,2.512684,154000,0.055224
1982-04-07,2.52649,2.540296,2.512684,2.519587,238400,0.055224
1982-04-08,2.519587,2.52649,2.512684,2.519587,75000,0.055224
1982-04-12,2.588617,2.623132,2.554102,2.609326,253000,0.055224
1982-04-13,2.726677,2.761192,2.692162,2.692162,272200,0.055224
1982-04-14,2.685259,2.699065,2.66455,2.678356,118200,0.055224
1982-04-15,2.678356,2.692162,2.66455,2.678356,164600,0.055224
1982-04-16,2.685259,2.699065,2.66455,2.678356,178600,0.055224
1982-04-19,2.685259,2.692162,2.678356,2.678356,27800,0.055224
1982-04-20,2.671453,2.678356,2.66455,2.671453,65700,0.055224
1982-04-21,2.643841,2.650744,2.630035,2.643841,67000,0.055224
1982-04-22,2.643841,2.66455,2.623132,2.650744,278200,0.055224
1982-04-23,2.66455,2.671453,2.650744,2.657647,74300,0.055224
1982-04-26,2.685259,2.719774,2.650744,2.719774,79600,0.055224
1982-04-27,2.719774,2.73358,2.705968,2.705968,58400,0.055224
1982-04-28,2.699065,2.712871,2.685259,2.685259,136800,0.055224
1982-04-29,2.678356,2.685259,2.66455,2.671453,56400,0.055224
1982-04-30,2.671453,2.678356,2.657647,2.657647,53100,0.055224
1982-05-03,2.726676,2.802609,2.650743,2.774997,479400,0.055224
1982-05-04,2.837124,2.892348,2.7819,2.864736,1107600,0.055224
1982-05-05,2.947572,3.009699,2.878542,2.954475,614200,0.055224
1982-05-06,2.954475,2.995893,2.906154,2.906154,935600,0.055224
1982-05-07,2.91996,2.940669,2.892348,2.913057,293500,0.055224
1982-05-10,2.913057,2.926863,2.892348,2.892348,405700,0.055224
1982-05-11,2.878542,2.892348,2.864736,2.892348,138100,0.055224
1982-05-12,2.892348,2.975183,2.809512,2.816415,77000,0.055224
1982-05-13,2.809512,2.823318,2.795706,2.802609,68400,0.055224
1982-05-14,2.809512,2.816415,2.795706,2.809512,189200,0.055224
1982-05-17,2.809512,2.816415,2.795706,2.795706,18500,0.055224
1982-05-18,2.802609,2.816415,2.7819,2.816415,35800,0.055224
1982-05-19,2.837124,2.871639,2.802609,2.871639,118200,0.055224
1982-05-20,2.816415,2.871639,2.754288,2.774997,237700,0.055224
1982-05-21,2.7819,2.788803,2.774997,2.7819,98900,0.055224
1982-05-24,2.788803,2.802609,2.768094,2.768094,326700,0.055224
1982-05-25,2.8071,2.827997,2.786204,2.8071,209100,0.055724
1982-05-26,2.779238,2.786204,2.772273,2.779238,154000,0.055724
1982-05-27,2.793169,2.8071,2.772273,2.800135,128100,0.055724
1982-05-28,2.765307,2.786204,2.744411,2.758342,159300,0.055724
1982-06-01,2.73048,2.751376,2.702618,2.723514,85000,0.055724
1982-06-02,2.709583,2.723514,2.695652,2.716549,103500,0.055724
1982-06-03,2.695652,2.716549,2.674756,2.688687,80300,0.055724
1982-06-04,2.688687,2.744411,2.674756,2.744411,118200,0.055724
1982-06-07,2.737445,2.758342,2.716549,2.73048,35100,0.055724
1982-06-08,2.73048,2.744411,2.716549,2.716549,39800,0.055724
1982-06-09,2.695652,2.702618,2.681721,2.702618,237700,0.055724
1982-06-10,2.73048,2.758342,2.702618,2.702618,480700,0.055724
1982-06-11,2.793169,2.862825,2.716549,2.841928,402400,0.055724
1982-06-14,2.814066,2.841928,2.786204,2.793169,111500,0.055724
1982-06-15,2.821032,2.86979,2.772273,2.86979,231700,0.055724
1982-06-16,2.86979,2.911583,2.827997,2.911583,483400,0.055724
1982-06-17,2.883721,2.897652,2.86979,2.876756,166600,0.055724
1982-06-18,2.855859,2.862825,2.848894,2.848894,77000,0.055724
1982-06-21,2.855859,2.86979,2.834963,2.862825,136100,0.055724
1982-06-22,2.876756,2.897652,2.848894,2.876756,273600,0.055724
1982-06-23,2.897652,2.918549,2.86979,2.918549,104200,0.055724
1982-06-24,2.890687,2.918549,2.862825,2.890687,504000,0.055724
1982-06-25,2.765308,2.897652,2.632963,2.632963,989400,0.055724
1982-06-28,2.577239,2.646894,2.500619,2.563308,755700,0.055724
1982-06-29,2.500618,2.563307,2.437928,2.437928,533900,0.055724
1982-06-30,2.514549,2.570273,2.451859,2.521514,804800,0.055724
1982-07-01,2.542412,2.563308,2.521515,2.563308,144700,0.055724
1982-07-02,2.584205,2.598136,2.563308,2.59117,71700,0.055724
1982-07-06,2.584205,2.605101,2.563308,2.605101,79600,0.055724
1982-07-07,2.653859,2.688687,2.619032,2.66779,541800,0.055724
1982-07-08,2.66779,2.695652,2.632963,2.688687,482100,0.055724
1982-07-09,2.73048,2.751376,2.702618,2.751376,2216700,0.055724
