date,open,high,low,close,volume,adjrate
1995-11-21,1.004039,1.23686,1.004039,1.193211,51412800,0.058205
1995-11-22,1.193212,1.498795,1.178656,1.455136,11921600,0.058205
1995-11-24,1.455135,1.586093,1.455135,1.571546,2419200,0.058205
1995-11-27,1.658854,1.687957,1.426033,1.469682,6720000,0.058205
1995-11-28,1.469682,1.498794,1.455135,1.484238,3451200,0.058205
1995-11-29,1.455136,1.687958,1.455136,1.673411,3628800,0.058205
1995-11-30,1.67341,1.848026,1.644298,1.760709,8254400,0.058205
1995-12-01,1.789822,1.833471,1.731616,1.746163,2616000,0.058205
1995-12-04,1.746162,2.240908,1.746162,2.182703,5961600,0.058205
1995-12-05,2.182703,2.211806,2.051736,2.059019,2907200,0.058205
1995-12-06,2.080849,2.109942,1.935326,1.949882,3456000,0.058205
1995-12-07,1.949882,1.949882,1.848027,1.848027,2665600,0.058205
1995-12-08,1.848026,2.109941,1.848026,2.051736,3099200,0.058205
1995-12-11,2.066292,2.080848,2.022643,2.080848,564800,0.058205
1995-12-12,2.095395,2.197259,2.022643,2.139054,2086400,0.058205
1995-12-13,2.17543,2.17543,2.124498,2.153601,1510400,0.058205
1995-12-14,2.139054,2.168147,2.139054,2.139054,668800,0.058205
1995-12-15,2.139053,2.182703,2.080848,2.080848,2635200,0.058205
1995-12-18,2.095395,2.139054,1.833471,1.87712,1246400,0.058205
1995-12-19,1.818915,1.920779,1.778906,1.891676,4568000,0.058205
1995-12-20,1.949881,2.008087,1.862573,1.978984,2275200,0.058205
1995-12-21,2.008087,2.022643,1.949882,1.964438,321600,0.058205
1995-12-22,1.920779,2.037189,1.920779,1.978984,1657600,0.058205
1995-12-26,1.978984,2.124498,1.964438,2.109942,2286400,0.058205
1995-12-27,2.124498,2.197259,2.044463,2.168147,2633600,0.058205
1995-12-28,2.139054,2.328217,2.139054,2.284558,2569600,0.058205
1995-12-29,2.31367,2.430081,2.284558,2.33549,1920000,0.058205
1996-01-02,2.328217,2.328217,2.211806,2.211806,1892800,0.058205
1996-01-03,2.211806,2.240908,1.949881,1.978984,3336000,0.058205
1996-01-04,1.993531,1.993531,1.571547,1.746163,6041600,0.058205
1996-01-05,1.760709,1.920779,1.687957,1.804368,3273600,0.058205
1996-01-08,1.833471,1.862574,1.818915,1.818915,166400,0.058205
1996-01-09,1.862573,1.862573,1.542443,1.571546,2500800,0.058205
1996-01-10,1.498794,1.600649,1.469682,1.513341,3016000,0.058205
1996-01-11,1.644299,1.76071,1.615206,1.673411,3654400,0.058205
1996-01-12,1.746163,1.746163,1.571547,1.629752,793600,0.058205
1996-01-15,1.629752,1.644298,1.527888,1.586093,668800,0.058205
1996-01-16,1.556999,1.571546,1.324178,1.571546,3932800,0.058205
1996-01-17,1.484239,1.571547,1.469683,1.557,1545600,0.058205
1996-01-18,1.513341,1.571546,1.513341,1.571546,3180800,0.058205
1996-01-19,1.564273,1.789821,1.527887,1.704329,4825600,0.058205
1996-01-22,1.746163,1.804368,1.702504,1.746163,1913600,0.058205
1996-01-23,1.731616,1.789821,1.731616,1.767992,1126400,0.058205
1996-01-24,1.775266,1.920779,1.76071,1.862574,1267200,0.058205
1996-01-25,1.906233,2.022643,1.862574,1.964438,2702400,0.058205
1996-01-26,1.949882,2.03719,1.920779,2.000814,982400,0.058205
1996-01-29,1.993531,2.037189,1.964437,1.978984,936000,0.058205
1996-01-30,1.935326,1.978985,1.746163,1.862574,3513600,0.058205
1996-01-31,1.83347,1.935325,1.789821,1.789821,1129600,0.058205
1996-02-01,1.818915,1.891676,1.789822,1.833471,857600,0.058205
1996-02-02,1.891676,1.891676,1.789821,1.811641,1857600,0.058205
1996-02-05,1.804368,1.87712,1.789821,1.87712,964800,0.058205
1996-02-06,1.877121,2.051737,1.848027,1.935326,2483200,0.058205
1996-02-07,1.978984,2.037189,1.906232,1.978984,3126400,0.058205
1996-02-08,2.051737,2.168147,2.008087,2.109942,2886400,0.058205
1996-02-09,2.109941,2.226352,2.080848,2.080848,1934400,0.058205
