date,open,high,low,close,volume,adjrate
1983-09-01,0.786923,0.798494,0.778241,0.781135,672000,0.011572
1983-09-02,0.776797,0.781135,0.775347,0.778241,552000,0.011572
1983-09-06,0.786923,0.792706,0.781135,0.792706,374400,0.011572
1983-09-07,0.792706,0.794155,0.778241,0.778241,854400,0.011572
1983-09-08,0.786923,0.798494,0.779691,0.798494,1257600,0.011572
1983-09-09,0.798494,0.804282,0.778241,0.781135,902400,0.011572
1983-09-12,0.792706,0.798494,0.786923,0.7956,513600,0.011572
1983-09-13,0.80717,0.815852,0.798493,0.810064,5289600,0.011572
1983-09-14,0.82164,0.833211,0.812958,0.833211,129600,0.011572
1983-09-15,0.844781,0.86214,0.833211,0.86214,129600,0.011572
1983-09-16,0.867928,0.882393,0.86214,0.879499,2587200,0.011572
1983-09-19,0.914215,0.948933,0.896857,0.937362,2587200,0.011572
1983-09-20,0.937363,0.937363,0.891075,0.914216,1118400,0.011572
1983-09-21,0.902645,0.937362,0.893968,0.902645,1004800,0.023145
1983-09-22,0.902645,0.937362,0.902645,0.934468,230400,0.023145
1983-09-23,0.94315,0.946039,0.937362,0.937362,393600,0.023145
1983-09-26,0.927622,0.933416,0.910229,0.933416,528000,0.023191
1983-09-27,0.90443,0.927622,0.892836,0.90153,782400,0.023191
1983-09-28,0.901531,0.916024,0.901531,0.916024,222400,0.023191
1983-09-29,0.916023,0.921823,0.90443,0.90443,201600,0.023191
1983-09-30,0.90443,0.916024,0.881238,0.881238,1139200,0.023191
1983-10-03,0.869644,0.881237,0.858051,0.869644,158400,0.023191
1983-10-04,0.892837,0.90443,0.881238,0.898631,707200,0.023191
1983-10-05,0.898631,0.90443,0.898631,0.90443,2049600,0.023191
1983-10-06,0.90443,0.91023,0.887038,0.898631,385600,0.023191
1983-10-07,0.89863,0.90153,0.895736,0.90153,163200,0.023191
1983-10-10,0.895737,0.898631,0.892837,0.898631,96000,0.023191
1983-10-11,0.898631,0.898631,0.892837,0.898631,86400,0.023191
1983-10-12,0.898631,0.898631,0.892837,0.892837,240000,0.023191
1983-10-13,0.892836,0.90153,0.887037,0.895736,62400,0.023191
1983-10-14,0.895737,0.898631,0.887038,0.892837,140800,0.023191
1983-10-17,0.892837,0.898631,0.892837,0.892837,116800,0.023191
1983-10-18,0.892836,0.892836,0.887037,0.887037,120000,0.023191
1983-10-19,0.887037,0.887037,0.881238,0.881238,153600,0.023191
1983-10-20,0.881238,0.889937,0.878338,0.881238,155200,0.023191
1983-10-21,0.881238,0.887037,0.869644,0.887037,278400,0.023191
1983-10-24,0.872544,0.881238,0.863845,0.863845,38400,0.023191
1983-10-25,0.863845,0.863845,0.852252,0.858051,390400,0.023191
1983-10-26,0.858051,0.892837,0.855152,0.892837,768000,0.023191
1983-10-27,0.884138,0.884138,0.875444,0.875444,155200,0.023191
1983-10-28,0.869645,0.881238,0.869645,0.875444,984000,0.023191
1983-10-31,0.872544,0.872544,0.869644,0.869644,217600,0.023191
1983-11-01,0.872544,0.872544,0.858051,0.863845,587200,0.023191
1983-11-02,0.858051,0.858051,0.846452,0.846452,78400,0.023191
1983-11-03,0.846452,0.846452,0.811667,0.834859,625600,0.023191
1983-11-04,0.834859,0.846452,0.834859,0.840658,419200,0.023191
1983-11-07,0.843552,0.843552,0.826165,0.829059,201600,0.023191
1983-11-08,0.829059,0.846452,0.829059,0.846452,366400,0.023191
1983-11-09,0.837758,0.840658,0.834858,0.837758,92800,0.023191
1983-11-10,0.846452,0.858051,0.846452,0.846452,230400,0.023191
1983-11-11,0.846452,0.858051,0.846452,0.849352,187200,0.023191
1983-11-14,0.855151,0.85805,0.852251,0.852251,121600,0.023191
1983-11-15,0.852252,0.858051,0.840658,0.858051,1532800,0.023191
1983-11-16,0.863845,0.875444,0.860951,0.863845,97600,0.023191
1983-11-17,0.892837,0.916024,0.869645,0.898631,240000,0.023191
1983-11-18,0.90443,0.91023,0.895737,0.898631,198400,0.023191
1983-11-21,0.90443,0.913124,0.889937,0.889937,443200,0.023191
1983-11-22,0.89863,0.90443,0.881237,0.90153,566400,0.023191
1983-11-23,0.90153,0.90443,0.892836,0.90153,155200,0.023191
1983-11-25,0.901531,0.901531,0.887038,0.892837,78400,0.023191
1983-11-28,0.898631,0.898631,0.875444,0.881238,331200,0.023191
1983-11-29,0.875443,0.90153,0.875443,0.90153,4108800,0.023191
1983-11-30,0.90443,0.921823,0.90443,0.918923,883200,0.023191
1983-12-01,0.921823,0.921823,0.898631,0.91023,476800,0.023191
1983-12-02,0.916024,0.924723,0.91023,0.916024,385600,0.023191
1983-12-05,0.916024,0.924723,0.91023,0.91023,64000,0.023191
1983-12-06,0.913124,0.913124,0.901531,0.91023,409600,0.023191
1983-12-07,0.916023,0.921823,0.90733,0.918923,331200,0.023191
1983-12-08,0.916024,0.924723,0.90443,0.913124,283200,0.023191
1983-12-09,0.91023,0.916024,0.90733,0.90733,249600,0.023191
1983-12-12,0.916024,0.921823,0.90443,0.90733,539200,0.023191
1983-12-13,0.90733,0.913124,0.90733,0.90733,163200,0.023191
1983-12-14,0.910229,0.910229,0.90443,0.90443,380800,0.023191
1983-12-15,0.89863,0.913123,0.89863,0.90153,174400,0.023191
1983-12-16,0.901531,0.91023,0.901531,0.91023,91200,0.023191
1983-12-19,0.916023,0.916023,0.90153,0.90153,120000,0.023191
1983-12-20,0.90733,0.921823,0.90733,0.913124,302400,0.023191
1983-12-21,0.910229,0.933416,0.910229,0.933416,609600,0.023191
1983-12-22,0.927622,0.927622,0.916024,0.921823,1316800,0.023191
1983-12-23,0.926586,0.926586,0.920775,0.926586,96000,0.023237
1983-12-27,0.92368,0.929492,0.917869,0.926586,254400,0.023237
1983-12-28,0.929491,0.932397,0.92368,0.929491,160000,0.023237
1983-12-29,0.929491,0.970153,0.929491,0.970153,472000,0.023237
1983-12-30,0.975964,0.993392,0.975964,0.993392,1377600,0.023237
1984-01-03,0.999203,1.028248,0.987581,0.999203,753600,0.023237
1984-01-04,0.993392,0.993392,0.970153,0.975964,347200,0.023237
1984-01-05,0.981775,0.993392,0.975964,0.981775,422400,0.023237
1984-01-06,0.975964,1.01082,0.975964,1.01082,1358400,0.023237
1984-01-09,1.016631,1.016631,0.999203,0.999203,340800,0.023237
1984-01-10,1.005009,1.013726,0.999203,1.005009,328000,0.023237
1984-01-11,0.999203,0.999203,0.984675,0.984675,43200,0.023237
1984-01-12,0.990486,0.999203,0.981775,0.990486,308800,0.023237
1984-01-13,0.999203,0.999203,0.984675,0.990486,121600,0.023237
1984-01-16,0.97887,0.996298,0.970153,0.970153,371200,0.023237
1984-01-17,0.975964,0.975964,0.964347,0.970153,83200,0.023237
1984-01-18,0.964347,0.964347,0.92368,0.926586,299200,0.023237
1984-01-19,0.929491,0.929491,0.912063,0.92368,422400,0.023237
1984-01-20,0.917869,0.929491,0.917869,0.929491,268800,0.023237
1984-01-23,0.932397,0.935297,0.917869,0.92368,672000,0.023237
1984-01-24,0.920775,0.926586,0.917869,0.920775,168000,0.023237
1984-01-25,0.917869,0.920775,0.914964,0.920775,131200,0.023237
1984-01-26,0.917869,0.917869,0.903346,0.914963,456000,0.023237
1984-01-27,0.914963,0.914963,0.894635,0.894635,259200,0.023237
1984-01-30,0.900441,0.912063,0.848157,0.848157,552000,0.023237
1984-01-31,0.859779,0.865585,0.853968,0.865585,288000,0.023237
1984-02-01,0.865585,0.86849,0.813301,0.813301,611200,0.023237
1984-02-02,0.813302,0.836541,0.813302,0.833635,264000,0.023237
1984-02-03,0.839446,0.853968,0.839446,0.848157,753600,0.023237
1984-02-06,0.848157,0.865585,0.842351,0.865585,552000,0.023237
1984-02-07,0.885918,0.906252,0.862685,0.906252,331200,0.023237
1984-02-08,0.900441,0.912063,0.871396,0.871396,950400,0.023237
1984-02-09,0.877208,0.894636,0.877208,0.89173,256000,0.023237
1984-02-10,0.89173,0.89173,0.883013,0.883013,1680000,0.023237
1984-02-13,0.877207,0.877207,0.862685,0.865585,352000,0.023237
1984-02-14,0.856874,0.871397,0.842352,0.842352,734400,0.023237
1984-02-15,0.833635,0.853969,0.824924,0.842352,390400,0.023237
