date,open,high,low,close,volume,adjrate
1973-05-03,2.061973,2.120331,2.023068,2.120331,2500,0.155621
1973-05-04,2.100878,2.100878,2.061973,2.061973,200,0.155621
1973-05-07,2.061973,2.061973,2.061973,2.061973,100,0.155621
1973-05-08,2.061973,2.061973,2.003615,2.003615,2700,0.155621
1973-05-09,2.023068,2.061973,2.023068,2.061973,200,0.155621
1973-05-10,2.023068,2.023068,2.023068,2.023068,100,0.155621
1973-05-11,2.023068,2.061973,2.003615,2.061973,400,0.155621
1973-05-14,2.061973,2.120331,2.023068,2.023068,4900,0.155621
1973-05-15,2.003615,2.003615,1.96471,1.96471,1800,0.155621
1973-05-16,1.96471,2.003615,1.96471,1.96471,400,0.155621
1973-05-17,1.96471,1.96471,1.96471,1.96471,500,0.155621
1973-05-18,1.96471,1.96471,1.945257,1.96471,1700,0.155621
1973-05-21,1.964711,2.003616,1.8869,1.906353,1700,0.155621
1973-05-22,1.906352,1.945257,1.867447,1.867447,1100,0.155621
1973-05-23,1.867448,1.8869,1.847995,1.847995,2600,0.155621
1973-05-24,1.847994,1.8869,1.847994,1.867447,1700,0.155621
1973-05-25,1.867447,1.8869,1.867447,1.8869,1400,0.155621
1973-05-29,1.8869,1.906353,1.8869,1.8869,2100,0.155621
1973-05-30,1.8869,1.945258,1.8869,1.945258,2000,0.155621
1973-05-31,1.96471,1.96471,1.96471,1.96471,100,0.155621
1973-06-01,1.945258,1.945258,1.8869,1.8869,1100,0.155621
1973-06-04,1.8869,1.8869,1.867447,1.867447,800,0.155621
1973-06-05,1.867448,1.945258,1.80909,1.945258,1400,0.155621
1973-06-06,2.003615,2.003615,2.003615,2.003615,1000,0.155621
1973-06-07,1.945258,1.945258,1.945258,1.945258,600,0.155621
1973-06-08,1.96471,1.96471,1.96471,1.96471,100,0.155621
1973-06-11,2.003615,2.061973,2.003615,2.061973,2400,0.155621
1973-06-12,2.023068,2.023068,2.003615,2.023068,2000,0.155621
1973-06-13,2.003615,2.003615,2.003615,2.003615,1000,0.155621
1973-06-14,1.964711,1.964711,1.945258,1.945258,300,0.155621
1973-06-15,1.945258,1.945258,1.945258,1.945258,300,0.155621
1973-06-18,1.906353,1.906353,1.847995,1.847995,2600,0.155621
1973-06-19,1.847995,1.847995,1.711827,1.711827,10500,0.155621
1973-06-20,1.750732,1.80909,1.750732,1.80909,500,0.155621
1973-06-21,1.80909,1.847995,1.770185,1.770185,800,0.155621
1973-06-22,1.770185,1.847995,1.770185,1.80909,1300,0.155621
1973-06-25,1.770185,1.770185,1.711827,1.770185,1900,0.155621
1973-06-26,1.770185,1.770185,1.770185,1.770185,300,0.155621
1973-06-27,1.770185,1.770185,1.770185,1.770185,1200,0.155621
1973-06-28,1.750732,1.750732,1.711827,1.711827,4300,0.155621
1973-06-29,1.711827,1.770185,1.711827,1.770185,1000,0.155621
1973-07-02,1.750733,1.750733,1.634017,1.634017,2800,0.155621
1973-07-03,1.653469,1.692374,1.653469,1.692374,500,0.155621
1973-07-05,1.692374,1.692374,1.692374,1.692374,1200,0.155621
1973-07-06,1.711827,1.711827,1.711827,1.711827,1000,0.155621
1973-07-09,1.711827,1.770185,1.711827,1.770185,800,0.155621
1973-07-10,1.770185,1.80909,1.750732,1.750732,900,0.155621
1973-07-11,1.711827,1.711827,1.692374,1.711827,1300,0.155621
1973-07-12,1.711827,1.770185,1.711827,1.770185,2300,0.155621
1973-07-13,1.770185,1.770185,1.770185,1.770185,0,0.155621
1973-07-16,1.770185,1.770185,1.750732,1.770185,900,0.155621
1973-07-17,1.80909,1.847995,1.80909,1.80909,1000,0.155621
1973-07-18,1.80909,1.867448,1.80909,1.80909,2400,0.155621
1973-07-19,1.867447,2.120331,1.867447,2.061973,6200,0.155621
1973-07-20,2.061973,2.061973,2.003615,2.061973,4600,0.155621
1973-07-23,2.061973,2.120331,2.023068,2.023068,2400,0.155621
1973-07-24,2.023068,2.061973,1.96471,1.96471,700,0.155621
1973-07-25,2.003615,2.061973,2.003615,2.003615,700,0.155621
1973-07-26,2.003616,2.120331,1.945258,2.120331,2600,0.155621
1973-07-27,2.120331,2.159236,2.120331,2.159236,800,0.155621
1973-07-30,2.120331,2.120331,2.061973,2.100878,2300,0.155621
1973-07-31,2.100878,2.12033,2.003615,2.003615,2300,0.155621
1973-08-01,2.003615,2.003615,2.003615,2.003615,300,0.155621
1973-08-02,2.003615,2.003615,2.003615,2.003615,300,0.155621
1973-08-03,2.003615,2.003615,1.96471,2.003615,200,0.155621
1973-08-06,2.003615,2.061973,1.945257,2.003615,3300,0.155621
1973-08-07,2.003615,2.061973,1.96471,2.061973,600,0.155621
1973-08-08,2.023068,2.023068,2.003615,2.003615,200,0.155621
1973-08-09,2.003615,2.003615,2.003615,2.003615,0,0.155621
1973-08-10,2.003615,2.061973,2.003615,2.003615,1500,0.155621
1973-08-13,2.003615,2.003615,2.003615,2.003615,1000,0.155621
1973-08-14,1.96471,1.96471,1.96471,1.96471,400,0.155621
1973-08-15,1.96471,2.003615,1.96471,2.003615,900,0.155621
1973-08-16,2.003615,2.003615,1.945257,2.003615,1500,0.155621
1973-08-17,1.964711,1.964711,1.945258,1.945258,1200,0.155621
1973-08-20,2.003615,2.003615,2.003615,2.003615,100,0.155621
1973-08-21,1.945258,1.945258,1.945258,1.945258,300,0.155621
1973-08-22,1.945258,1.945258,1.847995,1.847995,2000,0.155621
1973-08-23,1.867447,1.867447,1.867447,1.867447,300,0.155621
1973-08-24,1.867448,1.8869,1.847995,1.847995,1600,0.155621
1973-08-27,1.847995,1.847995,1.80909,1.80909,200,0.155621
1973-08-28,1.80909,1.80909,1.80909,1.80909,0,0.155621
1973-08-29,1.80909,1.80909,1.770185,1.80909,2000,0.155621
1973-08-30,1.80909,1.847995,1.80909,1.847995,200,0.155621
1973-08-31,1.847995,1.8869,1.847995,1.8869,500,0.155621
1973-09-04,1.8869,1.906353,1.8869,1.8869,200,0.155621
1973-09-05,1.945258,1.964711,1.945258,1.945258,1000,0.155621
1973-09-06,1.945258,1.964711,1.906353,1.906353,2100,0.155621
1973-09-07,1.906353,1.906353,1.8869,1.8869,1900,0.155621
1973-09-10,1.8869,1.8869,1.8869,1.8869,1100,0.155621
1973-09-11,1.8869,1.906353,1.8869,1.906353,1200,0.155621
1973-09-12,1.8869,1.8869,1.8869,1.8869,200,0.155621
1973-09-13,1.8869,1.945258,1.8869,1.945258,1000,0.155621
1973-09-14,1.945258,1.945258,1.8869,1.945258,3200,0.155621
1973-09-17,1.8869,1.8869,1.8869,1.8869,1200,0.155621
1973-09-18,1.8869,1.945258,1.867448,1.945258,3500,0.155621
1973-09-19,2.003615,2.003615,2.003615,2.003615,1400,0.155621
1973-09-20,2.003615,2.100878,1.945257,2.100878,6600,0.155621
