date,open,high,low,close,volume,adjrate
1990-03-26,1.696781,1.724594,1.696781,1.724594,1022400,0.074176
1990-03-27,1.70605,1.733869,1.70605,1.733869,2573600,0.074176
1990-03-28,1.743138,1.752407,1.724594,1.752407,437600,0.074176
1990-03-29,1.733869,1.733869,1.733869,1.733869,97600,0.074176
1990-03-30,1.733869,1.743138,1.733869,1.743138,768000,0.074176
1990-04-02,1.743138,1.743138,1.715319,1.715319,698400,0.074176
1990-04-03,1.724594,1.724594,1.715319,1.715319,154400,0.074176
1990-04-04,1.715319,1.724594,1.641143,1.715319,952800,0.074176
1990-04-05,1.696781,1.715319,1.687506,1.696781,519200,0.074176
1990-04-06,1.687506,1.70605,1.678231,1.678231,1216800,0.074176
1990-04-09,1.678231,1.696781,1.678231,1.687506,489600,0.074176
1990-04-10,1.678231,1.696781,1.678231,1.678231,544800,0.074176
1990-04-11,1.678231,1.696781,1.678231,1.687506,264000,0.074176
1990-04-12,1.696781,1.715319,1.687506,1.715319,363200,0.074176
1990-04-16,1.696781,1.743138,1.696781,1.733869,273600,0.074176
1990-04-17,1.733869,1.743138,1.733869,1.743138,212000,0.074176
1990-04-18,1.733869,1.733869,1.715319,1.724594,715200,0.074176
1990-04-19,1.724594,1.724594,1.70605,1.70605,993600,0.074176
1990-04-20,1.70605,1.724594,1.687506,1.696781,851200,0.074176
1990-04-23,1.70605,1.70605,1.687506,1.696781,528000,0.074176
1990-04-24,1.687506,1.70605,1.687506,1.70605,876800,0.074176
1990-04-25,1.696781,1.70605,1.687506,1.70605,455200,0.074176
1990-04-26,1.696781,1.70605,1.687506,1.70605,1266400,0.074176
1990-04-27,1.70605,1.70605,1.687506,1.696781,651200,0.074176
1990-04-30,1.70605,1.715319,1.696781,1.715319,284000,0.074176
1990-05-01,1.696781,1.724594,1.696781,1.70605,3185600,0.074176
1990-05-02,1.70605,1.715319,1.696781,1.696781,469600,0.074176
1990-05-03,1.696781,1.70605,1.696781,1.70605,2809600,0.074176
1990-05-04,1.696781,1.715319,1.696781,1.715319,412000,0.074176
1990-05-07,1.70605,1.743138,1.70605,1.743138,356800,0.074176
1990-05-08,1.743138,1.808045,1.743138,1.789495,758400,0.074176
1990-05-09,1.780226,1.808045,1.780226,1.808045,331200,0.074176
1990-05-10,1.79877,1.808045,1.79877,1.808045,271200,0.074176
1990-05-11,1.808045,1.817314,1.79877,1.808045,637600,0.074176
1990-05-14,1.817314,1.835858,1.79877,1.835858,909600,0.074176
1990-05-15,1.845133,1.845133,1.826583,1.845133,293600,0.074176
1990-05-16,1.854402,1.882221,1.835858,1.882221,565600,0.074176
1990-05-17,1.89149,1.928578,1.882221,1.919309,796800,0.074176
1990-05-18,1.919309,1.928578,1.900759,1.900759,548800,0.074176
1990-05-21,1.910034,1.928578,1.910034,1.910034,604000,0.074176
1990-05-22,1.928578,1.928578,1.900759,1.900759,424800,0.074176
1990-05-23,1.900759,1.910034,1.882221,1.882221,304800,0.074176
1990-05-24,1.882221,1.900759,1.882221,1.882221,80800,0.074176
1990-05-25,1.882221,1.882221,1.863671,1.872946,357600,0.074176
1990-05-29,1.872946,1.89149,1.854402,1.882221,1158400,0.074176
1990-05-30,1.882221,1.882221,1.835858,1.835858,584000,0.074176
1990-05-31,1.845133,1.845133,1.835858,1.845133,265600,0.074176
1990-06-01,1.845133,1.863671,1.835858,1.854402,360000,0.074176
1990-06-04,1.863671,1.882221,1.863671,1.872946,216000,0.074176
1990-06-05,1.882221,1.900759,1.872946,1.900759,329600,0.074176
1990-06-06,1.900759,1.900759,1.89149,1.900759,937600,0.074176
1990-06-07,1.89149,1.900759,1.854402,1.863671,962400,0.074176
1990-06-08,1.863671,1.882221,1.854402,1.872946,1682400,0.074176
1990-06-11,1.884195,1.921691,1.884195,1.921691,419200,0.074993
1990-06-12,1.912321,1.968565,1.912321,1.949817,905600,0.074993
1990-06-13,1.959188,1.968565,1.949817,1.949817,351200,0.074993
1990-06-14,1.940446,1.949817,1.921692,1.931069,152800,0.074993
1990-06-15,1.921692,1.959188,1.91232,1.959188,425600,0.074993
1990-06-18,1.940446,1.959188,1.940446,1.940446,162400,0.074993
1990-06-19,1.940446,1.977942,1.940446,1.968565,751200,0.074993
1990-06-20,1.977942,1.987313,1.968565,1.987313,157600,0.074993
1990-06-21,1.987313,1.987313,1.968565,1.977942,932000,0.074993
1990-06-22,1.968565,1.977942,1.921692,1.940446,398400,0.074993
1990-06-25,1.940446,1.959188,1.921692,1.959188,539200,0.074993
1990-06-26,1.959188,1.959188,1.940446,1.949817,428000,0.074993
1990-06-27,1.940446,1.949817,1.940446,1.949817,640800,0.074993
1990-06-28,1.949817,1.949817,1.940446,1.940446,156800,0.074993
1990-06-29,1.949817,1.968565,1.940446,1.968565,268000,0.074993
1990-07-02,1.959188,1.977942,1.959188,1.968565,47200,0.074993
1990-07-03,1.959188,1.996684,1.959188,1.968565,336800,0.074993
1990-07-05,1.977942,1.977942,1.968565,1.968565,272000,0.074993
1990-07-06,1.977942,1.977942,1.959188,1.977942,64800,0.074993
1990-07-09,1.996685,2.015439,1.996685,2.015439,81600,0.074993
1990-07-10,2.02481,2.043558,2.006062,2.02481,204800,0.074993
1990-07-11,2.02481,2.034181,2.02481,2.02481,56000,0.074993
1990-07-12,2.043558,2.043558,2.034181,2.034181,139200,0.074993
1990-07-13,2.034181,2.052935,2.034181,2.034181,267200,0.074993
1990-07-16,2.034181,2.062306,2.02481,2.052935,112000,0.074993
1990-07-17,2.052935,2.062306,2.043558,2.052935,272000,0.074993
1990-07-18,2.043558,2.043558,2.034181,2.034181,136800,0.074993
1990-07-19,2.015439,2.02481,1.987314,2.006062,396000,0.074993
