date,open,high,low,close,volume,adjrate
1986-07-09,1.060609,1.069953,1.055935,1.055935,317800,0.018689
1986-07-10,1.055935,1.065279,1.055935,1.065279,494100,0.018689
1986-07-11,1.055935,1.065279,1.055935,1.055935,194400,0.018689
1986-07-14,1.055935,1.060609,1.051265,1.055935,656100,0.018689
1986-07-15,1.051265,1.060609,1.046591,1.060609,2565600,0.018689
1986-07-16,1.060609,1.060609,1.051265,1.051265,451500,0.018689
1986-07-17,1.051265,1.055935,1.051265,1.051265,394800,0.018689
1986-07-18,1.051265,1.060609,1.051265,1.055935,658000,0.018689
1986-07-21,1.055935,1.060609,1.055935,1.055935,208500,0.018689
1986-07-22,1.055934,1.060608,1.032576,1.032576,1350600,0.018689
1986-07-23,1.04192,1.04192,1.013884,1.013884,1168300,0.018689
1986-07-24,1.013884,1.016223,0.957816,0.957816,2188900,0.018689
1986-07-25,0.957816,0.967164,0.911096,0.915766,1247400,0.018689
1986-07-28,0.915766,0.915766,0.906422,0.915766,398800,0.018689
1986-07-29,0.911096,0.911096,0.894743,0.897078,1101600,0.018689
1986-07-30,0.897078,0.901752,0.87839,0.88306,868600,0.018689
1986-07-31,0.88306,0.88306,0.869046,0.87839,411000,0.018689
1986-08-01,0.869046,0.87839,0.869046,0.869046,595300,0.018689
1986-08-04,0.869046,0.869046,0.817648,0.826996,2300400,0.018689
1986-08-05,0.817648,0.826996,0.79429,0.79429,411000,0.018689
1986-08-06,0.79429,0.79896,0.79429,0.79896,172000,0.018689
1986-08-07,0.79429,0.803634,0.79429,0.803634,93100,0.018689
1986-08-08,0.79429,0.79429,0.79429,0.79429,137700,0.018689
1986-08-11,0.79896,0.79896,0.79429,0.79429,91000,0.018689
1986-08-12,0.79896,0.803634,0.79429,0.803634,180100,0.018689
1986-08-13,0.803634,0.83634,0.803634,0.831666,884800,0.018689
1986-08-14,0.83634,0.855028,0.83634,0.855028,886900,0.018689
1986-08-15,0.859698,0.859698,0.850354,0.859698,153900,0.018689
1986-08-18,0.859698,0.864372,0.859698,0.864372,52600,0.018689
1986-08-19,0.850354,0.866707,0.850354,0.862037,694500,0.018689
1986-08-20,0.859698,0.869046,0.859698,0.859698,216600,0.018689
1986-08-21,0.869046,0.873716,0.864372,0.873716,78900,0.018689
1986-08-22,0.873716,0.87839,0.864372,0.869046,344200,0.018689
1986-08-25,0.87839,0.87839,0.869046,0.873716,238900,0.018689
1986-08-26,0.873716,0.873716,0.869046,0.873716,1858900,0.018689
1986-08-27,0.869046,0.873716,0.869046,0.869046,625600,0.018689
1986-08-28,0.873716,0.873716,0.864372,0.873716,162000,0.018689
1986-08-29,0.864372,0.873716,0.850354,0.850354,463600,0.018689
1986-09-02,0.859698,0.859698,0.812978,0.817648,986100,0.018689
1986-09-03,0.812978,0.831666,0.812978,0.822322,645900,0.018689
1986-09-04,0.817648,0.826996,0.817648,0.822322,921300,0.018689
1986-09-05,0.822322,0.826996,0.822322,0.826996,157900,0.018689
1986-09-08,0.822322,0.831666,0.822322,0.831666,133600,0.018689
1986-09-09,0.826996,0.83634,0.826996,0.831666,212500,0.018689
1986-09-10,0.83634,0.84101,0.831666,0.84101,131500,0.018689
1986-09-11,0.84101,0.84101,0.826996,0.826996,390700,0.018689
1986-09-12,0.83634,0.83634,0.812978,0.812978,463600,0.018689
1986-09-15,0.812978,0.822322,0.789616,0.789616,670200,0.018689
1986-09-16,0.789616,0.789616,0.766254,0.775598,378600,0.018689
1986-09-17,0.770928,0.780272,0.770928,0.770928,471700,0.018689
1986-09-18,0.770928,0.780272,0.770928,0.770928,135600,0.018689
1986-09-19,0.770928,0.780272,0.766254,0.780272,882900,0.018689
1986-09-22,0.770928,0.780272,0.770928,0.780272,299700,0.018689
1986-09-23,0.775598,0.780272,0.775598,0.780272,186300,0.018689
1986-09-24,0.780272,0.780272,0.775598,0.775598,115300,0.018689
1986-09-25,0.775598,0.782607,0.775598,0.782607,336100,0.018689
1986-09-26,0.784942,0.784942,0.780272,0.780272,380700,0.018689
1986-09-29,0.780272,0.784942,0.775598,0.775598,1142100,0.018689
1986-09-30,0.775598,0.784942,0.775598,0.775598,97200,0.018689
1986-10-01,0.784942,0.789616,0.780272,0.789616,334000,0.018689
1986-10-02,0.789616,0.789616,0.780272,0.780272,176100,0.018689
1986-10-03,0.789616,0.79429,0.780272,0.784942,269200,0.018689
1986-10-06,0.79429,0.79429,0.784942,0.784942,186300,0.018689
1986-10-07,0.784942,0.789616,0.784942,0.784942,281400,0.018689
1986-10-08,0.784942,0.789616,0.784942,0.789616,374500,0.018689
1986-10-09,0.789616,0.79896,0.789616,0.789616,285400,0.018689
1986-10-10,0.789616,0.79896,0.789616,0.79429,119400,0.018689
1986-10-13,0.803634,0.803634,0.79429,0.79429,56700,0.018689
1986-10-14,0.803634,0.817648,0.803634,0.817648,528400,0.018689
1986-10-15,0.808304,0.822322,0.808304,0.822322,441400,0.018689
1986-10-16,0.817648,0.831666,0.817648,0.826996,378600,0.018689
1986-10-17,0.822322,0.826996,0.822322,0.822322,1022500,0.018689
1986-10-20,0.822322,0.826996,0.822322,0.826996,1856800,0.018689
1986-10-21,0.826996,0.83634,0.822322,0.83634,700600,0.018689
1986-10-22,0.831666,0.84101,0.831666,0.84101,247000,0.018689
1986-10-23,0.84101,0.859698,0.83634,0.850354,453600,0.018689
1986-10-24,0.850354,0.859698,0.850354,0.859698,330000,0.018689
1986-10-27,0.859698,0.87839,0.855028,0.869046,405000,0.018689
1986-10-28,0.87839,0.887734,0.87839,0.88306,437400,0.018689
1986-10-29,0.87839,0.887734,0.87839,0.88306,548700,0.018689
1986-10-30,0.887734,0.892404,0.88306,0.892404,93100,0.018689
1986-10-31,0.892404,0.892404,0.88306,0.887734,2065500,0.018689
1986-11-03,0.887734,0.887734,0.88306,0.887734,95100,0.018689
1986-11-04,0.88306,0.892404,0.88306,0.887734,376600,0.018689
1986-11-05,0.892404,0.92044,0.892404,0.911096,1812300,0.018689
1986-11-06,0.92511,0.92511,0.911096,0.92044,101200,0.018689
1986-11-07,0.911096,0.92044,0.911096,0.911096,249000,0.018689
1986-11-10,0.911096,0.915766,0.911096,0.915766,366400,0.018689
1986-11-11,0.915766,0.915766,0.911096,0.915766,162000,0.018689
1986-11-12,0.911096,0.92044,0.887734,0.892404,2369200,0.018689
1986-11-13,0.887734,0.894743,0.887734,0.887734,1575400,0.018689
1986-11-14,0.887734,0.894743,0.887734,0.890069,303700,0.018689
1986-11-17,0.887734,0.894743,0.887734,0.894743,311800,0.018689
1986-11-18,0.887734,0.897078,0.887734,0.887734,862600,0.018689
1986-11-19,0.897078,0.897078,0.87839,0.885399,961800,0.018689
1986-11-20,0.887734,0.887734,0.871381,0.873716,202500,0.018689
1986-11-21,0.873716,0.88306,0.873716,0.87839,427200,0.018689
1986-11-24,0.88306,0.88306,0.864372,0.869046,405000,0.018689
1986-11-25,0.864372,0.87839,0.864372,0.87839,479800,0.018689
