date,open,high,low,close,volume,adjrate
1972-06-01,0.490513,0.49625,0.490513,0.49625,318600,0.005737
1972-06-02,0.49625,0.50127,0.494816,0.494816,140400,0.005737
1972-06-05,0.496254,0.496973,0.479712,0.489062,469800,0.005754
1972-06-06,0.484747,0.484747,0.483309,0.484747,140400,0.005754
1972-06-07,0.484747,0.485466,0.480432,0.48187,178200,0.005754
1972-06-08,0.48187,0.483308,0.478993,0.48187,432000,0.005754
1972-06-09,0.48187,0.483308,0.481151,0.482589,199800,0.005754
1972-06-12,0.482589,0.483309,0.480432,0.481151,183600,0.005754
1972-06-13,0.481871,0.486905,0.481871,0.486905,415800,0.005754
1972-06-14,0.488343,0.493377,0.488343,0.491939,216000,0.005754
1972-06-15,0.491939,0.493378,0.489782,0.490501,178200,0.005754
1972-06-16,0.4905,0.493377,0.487623,0.489781,183600,0.005754
1972-06-19,0.489781,0.491939,0.484747,0.488343,324000,0.005754
1972-06-20,0.488343,0.489062,0.486185,0.488343,129600,0.005754
1972-06-21,0.488343,0.491939,0.486904,0.489062,356400,0.005754
1972-06-22,0.489062,0.492658,0.487624,0.491939,324000,0.005754
1972-06-23,0.491939,0.495535,0.491939,0.494816,275400,0.005754
1972-06-26,0.494816,0.494816,0.490501,0.490501,194400,0.005754
1972-06-27,0.490501,0.491939,0.487624,0.487624,669600,0.005754
1972-06-28,0.487624,0.488343,0.486186,0.486905,75600,0.005754
1972-06-29,0.486905,0.489782,0.480432,0.486905,280800,0.005754
1972-06-30,0.486904,0.489062,0.481151,0.482589,135000,0.005754
1972-07-03,0.482589,0.483308,0.478993,0.48187,216000,0.005754
1972-07-05,0.48187,0.482589,0.476116,0.482589,372600,0.005754
1972-07-06,0.48259,0.492658,0.48259,0.487624,793800,0.005754
1972-07-07,0.486905,0.486905,0.480432,0.480432,259200,0.005754
1972-07-10,0.480432,0.484747,0.476117,0.480432,372600,0.005754
1972-07-11,0.480432,0.485466,0.478274,0.484028,1080000,0.005754
1972-07-12,0.484028,0.486905,0.484028,0.484747,367200,0.005754
1972-07-13,0.484747,0.487624,0.48187,0.487624,302400,0.005754
1972-07-14,0.488343,0.506323,0.488343,0.504885,993600,0.005754
1972-07-17,0.504885,0.5092,0.49985,0.502008,561600,0.005754
1972-07-18,0.502008,0.502008,0.494816,0.496254,302400,0.005754
1972-07-19,0.496255,0.497693,0.490501,0.490501,356400,0.005754
1972-07-20,0.489062,0.489062,0.486185,0.486185,243000,0.005754
1972-07-21,0.486186,0.489782,0.484747,0.487624,275400,0.005754
1972-07-24,0.487624,0.490501,0.487624,0.488343,410400,0.005754
1972-07-25,0.489062,0.492658,0.489062,0.489781,469800,0.005754
1972-07-26,0.489782,0.493378,0.489782,0.493378,145800,0.005754
1972-07-27,0.493377,0.509919,0.491939,0.5092,739800,0.005754
1972-07-28,0.5092,0.510638,0.503446,0.503446,318600,0.005754
1972-07-31,0.503446,0.506323,0.501289,0.502727,167400,0.005754
1972-08-01,0.502728,0.507762,0.501289,0.507762,783000,0.005754
1972-08-02,0.507762,0.514954,0.506323,0.512077,523800,0.005754
1972-08-03,0.512077,0.512796,0.504885,0.506323,410400,0.005754
1972-08-04,0.506323,0.506323,0.497692,0.506323,432000,0.005754
1972-08-07,0.505604,0.505604,0.50057,0.505604,151200,0.005754
1972-08-08,0.505604,0.505604,0.501289,0.502727,329400,0.005754
1972-08-09,0.502727,0.504165,0.495535,0.503446,669600,0.005754
1972-08-10,0.503446,0.503446,0.501288,0.503446,372600,0.005754
1972-08-11,0.503447,0.506324,0.502008,0.504166,480600,0.005754
1972-08-14,0.505605,0.514235,0.505605,0.507043,756000,0.005754
1972-08-15,0.507042,0.510638,0.504885,0.505604,291600,0.005754
1972-08-16,0.505604,0.507762,0.504166,0.504166,194400,0.005754
1972-08-17,0.504166,0.507043,0.504166,0.504885,280800,0.005754
1972-08-18,0.504885,0.506323,0.503446,0.505604,923400,0.005754
1972-08-21,0.505604,0.507762,0.504885,0.507762,378000,0.005754
1972-08-22,0.507762,0.510639,0.506324,0.507762,248400,0.005754
1972-08-23,0.507761,0.511357,0.506323,0.506323,172800,0.005754
1972-08-24,0.506323,0.507762,0.50057,0.502008,691200,0.005754
1972-08-25,0.502008,0.503446,0.497693,0.502008,491400,0.005754
1972-08-28,0.502008,0.503446,0.49985,0.49985,210600,0.005754
1972-08-29,0.501289,0.506324,0.501289,0.504166,286200,0.005754
1972-08-30,0.504166,0.505604,0.50057,0.50057,329400,0.005754
1972-08-31,0.499131,0.499131,0.496254,0.496254,270000,0.005754
1972-09-01,0.497698,0.501304,0.495534,0.501304,507600,0.00577
1972-09-05,0.49914,0.49914,0.496255,0.496255,113400,0.00577
1972-09-06,0.496254,0.499139,0.49409,0.495533,799200,0.00577
1972-09-07,0.495533,0.496976,0.492648,0.492648,156600,0.00577
1972-09-08,0.492648,0.49337,0.489042,0.489763,178200,0.00577
1972-09-11,0.489763,0.489763,0.486157,0.489763,216000,0.00577
1972-09-12,0.489763,0.490484,0.487599,0.48832,426600,0.00577
1972-09-13,0.487599,0.487599,0.486878,0.487599,221400,0.00577
1972-09-14,0.487599,0.490484,0.486877,0.48832,567000,0.00577
1972-09-15,0.48832,0.489041,0.4775,0.478943,750600,0.00577
1972-09-18,0.478944,0.478944,0.469567,0.474616,637200,0.00577
1972-09-19,0.474616,0.474616,0.468124,0.468124,275400,0.00577
1972-09-20,0.467402,0.467402,0.463075,0.466681,324000,0.00577
1972-09-21,0.466682,0.467403,0.463075,0.467403,378000,0.00577
1972-09-22,0.467402,0.468845,0.457304,0.459468,372600,0.00577
1972-09-25,0.459468,0.461632,0.450091,0.450091,2748600,0.00577
1972-09-26,0.450091,0.455862,0.447206,0.454419,712800,0.00577
1972-09-27,0.457305,0.476059,0.457305,0.474616,696600,0.00577
1972-09-28,0.477501,0.481107,0.477501,0.477501,1204200,0.00577
1972-09-29,0.477501,0.481828,0.477501,0.481107,189000,0.00577
1972-10-02,0.481107,0.481829,0.470288,0.473173,891000,0.00577
1972-10-03,0.47173,0.47173,0.468124,0.471009,680400,0.00577
1972-10-04,0.473173,0.476059,0.473173,0.474616,1096200,0.00577
1972-10-05,0.473895,0.473895,0.471009,0.472452,545400,0.00577
1972-10-06,0.472452,0.478943,0.471009,0.476058,993600,0.00577
1972-10-09,0.476058,0.476779,0.473894,0.476779,459000,0.00577
1972-10-10,0.476779,0.478943,0.473894,0.476058,982800,0.00577
1972-10-11,0.476058,0.478943,0.473173,0.475337,1166400,0.00577
1972-10-12,0.474615,0.474615,0.468845,0.468845,243000,0.00577
1972-10-13,0.467402,0.467402,0.46091,0.462353,820800,0.00577
1972-10-16,0.462353,0.462353,0.458747,0.459468,329400,0.00577
1972-10-17,0.459468,0.461632,0.458747,0.460911,815400,0.00577
1972-10-18,0.462354,0.468124,0.462354,0.467403,793800,0.00577
1972-10-19,0.467402,0.468845,0.465239,0.468845,448200,0.00577
1972-10-20,0.468846,0.470288,0.466682,0.467403,199800,0.00577
1972-10-23,0.467403,0.478943,0.467403,0.473173,513000,0.00577
1972-10-24,0.473173,0.480386,0.466681,0.480386,1382400,0.00577
1972-10-25,0.480386,0.490484,0.478943,0.486156,648000,0.00577
1972-10-26,0.487598,0.49409,0.487598,0.489041,1485000,0.00577
1972-10-27,0.489041,0.489762,0.481828,0.483992,734400,0.00577
1972-10-30,0.483993,0.483993,0.477501,0.479665,291600,0.00577
1972-10-31,0.479664,0.481828,0.478943,0.481828,939600,0.00577
1972-11-01,0.481828,0.483271,0.478943,0.481828,966600,0.00577
1972-11-02,0.481828,0.486878,0.481107,0.485435,491400,0.00577
1972-11-03,0.485435,0.494812,0.483992,0.493369,729000,0.00577
1972-11-06,0.49337,0.496255,0.491206,0.491927,561600,0.00577
1972-11-08,0.491927,0.496255,0.491206,0.494091,372600,0.00577
1972-11-09,0.494091,0.494812,0.490484,0.494812,837000,0.00577
1972-11-10,0.494812,0.499139,0.493369,0.493369,648000,0.00577
1972-11-13,0.493369,0.496976,0.491927,0.494812,270000,0.00577
1972-11-14,0.494812,0.502025,0.49337,0.501304,1171800,0.00577
1972-11-15,0.501304,0.502746,0.499861,0.499861,783000,0.00577
1972-11-16,0.499861,0.50491,0.498418,0.502746,491400,0.00577
1972-11-17,0.512123,0.524385,0.512123,0.518615,2052000,0.00577
1972-11-20,0.518615,0.519336,0.516451,0.518615,955800,0.00577
1972-11-21,0.518615,0.518615,0.508517,0.508517,1042200,0.00577
1972-11-22,0.508516,0.512844,0.507795,0.509959,405000,0.00577
1972-11-24,0.509959,0.512123,0.508517,0.509238,145800,0.00577
1972-11-27,0.509237,0.51068,0.507795,0.51068,399600,0.00577
1972-11-28,0.509959,0.509959,0.506352,0.507795,361800,0.00577
1972-11-29,0.507074,0.507074,0.50491,0.506353,772200,0.00577
1972-11-30,0.506352,0.506352,0.501303,0.502746,388800,0.00577
1972-12-01,0.502746,0.50491,0.499861,0.502746,864000,0.00577
1972-12-04,0.504193,0.507087,0.502746,0.50564,421200,0.005787
1972-12-05,0.507086,0.508533,0.507086,0.508533,594000,0.005787
1972-12-06,0.508533,0.513597,0.50781,0.513597,777600,0.005787
1972-12-07,0.513597,0.520107,0.510703,0.520107,1215000,0.005787
1972-12-08,0.520107,0.520107,0.51649,0.517937,718200,0.005787
1972-12-11,0.517937,0.517937,0.510704,0.515044,1495800,0.005787
1972-12-12,0.515044,0.515044,0.511427,0.51215,475200,0.005787
1972-12-13,0.51215,0.51215,0.510704,0.511427,199800,0.005787
1972-12-14,0.511427,0.511427,0.50781,0.509257,599400,0.005787
1972-12-15,0.509257,0.511427,0.509257,0.50998,761400,0.005787
1972-12-18,0.509257,0.509257,0.506364,0.509257,232200,0.005787
1972-12-19,0.506363,0.506363,0.49913,0.502023,793800,0.005787
1972-12-20,0.502023,0.502747,0.49696,0.497683,783000,0.005787
1972-12-21,0.497682,0.498406,0.489725,0.491172,675000,0.005787
1972-12-22,0.491172,0.493342,0.489725,0.493342,1366200,0.005787
1972-12-26,0.493342,0.494066,0.490449,0.491172,421200,0.005787
1972-12-27,0.491896,0.496236,0.491896,0.496236,810000,0.005787
1972-12-29,0.497683,0.504193,0.497683,0.504193,858600,0.005787
1973-01-02,0.504916,0.508533,0.504916,0.508533,1296000,0.005787
1973-01-03,0.507809,0.507809,0.504916,0.504916,372600,0.005787
1973-01-04,0.502023,0.502023,0.493342,0.496959,572400,0.005787
1973-01-05,0.496959,0.496959,0.491896,0.494066,675000,0.005787
1973-01-08,0.494066,0.496959,0.491896,0.496236,1026000,0.005787
1973-01-09,0.494066,0.494066,0.490449,0.491172,280800,0.005787
1973-01-10,0.490448,0.490448,0.486832,0.487555,394200,0.005787
1973-01-11,0.487556,0.49913,0.486832,0.491896,1927800,0.005787
1973-01-12,0.494789,0.499129,0.494789,0.496959,1150200,0.005787
1973-01-15,0.496959,0.496959,0.491896,0.496236,313200,0.005787
1973-01-16,0.496236,0.496236,0.490449,0.496236,1074600,0.005787
1973-01-17,0.496236,0.50347,0.493343,0.50347,1279800,0.005787
1973-01-18,0.503469,0.509256,0.500576,0.508533,399600,0.005787
1973-01-19,0.508533,0.509256,0.501299,0.502746,583200,0.005787
1973-01-22,0.502746,0.507086,0.499129,0.502746,939600,0.005787
1973-01-23,0.50347,0.50564,0.50347,0.50564,2181600,0.005787
1973-01-24,0.50564,0.50781,0.497683,0.497683,1992600,0.005787
1973-01-26,0.497683,0.497683,0.490449,0.490449,491400,0.005787
1973-01-29,0.490449,0.490449,0.477428,0.477428,442800,0.005787
1973-01-30,0.477428,0.481045,0.472364,0.481045,729000,0.005787
1973-01-31,0.481045,0.485386,0.480322,0.482492,302400,0.005787
1973-02-01,0.482492,0.485385,0.478875,0.478875,545400,0.005787
1973-02-02,0.478875,0.481768,0.475981,0.481768,372600,0.005787
1973-02-05,0.480321,0.480321,0.477428,0.477428,210600,0.005787
1973-02-06,0.477428,0.486109,0.476705,0.486109,928800,0.005787
1973-02-07,0.486109,0.488279,0.480322,0.481045,513000,0.005787
1973-02-08,0.481045,0.486108,0.478875,0.485385,459000,0.005787
1973-02-09,0.485385,0.487555,0.483938,0.485385,313200,0.005787
1973-02-12,0.486109,0.489002,0.486109,0.486832,345600,0.005787
1973-02-13,0.486832,0.491173,0.483939,0.486109,653400,0.005787
1973-02-14,0.486108,0.489725,0.481768,0.481768,302400,0.005787
1973-02-15,0.481768,0.486832,0.481768,0.483215,216000,0.005787
1973-02-16,0.483215,0.487555,0.482491,0.487555,183600,0.005787
1973-02-20,0.488279,0.492619,0.488279,0.488279,896400,0.005787
1973-02-21,0.488278,0.489725,0.484662,0.485385,405000,0.005787
1973-02-22,0.485385,0.485385,0.481045,0.484662,367200,0.005787
1973-02-23,0.484662,0.489003,0.483939,0.483939,658800,0.005787
1973-02-26,0.483939,0.487556,0.480322,0.483939,561600,0.005787
1973-02-27,0.483939,0.483939,0.480322,0.481045,475200,0.005787
1973-02-28,0.481045,0.481768,0.473811,0.477428,675000,0.005787
1973-03-01,0.477428,0.483215,0.477428,0.481768,847800,0.005787
1973-03-02,0.481768,0.483215,0.475981,0.481768,469800,0.005787
1973-03-05,0.483336,0.486239,0.479707,0.486239,507600,0.005806
1973-03-06,0.486239,0.492045,0.485513,0.492045,658800,0.005806
1973-03-07,0.492045,0.500754,0.490593,0.497125,712800,0.005806
1973-03-08,0.497851,0.504382,0.497851,0.502205,621000,0.005806
1973-03-09,0.502205,0.504382,0.501479,0.504382,534600,0.005806
1973-03-12,0.504383,0.504383,0.500754,0.500754,561600,0.005806
1973-03-13,0.500754,0.505108,0.500754,0.505108,1263600,0.005806
1973-03-14,0.505834,0.51672,0.505834,0.51672,1036800,0.005806
1973-03-15,0.516719,0.521073,0.511639,0.511639,1139400,0.005806
1973-03-16,0.51164,0.513817,0.50656,0.508737,561600,0.005806
1973-03-19,0.508737,0.513091,0.508011,0.510188,685800,0.005806
1973-03-20,0.510188,0.511639,0.506559,0.506559,1593000,0.005806
1973-03-21,0.506559,0.508011,0.499302,0.499302,1198800,0.005806
1973-03-22,0.496399,0.496399,0.484787,0.484787,4552200,0.005806
1973-03-23,0.484787,0.486239,0.473901,0.48261,1641600,0.005806
1973-03-26,0.48261,0.484788,0.476079,0.478256,2035800,0.005806
1973-03-27,0.479707,0.486239,0.479707,0.483336,1150200,0.005806
1973-03-28,0.483336,0.486239,0.476805,0.481885,696600,0.005806
1973-03-29,0.483336,0.494948,0.483336,0.494948,1107000,0.005806
1973-03-30,0.494948,0.496399,0.482611,0.484062,448200,0.005806
1973-04-02,0.483336,0.483336,0.476805,0.478982,772200,0.005806
1973-04-03,0.478981,0.481884,0.476078,0.479707,1620000,0.005806
1973-04-04,0.476805,0.476805,0.47245,0.473176,1512000,0.005806
1973-04-05,0.473176,0.478982,0.470999,0.478982,696600,0.005806
1973-04-06,0.478981,0.481884,0.475353,0.479707,1085400,0.005806
1973-04-09,0.479708,0.483336,0.474628,0.481885,896400,0.005806
1973-04-10,0.486965,0.493496,0.486965,0.492045,1107000,0.005806
1973-04-11,0.48769,0.48769,0.481884,0.48769,658800,0.005806
1973-04-12,0.487691,0.490593,0.474627,0.481159,1036800,0.005806
1973-04-13,0.481159,0.483336,0.475353,0.481159,513000,0.005806
1973-04-16,0.479707,0.479707,0.476805,0.478256,529200,0.005806
1973-04-17,0.478255,0.478981,0.47245,0.476804,540000,0.005806
1973-04-18,0.475353,0.475353,0.470273,0.473902,1236600,0.005806
1973-04-19,0.476079,0.493496,0.476079,0.489142,1047600,0.005806
1973-04-23,0.489142,0.493496,0.487691,0.492045,556200,0.005806
1973-04-24,0.492045,0.500754,0.492045,0.497851,729000,0.005806
1973-04-25,0.49785,0.499302,0.494222,0.495673,367200,0.005806
1973-04-26,0.495673,0.496399,0.488416,0.496399,669600,0.005806
1973-04-27,0.494947,0.494947,0.485513,0.485513,577800,0.005806
1973-04-30,0.485513,0.486239,0.47753,0.486239,399600,0.005806
1973-05-01,0.485513,0.485513,0.481884,0.484787,561600,0.005806
1973-05-02,0.484787,0.489142,0.483336,0.483336,772200,0.005806
1973-05-03,0.483336,0.486238,0.470998,0.484787,1053000,0.005806
1973-05-04,0.48769,0.491319,0.47753,0.48769,621000,0.005806
1973-05-07,0.48769,0.491319,0.481159,0.491319,480600,0.005806
1973-05-08,0.491319,0.491319,0.48769,0.491319,718200,0.005806
1973-05-09,0.491319,0.491319,0.48769,0.48769,729000,0.005806
1973-05-10,0.48769,0.491319,0.481158,0.48769,540000,0.005806
1973-05-11,0.487691,0.487691,0.481159,0.481159,642600,0.005806
1973-05-14,0.481159,0.481159,0.470999,0.470999,912600,0.005806
1973-05-15,0.470998,0.47753,0.46737,0.47753,615600,0.005806
1973-05-16,0.47753,0.47753,0.470998,0.47753,772200,0.005806
1973-05-17,0.47753,0.47753,0.470998,0.47753,302400,0.005806
1973-05-18,0.47753,0.47753,0.470998,0.47753,1209600,0.005806
1973-05-21,0.47753,0.481159,0.470999,0.481159,999000,0.005806
1973-05-22,0.481159,0.487691,0.481159,0.481159,1123200,0.005806
1973-05-23,0.481159,0.487691,0.481159,0.481159,399600,0.005806
1973-05-24,0.481159,0.491319,0.481159,0.491319,637200,0.005806
1973-05-25,0.491319,0.491319,0.48769,0.48769,1026000,0.005806
1973-05-29,0.48769,0.48769,0.481158,0.48769,777600,0.005806
1973-05-30,0.481159,0.481159,0.47753,0.481159,1047600,0.005806
1973-05-31,0.481159,0.487691,0.47753,0.481159,351000,0.005806
1973-06-01,0.481159,0.481159,0.481159,0.481159,345600,0.005806
1973-06-04,0.482732,0.482732,0.462345,0.468898,3445200,0.005825
1973-06-05,0.468898,0.468898,0.462345,0.468898,707400,0.005825
1973-06-06,0.468898,0.468898,0.462345,0.462345,783000,0.005825
1973-06-07,0.462345,0.468898,0.462345,0.468898,1107000,0.005825
1973-06-08,0.468898,0.479091,0.462345,0.479091,648000,0.005825
1973-06-11,0.479091,0.479091,0.468898,0.468898,189000,0.005825
1973-06-12,0.472538,0.489284,0.472538,0.489284,540000,0.005825
1973-06-13,0.489284,0.492924,0.489284,0.489284,664200,0.005825
1973-06-14,0.489284,0.489284,0.482731,0.482731,318600,0.005825
1973-06-15,0.482731,0.482731,0.472538,0.479091,291600,0.005825
1973-06-18,0.472539,0.472539,0.468898,0.468898,426600,0.005825
1973-06-19,0.468898,0.468898,0.458704,0.462345,653400,0.005825
1973-06-20,0.462345,0.462345,0.458704,0.462345,534600,0.005825
1973-06-21,0.462345,0.468898,0.462345,0.468898,594000,0.005825
1973-06-22,0.468898,0.479091,0.468898,0.468898,810000,0.005825
1973-06-25,0.468898,0.468898,0.468898,0.468898,291600,0.005825
1973-06-26,0.468898,0.472538,0.468898,0.472538,610200,0.005825
1973-06-27,0.472538,0.479091,0.468898,0.479091,410400,0.005825
1973-06-28,0.479091,0.482731,0.472538,0.479091,178200,0.005825
1973-06-29,0.479091,0.479091,0.472538,0.479091,302400,0.005825
1973-07-02,0.479091,0.479091,0.472538,0.472538,313200,0.005825
1973-07-03,0.472538,0.472538,0.472538,0.472538,642600,0.005825
1973-07-05,0.472538,0.472538,0.462345,0.462345,853200,0.005825
1973-07-06,0.462345,0.468898,0.462345,0.462345,459000,0.005825
1973-07-09,0.462345,0.462345,0.455064,0.462345,459000,0.005825
1973-07-10,0.462345,0.462345,0.462345,0.462345,275400,0.005825
1973-07-11,0.462345,0.472539,0.462345,0.468898,869400,0.005825
1973-07-12,0.468898,0.472538,0.468898,0.472538,405000,0.005825
1973-07-13,0.472539,0.472539,0.468898,0.468898,183600,0.005825
1973-07-16,0.468898,0.482731,0.468898,0.479091,291600,0.005825
1973-07-17,0.482731,0.489284,0.482731,0.489284,475200,0.005825
1973-07-18,0.489285,0.492925,0.482732,0.492925,475200,0.005825
1973-07-19,0.492924,0.492924,0.489284,0.489284,448200,0.005825
1973-07-20,0.489284,0.489284,0.472538,0.472538,642600,0.005825
1973-07-23,0.472538,0.482731,0.472538,0.479091,480600,0.005825
1973-07-24,0.479091,0.489284,0.472538,0.489284,513000,0.005825
1973-07-25,0.489284,0.489284,0.482731,0.489284,1836000,0.005825
1973-07-26,0.489284,0.492924,0.482731,0.489284,4854600,0.005825
1973-07-27,0.489285,0.492925,0.489285,0.492925,885600,0.005825
1973-07-30,0.492925,0.503118,0.492925,0.503118,518400,0.005825
1973-07-31,0.503118,0.503118,0.496565,0.496565,351000,0.005825
1973-08-01,0.496565,0.496565,0.496565,0.496565,243000,0.005825
1973-08-02,0.496565,0.496565,0.489284,0.489284,594000,0.005825
1973-08-03,0.489285,0.492925,0.489285,0.492925,232200,0.005825
1973-08-06,0.492925,0.492925,0.492925,0.492925,167400,0.005825
1973-08-07,0.492925,0.496566,0.492925,0.492925,156600,0.005825
1973-08-08,0.492924,0.492924,0.489284,0.489284,216000,0.005825
1973-08-09,0.489285,0.492925,0.489285,0.492925,216000,0.005825
1973-08-10,0.492924,0.492924,0.482731,0.489284,210600,0.005825
1973-08-13,0.489284,0.489284,0.482731,0.489284,216000,0.005825
1973-08-14,0.489284,0.489284,0.482731,0.482731,410400,0.005825
1973-08-15,0.482731,0.482731,0.472538,0.472538,480600,0.005825
1973-08-16,0.472538,0.479091,0.472538,0.472538,259200,0.005825
1973-08-17,0.472539,0.472539,0.468898,0.468898,243000,0.005825
1973-08-20,0.468898,0.472539,0.468898,0.468898,216000,0.005825
1973-08-21,0.468898,0.468898,0.462345,0.462345,356400,0.005825
1973-08-22,0.462345,0.462345,0.462345,0.462345,2289600,0.005825
1973-08-23,0.462345,0.468898,0.462345,0.462345,615600,0.005825
1973-08-24,0.462345,0.468898,0.462345,0.462345,513000,0.005825
1973-08-27,0.462345,0.468898,0.462345,0.468898,232200,0.005825
1973-08-28,0.468898,0.472539,0.468898,0.468898,216000,0.005825
1973-08-29,0.472538,0.482731,0.472538,0.479091,372600,0.005825
1973-08-30,0.479091,0.479091,0.472538,0.472538,318600,0.005825
1973-08-31,0.470639,0.48087,0.470639,0.470639,507600,0.005846
1973-09-04,0.474293,0.48087,0.474293,0.474293,291600,0.005846
1973-09-05,0.474293,0.474293,0.470639,0.470639,210600,0.005846
1973-09-06,0.470639,0.48087,0.470639,0.474293,156600,0.005846
1973-09-07,0.474293,0.48087,0.474293,0.474293,324000,0.005846
1973-09-10,0.474294,0.480871,0.47064,0.480871,545400,0.005846
1973-09-11,0.474293,0.474293,0.474293,0.474293,183600,0.005846
1973-09-12,0.474293,0.474293,0.474293,0.474293,102600,0.005846
1973-09-13,0.474293,0.474293,0.470639,0.470639,194400,0.005846
1973-09-14,0.47064,0.480871,0.47064,0.480871,372600,0.005846
1973-09-17,0.480871,0.484525,0.480871,0.484525,723600,0.005846
1973-09-18,0.484525,0.484525,0.480871,0.484525,367200,0.005846
1973-09-19,0.484525,0.494756,0.484525,0.491102,324000,0.005846
1973-09-20,0.491102,0.49841,0.491102,0.494756,615600,0.005846
1973-09-21,0.494756,0.49841,0.494756,0.49841,858600,0.005846
1973-09-24,0.49841,0.515218,0.49841,0.508641,718200,0.005846
1973-09-25,0.508642,0.515219,0.508642,0.515219,918000,0.005846
