date,open,high,low,close,volume,adjrate
1985-07-01,3.422974,3.513392,3.422974,3.513392,200700,0.103335
1985-07-02,3.513393,3.552141,3.500476,3.552141,271300,0.103335
1985-07-03,3.55214,3.565057,3.513392,3.513392,263200,0.103335
1985-07-05,3.526308,3.577978,3.526308,3.577978,102600,0.103335
1985-07-08,3.539224,3.539224,3.513392,3.539224,72900,0.103335
1985-07-09,3.539224,3.539224,3.48756,3.500476,137700,0.103335
1985-07-10,3.48756,3.48756,3.448806,3.474644,81900,0.103335
1985-07-11,3.474644,3.513393,3.474644,3.48756,136500,0.103335
1985-07-12,3.48756,3.513392,3.43589,3.474644,610300,0.103335
1985-07-15,3.461722,3.461722,3.410057,3.43589,392100,0.103335
1985-07-16,3.43589,3.461722,3.397141,3.461722,353200,0.103335
1985-07-17,3.461722,3.539225,3.461722,3.474644,374500,0.103335
1985-07-18,3.474644,3.500476,3.422974,3.448806,125500,0.103335
1985-07-19,3.448806,3.487559,3.448806,3.461722,222000,0.103335
1985-07-22,3.461722,3.461722,3.43589,3.448806,82900,0.103335
1985-07-23,3.448806,3.461722,3.43589,3.448806,180100,0.103335
1985-07-24,3.448806,3.448806,3.43589,3.448806,64900,0.103335
1985-07-25,3.448806,3.461722,3.422974,3.448806,599500,0.103335
1985-07-26,3.461722,3.487559,3.461722,3.461722,107500,0.103335
1985-07-29,3.461722,3.500476,3.461722,3.500476,148000,0.103335
1985-07-30,3.500476,3.500476,3.474644,3.48756,58000,0.103335
1985-07-31,3.48756,3.500476,3.474644,3.48756,54600,0.103335
1985-08-01,3.48756,3.539224,3.474644,3.526308,191200,0.103335
1985-08-02,3.526308,3.565057,3.526308,3.526308,64000,0.103335
1985-08-05,3.526308,3.539224,3.48756,3.500476,173400,0.103335
1985-08-06,3.500476,3.526308,3.461723,3.48756,373500,0.103335
1985-08-07,3.48756,3.513393,3.48756,3.48756,193600,0.103335
1985-08-08,3.48756,3.526308,3.48756,3.526308,155800,0.103335
1985-08-09,3.526308,3.55214,3.513392,3.513392,64800,0.103335
1985-08-12,3.513392,3.539224,3.500476,3.500476,98100,0.103335
1985-08-13,3.500476,3.500476,3.474644,3.474644,118800,0.103335
1985-08-14,3.490791,3.490791,3.438692,3.451717,158100,0.104203
1985-08-15,3.451717,3.464742,3.451717,3.451717,38700,0.104203
1985-08-16,3.451718,3.464742,3.438693,3.438693,38700,0.104203
1985-08-19,3.438693,3.477767,3.425669,3.477767,257400,0.104203
1985-08-20,3.477766,3.477766,3.451717,3.451717,45900,0.104203
1985-08-21,3.451718,3.477767,3.451718,3.477767,374800,0.104203
1985-08-22,3.503821,3.52987,3.503821,3.503821,95400,0.104203
1985-08-23,3.516846,3.542896,3.516846,3.529871,47400,0.104203
1985-08-26,3.52987,3.594993,3.52987,3.542895,214600,0.104203
1985-08-27,3.542896,3.55592,3.516846,3.55592,54000,0.104203
1985-08-28,3.55592,3.55592,3.516846,3.529871,60900,0.104203
1985-08-29,3.529871,3.542895,3.516846,3.516846,114700,0.104203
1985-08-30,3.516845,3.52987,3.477766,3.503821,75100,0.104203
1985-09-03,3.477766,3.477766,3.425668,3.425668,75700,0.104203
1985-09-04,3.438693,3.503821,3.438693,3.464742,262500,0.104203
1985-09-05,3.464742,3.477766,3.412643,3.425668,117600,0.104203
1985-09-06,3.425668,3.464742,3.425668,3.464742,295800,0.104203
1985-09-09,3.464742,3.503821,3.464742,3.503821,620500,0.104203
1985-09-10,3.503821,3.516845,3.490791,3.490791,123400,0.104203
1985-09-11,3.490792,3.516846,3.438693,3.438693,152100,0.104203
1985-09-12,3.438693,3.464742,3.36054,3.36054,201300,0.104203
1985-09-13,3.36054,3.399614,3.269362,3.334491,113500,0.104203
1985-09-16,3.321466,3.321466,3.269362,3.269362,64800,0.104203
1985-09-17,3.269362,3.321466,3.243313,3.243313,99100,0.104203
1985-09-18,3.243312,3.269362,3.230288,3.256337,143700,0.104203
1985-09-19,3.269362,3.321466,3.269362,3.321466,61600,0.104203
1985-09-20,3.321466,3.36054,3.295412,3.36054,106200,0.104203
1985-09-23,3.386589,3.464742,3.386589,3.464742,251100,0.104203
1985-09-24,3.464742,3.490791,3.412643,3.464742,84300,0.104203
1985-09-25,3.438693,3.438693,3.425668,3.438693,24300,0.104203
1985-09-26,3.438693,3.490791,3.386589,3.425668,118800,0.104203
1985-09-30,3.425669,3.464743,3.399614,3.412644,106200,0.104203
1985-10-01,3.425668,3.451718,3.425668,3.438693,64900,0.104203
1985-10-02,3.438693,3.477767,3.438693,3.438693,68100,0.104203
1985-10-03,3.438693,3.477767,3.412644,3.438693,71100,0.104203
1985-10-04,3.438693,3.451717,3.386589,3.386589,128400,0.104203
1985-10-07,3.38659,3.399614,3.334491,3.334491,75100,0.104203
1985-10-08,3.321466,3.321466,3.256338,3.282387,23500,0.104203
1985-10-09,3.308436,3.334491,3.308436,3.334491,14100,0.104203
1985-10-10,3.334491,3.334491,3.308436,3.308436,100000,0.104203
1985-10-11,3.308436,3.347515,3.308436,3.347515,172900,0.104203
1985-10-14,3.347515,3.347515,3.308436,3.321466,66100,0.104203
1985-10-15,3.334491,3.386589,3.334491,3.36054,102600,0.104203
1985-10-16,3.36054,3.373565,3.347515,3.36054,87900,0.104203
1985-10-17,3.36054,3.438693,3.347515,3.347515,103500,0.104203
1985-10-18,3.347515,3.399613,3.33449,3.373564,88300,0.104203
1985-10-21,3.373564,3.412643,3.373564,3.373564,112600,0.104203
1985-10-22,3.373564,3.412644,3.36054,3.386589,137700,0.104203
1985-10-23,3.386589,3.412644,3.386589,3.386589,222900,0.104203
1985-10-24,3.386589,3.438693,3.36054,3.36054,356400,0.104203
1985-10-25,3.36054,3.38659,3.308436,3.334491,226000,0.104203
1985-10-28,3.334491,3.347516,3.282387,3.282387,111600,0.104203
1985-10-29,3.282387,3.308436,3.269362,3.269362,199800,0.104203
1985-10-30,3.269362,3.308436,3.256338,3.282387,202600,0.104203
1985-10-31,3.295411,3.321465,3.295411,3.295411,112600,0.104203
1985-11-01,3.308436,3.334491,3.308436,3.334491,360400,0.104203
1985-11-04,3.321465,3.321465,3.256337,3.256337,330000,0.104203
1985-11-05,3.256337,3.282387,3.256337,3.269362,40500,0.104203
1985-11-06,3.269362,3.295412,3.269362,3.282387,137700,0.104203
1985-11-07,3.321466,3.36054,3.321466,3.334491,1077400,0.104203
1985-11-08,3.347515,3.425668,3.347515,3.425668,269500,0.104203
1985-11-11,3.438693,3.490791,3.438693,3.464742,129600,0.104203
1985-11-12,3.490792,3.529871,3.490792,3.516846,139000,0.104203
1985-11-13,3.503821,3.503821,3.451717,3.490791,653400,0.104203
1985-11-14,3.520215,3.520215,3.480811,3.493946,257100,0.105081
1985-11-15,3.493946,3.520215,3.480812,3.520215,294900,0.105081
1985-11-18,3.520215,3.533355,3.493946,3.520215,73000,0.105081
1985-11-19,3.533355,3.65157,3.533355,3.65157,532500,0.105081
1985-11-20,3.65157,3.704107,3.65157,3.664704,258400,0.105081
1985-11-21,3.664704,3.743516,3.638435,3.730381,257400,0.105081
1985-11-22,3.75665,3.809188,3.75665,3.769785,243000,0.105081
1985-11-25,3.769784,3.769784,3.388865,3.677838,333400,0.105081
1985-11-26,3.677838,3.704107,3.638435,3.704107,100500,0.105081
1985-11-27,3.704107,3.743516,3.690972,3.730381,297600,0.105081
1985-11-29,3.730381,3.782919,3.730381,3.782919,149800,0.105081
1985-12-02,3.782919,3.782919,3.743516,3.743516,37300,0.105081
1985-12-03,3.743516,3.769785,3.743516,3.769785,254400,0.105081
1985-12-04,3.782919,3.861731,3.782919,3.796053,903100,0.105081
1985-12-05,3.796053,3.835462,3.743516,3.835462,375400,0.105081
1985-12-06,3.822327,3.822327,3.782919,3.796053,242200,0.105081
1985-12-09,3.822327,3.887999,3.822327,3.848596,320100,0.105081
1985-12-10,3.848597,3.901135,3.835462,3.888,240300,0.105081
