date,open,high,low,close,volume,adjrate
1985-07-01,1.616067,1.665412,1.616067,1.628399,178400,0.098691
1985-07-02,1.628399,1.628399,1.591386,1.603726,337600,0.098691
1985-07-03,1.616067,1.653072,1.616067,1.653072,1909600,0.098691
1985-07-05,1.653071,1.653071,1.640731,1.640731,116800,0.098691
1985-07-08,1.640732,1.653072,1.628399,1.653072,158400,0.098691
1985-07-09,1.653072,1.653072,1.603726,1.628399,261600,0.098691
1985-07-10,1.628399,1.628399,1.566721,1.591386,1311200,0.098691
1985-07-11,1.591386,1.653072,1.591386,1.628399,1032800,0.098691
1985-07-12,1.628399,1.653072,1.616067,1.628399,1602400,0.098691
1985-07-15,1.628399,1.677744,1.628399,1.677744,782400,0.098691
1985-07-16,1.677745,1.72709,1.665412,1.72709,472800,0.098691
1985-07-17,1.739423,1.801108,1.739423,1.788768,1344000,0.098691
1985-07-18,1.788768,1.801108,1.751763,1.764103,608800,0.098691
1985-07-19,1.764103,1.801108,1.764103,1.776435,1107200,0.098691
1985-07-22,1.776435,1.776435,1.751762,1.776435,449600,0.098691
1985-07-23,1.776435,1.776435,1.739422,1.764103,228000,0.098691
1985-07-24,1.764103,1.764103,1.714758,1.72709,293600,0.098691
1985-07-25,1.72709,1.72709,1.702417,1.702417,116800,0.098691
1985-07-26,1.702417,1.714758,1.677745,1.690077,529600,0.098691
1985-07-29,1.690077,1.690077,1.628399,1.653072,158400,0.098691
1985-07-30,1.640732,1.640732,1.554381,1.579054,301600,0.098691
1985-07-31,1.579054,1.603727,1.566722,1.579054,252000,0.098691
1985-08-01,1.579054,1.603726,1.566721,1.591386,217600,0.098691
1985-08-02,1.591386,1.591386,1.566721,1.566721,313600,0.098691
1985-08-05,1.554381,1.554381,1.492695,1.517376,208800,0.098691
1985-08-06,1.517376,1.517376,1.418685,1.480363,649600,0.098691
1985-08-07,1.480363,1.480363,1.468031,1.480363,155200,0.098691
1985-08-08,1.480362,1.480362,1.381672,1.431017,1389600,0.098691
1985-08-09,1.44335,1.480363,1.44335,1.480363,577600,0.098691
1985-08-12,1.480363,1.492695,1.45569,1.45569,57600,0.098691
1985-08-13,1.45569,1.45569,1.44335,1.44335,336800,0.098691
1985-08-14,1.443349,1.443349,1.431017,1.431017,112800,0.098691
1985-08-15,1.431018,1.45569,1.418685,1.44335,34400,0.098691
1985-08-16,1.44335,1.45569,1.406345,1.406345,68800,0.098691
1985-08-19,1.406345,1.431017,1.381672,1.381672,334400,0.098691
1985-08-20,1.381672,1.406345,1.381672,1.381672,911200,0.098691
1985-08-21,1.381672,1.394004,1.36934,1.381672,513600,0.098691
1985-08-22,1.381672,1.418685,1.381672,1.394004,130400,0.098691
1985-08-23,1.394005,1.406345,1.381672,1.406345,81600,0.098691
1985-08-26,1.406345,1.418685,1.381672,1.381672,69600,0.098691
1985-08-27,1.381672,1.394004,1.381672,1.394004,130400,0.098691
1985-08-28,1.394004,1.394004,1.344659,1.344659,258400,0.098691
1985-08-29,1.344659,1.369339,1.344659,1.356999,772000,0.098691
1985-08-30,1.381672,1.418685,1.381672,1.418685,383200,0.098691
1985-09-03,1.418685,1.44335,1.381672,1.406345,148800,0.098691
1985-09-04,1.406345,1.431017,1.394004,1.418685,159200,0.098691
1985-09-05,1.418685,1.418685,1.344659,1.381672,127200,0.098691
1985-09-06,1.369339,1.369339,1.332326,1.369339,158400,0.098691
1985-09-09,1.359939,1.359939,1.322854,1.347572,79200,0.098905
1985-09-10,1.347572,1.359939,1.322854,1.335213,77600,0.098905
1985-09-11,1.322854,1.322854,1.273402,1.273402,193600,0.098905
1985-09-12,1.273401,1.273401,1.211582,1.211582,200800,0.098905
1985-09-13,1.211582,1.223949,1.174497,1.186856,352000,0.098905
1985-09-16,1.174497,1.174497,1.087952,1.137404,292800,0.098905
1985-09-17,1.137404,1.186856,1.112677,1.186856,172000,0.098905
1985-09-18,1.186856,1.236308,1.174497,1.186856,443200,0.098905
