date,open,high,low,close,volume,adjrate
1983-04-06,1.434856,1.440689,1.423191,1.434856,960000,0.023331
1983-04-07,1.440689,1.440689,1.429023,1.434856,464000,0.023331
1983-04-08,1.434856,1.434856,1.399859,1.405692,219200,0.023331
1983-04-11,1.405692,1.417357,1.399859,1.405692,387200,0.023331
1983-04-12,1.417358,1.429023,1.411525,1.429023,313600,0.023331
1983-04-13,1.434856,1.458187,1.434856,1.458187,401600,0.023331
1983-04-14,1.469852,1.475685,1.461102,1.469852,316800,0.023331
1983-04-15,1.475685,1.478602,1.461102,1.461102,286400,0.023331
1983-04-18,1.461102,1.466937,1.451624,1.466937,337600,0.023331
1983-04-19,1.466937,1.484433,1.455271,1.484433,494400,0.023331
1983-04-20,1.484433,1.490267,1.481517,1.48735,198400,0.023331
1983-04-21,1.48735,1.499016,1.475685,1.475685,465600,0.023331
1983-04-22,1.478602,1.493183,1.469852,1.475685,182400,0.023331
1983-04-25,1.475685,1.493183,1.458187,1.481518,468800,0.023331
1983-04-26,1.490268,1.499016,1.481518,1.493183,272000,0.023331
1983-04-27,1.510681,1.528179,1.493183,1.501933,387200,0.023331
1983-04-28,1.504849,1.510681,1.499016,1.507764,571200,0.023331
1983-04-29,1.516514,1.525264,1.507764,1.525264,619200,0.023331
1983-05-02,1.525264,1.53693,1.510682,1.513599,670400,0.023331
1983-05-03,1.501933,1.507764,1.493183,1.507764,428800,0.023331
1983-05-04,1.509885,1.518715,1.498112,1.504,451200,0.023546
1983-05-05,1.49517,1.509885,1.477511,1.483397,740800,0.023546
1983-05-06,1.489283,1.536375,1.489283,1.524602,803200,0.023546
1983-05-09,1.512829,1.530488,1.506942,1.527546,553600,0.023546
1983-05-10,1.533431,1.533431,1.518716,1.518716,492800,0.023546
1983-05-11,1.521658,1.524602,1.506942,1.515773,252800,0.023546
1983-05-12,1.515773,1.518716,1.49517,1.498112,396800,0.023546
1983-05-13,1.504,1.504,1.492227,1.501056,225600,0.023546
1983-05-16,1.49517,1.506943,1.483397,1.506943,356800,0.023546
1983-05-17,1.506943,1.512829,1.498112,1.512829,288000,0.023546
1983-05-18,1.509885,1.559921,1.509885,1.518716,825600,0.023546
1983-05-19,1.501056,1.501056,1.47751,1.489283,1417600,0.023546
1983-05-20,1.489283,1.509885,1.483397,1.509885,321600,0.023546
1983-05-23,1.512829,1.530489,1.509885,1.521658,488000,0.023546
1983-05-24,1.524602,1.551092,1.524602,1.551092,355200,0.023546
1983-05-25,1.542262,1.551092,1.536375,1.548148,580800,0.023546
