date,open,high,low,close,volume,adjrate
1985-04-08,1.144342,1.144342,1.121456,1.132899,4340000,0.045774
1985-04-09,1.132899,1.150064,1.127177,1.144342,2136400,0.045774
1985-04-10,1.144343,1.184395,1.144343,1.178673,1830000,0.045774
1985-04-11,1.178673,1.184395,1.172951,1.178673,988800,0.045774
1985-04-12,1.178673,1.190116,1.150064,1.155786,1182000,0.045774
1985-04-15,1.161507,1.167229,1.155785,1.161507,535600,0.045774
1985-04-16,1.161507,1.172951,1.144342,1.150064,690400,0.045774
1985-04-17,1.13862,1.155785,1.13862,1.144342,1061600,0.045774
1985-04-18,1.138621,1.144343,1.132899,1.138621,1284400,0.045774
1985-04-19,1.138621,1.144343,1.132899,1.138621,434400,0.045774
1985-04-22,1.132899,1.13862,1.127177,1.127177,471200,0.045774
1985-04-23,1.127177,1.144342,1.127177,1.144342,376800,0.045774
1985-04-24,1.138621,1.144343,1.132899,1.138621,295600,0.045774
1985-04-25,1.138621,1.144342,1.121456,1.132899,649600,0.045774
1985-04-26,1.104291,1.127177,1.092847,1.115734,1395200,0.045774
1985-04-29,1.10429,1.110012,1.10429,1.10429,513600,0.045774
1985-04-30,1.10429,1.110012,1.098568,1.10429,687600,0.045774
1985-05-01,1.10429,1.110012,1.098568,1.10429,392400,0.045774
1985-05-02,1.110012,1.115734,1.098569,1.110012,449600,0.045774
1985-05-03,1.121455,1.121455,1.098568,1.121455,341200,0.045774
1985-05-06,1.115734,1.155786,1.115734,1.150064,608800,0.045774
1985-05-07,1.150064,1.167229,1.150064,1.161507,454400,0.045774
1985-05-08,1.161508,1.167229,1.150064,1.155786,136400,0.045774
1985-05-09,1.150064,1.161508,1.144343,1.155786,420400,0.045774
1985-05-10,1.155785,1.190116,1.150064,1.184394,268400,0.045774
1985-05-13,1.172951,1.178672,1.167229,1.167229,274000,0.045774
1985-05-14,1.178673,1.178673,1.172951,1.178673,189600,0.045774
1985-05-15,1.172951,1.178673,1.167229,1.172951,595200,0.045774
1985-05-16,1.172951,1.178673,1.167229,1.172951,290000,0.045774
1985-05-17,1.16723,1.184395,1.16723,1.178673,492800,0.045774
1985-05-20,1.190116,1.213003,1.190116,1.207281,586800,0.045774
1985-05-21,1.201559,1.218724,1.195837,1.201559,572400,0.045774
1985-05-22,1.178673,1.195838,1.172951,1.178673,413600,0.045774
1985-05-23,1.178673,1.178673,1.167229,1.172951,254800,0.045774
1985-05-24,1.16723,1.190116,1.16723,1.178673,186800,0.045774
1985-05-28,1.178672,1.201559,1.178672,1.201559,192400,0.045774
1985-05-29,1.195838,1.213003,1.195838,1.213003,282000,0.045774
1985-05-30,1.207281,1.213003,1.20156,1.213003,181600,0.045774
1985-05-31,1.201559,1.224446,1.201559,1.224446,3320800,0.045774
1985-06-03,1.23589,1.23589,1.224446,1.230168,4040000,0.045774
1985-06-04,1.230871,1.230871,1.213287,1.230871,424000,0.04689
1985-06-05,1.22501,1.254316,1.219149,1.22501,602000,0.04689
1985-06-06,1.22501,1.242594,1.219149,1.236733,820400,0.04689
1985-06-07,1.236733,1.242594,1.236733,1.236733,484400,0.04689
1985-06-10,1.236733,1.248455,1.236733,1.242594,534400,0.04689
1985-06-11,1.242594,1.248455,1.236733,1.242594,442400,0.04689
1985-06-12,1.242594,1.248455,1.236732,1.248455,674000,0.04689
1985-06-13,1.242594,1.248455,1.219148,1.230871,426000,0.04689
1985-06-14,1.230872,1.236733,1.22501,1.236733,259600,0.04689
1985-06-17,1.236732,1.248455,1.236732,1.248455,416400,0.04689
1985-06-18,1.242594,1.254317,1.242594,1.254317,481200,0.04689
1985-06-19,1.254317,1.260178,1.254317,1.254317,324800,0.04689
1985-06-20,1.248455,1.260178,1.248455,1.260178,378800,0.04689
1985-06-21,1.242594,1.242594,1.242594,1.242594,225200,0.04689
1985-06-24,1.242594,1.254317,1.242594,1.254317,256000,0.04689
1985-06-25,1.248455,1.277762,1.248455,1.266039,690000,0.04689
1985-06-26,1.266039,1.2719,1.260177,1.2719,589600,0.04689
1985-06-27,1.266039,1.271901,1.248455,1.260178,652000,0.04689
1985-06-28,1.260178,1.266039,1.260178,1.260178,141600,0.04689
1985-07-01,1.254316,1.260178,1.236732,1.248455,221200,0.04689
1985-07-02,1.242594,1.248456,1.22501,1.236733,366400,0.04689
1985-07-03,1.236733,1.236733,1.22501,1.236733,253200,0.04689
1985-07-05,1.242594,1.248455,1.242594,1.242594,564800,0.04689
1985-07-08,1.242594,1.248455,1.236732,1.248455,248000,0.04689
1985-07-09,1.248455,1.266039,1.248455,1.266039,347600,0.04689
1985-07-10,1.260178,1.2719,1.254316,1.266039,288400,0.04689
1985-07-11,1.266039,1.277762,1.260178,1.277762,307200,0.04689
1985-07-12,1.277761,1.289484,1.277761,1.289484,268000,0.04689
1985-07-15,1.283623,1.295346,1.271901,1.295346,360400,0.04689
1985-07-16,1.307068,1.307068,1.277762,1.307068,286400,0.04689
1985-07-17,1.301207,1.307068,1.289484,1.301207,736000,0.04689
1985-07-18,1.295346,1.307069,1.295346,1.295346,834800,0.04689
1985-07-19,1.301207,1.301207,1.295346,1.301207,815200,0.04689
1985-07-22,1.289484,1.301207,1.260178,1.260178,498400,0.04689
1985-07-23,1.248455,1.248455,1.230871,1.230871,358800,0.04689
1985-07-24,1.207426,1.219149,1.183981,1.207426,842400,0.04689
1985-07-25,1.219148,1.219148,1.201564,1.213287,210400,0.04689
1985-07-26,1.213287,1.213287,1.201565,1.207426,400400,0.04689
1985-07-29,1.166397,1.207426,1.148813,1.166397,437600,0.04689
1985-07-30,1.17812,1.195704,1.172258,1.183981,391200,0.04689
1985-07-31,1.183981,1.195704,1.17812,1.17812,264400,0.04689
1985-08-01,1.189842,1.189842,1.17812,1.183981,467200,0.04689
1985-08-02,1.172258,1.183981,1.172258,1.172258,193200,0.04689
1985-08-05,1.17812,1.17812,1.154675,1.160536,222800,0.04689
