date,open,high,low,close,volume,adjrate
1998-02-12,7.33333,7.83333,7.33333,7.5,3903700,0.666667
1998-02-13,7.58333,7.66667,7.41667,7.5,504000,0.666667
1998-02-17,7.75,7.91667,7.75,7.83333,132600,0.666667
1998-02-18,7.91667,8.33333,7.875,8.33333,140700,0.666667
1998-02-19,8.41667,8.66667,8.16667,8.16667,235000,0.666667
1998-02-20,8.08333,8.16667,7.58333,7.79167,204700,0.666667
1998-02-23,7.83333,7.91667,7.625,7.91667,60600,0.666667
1998-02-24,7.875,7.91667,7.54167,7.66667,261300,0.666667
1998-02-25,7.75,7.75,7.5,7.66667,129000,0.666667
1998-02-26,7.58333,8.08333,7.58333,7.95833,87000,0.666667
1998-02-27,7.95833,8.0,7.83333,7.95833,29100,0.666667
1998-03-02,7.91667,8.0,7.91667,7.95833,151000,0.666667
1998-03-03,8.0,8.33333,7.91667,8.33333,71800,0.666667
1998-03-04,8.25,8.33333,7.91667,8.16667,31000,0.666667
1998-03-05,8.08333,8.08333,7.83333,8.04167,51600,0.666667
1998-03-06,8.04167,8.08333,7.91667,8.08333,15000,0.666667
1998-03-09,8.08333,8.25,7.91667,7.91667,30600,0.666667
1998-03-10,7.91667,8.08333,7.66667,7.91667,208000,0.666667
1998-03-11,7.91667,8.25,7.91667,7.95833,77400,0.666667
1998-03-12,8.0,8.33333,7.91667,8.29167,100900,0.666667
1998-03-13,8.41667,8.83333,8.41667,8.66667,163900,0.666667
1998-03-16,8.66667,8.66667,8.41667,8.5,191700,0.666667
1998-03-17,8.41667,8.41667,8.16667,8.16667,31900,0.666667
1998-03-18,8.16667,8.41667,8.16667,8.25,26200,0.666667
1998-03-19,8.41667,8.41667,8.25,8.41667,112200,0.666667
1998-03-20,8.33333,8.66667,8.33333,8.625,29100,0.666667
1998-03-23,9.16667,10.16667,9.0,10.0,497800,0.666667
1998-03-24,10.16667,10.33333,9.58333,9.66667,100000,0.666667
1998-03-25,9.75,10.58333,9.66667,10.58333,198700,0.666667
1998-03-26,10.66667,10.66667,10.16667,10.66667,104800,0.666667
1998-03-27,10.70833,10.79167,10.33333,10.66667,72600,0.666667
1998-03-30,10.5,10.625,10.41667,10.54167,62700,0.666667
1998-03-31,10.625,11.16667,10.625,11.16667,124200,0.666667
1998-04-01,11.08333,11.33333,11.08333,11.33333,226300,0.666667
1998-04-02,11.5,11.75,11.33333,11.58333,54900,0.666667
1998-04-03,11.66667,11.75,11.33333,11.54167,58900,0.666667
1998-04-06,11.66667,11.83333,11.25,11.29167,30300,0.666667
1998-04-07,11.125,11.16667,10.75,10.75,35200,0.666667
1998-04-08,10.66667,11.16667,10.41667,11.16667,27700,0.666667
1998-04-09,11.08333,11.125,10.95833,11.0,20200,0.666667
1998-04-13,10.91667,10.91667,10.83333,10.91667,7000,0.666667
1998-04-14,10.91667,11.08333,10.83333,11.08333,13800,0.666667
1998-04-15,11.16667,11.25,11.125,11.125,27700,0.666667
1998-04-16,11.16667,11.16667,11.0,11.0,21900,0.666667
1998-04-17,10.91667,11.08333,10.91667,10.95833,27000,0.666667
1998-04-20,10.875,11.25,10.875,11.25,45700,0.666667
1998-04-21,11.33333,11.33333,11.16667,11.25,124500,0.666667
1998-04-22,11.25,11.29167,11.0,11.0,15100,0.666667
1998-04-23,10.91667,10.91667,10.58333,10.58333,33100,0.666667
1998-04-24,10.5,10.66667,10.25,10.25,18000,0.666667
1998-04-27,10.08333,10.08333,9.66667,9.75,53800,0.666667
1998-04-28,9.66667,9.83333,9.66667,9.75,14400,0.666667
1998-04-29,9.75,9.75,9.25,9.375,28200,0.666667
1998-04-30,9.41667,9.79167,9.33333,9.79167,40500,0.666667
1998-05-01,9.91667,9.91667,9.83333,9.83333,4200,0.666667
1998-05-04,9.75,9.79167,9.41667,9.5,15100,0.666667
1998-05-05,9.41667,9.45833,9.16667,9.25,17400,0.666667
1998-05-06,9.20833,9.25,8.91667,9.0,78400,0.666667
1998-05-07,9.0,9.66667,9.0,9.25,110100,0.666667
1998-05-08,9.25,9.25,8.91667,9.20833,22800,0.666667
1998-05-11,9.125,9.41667,9.0,9.08333,74800,0.666667
1998-05-12,9.25,9.25,9.125,9.125,86500,0.666667
1998-05-13,9.16667,9.29167,9.16667,9.25,88200,0.666667
1998-05-14,9.25,9.25,9.20833,9.25,31000,0.666667
1998-05-15,9.16667,9.20833,9.08333,9.16667,13200,0.666667
1998-05-18,9.08333,9.08333,8.83333,8.875,6000,0.666667
1998-05-19,8.66667,8.66667,8.375,8.66667,192100,0.666667
1998-05-20,8.66667,8.66667,8.58333,8.625,148600,0.666667
1998-05-21,8.58333,8.58333,8.16667,8.41667,160900,0.666667
1998-05-22,8.375,8.83333,8.375,8.70833,9900,0.666667
1998-05-26,8.66667,9.08333,8.66667,9.04167,34000,0.666667
1998-05-27,9.08333,9.25,8.75,8.91667,228900,0.666667
1998-05-28,8.95833,9.0,8.66667,8.70833,623500,0.666667
