date,open,high,low,close,volume,adjrate
1992-06-17,5.632995,5.798671,5.135966,5.260223,902000,0.331353
1992-06-18,5.260223,5.260223,4.97029,5.177385,421400,0.331353
1992-06-19,5.177385,5.260223,5.135966,5.218804,453400,0.331353
1992-06-22,5.218804,5.218804,5.011709,5.053128,597200,0.331353
1992-06-23,5.053128,5.135966,5.053128,5.094547,853800,0.331353
1992-06-24,5.094547,5.135966,4.97029,5.011709,357600,0.331353
1992-06-25,5.094547,5.177385,5.094547,5.094547,785000,0.331353
1992-06-26,5.094547,5.135966,5.053128,5.135966,435000,0.331353
1992-06-29,5.094547,5.177385,5.053128,5.177385,386600,0.331353
1992-06-30,5.177385,5.343061,5.177385,5.343061,884400,0.331353
1992-07-01,5.218804,5.260223,5.177385,5.218804,552600,0.331353
1992-07-02,5.260223,5.343061,5.094547,5.343061,1788200,0.331353
1992-07-06,5.260223,5.260223,5.094547,5.135966,580400,0.331353
1992-07-07,5.177386,5.177386,4.763195,4.846033,1147000,0.331353
1992-07-08,4.887452,4.887452,4.51468,4.597518,1192800,0.331353
1992-07-09,4.597518,4.846033,4.597518,4.846033,2136600,0.331353
1992-07-10,4.763194,4.804613,4.680356,4.721775,866200,0.331353
1992-07-13,4.721775,4.804613,4.721775,4.763194,846600,0.331353
1992-07-14,4.721775,4.804613,4.721775,4.804613,990000,0.331353
1992-07-15,4.804614,4.887452,4.804614,4.846033,1080400,0.331353
1992-07-16,4.804613,4.846032,4.721775,4.763194,2689000,0.331353
1992-07-17,4.680357,4.846033,4.680357,4.846033,840400,0.331353
1992-07-20,4.597518,4.763194,4.556099,4.721775,1228200,0.331353
1992-07-21,4.638937,4.804613,4.638937,4.721775,1279600,0.331353
1992-07-22,4.597518,5.011709,4.597518,4.887452,2743000,0.331353
1992-07-23,4.846033,4.97029,4.846033,4.846033,2203800,0.331353
1992-07-24,4.804614,4.97029,4.804614,4.928871,1404000,0.331353
1992-07-27,4.928871,5.011709,4.846033,4.97029,1308000,0.331353
1992-07-28,4.928871,5.011709,4.887452,4.97029,1134400,0.331353
1992-07-29,4.97029,5.011709,4.804614,4.887452,1697600,0.331353
1992-07-30,4.928871,4.97029,4.804614,4.97029,912800,0.331353
1992-07-31,4.928871,5.011709,4.928871,5.011709,1303000,0.331353
1992-08-03,4.97029,5.094547,4.928871,5.094547,1616800,0.331353
1992-08-04,5.094547,5.177385,5.094547,5.135966,1457000,0.331353
1992-08-05,5.135966,5.177385,5.135966,5.135966,492000,0.331353
1992-08-06,5.094547,5.135966,4.97029,5.053128,1277800,0.331353
1992-08-07,4.928871,5.011709,4.928871,4.97029,306200,0.331353
1992-08-10,4.846033,4.97029,4.804614,4.928871,593000,0.331353
1992-08-11,4.92887,4.92887,4.804613,4.804613,1804800,0.331353
1992-08-12,4.92887,4.970289,4.721775,4.804613,1591600,0.331353
1992-08-13,4.846033,5.011709,4.846033,4.97029,1100600,0.331353
1992-08-14,4.97029,5.260223,4.97029,5.218804,1476600,0.331353
1992-08-17,5.135966,5.301642,5.135966,5.260223,1461000,0.331353
1992-08-18,5.301642,5.425899,5.260223,5.301642,1660200,0.331353
1992-08-19,5.301642,5.38448,5.218804,5.260223,928000,0.331353
1992-08-20,5.301642,5.343061,5.301642,5.343061,370400,0.331353
1992-08-21,5.301643,5.508738,5.301643,5.467319,3771600,0.331353
1992-08-24,5.260223,5.425899,5.260223,5.343061,2085000,0.331353
1992-08-25,5.384481,5.4259,5.260224,5.384481,1168800,0.331353
1992-08-26,5.343062,5.4259,5.301643,5.4259,1347000,0.331353
1992-08-27,5.4259,5.467319,5.384481,5.384481,764400,0.331353
1992-08-28,5.343061,5.38448,5.301642,5.343061,516800,0.331353
1992-08-31,5.38448,5.38448,5.343061,5.343061,304000,0.331353
1992-09-01,5.322106,5.405264,5.280527,5.322106,1067400,0.332632
1992-09-02,5.280527,5.322106,5.197369,5.238948,1153600,0.332632
1992-09-03,5.238948,5.280527,5.197369,5.197369,474800,0.332632
1992-09-04,5.238948,5.238948,5.114211,5.114211,461600,0.332632
1992-09-08,5.15579,5.197369,5.114211,5.114211,693800,0.332632
1992-09-09,5.15579,5.280527,5.15579,5.280527,474200,0.332632
1992-09-10,5.322106,5.363685,5.238948,5.280527,867200,0.332632
1992-09-11,5.322106,5.363685,5.238948,5.280527,856600,0.332632
1992-09-14,5.363685,5.488422,5.363685,5.488422,1092800,0.332632
1992-09-15,5.363685,5.446843,5.363685,5.363685,1036400,0.332632
1992-09-16,5.322106,5.405264,5.238948,5.405264,864000,0.332632
1992-09-17,5.405264,5.405264,5.322106,5.405264,660000,0.332632
1992-09-18,5.405264,5.446843,5.363685,5.446843,1351400,0.332632
1992-09-21,5.405264,5.446843,5.363685,5.405264,491200,0.332632
1992-09-22,5.405264,5.446843,5.363685,5.363685,1030000,0.332632
1992-09-23,5.322106,5.363685,5.197369,5.280527,714800,0.332632
1992-09-24,5.280527,5.446843,5.280527,5.405264,639400,0.332632
1992-09-25,5.405264,5.405264,5.322106,5.405264,438800,0.332632
1992-09-28,5.363685,5.446843,5.363685,5.446843,217600,0.332632
1992-09-29,5.446843,5.446843,5.363685,5.363685,313000,0.332632
1992-09-30,5.405264,5.405264,5.280527,5.322106,675200,0.332632
1992-10-01,5.280527,5.322106,5.15579,5.238948,727800,0.332632
1992-10-02,5.238948,5.322106,5.15579,5.238948,376000,0.332632
1992-10-05,5.197369,5.238948,4.947895,5.197369,815800,0.332632
1992-10-06,5.15579,5.197369,4.989474,5.15579,600800,0.332632
1992-10-07,5.197369,5.322106,5.15579,5.280527,491400,0.332632
1992-10-08,5.280527,5.363685,5.280527,5.322106,327400,0.332632
1992-10-09,5.280527,5.280527,5.072632,5.072632,628200,0.332632
1992-10-12,5.114211,5.15579,4.989474,5.031053,629600,0.332632
1992-10-13,5.031053,5.15579,5.031053,5.114211,1432200,0.332632
1992-10-14,5.072632,5.197369,5.031053,5.114211,941200,0.332632
1992-10-15,5.072632,5.15579,5.031053,5.031053,944000,0.332632
1992-10-16,5.031053,5.072632,5.031053,5.072632,404800,0.332632
1992-10-19,5.072632,5.238948,5.072632,5.238948,336200,0.332632
1992-10-20,5.280527,5.363685,5.197369,5.238948,1016800,0.332632
1992-10-21,5.238948,5.238948,5.197369,5.238948,297000,0.332632
1992-10-22,5.238948,5.280527,5.072632,5.15579,648800,0.332632
1992-10-23,5.072632,5.15579,5.072632,5.15579,455400,0.332632
1992-10-26,5.15579,5.238948,5.15579,5.197369,757600,0.332632
1992-10-27,5.238948,5.322106,5.197369,5.280527,611600,0.332632
1992-10-28,5.280527,5.322106,5.238948,5.322106,1490800,0.332632
1992-10-29,5.280527,5.280527,5.197369,5.197369,442000,0.332632
1992-10-30,5.238948,5.280527,5.197369,5.238948,786200,0.332632
1992-11-02,5.280527,5.322106,5.238948,5.280527,529000,0.332632
1992-11-03,5.280527,5.363685,5.280527,5.280527,1005000,0.332632
1992-11-04,5.280527,5.280527,5.238948,5.280527,338000,0.332632
1992-11-05,5.238948,5.363685,5.238948,5.363685,1018800,0.332632
1992-11-06,5.280527,5.488422,5.280527,5.405264,1850000,0.332632
1992-11-09,5.363685,5.613159,5.363685,5.488422,1272200,0.332632
1992-11-10,5.488422,5.696317,5.488422,5.57158,2574600,0.332632
1992-11-11,5.613159,5.654738,5.57158,5.654738,974400,0.332632
1992-11-12,5.613159,5.613159,5.488422,5.530001,1504400,0.332632
1992-11-13,5.488422,5.57158,5.446843,5.57158,654600,0.332632
1992-11-16,5.57158,5.57158,5.363685,5.405264,2219600,0.332632
1992-11-17,5.405264,5.446843,5.322106,5.363685,2032000,0.332632
1992-11-18,5.363685,5.530001,5.363685,5.488422,807200,0.332632
1992-11-19,5.446843,5.530001,5.405264,5.488422,1040000,0.332632
1992-11-20,5.530001,5.530001,5.405264,5.488422,1954000,0.332632
1992-11-23,5.446843,5.488422,5.322106,5.322106,1565400,0.332632
1992-11-24,5.363685,5.488422,5.363685,5.405264,470400,0.332632
1992-11-25,5.488422,5.57158,5.446843,5.530001,1022000,0.332632
1992-11-27,5.530001,5.57158,5.530001,5.57158,747800,0.332632
1992-11-30,5.57158,5.613159,5.488422,5.488422,998000,0.332632
1992-12-01,5.509123,5.592594,5.425651,5.467387,2407000,0.333886
1992-12-02,5.467387,5.592595,5.425652,5.550859,1942400,0.333886
1992-12-03,5.550859,5.63433,5.509123,5.509123,1448200,0.333886
1992-12-04,5.592594,5.63433,5.550858,5.592594,1611400,0.333886
1992-12-07,5.550858,5.63433,5.509122,5.592594,884800,0.333886
1992-12-08,5.509123,5.550859,5.509123,5.550859,1178000,0.333886
1992-12-09,5.550859,5.592595,5.509123,5.509123,815000,0.333886
1992-12-10,5.509123,5.676066,5.509123,5.63433,1170600,0.333886
1992-12-11,5.550859,5.592595,5.509123,5.550859,461600,0.333886
1992-12-14,5.550858,5.592594,5.425651,5.425651,967400,0.333886
1992-12-15,5.258708,5.34218,5.216973,5.34218,2203000,0.333886
1992-12-16,5.342179,5.467387,5.342179,5.425651,834600,0.333886
1992-12-17,5.383915,5.63433,5.383915,5.592594,1126000,0.333886
1992-12-18,5.592595,5.592595,5.467387,5.550859,1563200,0.333886
1992-12-21,5.592595,5.592595,5.509123,5.509123,901000,0.333886
1992-12-22,5.550859,5.63433,5.467387,5.509123,1963800,0.333886
1992-12-23,5.550859,5.592595,5.509123,5.509123,474600,0.333886
1992-12-24,5.509123,5.550859,5.467387,5.509123,447800,0.333886
1992-12-28,5.425651,5.467387,5.300444,5.425651,1947200,0.333886
1992-12-29,5.425651,5.509123,5.425651,5.425651,482400,0.333886
1992-12-30,5.425651,5.509123,5.425651,5.509123,591000,0.333886
1992-12-31,5.467387,5.592594,5.467387,5.592594,1022000,0.333886
1993-01-04,5.550859,5.592594,5.467387,5.467387,1185200,0.333886
1993-01-05,5.467387,5.592595,5.425651,5.509123,878600,0.333886
1993-01-06,5.550858,5.676066,5.509123,5.63433,564400,0.333886
1993-01-07,5.63433,5.843009,5.63433,5.717802,3073800,0.333886
1993-01-08,5.676066,5.801273,5.592594,5.63433,1084000,0.333886
1993-01-11,5.592595,5.759538,5.550859,5.759538,1454400,0.333886
1993-01-12,5.717802,5.717802,5.63433,5.717802,1041400,0.333886
1993-01-13,5.717802,5.759538,5.676066,5.676066,905800,0.333886
1993-01-14,5.676066,5.759538,5.676066,5.717802,704800,0.333886
1993-01-15,5.717801,5.717801,5.550858,5.592594,1567000,0.333886
1993-01-18,5.592594,5.63433,5.592594,5.592594,521600,0.333886
1993-01-19,5.592595,5.759538,5.592595,5.759538,1416200,0.333886
1993-01-20,5.676066,5.801274,5.592595,5.759538,1809200,0.333886
1993-01-21,5.759538,5.801274,5.676066,5.759538,2216200,0.333886
1993-01-22,5.717801,5.759537,5.592594,5.592594,2587600,0.333886
1993-01-25,5.63433,5.759538,5.592595,5.717802,2629200,0.333886
1993-01-26,5.759538,5.843009,5.676066,5.717802,1378800,0.333886
1993-01-27,5.676066,5.717802,5.550858,5.63433,3023400,0.333886
1993-01-28,5.550858,5.63433,5.509122,5.592594,1312600,0.333886
1993-01-29,5.592595,5.634331,5.467387,5.550859,1787800,0.333886
1993-02-01,5.592594,5.63433,5.550858,5.63433,490600,0.333886
1993-02-02,5.63433,5.717802,5.592594,5.676066,1114600,0.333886
1993-02-03,5.676066,5.759538,5.676066,5.676066,1257600,0.333886
1993-02-04,5.717802,5.759538,5.63433,5.717802,1058600,0.333886
1993-02-05,5.759538,5.884745,5.717802,5.717802,1071200,0.333886
1993-02-08,5.801274,5.926481,5.801274,5.926481,2291800,0.333886
1993-02-09,5.843009,5.884745,5.759537,5.843009,1717000,0.333886
1993-02-10,5.843009,6.009952,5.843009,5.968216,1820200,0.333886
1993-02-11,5.968217,6.009952,5.884745,5.884745,596200,0.333886
1993-02-12,5.926481,5.968217,5.926481,5.926481,425200,0.333886
1993-02-16,5.926481,5.968217,5.717802,5.717802,1180600,0.333886
1993-02-17,5.759537,5.759537,5.592594,5.63433,1200400,0.333886
1993-02-18,5.843009,5.843009,5.509123,5.509123,2241800,0.333886
1993-02-19,5.592594,5.717802,5.550858,5.63433,732000,0.333886
1993-02-22,5.717801,5.717801,5.592594,5.592594,697200,0.333886
1993-02-23,5.592594,5.676066,5.592594,5.592594,556400,0.333886
1993-02-24,5.592594,5.676066,5.550858,5.592594,1198800,0.333886
1993-02-25,5.592594,5.63433,5.550858,5.63433,763600,0.333886
1993-02-26,5.63433,5.717802,5.550859,5.717802,810000,0.333886
1993-03-01,5.654802,5.738577,5.571028,5.612915,545200,0.335099
1993-03-02,5.612915,5.69669,5.571028,5.69669,595600,0.335099
1993-03-03,5.612916,5.69669,5.612916,5.654803,727000,0.335099
1993-03-04,5.654803,5.69669,5.612915,5.69669,946400,0.335099
1993-03-05,5.69669,5.780465,5.654803,5.69669,992200,0.335099
1993-03-08,5.738577,5.989902,5.69669,5.906127,635600,0.335099
1993-03-09,5.86424,5.86424,5.738578,5.738578,416600,0.335099
1993-03-10,5.738578,5.86424,5.696691,5.822353,644000,0.335099
1993-03-11,5.822352,5.822352,5.780465,5.780465,411000,0.335099
1993-03-12,5.780465,5.780465,5.654803,5.69669,554000,0.335099
1993-03-15,5.780465,5.822352,5.69669,5.780465,682600,0.335099
1993-03-16,5.780465,5.780465,5.69669,5.69669,471800,0.335099
1993-03-17,5.738578,5.906127,5.69669,5.86424,860400,0.335099
1993-03-18,5.86424,5.906128,5.780466,5.822353,417200,0.335099
1993-03-19,5.86424,5.86424,5.822353,5.822353,451400,0.335099
1993-03-22,5.780465,5.86424,5.69669,5.86424,550800,0.335099
1993-03-23,5.86424,6.031789,5.86424,5.989902,717200,0.335099
1993-03-24,6.031789,6.031789,5.86424,5.906127,740400,0.335099
1993-03-25,5.906127,5.989902,5.822352,5.906127,714200,0.335099
1993-03-26,5.948015,6.031789,5.906127,5.989902,646200,0.335099
1993-03-29,5.989902,6.115564,5.989902,6.073677,582000,0.335099
1993-03-30,6.03179,6.073677,5.989903,6.03179,544600,0.335099
1993-03-31,6.031789,6.073677,5.612915,5.906127,505400,0.335099
1993-04-01,5.906128,5.948015,5.696691,5.738578,478600,0.335099
1993-04-02,5.69669,5.738577,5.612915,5.612915,565600,0.335099
1993-04-05,5.612915,5.738577,5.612915,5.69669,528400,0.335099
1993-04-06,5.69669,5.738578,5.571028,5.571028,713400,0.335099
1993-04-07,5.654802,5.69669,5.612915,5.612915,615400,0.335099
1993-04-08,5.69669,5.69669,5.612915,5.612915,455600,0.335099
1993-04-12,5.69669,5.86424,5.654803,5.86424,433000,0.335099
1993-04-13,5.906127,5.906127,5.738577,5.906127,365000,0.335099
1993-04-14,5.822353,5.989903,5.822353,5.822353,320000,0.335099
1993-04-15,5.822352,5.989902,5.822352,5.906127,405400,0.335099
1993-04-16,5.948015,6.073677,5.906128,5.948015,968000,0.335099
1993-04-19,5.989903,6.157452,5.989903,6.115565,1175200,0.335099
