date,open,high,low,close,volume,adjrate
1993-04-28,6.321977,6.495182,6.235375,6.321977,7821000,0.34641
1993-04-29,6.321977,6.451881,6.321977,6.451881,2118800,0.34641
1993-04-30,6.495182,6.495182,6.321977,6.365278,536800,0.34641
1993-05-03,6.321977,6.365278,6.278676,6.365278,509600,0.34641
1993-05-04,6.365278,6.365278,6.192074,6.278676,787400,0.34641
1993-05-05,6.235374,6.278676,6.148772,6.148772,747200,0.34641
1993-05-06,6.192073,6.235375,6.105471,6.105471,392800,0.34641
1993-05-07,6.148772,6.192073,6.105471,6.148772,180000,0.34641
1993-05-10,6.192073,6.278676,6.148772,6.148772,269600,0.34641
1993-05-11,6.192074,6.192074,6.148773,6.192074,109400,0.34641
1993-05-12,6.148772,6.148772,6.018869,6.105471,110800,0.34641
1993-05-13,6.105471,6.105471,6.06217,6.06217,171000,0.34641
1993-05-14,6.06217,6.148772,6.06217,6.06217,166800,0.34641
1993-05-17,6.062169,6.062169,5.932266,5.975567,132000,0.34641
1993-05-18,5.975567,5.975567,5.542555,5.71576,534400,0.34641
1993-05-19,5.802363,5.932266,5.802363,5.845664,203600,0.34641
1993-05-20,5.759062,5.802363,5.499254,5.629158,1189000,0.34641
1993-05-21,5.672459,5.71576,5.542555,5.672459,475600,0.34641
1993-05-24,5.71576,5.71576,5.542556,5.629158,719200,0.34641
1993-05-25,5.542555,5.585856,5.412652,5.499254,326600,0.34641
1993-05-26,5.542555,5.759061,5.542555,5.71576,209200,0.34641
1993-05-27,5.802363,5.932266,5.71576,5.888965,307800,0.34641
1993-05-28,5.975568,6.105471,5.845664,6.018869,986400,0.34641
1993-06-01,6.06217,6.06217,5.845664,5.888965,116800,0.34641
1993-06-02,5.888965,6.018869,5.845664,6.018869,205200,0.34641
1993-06-03,6.018869,6.018869,5.888965,5.888965,92000,0.34641
1993-06-04,5.932266,5.975567,5.888965,5.932266,118200,0.34641
1993-06-07,5.888965,6.018868,5.888965,5.975567,60000,0.34641
1993-06-08,5.975567,5.975567,5.888965,5.932266,298200,0.34641
1993-06-09,5.932266,5.932266,5.845664,5.845664,27400,0.34641
1993-06-10,5.845664,5.975567,5.845664,5.932266,153600,0.34641
1993-06-11,6.018869,6.105471,5.932266,6.105471,84200,0.34641
1993-06-14,6.192074,6.235375,6.06217,6.192074,434000,0.34641
1993-06-15,6.148772,6.321977,6.105471,6.148772,169600,0.34641
1993-06-16,6.148773,6.278676,6.148773,6.192074,288200,0.34641
1993-06-17,6.235375,6.235375,6.105472,6.192074,165400,0.34641
1993-06-18,6.192073,6.235374,6.105471,6.148772,89400,0.34641
1993-06-21,6.105471,6.192073,6.105471,6.148772,34200,0.34641
1993-06-22,6.192073,6.278676,6.105471,6.148772,143000,0.34641
1993-06-23,6.148772,6.235375,6.06217,6.06217,23600,0.34641
1993-06-24,6.06217,6.235375,6.06217,6.105471,58200,0.34641
1993-06-25,6.105471,6.408579,6.105471,6.365278,370000,0.34641
1993-06-28,6.365279,6.668387,6.278676,6.625086,135200,0.34641
1993-06-29,6.754989,6.754989,6.538483,6.581784,575600,0.34641
1993-06-30,6.581784,6.581784,6.495182,6.581784,132000,0.34641
1993-07-01,6.581785,6.668387,6.538483,6.668387,120800,0.34641
1993-07-02,6.668386,6.754989,6.581784,6.581784,239400,0.34641
1993-07-06,6.581785,6.668387,6.451881,6.451881,87200,0.34641
1993-07-07,6.495182,6.495182,6.365279,6.40858,74400,0.34641
1993-07-08,6.45188,6.625085,6.408579,6.581784,104000,0.34641
1993-07-09,6.581784,6.625085,6.538483,6.581784,302600,0.34641
1993-07-12,6.625085,6.625085,6.538483,6.581784,98200,0.34641
1993-07-13,6.581784,6.625085,6.538483,6.581784,212400,0.34641
1993-07-14,6.581784,6.754989,6.581784,6.754989,153200,0.34641
1993-07-15,6.754989,6.754989,6.711688,6.754989,133800,0.34641
1993-07-16,6.754989,6.754989,6.668387,6.754989,126000,0.34641
1993-07-19,6.711688,6.79829,6.711688,6.754989,244800,0.34641
1993-07-20,6.754989,6.754989,6.711688,6.754989,111000,0.34641
1993-07-21,6.798291,6.884893,6.754989,6.884893,117400,0.34641
1993-07-22,6.884893,7.014796,6.884893,6.971495,240600,0.34641
1993-07-23,6.971496,7.014797,6.841592,6.841592,138200,0.34641
1993-07-26,6.841591,6.971495,6.754989,6.971495,236200,0.34641
1993-07-27,7.014797,7.1447,7.014797,7.101399,259200,0.34641
1993-07-28,7.447809,7.750917,7.404508,7.664315,583200,0.34641
1993-07-29,7.750917,8.097327,7.707616,7.924122,344800,0.34641
1993-07-30,7.967423,8.097327,7.924122,8.097327,217800,0.34641
1993-08-02,8.097327,8.227231,8.054026,8.054026,511400,0.34641
1993-08-03,8.054025,8.054025,7.707616,7.967423,161000,0.34641
1993-08-04,7.880821,8.22723,7.880821,8.183929,129200,0.34641
1993-08-05,8.227231,8.530339,8.227231,8.443737,270200,0.34641
1993-08-06,8.357134,8.400436,8.227231,8.270532,397600,0.34641
1993-08-09,8.270532,8.357134,8.227231,8.313833,148200,0.34641
1993-08-10,8.313833,8.313833,8.054026,8.097327,104000,0.34641
1993-08-11,8.097327,8.22723,8.097327,8.140628,77400,0.34641
1993-08-12,8.140628,8.140628,7.924122,8.140628,64000,0.34641
1993-08-13,8.140628,8.140628,8.010725,8.097327,17600,0.34641
1993-08-16,8.097327,8.140628,7.967423,8.140628,119600,0.34641
1993-08-17,8.054026,8.270532,8.054026,8.270532,82800,0.34641
1993-08-18,8.313833,8.487038,8.313833,8.313833,98800,0.34641
1993-08-19,8.313833,8.400435,8.183929,8.400435,96600,0.34641
1993-08-20,8.313833,8.357134,8.183929,8.313833,43600,0.34641
1993-08-23,8.270532,8.313833,8.227231,8.313833,280200,0.34641
1993-08-24,8.313833,8.443736,8.313833,8.357134,279000,0.34641
1993-08-25,8.357134,8.530339,8.357134,8.530339,97600,0.34641
1993-08-26,8.505912,8.505912,8.331432,8.375052,258600,0.34896
1993-08-27,8.418671,8.418671,7.982471,8.069711,315800,0.34896
1993-08-30,8.026092,8.244192,8.026092,8.244192,31600,0.348961
1993-08-31,8.287812,8.331432,8.244192,8.287812,58600,0.348961
1993-09-01,8.287812,8.462292,8.200572,8.418672,104000,0.34896
1993-09-02,8.418672,8.680392,8.418672,8.680392,174600,0.34896
1993-09-03,8.680392,8.724012,8.505912,8.549532,349000,0.34896
