date,open,high,low,close,volume,adjrate
1983-04-06,9.73626,10.068178,9.73626,9.846899,105500,0.885115
1983-04-07,9.846899,10.289456,9.846899,10.178817,244500,0.885115
1983-04-08,10.178818,10.510736,10.068178,10.289457,196500,0.885115
1983-04-11,10.289456,10.621374,10.289456,10.510735,282300,0.885115
1983-04-12,10.510735,10.732014,10.289457,10.732014,367400,0.885115
1983-04-13,10.621375,10.732014,9.8469,9.957539,225000,0.885115
1983-04-14,10.178818,10.289457,9.957539,10.289457,78100,0.885115
1983-04-15,10.289456,10.400096,9.957538,10.178817,136000,0.885115
1983-04-18,10.178818,10.178818,9.73626,9.957539,284700,0.885115
1983-04-19,9.846899,9.846899,9.514981,9.514981,88500,0.885115
1983-04-20,9.62562,10.178817,9.62562,10.178817,390900,0.885115
1983-04-21,10.400096,10.400096,9.957539,10.068178,276700,0.885115
1983-04-22,10.068178,10.842653,10.068178,10.732014,611100,0.885115
1983-04-25,10.510736,10.621375,10.289457,10.289457,160900,0.885115
1983-04-26,10.621375,10.953293,10.178818,10.953293,258800,0.885115
1983-04-27,10.732014,10.953293,10.400096,10.621375,279600,0.885115
1983-04-28,10.621375,10.732014,10.510736,10.621375,188800,0.885115
1983-04-29,10.732014,10.842653,10.510735,10.732014,153100,0.885115
1983-05-02,10.400096,10.621375,10.068178,10.068178,142900,0.885115
1983-05-03,10.068178,10.621375,10.068178,10.621375,346400,0.885115
1983-05-04,10.621374,10.842653,10.400096,10.510735,175900,0.885115
1983-05-05,10.289456,10.510735,10.068178,10.178817,375800,0.885115
1983-05-06,10.178817,10.621375,10.068178,10.400096,231700,0.885115
1983-05-09,10.400096,10.842654,10.400096,10.621375,408400,0.885115
1983-05-10,10.510735,10.621374,10.400096,10.510735,275100,0.885115
1983-05-11,10.510735,10.842653,10.400096,10.732014,80600,0.885115
1983-05-12,10.732014,10.732014,10.289457,10.400096,137800,0.885115
1983-05-13,10.400096,10.953292,10.400096,10.842653,516300,0.885115
1983-05-16,10.842653,10.842653,10.510735,10.732014,135900,0.885115
1983-05-17,11.174571,11.617128,10.621374,11.506489,403900,0.885115
1983-05-18,11.506489,12.059686,11.28521,11.506489,719700,0.885115
1983-05-19,11.524219,11.635029,11.413409,11.524219,248300,0.886478
1983-05-20,11.635028,11.745838,11.413409,11.745838,163600,0.886478
1983-05-23,11.745838,13.075556,11.635029,13.075556,905700,0.886478
1983-05-24,13.186366,13.518795,12.853936,12.964746,1228400,0.886478
1983-05-25,13.186365,13.186365,12.410697,12.743126,898100,0.886478
1983-05-26,12.853936,13.075556,12.521507,12.853936,367800,0.886478
1983-05-27,12.632317,12.853937,12.632317,12.632317,181600,0.886478
1983-05-31,12.299887,12.632316,12.189077,12.299887,227100,0.886478
1983-06-01,12.189078,12.299888,12.078268,12.189078,213500,0.886478
1983-06-02,12.078268,12.189078,11.745839,12.078268,446000,0.886478
1983-06-03,11.967458,12.189078,11.745839,12.078268,116500,0.886478
1983-06-06,11.302599,11.635028,11.191789,11.302599,319400,0.886478
1983-06-07,11.413409,11.856648,11.302599,11.413409,342100,0.886478
1983-06-08,11.413409,11.413409,11.08098,11.08098,257800,0.886478
1983-06-09,11.08098,11.635029,10.97017,11.413409,261900,0.886478
1983-06-10,11.524219,11.524219,10.416121,11.302599,476200,0.886478
1983-06-13,11.302599,11.302599,10.637741,10.97017,208400,0.886478
1983-06-14,11.080979,11.302599,10.97017,11.302599,248200,0.886478
1983-06-15,11.191789,11.413409,10.97017,11.302599,109100,0.886478
1983-06-16,11.302599,12.078268,11.191789,11.967458,232000,0.886478
1983-06-17,11.745839,12.299888,11.635029,12.189078,361800,0.886478
1983-06-20,11.967458,12.410697,11.856648,12.078268,253600,0.886478
1983-06-21,12.189078,12.189078,11.524219,11.967458,218000,0.886478
