date,open,high,low,close,volume,adjrate
1980-03-17,0.994682,1.009238,0.994682,0.994682,31200,0.038817
1980-03-18,0.994683,0.994683,0.955866,0.960718,112000,0.038817
1980-03-19,0.960718,0.980126,0.951013,0.980126,97600,0.038817
1980-03-20,0.980126,0.980126,0.970422,0.975274,69600,0.038817
1980-03-21,0.975274,0.984978,0.960717,0.984978,100000,0.038817
1980-03-24,0.984978,0.98983,0.946161,0.946161,84000,0.038817
1980-03-25,0.946161,0.951013,0.931605,0.946161,33600,0.038817
1980-03-26,0.946161,0.951013,0.931605,0.946161,442400,0.038817
1980-03-27,0.946162,0.951014,0.921901,0.921901,40800,0.038817
1980-03-28,0.941309,0.951013,0.941309,0.951013,101600,0.038817
1980-03-31,0.951013,0.951013,0.926753,0.946161,32800,0.038817
1980-04-01,0.946162,0.96557,0.941309,0.96557,356800,0.038817
1980-04-02,0.96557,0.984978,0.946161,0.980126,257600,0.038817
1980-04-03,0.980126,0.999534,0.975274,0.98983,55200,0.038817
1980-04-07,0.98983,0.999534,0.984978,0.98983,35200,0.038817
1980-04-08,0.999534,1.01409,0.999534,0.999534,55200,0.038817
1980-04-09,0.98983,0.98983,0.980126,0.984978,32000,0.038817
1980-04-10,0.984978,0.98983,0.980126,0.980126,205600,0.038817
1980-04-11,0.984978,0.994682,0.984978,0.994682,25600,0.038817
1980-04-14,0.98983,0.98983,0.980126,0.984978,283200,0.038817
1980-04-15,0.984978,0.994682,0.984978,0.984978,72800,0.038817
1980-04-16,0.984978,0.999534,0.980126,0.984978,41600,0.038817
1980-04-17,0.984979,0.989831,0.960718,0.960718,128000,0.038817
1980-04-18,0.960718,0.96557,0.946162,0.96557,93600,0.038817
1980-04-21,0.970422,0.970422,0.970422,0.970422,13600,0.038817
1980-04-22,0.970421,0.975273,0.951013,0.955865,79200,0.038817
1980-04-23,0.955865,0.955865,0.931605,0.951013,282400,0.038817
1980-04-24,0.951014,0.970422,0.946161,0.970422,28000,0.038817
1980-04-25,0.96557,0.96557,0.960718,0.96557,9600,0.038817
1980-04-28,0.965569,0.965569,0.936457,0.951013,349600,0.038817
1980-04-29,0.951014,0.96557,0.951014,0.960718,368000,0.038817
1980-04-30,0.960718,0.975274,0.955866,0.960718,54400,0.038817
1980-05-01,0.960718,0.989831,0.960718,0.960718,168000,0.038817
1980-05-02,0.960718,0.970422,0.941309,0.970422,70400,0.038817
1980-05-05,0.970421,0.994682,0.970421,0.994682,25600,0.038817
1980-05-06,0.994682,0.994682,0.96557,0.975274,85600,0.038817
1980-05-07,0.975274,0.994682,0.975274,0.994682,28800,0.038817
1980-05-08,0.999535,1.018943,0.999535,1.014091,460000,0.038817
1980-05-09,1.014091,1.023795,0.980126,0.980126,93600,0.038817
1980-05-12,0.98983,0.999534,0.98983,0.999534,280800,0.038817
1980-05-13,0.999534,0.999534,0.980126,0.980126,343200,0.038817
1980-05-14,0.980126,0.999534,0.975274,0.98983,192000,0.038817
1980-05-15,0.999535,1.009239,0.999535,1.009239,37600,0.038817
1980-05-16,1.009238,1.043203,1.009238,1.043203,100000,0.038817
1980-05-19,1.038351,1.038351,1.018943,1.018943,185600,0.038817
1980-05-20,1.018943,1.028647,1.009239,1.028647,98400,0.038817
1980-05-21,1.023795,1.023795,1.009239,1.009239,44000,0.038817
1980-05-22,1.009239,1.028647,1.004386,1.028647,1200800,0.038817
1980-05-23,1.028647,1.048055,1.018942,1.048055,137600,0.038817
1980-05-27,1.048055,1.08202,1.038351,1.072316,158400,0.038817
1980-05-28,1.072316,1.096577,1.062612,1.067464,54400,0.038817
1980-05-29,1.067464,1.08202,1.067464,1.067464,48000,0.038817
1980-05-30,1.067464,1.072316,1.067464,1.067464,261600,0.038817
1980-06-02,1.067464,1.077168,1.067464,1.067464,50400,0.038817
1980-06-03,1.067463,1.067463,1.048055,1.048055,237600,0.038817
1980-06-04,1.057759,1.086872,1.057759,1.086872,67200,0.038817
1980-06-05,1.096577,1.115985,1.096577,1.106281,27200,0.038817
1980-06-06,1.115985,1.17421,1.115985,1.130541,493600,0.038817
1980-06-09,1.130541,1.135393,1.120837,1.120837,102400,0.038817
1980-06-10,1.120837,1.135393,1.111132,1.135393,236000,0.038817
1980-06-11,1.135393,1.159654,1.130541,1.159654,95200,0.038817
1980-06-12,1.159654,1.164506,1.140245,1.164506,156800,0.038817
1980-06-13,1.159654,1.159654,1.145098,1.145098,23200,0.038817
1980-06-16,1.145098,1.145098,1.145098,1.145098,12000,0.038817
1980-06-17,1.14995,1.164506,1.14995,1.164506,79200,0.038817
1980-06-18,1.164506,1.169358,1.159654,1.164506,39200,0.038817
1980-06-19,1.159654,1.159654,1.154802,1.154802,44800,0.038817
1980-06-20,1.14995,1.14995,1.140246,1.145098,36800,0.038817
1980-06-23,1.145098,1.154802,1.145098,1.14995,68800,0.038817
1980-06-24,1.14995,1.154802,1.145098,1.154802,70400,0.038817
1980-06-25,1.154802,1.164506,1.145098,1.164506,87200,0.038817
1980-06-26,1.164506,1.17421,1.164506,1.169358,65600,0.038817
1980-06-27,1.164506,1.164506,1.154802,1.154802,62400,0.038817
1980-06-30,1.154802,1.159654,1.145098,1.145098,7200,0.038817
1980-07-01,1.140246,1.140246,1.140246,1.140246,1600,0.038817
1980-07-02,1.140245,1.140245,1.115985,1.125689,88800,0.038817
1980-07-03,1.125689,1.17421,1.125689,1.17421,60000,0.038817
1980-07-07,1.17421,1.179062,1.169358,1.17421,9600,0.038817
1980-07-08,1.17421,1.203323,1.17421,1.203323,33600,0.038817
1980-07-09,1.203323,1.208175,1.198471,1.198471,48000,0.038817
1980-07-10,1.198471,1.203323,1.193619,1.198471,127200,0.038817
1980-07-11,1.222731,1.251844,1.222731,1.251844,123200,0.038817
1980-07-14,1.251844,1.261548,1.251844,1.261548,32000,0.038817
