date,open,high,low,close,volume,adjrate
1998-07-01,12.297976,12.511063,12.145776,12.419741,20818600,0.487049
1998-07-02,12.450184,12.541506,12.419741,12.511063,3037200,0.487049
1998-07-06,12.511062,12.663263,12.419741,12.602384,1737700,0.487049
1998-07-07,12.663263,12.663263,12.419741,12.419741,1077000,0.487049
1998-07-08,12.48062,12.541506,12.419741,12.511063,1180500,0.487049
1998-07-09,12.480619,12.632827,12.419741,12.602384,1443900,0.487049
1998-07-10,12.663263,12.876349,12.571941,12.571941,1117300,0.487049
1998-07-13,12.541505,12.571941,12.41974,12.541505,790800,0.487049
1998-07-14,12.541506,12.602384,12.450184,12.450184,1276300,0.487049
1998-07-15,12.419741,12.663263,12.419741,12.663263,863400,0.487049
1998-07-16,12.541506,12.632828,12.419741,12.511063,1084500,0.487049
1998-07-17,12.419741,12.724149,12.358862,12.663263,1201600,0.487049
1998-07-20,12.663263,13.332957,12.663263,13.332957,995500,0.487049
1998-07-21,13.332957,13.3634,12.785028,12.937228,784600,0.487049
1998-07-22,12.785028,12.906792,12.389298,12.48062,1497900,0.487049
1998-07-23,12.541506,12.571941,12.054454,12.419741,1248300,0.487049
1998-07-24,12.541506,12.693706,12.48062,12.663263,1009800,0.487049
1998-07-27,12.663263,12.81547,12.541505,12.602384,843600,0.487049
1998-07-28,12.632827,12.693706,12.176219,12.176219,2081800,0.487049
1998-07-29,12.176219,12.297977,11.93269,11.993576,1331400,0.487049
1998-07-30,12.084897,12.176219,11.93269,12.176219,1982400,0.487049
1998-07-31,12.176219,12.48062,12.115333,12.176219,1093600,0.487049
1998-08-03,12.176219,12.176219,11.841368,11.871811,1009000,0.487049
1998-08-04,11.841368,11.841368,11.141238,11.202117,1245900,0.487049
1998-08-05,11.080359,11.263003,10.68463,10.68463,654100,0.487049
1998-08-06,10.745509,10.806395,10.654187,10.654187,589200,0.487049
1998-08-07,10.715073,11.019474,10.654187,10.775952,1100200,0.487049
1998-08-10,10.775952,11.658725,10.715073,11.263003,321700,0.487049
1998-08-11,11.080359,11.080359,10.715073,10.715073,334000,0.487049
1998-08-12,11.080359,11.080359,10.68463,10.715073,513600,0.487049
1998-08-13,10.715073,10.745508,10.593308,10.593308,969000,0.487049
1998-08-14,10.958595,10.958595,10.68463,10.715073,229300,0.487049
1998-08-17,10.83683,10.897716,10.715073,10.715073,319900,0.487049
1998-08-18,10.715073,10.745509,10.654187,10.715073,211900,0.487049
1998-08-19,10.775952,10.83683,10.68463,10.68463,97800,0.487049
1998-08-20,10.806395,10.897716,10.68463,10.715073,378700,0.487049
1998-08-21,10.654187,10.654187,9.801857,9.9845,514000,0.487049
1998-08-24,10.045379,10.228022,10.045379,10.075822,274000,0.487049
1998-08-25,10.197579,10.562865,10.106257,10.1367,280900,0.487049
1998-08-26,10.106257,10.228022,10.045379,10.197579,63600,0.487049
1998-08-27,10.106257,10.106257,9.193041,9.193041,367200,0.487049
1998-08-28,9.253927,9.619213,8.158067,8.218946,671200,0.487049
1998-08-31,8.40159,8.645112,7.671017,7.85366,2184900,0.487049
1998-09-01,7.853659,8.158067,7.731895,7.914538,931500,0.487049
1998-09-02,7.914538,7.975424,7.610138,7.731895,238800,0.487049
1998-09-03,7.701459,7.731895,6.575157,7.731895,2830200,0.487049
1998-09-04,7.731895,7.884103,7.427494,7.731895,182700,0.487049
1998-09-08,8.036302,8.279824,8.036302,8.158067,617100,0.487049
1998-09-09,8.158068,8.158068,7.85366,7.85366,258300,0.487049
1998-09-10,7.792781,7.792781,7.183965,7.214408,134400,0.487049
1998-09-11,7.214408,7.427495,7.183965,7.275287,492100,0.487049
1998-09-14,7.549252,7.549252,7.275287,7.275287,515800,0.487049
1998-09-15,7.275286,7.305729,6.696921,6.696921,655900,0.487049
1998-09-16,6.818679,7.183965,6.514278,7.062208,1600200,0.487049
1998-09-17,6.940444,7.579695,6.818679,7.397052,260100,0.487049
1998-09-18,7.397051,7.579694,7.244851,7.427494,454500,0.487049
1998-09-21,7.183965,7.488373,7.183965,7.45793,898000,0.487049
1998-09-22,7.579694,8.88864,7.579694,8.401589,436800,0.487049
1998-09-23,8.88864,10.410665,8.88864,9.710535,828000,0.487049
1998-09-24,9.740971,10.288901,9.497449,9.497449,578100,0.487049
1998-09-25,9.375685,9.923615,9.253927,9.588771,540100,0.487049
1998-09-28,10.410665,10.471544,9.680092,9.680092,432000,0.487049
1998-09-29,9.558327,9.619213,8.949519,9.375684,791100,0.487049
1998-09-30,9.497449,9.588771,9.406127,9.497449,294100,0.487049
1998-10-01,9.375684,9.710535,9.314806,9.680092,135300,0.487049
1998-10-02,9.680092,9.680092,9.253927,9.253927,1446900,0.487049
1998-10-05,9.132162,9.497449,8.766876,9.467006,256800,0.487049
1998-10-06,9.527892,9.558328,8.797319,9.223484,1069000,0.487049
1998-10-07,9.101719,9.253926,7.305729,7.427494,492300,0.487049
1998-10-08,7.244851,7.427494,6.818679,7.062208,1061500,0.487049
1998-10-09,7.30573,8.097181,7.244851,7.975424,301500,0.487049
1998-10-12,8.279825,8.584233,8.097181,8.249389,298200,0.487049
1998-10-13,8.249389,8.40159,7.792781,8.036303,465400,0.487049
1998-10-14,7.914538,8.036303,7.914538,7.914538,114900,0.487049
1998-10-15,7.914539,7.975425,7.671017,7.884103,529600,0.487049
1998-10-16,7.792781,7.85366,7.731895,7.792781,977100,0.487049
1998-10-19,7.762338,8.279824,7.731895,8.158067,1027500,0.487049
