date,open,high,low,close,volume,adjrate
2007-12-28,22.949295,23.339,22.931975,23.339,300,0.866011
2008-01-02,23.252277,23.616,23.252277,23.616,100,0.866007
2008-01-03,24.647,24.647,24.647,24.647,0,0.866022
2008-01-08,24.014,24.014,24.014,24.014,0,0.865994
2008-01-10,23.521,23.521,23.521,23.521,0,0.866016
2008-01-11,23.209093,23.772,23.044551,23.772,0,0.866011
2008-01-15,23.486679,23.504,23.486679,23.504,200,0.866028
2008-01-16,23.036,23.036,23.036,23.036,300,0.866015
2008-01-17,23.685,23.685,23.685,23.685,0,0.865996
2008-01-18,22.862961,22.862961,22.811,22.811,500,0.866021
2008-01-21,22.421,22.421,22.421,22.421,0,0.86601
2008-01-22,20.1778,20.784,20.1778,20.784,1100,0.866
2008-01-23,20.784609,20.784609,19.806,19.806,300,0.866025
2008-01-24,21.217,21.217,21.217,21.217,2000,0.866
2008-01-25,21.65,21.65,21.65,21.65,200,0.866
2008-01-28,22.213,22.213,22.213,22.213,0,0.866004
2008-01-30,22.161,22.161,22.161,22.161,0,0.866002
2008-01-31,21.719121,21.875,21.710461,21.875,1000,0.865994
2008-02-04,22.853801,22.853801,22.58534,22.594,0,0.866002
2008-02-05,22.143371,22.143371,21.338,21.338,0,0.86599
2008-02-11,19.658,19.658,19.658,19.658,100,0.865991
2008-02-13,20.896461,21.061,20.740582,21.061,200,0.865995
2008-02-15,23.54654,23.54654,22.516,22.516,800,0.866
2008-02-21,23.495,23.495,23.495,23.495,0,0.866015
2008-03-03,21.139,21.139,21.139,21.139,500,0.865998
2008-03-06,22.082798,22.082798,21.823,21.823,0,0.865992
2008-03-11,21.087,21.087,21.087,21.087,100,0.865996
2008-03-12,21.737058,21.815,21.737058,21.815,900,0.866018
2008-03-18,20.862,20.862,20.862,20.862,0,0.866002
2008-03-19,20.914436,21.053,20.914436,21.053,100,0.866022
2008-03-20,21.2,21.2,21.2,21.2,100,0.866013
2008-03-31,25.374,25.374,25.374,25.374,0,0.866007
2008-04-01,25.816,25.816,25.816,25.816,0,0.866018
2008-04-02,24.681,24.681,24.681,24.681,200,0.866
2008-04-04,24.378,24.378,24.378,24.378,0,0.866004
2008-04-08,24.248,24.248,24.248,24.248,300,0.866
2008-04-09,23.452,23.452,23.452,23.452,0,0.866027
2008-04-11,23.218,23.218,23.218,23.218,0,0.86602
2008-04-17,23.209,23.209,23.209,23.209,1000,0.866007
2008-04-21,23.252,23.252,23.252,23.252,0,0.865996
2008-04-23,22.759167,22.759167,22.534,22.534,200,0.866026
2008-04-24,22.603,22.603,22.603,22.603,100,0.866015
2008-05-06,23.642,23.642,23.642,23.642,0,0.866007
2008-05-08,23.642,23.642,23.642,23.642,0,0.866007
2008-05-14,24.595,24.595,24.595,24.595,0,0.866021
2008-05-16,24.499859,24.499859,23.859,23.859,0,0.866025
2008-05-26,23.85895,24.24,23.85895,24.24,100,0.866024
2008-05-27,23.209,23.209,23.209,23.209,0,0.866007
2008-06-16,22.135503,22.811,22.135503,22.811,400,0.866021
2008-06-19,21.12234,21.131,20.914494,21.131,200,0.866025
2008-06-25,20.421,20.421,20.421,20.421,300,0.866031
2008-06-26,19.676,19.676,19.676,19.676,0,0.866021
2008-07-01,18.281,18.281,18.281,18.281,500,0.865988
2008-07-03,17.398,17.398,17.398,17.398,100,0.866003
2008-07-04,17.605985,18.082291,17.060399,17.147,1700,0.86601
2008-07-07,17.796699,17.84,17.796699,17.84,6000,0.866019
2008-07-08,17.173,17.173,17.173,17.173,100,0.866011
2008-07-09,17.121,17.121,17.121,17.121,100,0.866009
2008-07-10,16.125,16.125,16.125,16.125,100,0.866004
2008-07-21,16.402,16.402,16.402,16.402,0,0.865998
2008-07-25,15.935,15.935,15.935,15.935,100,0.866033
2008-08-18,16.904048,17.389,16.904048,17.389,1200,0.865986
2008-08-19,16.61,16.61,16.61,16.61,1000,0.866006
2008-08-22,16.16,16.16,16.16,16.16,0,0.866024
2008-08-27,16.887,16.887,16.887,16.887,100,0.866
2008-08-28,17.06,17.06,17.06,17.06,0,0.86599
2008-09-05,18.056,18.056,18.056,18.056,0,0.865995
2008-09-11,18.186,18.186,18.186,18.186,0,0.866
2008-09-18,17.493,17.493,17.493,17.493,100,0.86599
2008-09-19,18.247,18.247,18.247,18.247,1000,0.866018
2008-09-24,18.074,18.074,18.074,18.074,0,0.866028
2008-09-30,15.969,15.969,15.969,15.969,0,0.865998
2008-10-14,14.514,14.514,14.514,14.514,500,0.86599
2008-10-15,13.856,13.856,13.423,13.423,500,0.866
2008-10-21,12.557,12.557,12.557,12.557,300,0.866
2008-10-22,12.323,12.323,12.323,12.323,100,0.865987
2008-10-23,11.431525,11.431525,11.241,11.241,500,0.866025
2008-10-24,11.042,11.042,11.042,11.042,0,0.866039
2008-10-31,12.782,12.782,12.782,12.782,0,0.865989
2008-11-06,13.77,13.77,13.77,13.77,500,0.866038
2008-11-13,14.289158,14.497,14.289158,14.497,1000,0.86601
2008-11-14,13.882,13.882,13.882,13.882,500,0.866001
2008-11-17,13.397,13.397,13.397,13.397,0,0.865999
2008-11-19,12.341,12.341,12.341,12.341,0,0.866035
2008-11-20,11.492,11.492,11.492,11.492,0,0.866014
2008-11-21,10.825491,10.868793,10.583,10.583,600,0.866039
2008-11-24,11.0761,11.206,11.0761,11.206,1800,0.865997
2008-12-02,12.124,12.124,12.124,12.124,100,0.866
2008-12-03,12.27988,12.557,12.27988,12.557,300,0.866
2008-12-08,11.7343,11.7343,11.691,11.691,500,0.866
2008-12-11,12.228,12.228,12.228,12.228,800,0.866006
2008-12-12,12.297,12.297,12.297,12.297,300,0.865986
2008-12-15,12.618,12.618,12.618,12.618,0,0.866026
2008-12-22,12.211,12.211,12.211,12.211,300,0.866028
2009-11-27,23.945,23.945,23.945,23.945,0,0.866004
2009-12-03,26.846,26.846,26.846,26.846,300,0.866
2009-12-08,28.041,28.041,28.041,28.041,0,0.865998
2009-12-17,29.678,29.678,29.678,29.678,0,0.866005
2009-12-30,31.046,31.046,31.046,31.046,200,0.865997
2010-01-05,31.55704,31.55704,30.31,30.31,800,0.866
2010-01-06,30.839,30.839,30.839,30.839,100,0.866021
2010-01-07,32.389274,32.389274,31.861,31.861,400,0.866023
2010-01-08,32.995,32.995,32.995,32.995,0,0.86601
2010-01-12,33.557907,33.557907,32.995,32.995,0,0.86601
2010-01-20,31.635793,32.701,31.635793,32.701,200,0.866022
2010-01-22,30.449312,30.449312,29.973,29.973,500,0.866021
