date,open,high,low,close,volume,adjrate
2000-01-04,1.74678,1.74678,1.6636,1.6636,0,0.8318
2000-01-05,1.74678,1.74678,1.6636,1.6636,0,0.8318
2000-01-06,1.66361,1.7052,1.66361,1.7052,5600,0.831805
2000-01-07,1.70519,1.70519,1.6636,1.6636,0,0.8318
2000-01-10,1.70521,1.7468,1.70521,1.7468,15500,0.83181
2000-01-11,3.327238,3.327238,1.7468,1.7468,0,0.83181
2000-01-12,1.7468,1.7468,1.7468,1.7468,1600,0.83181
2000-01-13,3.327238,3.327238,1.7468,1.7468,0,0.83181
2000-01-14,2.4955,2.4955,2.4955,2.4955,1600,0.831833
2000-01-17,2.4955,2.4955,2.4955,2.4955,1500,0.831833
2000-01-18,2.4955,2.4955,2.4955,2.4955,3500,0.831833
2000-01-19,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-01-20,1.8716,1.8716,1.8716,1.8716,1200,0.831822
2000-01-21,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-01-24,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-01-25,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-01-26,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-01-27,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-01-28,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-01-31,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-01,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-02,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-03,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-04,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-07,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-08,1.8716,1.8716,1.8716,1.8716,200,0.831822
2000-02-09,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-10,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-11,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-14,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-15,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-16,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-17,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-18,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-21,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-22,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-23,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-24,1.8716,1.8716,1.8716,1.8716,17500,0.831822
2000-02-25,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-28,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-02-29,1.954782,1.954782,1.8716,1.8716,0,0.831822
2000-03-01,1.954782,1.954782,1.8716,1.8716,0,0.831822
2000-03-02,1.871617,1.9548,1.871617,1.9548,6600,0.83183
2000-03-03,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-06,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-07,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-08,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-09,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-10,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-13,1.9548,1.9548,1.9548,1.9548,0,0.83183
2000-03-14,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-15,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-16,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-17,1.9548,1.9548,1.9548,1.9548,4000,0.83183
2000-03-20,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-21,1.9548,1.9548,1.9548,1.9548,0,0.83183
2000-03-22,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-23,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-24,1.9548,1.9548,1.9548,1.9548,200,0.83183
2000-03-27,1.9548,1.9548,1.9548,1.9548,5000,0.83183
2000-03-28,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-29,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-03-30,2.49552,2.49552,2.0796,2.0796,0,0.83184
2000-03-31,2.4955,2.4955,2.4955,2.4955,500,0.831833
2000-04-03,2.911451,2.911451,2.1212,2.1212,0,0.831843
2000-04-04,2.911451,2.911451,2.1212,2.1212,0,0.831843
2000-04-05,2.911451,2.911451,2.1212,2.1212,0,0.831843
2000-04-06,2.911451,2.911451,2.1212,2.1212,0,0.831843
2000-04-07,2.911451,2.911451,2.1212,2.1212,0,0.831843
2000-04-10,2.495529,2.495529,2.1212,2.1212,0,0.831843
2000-04-11,2.495529,2.495529,2.1212,2.1212,0,0.831843
2000-04-12,2.495529,2.495529,2.1212,2.1212,0,0.831843
2000-04-13,2.495529,2.495529,2.1212,2.1212,0,0.831843
2000-04-14,2.495529,2.495529,2.1212,2.1212,0,0.831843
2000-04-17,2.495529,2.495529,2.1212,2.1212,0,0.831843
2000-04-18,2.495489,2.495489,1.9548,1.9548,0,0.83183
2000-04-19,2.495467,2.495467,1.8716,1.8716,0,0.831822
2000-04-20,2.49552,2.49552,2.0796,2.0796,0,0.83184
2000-04-21,2.0796,2.0796,2.0796,2.0796,0,0.83184
2000-04-24,2.0796,2.0796,2.0796,2.0796,0,0.83184
2000-04-25,2.495423,2.495423,2.1627,2.1627,0,0.831808
2000-04-26,2.495423,2.495423,2.1627,2.1627,0,0.831808
2000-04-27,2.1627,2.1627,2.1627,2.1627,0,0.831808
2000-04-28,2.495423,2.495423,2.1627,2.1627,0,0.831808
2000-05-01,2.1627,2.1627,2.1627,2.1627,0,0.831808
2000-05-02,2.495423,2.495423,2.1627,2.1627,0,0.831808
2000-05-03,2.495423,2.495423,2.1627,2.1627,0,0.831808
2000-05-04,2.4955,2.4955,2.4955,2.4955,100,0.831833
2000-05-05,2.495423,2.495423,2.1627,2.1627,0,0.831808
2000-05-08,2.495423,2.495423,2.1627,2.1627,0,0.831808
2000-05-09,2.1627,2.1627,2.1627,2.1627,0,0.831808
2000-05-10,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-05-11,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-05-12,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-05-15,2.4955,2.4955,1.9964,1.9964,0,0.831833
2000-05-16,2.4955,2.4955,1.9964,1.9964,0,0.831833
2000-05-17,2.4955,2.4955,1.9964,1.9964,0,0.831833
2000-05-18,2.4955,2.4955,1.9964,1.9964,0,0.831833
2000-05-19,2.4955,2.4955,1.9964,1.9964,0,0.831833
2000-05-22,2.4955,2.4955,1.9964,1.9964,0,0.831833
2000-05-23,2.4955,2.4955,1.9964,1.9964,0,0.831833
2000-05-24,2.4955,2.4955,2.4955,2.4955,500,0.831833
2000-05-25,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-05-26,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-05-29,2.24595,2.24595,1.9964,1.9964,0,0.831833
2000-05-30,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-05-31,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-06-01,2.412317,2.412317,1.9964,1.9964,0,0.831833
2000-06-02,1.9964,1.9964,1.9964,1.9964,100,0.831833
2000-06-05,2.911417,2.911417,1.9964,1.9964,0,0.831833
2000-06-06,2.495444,2.495444,2.2459,2.2459,0,0.831815
2000-06-07,2.4955,2.4955,2.4955,2.4955,14600,0.831833
2000-06-08,2.4955,2.4955,1.9964,1.9964,0,0.831833
