date,open,high,low,close,volume,adjrate
1992-06-26,0.297194,0.314884,0.290118,0.30427,224358400,0.014152
1992-06-29,0.307808,0.332574,0.300732,0.325498,58732800,0.014152
1992-06-30,0.332574,0.336112,0.311346,0.314884,34777600,0.014152
1992-07-01,0.318422,0.325498,0.307808,0.32196,18316800,0.014152
1992-07-02,0.325498,0.325498,0.314884,0.32196,13996800,0.014152
1992-07-06,0.318422,0.32196,0.314884,0.32196,5753600,0.014152
1992-07-07,0.32196,0.32196,0.314884,0.32196,10662400,0.014152
1992-07-08,0.32196,0.32196,0.311346,0.314884,15500800,0.014152
1992-07-09,0.318422,0.325498,0.314884,0.325498,3923200,0.014152
1992-07-10,0.325498,0.332574,0.318422,0.329036,11040000,0.014152
1992-07-13,0.329036,0.336112,0.325498,0.336112,5996800,0.014152
1992-07-14,0.336112,0.346726,0.332574,0.336112,17062400,0.014152
1992-07-15,0.33965,0.346726,0.336112,0.346726,4992000,0.014152
1992-07-16,0.346726,0.37503,0.343188,0.369723,17062400,0.014152
1992-07-17,0.371493,0.396259,0.360879,0.389183,15667200,0.014152
1992-07-20,0.387414,0.396259,0.378569,0.392721,19744000,0.014152
1992-07-21,0.396259,0.403335,0.389183,0.396259,7782400,0.014152
1992-07-22,0.392721,0.396259,0.382107,0.392721,10892800,0.014152
1992-07-23,0.392721,0.399797,0.385645,0.399797,10387200,0.014152
1992-07-24,0.392721,0.406873,0.389183,0.403335,7052800,0.014152
1992-07-27,0.406873,0.421025,0.403335,0.41218,11430400,0.014152
1992-07-28,0.417487,0.421025,0.389183,0.396259,18009600,0.014152
1992-07-29,0.396258,0.396258,0.367954,0.376799,30848000,0.014152
1992-07-30,0.371492,0.378568,0.364416,0.37503,11737600,0.014152
1992-07-31,0.37503,0.378568,0.367954,0.376799,6886400,0.014152
1992-08-03,0.371492,0.385644,0.371492,0.380337,4832000,0.014152
1992-08-04,0.382106,0.389182,0.373261,0.387413,6822400,0.014152
1992-08-05,0.385644,0.385644,0.364416,0.371492,9516800,0.014152
1992-08-06,0.367954,0.371492,0.360878,0.371492,3673600,0.014152
1992-08-07,0.371492,0.385644,0.360878,0.385644,8825600,0.014152
1992-08-10,0.378568,0.39272,0.37503,0.385644,5888000,0.014152
1992-08-11,0.392721,0.392721,0.382107,0.389183,4147200,0.014152
1992-08-12,0.382106,0.385644,0.364416,0.371492,12736000,0.014152
1992-08-13,0.371492,0.376799,0.364416,0.371492,48320000,0.014152
1992-08-14,0.367954,0.37503,0.346726,0.350264,17849600,0.014152
1992-08-17,0.353802,0.35734,0.346726,0.35734,2681600,0.014152
1992-08-18,0.346726,0.353802,0.346726,0.353802,2860800,0.014152
1992-08-19,0.346726,0.353802,0.346726,0.353802,2380800,0.014152
1992-08-20,0.353802,0.362647,0.343188,0.350264,2489600,0.014152
1992-08-21,0.350264,0.350264,0.343188,0.343188,2048000,0.014152
1992-08-24,0.346726,0.350264,0.33965,0.346726,6905600,0.014152
1992-08-25,0.33965,0.346726,0.33965,0.343188,4128000,0.014152
1992-08-26,0.33965,0.346726,0.325498,0.33965,19385600,0.014152
1992-08-27,0.343188,0.350264,0.33965,0.346726,6169600,0.014152
1992-08-28,0.346726,0.353802,0.343188,0.353802,3417600,0.014152
1992-08-31,0.353802,0.35734,0.346726,0.352033,4441600,0.014152
1992-09-01,0.353802,0.364416,0.350264,0.35734,2387200,0.014152
1992-09-02,0.364417,0.392721,0.357341,0.390952,11692800,0.014152
1992-09-03,0.389183,0.410411,0.389183,0.403335,16480000,0.014152
1992-09-04,0.403335,0.410411,0.399797,0.406873,4249600,0.014152
1992-09-08,0.410411,0.449329,0.403335,0.440484,17139200,0.014152
1992-09-09,0.421025,0.442253,0.410411,0.435177,25299200,0.014152
1992-09-10,0.428101,0.435177,0.421025,0.431639,8889600,0.014152
1992-09-11,0.428101,0.452867,0.428101,0.442253,13036800,0.014152
1992-09-14,0.449329,0.467019,0.445791,0.463481,13068800,0.014152
1992-09-15,0.456405,0.46525,0.435177,0.435177,18099200,0.014152
1992-09-16,0.417487,0.431639,0.413949,0.421025,14963200,0.014152
1992-09-17,0.424563,0.428101,0.396259,0.403335,13459200,0.014152
1992-09-18,0.396258,0.403334,0.378568,0.385644,17260800,0.014152
1992-09-21,0.389183,0.424563,0.378569,0.417487,24012800,0.014152
1992-09-22,0.417487,0.438715,0.410411,0.435177,19206400,0.014152
1992-09-23,0.435177,0.435177,0.413949,0.431639,26912000,0.014152
1992-09-24,0.435177,0.438715,0.424563,0.435177,5459200,0.014152
1992-09-25,0.431639,0.442253,0.428101,0.431639,12102400,0.014152
1992-09-28,0.435177,0.456405,0.431639,0.454636,7532800,0.014152
1992-09-29,0.449329,0.456405,0.435177,0.436946,9593600,0.014152
1992-09-30,0.435177,0.442253,0.428101,0.428101,11123200,0.014152
1992-10-01,0.435177,0.435177,0.413949,0.417487,4556800,0.014152
1992-10-02,0.413949,0.417487,0.396259,0.406873,5926400,0.014152
1992-10-05,0.385645,0.410411,0.382107,0.410411,12755200,0.014152
1992-10-06,0.417487,0.417487,0.403335,0.413949,6022400,0.014152
1992-10-07,0.413949,0.413949,0.403335,0.403335,3692800,0.014152
