date,open,high,low,close,volume,adjrate
1987-09-22,0.273325,0.275396,0.273325,0.273325,69211800,0.016565
1987-09-23,0.273325,0.281608,0.273325,0.273325,23109300,0.016565
1987-09-24,0.273325,0.279537,0.265043,0.279537,13159800,0.016565
1987-09-25,0.279537,0.281608,0.275396,0.281608,12757500,0.016565
1987-09-28,0.281608,0.281608,0.275396,0.275396,7698900,0.016565
1987-09-29,0.275396,0.277467,0.269184,0.269184,17860500,0.016565
1987-09-30,0.265043,0.265043,0.254689,0.262972,16738500,0.016565
1987-10-01,0.262972,0.271255,0.258831,0.271255,10754100,0.016565
1987-10-02,0.271255,0.273326,0.267114,0.271255,1548300,0.016565
1987-10-05,0.267114,0.267114,0.258831,0.265043,3835200,0.016565
1987-10-06,0.265043,0.265043,0.260902,0.265043,2253000,0.016565
1987-10-07,0.262973,0.262973,0.256761,0.260902,3183300,0.016565
1987-10-08,0.260901,0.262972,0.250548,0.25676,3993300,0.016565
1987-10-09,0.25676,0.258831,0.250548,0.250548,1787400,0.016565
1987-10-12,0.250548,0.252619,0.233983,0.240195,5248800,0.016565
1987-10-13,0.240195,0.242265,0.236053,0.238124,2490600,0.016565
1987-10-14,0.238125,0.238125,0.22363,0.225701,6933600,0.016565
1987-10-15,0.225701,0.227772,0.219489,0.225701,5050200,0.016565
1987-10-16,0.225701,0.229842,0.213277,0.213277,6250500,0.016565
1987-10-19,0.209135,0.209135,0.196711,0.202923,12394200,0.016565
1987-10-20,0.202923,0.204994,0.176005,0.196711,10299000,0.016565
1987-10-21,0.196711,0.196711,0.176005,0.186358,10290900,0.016565
1987-10-22,0.180146,0.180146,0.157369,0.16151,5776500,0.016565
1987-10-23,0.155299,0.155299,0.144946,0.149087,5177100,0.016565
1987-10-26,0.147016,0.147016,0.122168,0.130451,5649600,0.016565
1987-10-27,0.13045,0.140804,0.13045,0.132521,3808200,0.016565
1987-10-28,0.132522,0.132522,0.122168,0.124239,3828600,0.016565
1987-10-29,0.109745,0.109745,0.099391,0.107674,12118800,0.016565
1987-10-30,0.120098,0.132522,0.120098,0.130451,18318000,0.016565
1987-11-02,0.140804,0.149087,0.140804,0.149087,11153700,0.016565
1987-11-03,0.149087,0.153228,0.134592,0.140804,7028100,0.016565
1987-11-04,0.140804,0.140804,0.134592,0.136663,4787100,0.016565
1987-11-05,0.136663,0.136663,0.124239,0.12838,9197400,0.016565
1987-11-06,0.12838,0.132521,0.126309,0.12838,4795200,0.016565
1987-11-09,0.12838,0.130451,0.124239,0.124239,3972900,0.016565
1987-11-10,0.124239,0.124239,0.120098,0.120098,2277300,0.016565
1987-11-11,0.122168,0.126309,0.122168,0.122168,1931700,0.016565
1987-11-12,0.126309,0.132521,0.126309,0.126309,2559600,0.016565
1987-11-13,0.126309,0.12838,0.124238,0.126309,3993300,0.016565
1987-11-16,0.126309,0.12838,0.124239,0.12838,1560600,0.016565
1987-11-17,0.128381,0.128381,0.115957,0.120098,6015600,0.016565
1987-11-18,0.120098,0.124239,0.120098,0.124239,1101600,0.016565
1987-11-19,0.124239,0.124239,0.113885,0.115956,4581900,0.016565
1987-11-20,0.115957,0.120098,0.113886,0.120098,2332800,0.016565
1987-11-23,0.120098,0.122169,0.118027,0.120098,1410600,0.016565
1987-11-24,0.120098,0.122169,0.118027,0.120098,1009800,0.016565
1987-11-25,0.120098,0.120098,0.115956,0.118027,2577000,0.016565
1987-11-27,0.118027,0.120097,0.115956,0.115956,1337700,0.016565
1987-11-30,0.111815,0.111815,0.105603,0.109744,5128500,0.016565
1987-12-01,0.109744,0.111815,0.107673,0.109744,2735100,0.016565
1987-12-02,0.109745,0.109745,0.107674,0.107674,1393200,0.016565
1987-12-03,0.107674,0.109744,0.103532,0.105603,2523000,0.016565
1987-12-04,0.103532,0.103532,0.099391,0.099391,3033300,0.016565
1987-12-07,0.099391,0.103533,0.099391,0.101462,4185000,0.016565
1987-12-08,0.101462,0.101462,0.099391,0.099391,1976400,0.016565
