date,open,high,low,close,volume,adjrate
1980-03-17,0.479055,0.505136,0.479055,0.479055,467200,0.01757
1980-03-18,0.465877,0.465877,0.459015,0.461485,486400,0.01757
1980-03-19,0.465878,0.474663,0.465878,0.474663,432000,0.01757
1980-03-20,0.469996,0.469996,0.465878,0.465878,140800,0.01757
1980-03-21,0.465878,0.465878,0.459015,0.465878,73600,0.01757
1980-03-24,0.459015,0.459015,0.448034,0.454897,172800,0.01757
1980-03-25,0.454897,0.459015,0.443916,0.448034,140800,0.01757
1980-03-26,0.443915,0.443915,0.439523,0.439523,172800,0.01757
1980-03-27,0.432934,0.432934,0.408776,0.412894,297600,0.01757
1980-03-28,0.419757,0.430738,0.419757,0.430738,384000,0.01757
1980-03-31,0.463408,0.474663,0.463408,0.474663,473600,0.01757
1980-04-01,0.474663,0.480977,0.469996,0.479055,288000,0.01757
1980-04-02,0.479055,0.480977,0.476859,0.476859,115200,0.01757
1980-04-03,0.47686,0.490037,0.474663,0.490037,124800,0.01757
1980-04-07,0.490037,0.490037,0.480978,0.480978,118400,0.01757
1980-04-08,0.480978,0.483174,0.480978,0.480978,9600,0.01757
1980-04-09,0.480978,0.480978,0.47686,0.480978,38400,0.01757
1980-04-10,0.480978,0.48784,0.479055,0.48537,121600,0.01757
1980-04-11,0.483174,0.483174,0.480978,0.483174,41600,0.01757
1980-04-14,0.483174,0.483174,0.472192,0.476859,220800,0.01757
1980-04-15,0.474663,0.474663,0.474663,0.474663,83200,0.01757
1980-04-16,0.469996,0.469996,0.456819,0.456819,137600,0.01757
1980-04-17,0.454897,0.454897,0.443916,0.443916,131200,0.01757
1980-04-18,0.448034,0.454897,0.448034,0.454897,108800,0.01757
1980-04-21,0.459016,0.463408,0.459016,0.463408,124800,0.01757
1980-04-22,0.465878,0.479055,0.465878,0.479055,108800,0.01757
1980-04-23,0.48537,0.496625,0.48537,0.496625,156800,0.01757
1980-04-24,0.496626,0.509803,0.496626,0.509803,160000,0.01757
1980-04-25,0.501017,0.501017,0.494155,0.496625,105600,0.01757
1980-04-28,0.501018,0.509803,0.501018,0.501018,96000,0.01757
1980-04-29,0.501018,0.505136,0.498548,0.501018,214400,0.01757
1980-04-30,0.501017,0.516117,0.501017,0.516117,224000,0.01757
1980-05-01,0.516117,0.525176,0.505136,0.516117,105600,0.01757
1980-05-02,0.509803,0.509803,0.509803,0.509803,38400,0.01757
1980-05-05,0.509803,0.514195,0.505136,0.509803,54400,0.01757
1980-05-06,0.509803,0.516117,0.503214,0.503214,96000,0.01757
1980-05-07,0.498547,0.498547,0.494155,0.494155,64000,0.01757
1980-05-08,0.494155,0.494155,0.491959,0.491959,124800,0.01757
1980-05-09,0.48784,0.48784,0.479055,0.479055,102400,0.01757
1980-05-12,0.479056,0.480978,0.474663,0.480978,118400,0.01757
1980-05-13,0.480978,0.487841,0.480978,0.480978,108800,0.01757
1980-05-14,0.479055,0.479055,0.476859,0.479055,124800,0.01757
1980-05-15,0.480978,0.483174,0.480978,0.483174,64000,0.01757
1980-05-16,0.48537,0.490037,0.48537,0.490037,137600,0.01757
1980-05-19,0.490037,0.490037,0.479056,0.483174,118400,0.01757
1980-05-20,0.483174,0.487841,0.476859,0.483174,76800,0.01757
1980-05-21,0.48537,0.490037,0.48537,0.48537,41600,0.01757
1980-05-22,0.48537,0.48784,0.48537,0.48784,137600,0.01757
1980-05-23,0.487841,0.491959,0.48537,0.490037,646400,0.01757
1980-05-27,0.490037,0.490037,0.48537,0.490037,150400,0.01757
1980-05-28,0.490037,0.496626,0.490037,0.491959,332800,0.01757
1980-05-29,0.491959,0.491959,0.48537,0.48537,192000,0.01757
1980-05-30,0.48537,0.487841,0.480978,0.480978,131200,0.01757
1980-06-02,0.480978,0.491959,0.480978,0.491959,118400,0.01757
1980-06-03,0.490037,0.490037,0.480978,0.480978,73600,0.01757
1980-06-04,0.480977,0.483173,0.476859,0.479055,54400,0.01757
1980-06-05,0.480977,0.509803,0.480977,0.503214,534400,0.01757
1980-06-06,0.501018,0.501018,0.498548,0.501018,89600,0.01757
1980-06-09,0.501018,0.509803,0.501018,0.507333,83200,0.01757
1980-06-10,0.509803,0.514195,0.509803,0.514195,131200,0.01757
1980-06-11,0.514195,0.516117,0.511999,0.516117,70400,0.01757
1980-06-12,0.516117,0.52298,0.511999,0.511999,371200,0.01757
1980-06-13,0.511999,0.518313,0.511999,0.514195,140800,0.01757
1980-06-16,0.514195,0.514195,0.509803,0.509803,51200,0.01757
1980-06-17,0.509803,0.511999,0.505136,0.505136,118400,0.01757
1980-06-18,0.505136,0.507332,0.498547,0.503214,112000,0.01757
1980-06-19,0.503215,0.507333,0.503215,0.507333,134400,0.01757
1980-06-20,0.507333,0.507333,0.501018,0.507333,166400,0.01757
1980-06-23,0.507333,0.507333,0.503215,0.507333,22400,0.01757
1980-06-24,0.507332,0.514195,0.505136,0.505136,291200,0.01757
1980-06-25,0.505136,0.509803,0.501018,0.501018,48000,0.01757
1980-06-26,0.501018,0.505136,0.501018,0.505136,256000,0.01757
1980-06-27,0.505136,0.507332,0.503214,0.503214,131200,0.01757
1980-06-30,0.503214,0.507332,0.503214,0.503214,44800,0.01757
1980-07-01,0.503214,0.505136,0.503214,0.503214,96000,0.01757
1980-07-02,0.503215,0.507333,0.503215,0.507333,44800,0.01757
1980-07-03,0.507333,0.509803,0.507333,0.509803,691200,0.01757
1980-07-07,0.509803,0.518314,0.509803,0.509803,172800,0.01757
1980-07-08,0.509803,0.514195,0.507332,0.514195,329600,0.01757
1980-07-09,0.52051,0.525177,0.52051,0.52051,256000,0.01757
1980-07-10,0.52051,0.540276,0.52051,0.536158,182400,0.01757
1980-07-11,0.538354,0.542472,0.538354,0.540276,150400,0.01757
1980-07-14,0.544942,0.562238,0.544942,0.560316,284800,0.01757
1980-07-15,0.560317,0.564435,0.551258,0.562239,214400,0.01757
1980-07-16,0.562239,0.580083,0.562239,0.580083,550400,0.01757
1980-07-17,0.580083,0.580083,0.575416,0.580083,188800,0.01757
1980-07-18,0.580083,0.59326,0.580083,0.582279,368000,0.01757
1980-07-21,0.588594,0.610556,0.588594,0.610556,1068800,0.01757
1980-07-22,0.610556,0.619615,0.610556,0.615223,1241600,0.01757
1980-07-23,0.615223,0.615223,0.608634,0.608634,550400,0.01757
1980-07-24,0.608634,0.612753,0.606438,0.606438,240000,0.01757
1980-07-25,0.606437,0.606437,0.584475,0.586397,249600,0.01757
1980-07-28,0.586398,0.586398,0.571298,0.571298,208000,0.01757
1980-07-29,0.571298,0.575416,0.562239,0.562239,108800,0.01757
1980-07-30,0.566906,0.577613,0.566906,0.571298,124800,0.01757
1980-07-31,0.571297,0.571297,0.564435,0.568827,57600,0.01757
1980-08-01,0.568828,0.588594,0.566906,0.588594,342400,0.01757
1980-08-04,0.588594,0.597379,0.580083,0.597379,201600,0.01757
1980-08-05,0.599575,0.606438,0.599575,0.606438,480000,0.01757
1980-08-06,0.606438,0.610556,0.602046,0.606438,131200,0.01757
1980-08-07,0.610556,0.615223,0.610556,0.615223,518400,0.01757
1980-08-08,0.615223,0.615223,0.608634,0.608634,140800,0.01757
1980-08-11,0.608634,0.617419,0.608634,0.617419,291200,0.01757
1980-08-12,0.617419,0.621537,0.608634,0.612752,265600,0.01757
1980-08-13,0.612752,0.612752,0.599575,0.608634,192000,0.01757
1980-08-14,0.608634,0.615223,0.602046,0.615223,579200,0.01757
1980-08-15,0.615222,0.632518,0.612752,0.630596,716800,0.01757
1980-08-18,0.630596,0.639107,0.621537,0.632518,556800,0.01757
1980-08-19,0.632518,0.632518,0.6284,0.630596,390400,0.01757
1980-08-20,0.632519,0.647892,0.632519,0.643774,1161600,0.01757
1980-08-21,0.645696,0.683032,0.645696,0.678914,1779200,0.01757
1980-08-22,0.678914,0.685502,0.676717,0.683032,796800,0.01757
1980-08-25,0.683032,0.685502,0.667658,0.674247,393600,0.01757
1980-08-26,0.667658,0.667658,0.658873,0.658873,444800,0.01757
1980-08-27,0.658874,0.658874,0.643774,0.643774,144000,0.01757
1980-08-28,0.643774,0.647893,0.637186,0.641578,265600,0.01757
1980-08-29,0.634715,0.634715,0.619615,0.619615,211200,0.01757
1980-09-02,0.619615,0.637185,0.619615,0.637185,307200,0.01757
1980-09-03,0.637185,0.658873,0.634714,0.658873,233600,0.01757
1980-09-04,0.667658,0.702798,0.667658,0.700876,1120000,0.01757
1980-09-05,0.700876,0.709387,0.694013,0.702798,992000,0.01757
1980-09-08,0.700876,0.700876,0.69868,0.69868,291200,0.01757
1980-09-09,0.696209,0.696209,0.689895,0.694013,371200,0.01757
1980-09-10,0.694013,0.702798,0.694013,0.702798,387200,0.01757
1980-09-11,0.702798,0.702798,0.702798,0.702798,457600,0.01757
1980-09-12,0.702799,0.702799,0.69621,0.69621,204800,0.01757
1980-09-15,0.691817,0.691817,0.687699,0.691817,144000,0.01757
1980-09-16,0.691817,0.691817,0.687699,0.691817,201600,0.01757
1980-09-17,0.687699,0.687699,0.678914,0.678914,1472000,0.01757
1980-09-18,0.678913,0.680835,0.676717,0.676717,83200,0.01757
1980-09-19,0.676718,0.680836,0.672325,0.678914,390400,0.01757
1980-09-22,0.678913,0.678913,0.674247,0.676717,944000,0.01757
1980-09-23,0.676717,0.678913,0.674247,0.676717,531200,0.01757
1980-09-24,0.676718,0.678914,0.672325,0.678914,294400,0.01757
1980-09-25,0.683032,0.689895,0.683032,0.683032,236800,0.01757
1980-09-26,0.676717,0.676717,0.667658,0.667658,281600,0.01757
1980-09-29,0.66354,0.66354,0.656677,0.656677,73600,0.01757
1980-09-30,0.650362,0.650362,0.647892,0.650362,108800,0.01757
1980-10-01,0.647892,0.647892,0.643774,0.647892,64000,0.01757
1980-10-02,0.647892,0.647892,0.639107,0.639107,128000,0.01757
1980-10-03,0.639107,0.639107,0.634715,0.639107,22400,0.01757
1980-10-06,0.643774,0.656677,0.643774,0.654755,336000,0.01757
1980-10-07,0.654754,0.654754,0.650362,0.650362,697600,0.01757
1980-10-08,0.650362,0.650362,0.645695,0.650362,470400,0.01757
1980-10-09,0.654755,0.658873,0.654755,0.654755,243200,0.01757
1980-10-10,0.656677,0.66354,0.656677,0.656677,665600,0.01757
1980-10-13,0.654755,0.654755,0.652559,0.654755,86400,0.01757
1980-10-14,0.654755,0.658873,0.650362,0.658873,236800,0.01757
1980-10-15,0.665736,0.667658,0.665736,0.665736,140800,0.01757
