date,open,high,low,close,volume,adjrate
1995-11-08,4.173238,4.536129,3.991793,4.052275,16046000,0.241927
1995-11-09,4.23372,6.955397,4.173238,6.259857,6998800,0.241927
1995-11-10,7.257806,7.499733,6.652989,6.773952,6656800,0.241927
1995-11-13,6.471543,6.864674,6.169134,6.229616,1900000,0.241927
1995-11-14,6.108653,6.169135,5.261909,5.564318,1871600,0.241927
1995-11-15,5.473595,5.957449,5.261909,5.927208,1430000,0.241927
1995-11-16,5.866726,6.169135,5.866726,5.896967,652000,0.241927
1995-11-17,5.836486,5.98769,5.382873,5.564318,580000,0.241927
1995-11-20,5.564318,5.564318,5.231669,5.352632,364000,0.241927
1995-11-21,5.201427,5.261909,4.657092,4.778055,1582400,0.241927
1995-11-22,4.778055,5.564317,4.778055,5.201427,748800,0.241927
1995-11-24,5.322391,5.503836,5.140946,5.503836,272800,0.241927
1995-11-27,5.503836,5.564318,5.201427,5.503836,430400,0.241927
1995-11-28,5.413114,5.564318,5.231669,5.564318,458000,0.241927
1995-11-29,5.715522,6.048171,5.624799,5.685281,709200,0.241927
1995-11-30,5.745762,5.806244,5.110704,5.382872,547600,0.241927
1995-12-01,5.443354,5.685281,5.382872,5.685281,289600,0.241927
1995-12-04,5.685281,5.685281,5.29215,5.29215,874400,0.241927
1995-12-05,5.110704,5.382872,5.080464,5.201427,580000,0.241927
1995-12-06,5.261909,5.261909,4.959501,5.080464,503200,0.241927
1995-12-07,4.838537,5.019982,4.778055,4.838537,257200,0.241927
1995-12-08,4.9595,5.080463,4.838537,4.9595,195600,0.241927
1995-12-11,5.080464,5.382873,4.959501,5.140946,352000,0.241927
1995-12-12,5.140945,5.201427,4.9595,4.9595,468800,0.241927
1995-12-13,4.959501,5.080464,4.717574,4.899019,315200,0.241927
1995-12-14,4.899019,5.080464,4.324442,4.59661,897200,0.241927
1995-12-15,4.59661,4.59661,4.233719,4.350899,470800,0.241927
1995-12-18,4.263961,4.354684,3.659144,3.659144,532800,0.241927
1995-12-19,3.719626,4.052275,3.659144,3.87083,679200,0.241927
1995-12-20,4.112756,4.294202,3.931311,3.991793,985200,0.241927
1995-12-21,4.112757,4.173238,3.931312,4.052275,280800,0.241927
1995-12-22,3.931311,4.112756,3.931311,3.991793,76400,0.241927
1995-12-26,3.931311,4.173238,3.931311,3.991793,149200,0.241927
1995-12-27,4.052275,4.23372,3.810348,3.810348,338800,0.241927
1995-12-28,3.810348,3.961552,3.266013,3.628903,2081600,0.241927
1995-12-29,3.628903,3.719626,3.386976,3.628903,998000,0.241927
1996-01-02,3.568421,3.87083,3.568421,3.87083,126400,0.241927
1996-01-03,3.840589,3.901071,3.628903,3.628903,348800,0.241927
1996-01-04,3.689384,3.749866,3.356735,3.568421,716000,0.241927
1996-01-05,3.447458,3.628903,3.386976,3.568421,356800,0.241927
1996-01-08,3.568421,3.689384,3.507939,3.568421,33200,0.241927
1996-01-09,3.507939,3.628903,3.447457,3.53818,809200,0.241927
1996-01-10,3.447458,3.568421,3.326495,3.447458,474400,0.241927
1996-01-11,3.507939,3.689384,3.447457,3.689384,317600,0.241927
1996-01-12,3.689384,3.749866,3.568421,3.689384,646400,0.241927
1996-01-15,3.689384,3.689384,3.568421,3.689384,188800,0.241927
1996-01-16,3.598662,4.112757,3.568421,3.810348,704800,0.241927
1996-01-17,3.870829,4.23372,3.870829,4.173238,636000,0.241927
1996-01-18,4.23372,4.838537,4.23372,4.717574,1168000,0.241927
1996-01-19,4.838537,5.261909,4.717573,5.201427,666400,0.241927
1996-01-22,5.201427,5.201427,5.080464,5.080464,382400,0.241927
1996-01-23,5.080464,5.201428,5.080464,5.140946,660000,0.241927
1996-01-24,5.080464,5.140945,4.23372,4.778055,1953600,0.241927
1996-01-25,4.657092,4.778055,4.415165,4.415165,478800,0.241927
1996-01-26,4.445406,4.445406,4.23372,4.354683,463600,0.241927
1996-01-29,4.354683,4.415165,4.294201,4.354683,147600,0.241927
1996-01-30,4.415165,4.778055,4.354683,4.657092,164400,0.241927
1996-01-31,4.838537,4.899019,4.657092,4.657092,191600,0.241927
1996-02-01,4.657092,5.019982,4.657092,5.019982,557600,0.241927
1996-02-02,5.019982,5.019982,4.899019,4.899019,245200,0.241927
1996-02-05,4.9595,4.9595,4.778055,4.778055,380800,0.241927
1996-02-06,4.899018,4.9595,4.778055,4.778055,173200,0.241927
1996-02-07,4.899018,4.899018,4.717573,4.778055,450000,0.241927
1996-02-08,4.717573,4.778055,4.59661,4.59661,580400,0.241927
1996-02-09,4.717573,4.717573,4.354683,4.354683,235600,0.241927
1996-02-12,4.475646,4.475646,4.23372,4.354683,100800,0.241927
1996-02-13,4.112756,4.23372,4.112756,4.173238,600000,0.241927
1996-02-14,4.173238,4.173238,3.810348,3.931311,434000,0.241927
1996-02-15,3.991793,4.112756,3.87083,3.991793,574800,0.241927
1996-02-16,4.052275,4.052275,3.931311,4.022034,227600,0.241927
1996-02-20,3.991793,4.052275,3.931312,4.052275,189600,0.241927
1996-02-21,3.931311,4.052274,3.931311,3.931311,534000,0.241927
1996-02-22,3.931311,3.991793,3.931311,3.961552,152800,0.241927
1996-02-23,3.931312,3.991793,3.810348,3.87083,387200,0.241927
1996-02-26,3.931311,3.931311,3.568421,3.689384,837600,0.241927
1996-02-27,3.689385,3.689385,3.568421,3.598662,520800,0.241927
1996-02-28,3.628903,3.628903,3.326494,3.326494,639600,0.241927
1996-02-29,3.386976,3.386976,3.326494,3.386976,1016800,0.241927
1996-03-01,3.386976,3.386976,3.296253,3.356735,419200,0.241927
1996-03-04,3.447457,3.568421,3.386976,3.53818,1879600,0.241927
1996-03-05,3.53818,3.53818,3.326494,3.326494,1171200,0.241927
1996-03-06,3.326494,3.326494,3.266012,3.266012,452000,0.241927
1996-03-07,3.326495,3.326495,2.963604,3.024086,1591600,0.241927
1996-03-08,3.024086,3.205531,2.903122,3.205531,835600,0.241927
1996-03-11,3.205531,3.568421,3.145049,3.386976,919200,0.241927
1996-03-12,3.447458,3.447458,3.326494,3.386976,153600,0.241927
1996-03-13,3.447457,3.447457,3.266012,3.266012,559600,0.241927
