date,open,high,low,close,volume,adjrate
1986-07-09,2.316182,2.34755,2.316182,2.337096,232000,0.041827
1986-07-10,2.34755,2.34755,2.316182,2.326636,715200,0.041827
1986-07-11,2.321409,2.326636,2.321409,2.326636,152000,0.041827
1986-07-14,2.316182,2.321409,2.290042,2.290042,598400,0.041827
1986-07-15,2.284809,2.290042,2.258669,2.269122,187200,0.041827
1986-07-16,2.269121,2.284808,2.263894,2.284808,238400,0.041827
1986-07-17,2.274354,2.295268,2.269121,2.295268,1124800,0.041827
1986-07-18,2.300495,2.331869,2.295269,2.321409,364800,0.041827
1986-07-21,2.310949,2.316183,2.269122,2.269122,209600,0.041827
1986-07-22,2.284809,2.300495,2.279582,2.290042,350400,0.041827
1986-07-23,2.295268,2.295268,2.284808,2.295268,192000,0.041827
1986-07-24,2.295268,2.295268,2.284808,2.284808,420800,0.041827
1986-07-25,2.290042,2.295269,2.279582,2.279582,323200,0.041827
1986-07-28,2.279582,2.279582,2.206387,2.211614,424000,0.041827
1986-07-29,2.211615,2.211615,2.190701,2.190701,158400,0.041827
1986-07-30,2.180241,2.185467,2.164561,2.175014,235200,0.041827
1986-07-31,2.169787,2.175014,2.075673,2.080906,587200,0.041827
1986-08-01,2.086133,2.086133,2.070446,2.086133,41600,0.041827
1986-08-04,2.086133,2.086133,2.070446,2.075673,238400,0.041827
1986-08-05,2.070446,2.070446,2.023392,2.023392,321600,0.041827
1986-08-06,2.049532,2.112273,2.028619,2.101813,438400,0.083654
1986-08-07,2.091359,2.091359,2.070445,2.091359,294400,0.083654
1986-08-08,2.091359,2.091359,2.070445,2.091359,167200,0.083654
1986-08-11,2.091359,2.091359,2.070445,2.091359,329600,0.083654
1986-08-12,2.101813,2.133186,2.080906,2.122733,444000,0.083654
1986-08-13,2.133186,2.133186,2.112273,2.122733,608800,0.083654
1986-08-14,2.122733,2.16456,2.112273,2.16456,300800,0.083654
1986-08-15,2.164561,2.175014,2.1541,2.175014,253600,0.083654
1986-08-18,2.175014,2.175014,2.122733,2.14364,339200,0.083654
1986-08-19,2.14364,2.16456,2.133186,2.1541,795200,0.083654
1986-08-20,2.14364,2.1541,2.133186,2.1541,296000,0.083654
1986-08-21,2.1541,2.1541,2.112273,2.112273,231200,0.083654
1986-08-22,2.122733,2.14364,2.101813,2.14364,156800,0.083654
1986-08-25,2.14364,2.1541,2.122733,2.14364,188000,0.083654
1986-08-26,2.14364,2.16456,2.133186,2.1541,254400,0.083654
1986-08-27,2.1541,2.216841,2.1541,2.195927,819200,0.083654
1986-08-28,2.175014,2.206388,2.175014,2.175014,371200,0.083654
1986-08-29,2.164561,2.185467,2.164561,2.175014,621600,0.083654
1986-09-02,2.185467,2.195928,2.164561,2.175014,192800,0.083654
1986-09-03,2.175014,2.185467,2.112273,2.122733,171200,0.083654
1986-09-04,2.112273,2.122733,2.112273,2.122733,315200,0.083654
1986-09-05,2.112273,2.122733,2.028618,2.049532,8400000,0.083654
1986-09-08,2.049533,2.049533,1.913598,1.924051,328800,0.083654
1986-09-09,1.913597,1.955424,1.882223,1.913597,820000,0.083654
1986-09-10,1.903137,1.903137,1.87177,1.882223,341600,0.083654
1986-09-11,1.87177,1.882224,1.756742,1.756742,523200,0.083654
1986-09-12,1.767195,1.767195,1.610347,1.725368,1635200,0.083654
1986-09-15,1.725368,1.798569,1.704461,1.735828,640000,0.083654
1986-09-16,1.756742,1.756742,1.735828,1.756742,710400,0.083654
1986-09-17,1.756742,1.85085,1.746289,1.85085,665600,0.083654
1986-09-18,1.840397,1.892677,1.819483,1.85085,335200,0.083654
1986-09-19,1.86131,1.86131,1.819483,1.85085,263200,0.083654
1986-09-22,1.85085,2.070446,1.85085,2.059986,1414400,0.083654
1986-09-23,2.039078,2.059985,1.965877,1.986791,244000,0.083654
1986-09-24,1.997252,2.018158,1.976331,2.007705,412800,0.083654
1986-09-25,2.007705,2.018158,1.913597,1.934504,753600,0.083654
1986-09-26,1.934504,1.934504,1.892677,1.892677,240000,0.083654
1986-09-29,1.913597,1.913597,1.840396,1.840396,689600,0.083654
1986-09-30,1.840396,1.85085,1.819483,1.829943,1217600,0.083654
1986-10-01,1.819483,1.840397,1.819483,1.819483,96800,0.083654
1986-10-02,1.829943,1.829943,1.788116,1.788116,446400,0.083654
1986-10-03,1.809022,1.809022,1.777655,1.777655,1569600,0.083654
1986-10-06,1.798569,1.819483,1.777656,1.819483,1093600,0.083654
1986-10-07,1.798569,1.819482,1.735828,1.767195,1636000,0.083654
1986-10-08,1.756742,1.767195,1.714915,1.725368,883200,0.083654
1986-10-09,1.725368,1.756742,1.714915,1.756742,919200,0.083654
1986-10-10,1.746289,1.809023,1.735829,1.788116,244000,0.083654
1986-10-13,1.788116,1.809023,1.788116,1.788116,137600,0.083654
1986-10-14,1.809022,1.819483,1.788116,1.798569,6782400,0.083654
1986-10-15,1.798569,1.798569,1.756742,1.767195,6795200,0.083654
1986-10-16,1.788115,1.892676,1.767195,1.882223,3872000,0.083654
1986-10-17,1.892677,1.944965,1.892677,1.924051,1683200,0.083654
1986-10-20,1.903137,1.924051,1.86131,1.87177,488800,0.083654
1986-10-21,1.86131,1.87177,1.829943,1.86131,763200,0.083654
1986-10-22,1.85085,1.85085,1.819483,1.829943,1217600,0.083654
1986-10-23,1.840396,1.86131,1.829943,1.86131,898400,0.083654
1986-10-24,1.86131,1.934504,1.86131,1.934504,1344800,0.083654
1986-10-27,1.92405,1.944964,1.92405,1.944964,549600,0.083654
1986-10-28,1.92405,1.986791,1.92405,1.986791,393600,0.083654
1986-10-29,1.997251,2.028618,1.976331,2.018158,987200,0.083654
1986-10-30,2.039078,2.101812,2.028618,2.091359,4232800,0.083654
1986-10-31,2.080906,2.133187,2.080906,2.133187,471200,0.083654
1986-11-03,2.133186,2.216841,2.133186,2.195927,1259200,0.083654
1986-11-04,2.206388,2.248215,2.195928,2.237755,1873600,0.083654
1986-11-05,2.237755,2.237755,2.206388,2.237755,300000,0.083654
1986-11-06,2.237754,2.300495,2.227294,2.300495,1836800,0.083654
1986-11-07,2.290042,2.352776,2.290042,2.331869,1457600,0.083654
1986-11-10,2.342323,2.342323,2.269122,2.290042,373600,0.083654
1986-11-11,2.290042,2.310949,2.269122,2.269122,1599200,0.083654
1986-11-12,2.269121,2.279582,2.258668,2.258668,5027200,0.083654
1986-11-13,2.279582,2.290042,2.258669,2.269122,1222400,0.083654
1986-11-14,2.258669,2.279582,2.248215,2.269122,508000,0.083654
1986-11-17,2.258668,2.279582,2.248215,2.258668,2833600,0.083654
1986-11-18,2.258668,2.279582,2.175014,2.185467,933600,0.083654
1986-11-19,2.185467,2.185467,2.16456,2.16456,555200,0.083654
1986-11-20,2.16456,2.185467,2.16456,2.185467,198400,0.083654
1986-11-21,2.185467,2.258668,2.185467,2.258668,592000,0.083654
1986-11-24,2.258668,2.279581,2.216841,2.227294,913600,0.083654
1986-11-25,2.206387,2.216841,2.133186,2.185467,1340000,0.083654
1986-11-26,2.185467,2.195928,2.175014,2.175014,576800,0.083654
1986-11-28,2.185467,2.195927,2.185467,2.195927,52000,0.083654
1986-12-01,2.195927,2.195927,2.14364,2.16456,996800,0.083654
1986-12-02,2.16456,2.16456,2.133186,2.16456,2673600,0.083654
1986-12-03,2.1541,2.185467,2.1541,2.175014,882400,0.083654
1986-12-04,2.185467,2.185467,2.1541,2.16456,299200,0.083654
1986-12-05,2.1541,2.175013,2.1541,2.16456,317600,0.083654
1986-12-08,2.175014,2.175014,2.1541,2.1541,296800,0.083654
1986-12-09,2.16456,2.16456,2.059986,2.080906,466400,0.083654
1986-12-10,2.070446,2.14364,2.070446,2.122733,916000,0.083654
1986-12-11,2.122733,2.14364,2.112273,2.112273,311200,0.083654
1986-12-12,2.112273,2.133187,2.049532,2.070446,1276800,0.083654
1986-12-15,2.049532,2.070446,2.007705,2.007705,1281600,0.083654
1986-12-16,2.007705,2.028619,1.997252,1.997252,1436000,0.083654
1986-12-17,1.997252,2.018158,1.965878,2.007705,901600,0.083654
1986-12-18,2.007705,2.007705,1.986791,1.986791,656000,0.083654
1986-12-19,1.997252,2.007705,1.976331,2.007705,1448800,0.083654
1986-12-22,2.007705,2.007705,1.976332,1.997252,1553600,0.083654
1986-12-23,1.986791,2.007705,1.965877,1.986791,1077600,0.083654
1986-12-24,1.976332,1.997252,1.965878,1.997252,438400,0.083654
1986-12-26,1.976331,1.997251,1.976331,1.976331,232000,0.083654
1986-12-29,1.997251,1.997251,1.965878,1.976331,564000,0.083654
1986-12-30,1.976331,1.986791,1.965878,1.976331,840800,0.083654
1986-12-31,1.965877,1.976331,1.955424,1.955424,503200,0.083654
1987-01-02,1.976331,2.112273,1.976331,2.091359,676800,0.083654
1987-01-05,2.101813,2.216841,2.09136,2.175014,2288800,0.083654
1987-01-06,2.185467,2.248215,2.175014,2.216841,1558400,0.083654
1987-01-07,2.216841,2.248215,2.195928,2.248215,1732800,0.083654
1987-01-08,2.248215,2.279582,2.237755,2.279582,1482400,0.083654
1987-01-09,2.279582,2.279582,2.237755,2.248215,752000,0.083654
1987-01-12,2.248215,2.258668,2.237755,2.248215,319200,0.083654
1987-01-13,2.258669,2.269122,2.237755,2.269122,2344800,0.083654
1987-01-14,2.269121,2.269121,2.227294,2.258668,2266400,0.083654
1987-01-15,2.269122,2.279582,2.248215,2.248215,2564000,0.083654
1987-01-16,2.258669,2.258669,2.216841,2.237755,1726400,0.083654
1987-01-19,2.248215,2.269121,2.227294,2.258668,3813600,0.083654
1987-01-20,2.269122,2.321409,2.258668,2.321409,2957600,0.083654
1987-01-21,2.321409,2.520085,2.300495,2.467804,2263200,0.083654
1987-01-22,2.478258,2.499178,2.457351,2.499178,599200,0.083654
1987-01-23,2.499178,2.6142,2.499178,2.593286,1706400,0.083654
1987-01-26,2.582832,2.624659,2.561912,2.624659,1260000,0.083654
1987-01-27,2.62466,2.656027,2.582833,2.593286,2220000,0.083654
1987-01-28,2.593286,2.614199,2.551459,2.561912,2035200,0.083654
1987-01-29,2.561911,2.561911,2.45735,2.478257,974400,0.083654
1987-01-30,2.457351,2.561912,2.446891,2.561912,696800,0.083654
1987-02-02,2.572372,2.614199,2.561912,2.614199,1438400,0.083654
1987-02-03,2.614199,2.614199,2.541005,2.551458,1108000,0.083654
1987-02-04,2.551459,2.551459,2.488718,2.530545,1051200,0.083654
1987-02-05,2.551458,2.551458,2.530544,2.551458,1105600,0.083654
1987-02-06,2.551458,2.582832,2.541005,2.572372,1452800,0.083654
1987-02-09,2.572372,2.572372,2.509631,2.509631,1504800,0.083654
1987-02-10,2.530545,2.530545,2.509632,2.520085,635200,0.083654
1987-02-11,2.520085,2.541005,2.520085,2.530545,1040000,0.083654
1987-02-12,2.520085,2.541005,2.520085,2.530545,1087200,0.083654
1987-02-13,2.530545,2.530545,2.509632,2.520085,272800,0.083654
1987-02-17,2.530545,2.561912,2.509631,2.541005,1423200,0.083654
1987-02-18,2.541005,2.593286,2.541005,2.572372,560000,0.083654
1987-02-19,2.593286,2.603739,2.551458,2.572372,572000,0.083654
1987-02-20,2.572372,2.603739,2.561912,2.582832,742400,0.083654
1987-02-23,2.603739,2.603739,2.582833,2.593286,772000,0.083654
1987-02-24,2.582833,2.593286,2.582833,2.593286,2255200,0.083654
1987-02-25,2.582833,2.603739,2.582833,2.593286,553600,0.083654
1987-02-26,2.593285,2.593285,2.582832,2.582832,112800,0.083654
1987-02-27,2.582832,2.645566,2.582832,2.624659,996000,0.083654
1987-03-02,2.645566,2.656026,2.551458,2.572372,1671200,0.083654
