date,open,high,low,close,volume,adjrate
2002-12-11,7.794435,8.133323,7.624991,7.794435,36719700,0.677777
2002-12-12,7.794435,7.855435,7.469102,7.577546,9195600,0.677777
2002-12-13,7.523324,7.794435,7.421658,7.740213,7739400,0.677777
2002-12-16,7.672435,7.875768,7.543657,7.86899,3836400,0.677777
2002-12-17,7.862213,7.984213,7.760546,7.794435,2729900,0.677777
2002-12-18,7.740213,7.746991,7.543658,7.591102,2152800,0.677777
2002-12-19,7.557213,7.591102,7.258991,7.29288,6450800,0.677777
2002-12-20,7.35388,7.41488,7.157325,7.326769,2930900,0.677777
2002-12-23,7.258991,7.258991,6.913325,7.04888,3455900,0.677777
2002-12-24,7.04888,7.082769,6.77777,6.940436,3302500,0.677777
2002-12-26,6.811658,6.913324,6.777769,6.798102,2019200,0.677777
2002-12-27,6.777769,6.86588,6.68288,6.86588,1639400,0.677777
2002-12-30,6.926881,7.150547,6.77777,7.096325,2742800,0.677777
2002-12-31,6.981102,7.428435,6.981102,7.272546,3730800,0.677777
2003-01-02,7.286102,7.29288,6.947214,7.116658,3473000,0.677777
2003-01-03,7.116658,7.286102,7.001436,7.286102,1716600,0.677777
2003-01-06,7.387769,7.84188,7.35388,7.746991,4041400,0.677777
2003-01-07,7.794434,8.302767,7.726657,8.302767,6823500,0.677777
2003-01-08,8.167211,8.295989,8.099434,8.268878,4623100,0.677777
2003-01-09,8.336657,8.777212,8.302768,8.53999,9553400,0.677777
2003-01-10,7.794435,8.099434,7.252213,7.523324,7554700,0.677777
2003-01-13,7.557213,7.645324,6.879436,6.933658,2834700,0.677777
2003-01-14,6.933658,7.014992,6.77777,6.947214,1629200,0.677777
2003-01-15,7.021769,7.374213,6.906547,7.299658,2588100,0.677777
2003-01-16,7.441991,7.523324,7.306435,7.462324,1443400,0.677777
2003-01-17,7.441991,7.455546,7.04888,7.319991,2000000,0.677777
2003-01-21,7.387769,7.441991,6.920103,6.940436,1165700,0.677777
2003-01-22,7.008214,7.008214,6.303326,6.452437,3488500,0.677777
2003-01-23,6.608325,6.879436,6.513436,6.777769,2498200,0.677777
2003-01-24,6.892991,7.069213,6.642213,6.74388,2772100,0.677777
2003-01-27,6.642215,6.709992,6.316882,6.337215,1150600,0.677777
2003-01-28,6.391436,6.581214,6.371103,6.371103,1267000,0.677777
2003-01-29,6.384658,6.723547,6.371103,6.594769,1174400,0.677777
2003-01-30,6.635436,6.703214,6.371103,6.371103,720700,0.677777
2003-01-31,6.303325,6.330436,6.093214,6.221992,1402500,0.677777
2003-02-03,6.255882,6.404993,6.208437,6.215215,1002400,0.677777
2003-02-04,6.221992,6.221992,6.066103,6.133881,1087700,0.677777
2003-02-05,6.181325,6.242325,6.086437,6.133881,1233500,0.677777
2003-02-06,6.16777,6.330436,6.120325,6.133881,923500,0.677777
2003-02-07,6.201659,6.215214,6.072881,6.099992,1069500,0.677777
2003-02-10,5.930548,5.930548,5.273104,5.896659,10046400,0.677777
