date,open,high,low,close,volume,adjrate
1985-07-01,4.541222,4.630557,4.541222,4.615668,1021200,0.119114
1985-07-02,4.600779,4.600779,4.556111,4.58589,239200,0.119114
1985-07-03,4.705004,4.958121,4.705004,4.839007,864000,0.119114
1985-07-05,4.824118,4.824118,4.764561,4.824118,82400,0.119114
1985-07-08,4.824118,4.839007,4.764561,4.839007,165600,0.119114
1985-07-09,4.839007,4.839007,4.749672,4.764561,143200,0.119114
1985-07-10,4.79434,4.839008,4.79434,4.809229,118800,0.119114
1985-07-11,4.809228,4.928343,4.809228,4.898564,260800,0.119114
1985-07-12,4.898564,4.913453,4.883675,4.898564,81200,0.119114
1985-07-15,4.898564,5.032567,4.883674,4.97301,222800,0.119114
1985-07-16,4.973011,4.9879,4.868786,4.9879,335600,0.119114
1985-07-17,5.002789,5.18146,5.002789,5.18146,276400,0.119114
1985-07-18,5.18146,5.255906,5.136792,5.136792,408400,0.119114
1985-07-19,5.017678,5.017678,4.958121,5.002789,173200,0.119114
1985-07-22,4.958121,4.958121,4.824118,4.883675,104400,0.119114
1985-07-23,4.883675,4.958121,4.853896,4.853896,129600,0.119114
1985-07-24,4.853896,4.913453,4.705003,4.734782,124400,0.119114
1985-07-25,4.794339,4.839007,4.794339,4.824118,352000,0.119114
1985-07-26,4.809228,4.809228,4.719893,4.734782,296800,0.119114
1985-07-29,4.734782,4.764561,4.719893,4.719893,83600,0.119114
1985-07-30,4.719893,4.734782,4.645446,4.675225,105600,0.119114
1985-07-31,4.675225,4.690114,4.660335,4.690114,342000,0.119114
1985-08-01,4.690115,4.749672,4.690115,4.749672,12000,0.119114
1985-08-02,4.749672,4.764561,4.734782,4.764561,26800,0.119114
1985-08-05,4.749672,4.749672,4.675225,4.705004,45600,0.119114
1985-08-06,4.705004,4.719893,4.675225,4.675225,116800,0.119114
1985-08-07,4.675225,4.690115,4.645447,4.660336,72000,0.119114
1985-08-08,4.660336,4.675225,4.630557,4.630557,162400,0.119114
1985-08-09,4.734783,4.734783,4.615668,4.645447,39800,0.238228
1985-08-12,4.645447,4.675226,4.526333,4.58589,46400,0.238228
1985-08-13,4.58589,4.675226,4.58589,4.645447,106000,0.238228
1985-08-14,4.645447,4.705004,4.615668,4.645447,47600,0.238228
1985-08-15,4.645446,4.705004,4.615668,4.675225,117600,0.238228
1985-08-16,4.675225,4.734782,4.615668,4.615668,274600,0.238228
1985-08-19,4.615669,4.705004,4.526333,4.526333,105200,0.238228
1985-08-20,4.526332,4.645447,4.526332,4.615668,258600,0.238228
1985-08-21,4.615668,4.645447,4.556111,4.556111,49400,0.238228
1985-08-22,4.556112,4.615669,4.466776,4.466776,258600,0.238228
1985-08-23,4.466776,4.526333,4.407219,4.466776,56800,0.238228
1985-08-26,4.549383,4.609243,4.549383,4.609243,109400,0.239441
1985-08-27,4.639174,4.788824,4.639174,4.699034,113200,0.239441
1985-08-28,4.699033,4.728964,4.609243,4.609243,344000,0.239441
1985-08-29,4.609244,4.699034,4.549383,4.699034,104000,0.239441
1985-08-30,4.699034,4.758894,4.699034,4.758894,291800,0.239441
1985-09-03,4.758894,4.788824,4.669104,4.728964,171400,0.239441
1985-09-04,4.728963,4.758893,4.669103,4.669103,88000,0.239441
1985-09-05,4.669103,4.699033,4.549382,4.669103,353600,0.239441
1985-09-06,4.669103,4.669103,4.549383,4.639173,192800,0.239441
1985-09-09,4.639174,4.639174,4.489523,4.519453,64800,0.239441
1985-09-10,4.519453,4.609243,4.489523,4.549383,226400,0.239441
1985-09-11,4.549383,4.699033,4.519453,4.609243,128000,0.239441
1985-09-12,4.609243,4.669104,4.549383,4.549383,151400,0.239441
1985-09-13,4.549383,4.549383,4.459593,4.519453,358400,0.239441
1985-09-16,4.519453,4.549383,4.429662,4.549383,60400,0.239441
1985-09-17,4.549383,4.549383,4.429662,4.549383,111800,0.239441
1985-09-18,4.549383,4.579313,4.489523,4.519453,238800,0.239441
1985-09-19,4.519453,4.579313,4.519453,4.549383,28200,0.239441
1985-09-20,4.579313,4.639173,4.579313,4.579313,149000,0.239441
1985-09-23,4.579313,4.758894,4.579313,4.609243,103800,0.239441
1985-09-24,4.609243,4.609243,4.519453,4.549383,155400,0.239441
1985-09-25,4.549383,4.579313,4.489523,4.549383,74200,0.239441
1985-09-26,4.549383,4.639173,4.549383,4.639173,124600,0.239441
1985-09-30,4.699034,4.758894,4.699034,4.758894,165400,0.239441
1985-10-01,4.758894,4.848684,4.669103,4.788824,975600,0.239441
1985-10-02,4.818755,4.938475,4.818755,4.908545,385200,0.239441
1985-10-03,4.908545,4.968405,4.878615,4.908545,282600,0.239441
1985-10-04,4.908545,4.968405,4.878615,4.938475,111800,0.239441
1985-10-07,4.938475,5.028265,4.878614,4.998335,181800,0.239441
1985-10-08,4.998335,5.088126,4.908545,4.968405,122200,0.239441
1985-10-09,4.968405,4.998335,4.938475,4.968405,139800,0.239441
1985-10-10,4.968405,5.147986,4.938475,5.028265,116800,0.239441
1985-10-11,5.028265,5.028265,4.938475,4.968405,152400,0.239441
1985-10-14,4.968405,4.998335,4.938475,4.968405,41000,0.239441
1985-10-15,4.968405,5.028265,4.968405,4.998335,272400,0.239441
1985-10-16,4.998335,5.028265,4.938475,5.028265,185200,0.239441
1985-10-17,5.028265,5.028265,4.938475,4.968405,97400,0.239441
1985-10-18,4.968405,5.028265,4.968405,4.968405,55200,0.239441
1985-10-21,4.968405,5.028265,4.968405,4.968405,22400,0.239441
1985-10-22,4.968405,5.028265,4.968405,4.968405,25600,0.239441
1985-10-23,4.968405,5.028265,4.938475,5.028265,68000,0.239441
1985-10-24,5.028265,5.058195,4.968405,5.028265,159000,0.239441
1985-10-25,5.028265,5.028265,4.968405,4.968405,76400,0.239441
1985-10-28,4.968405,5.028265,4.938475,4.968405,70800,0.239441
1985-10-29,4.968405,4.998335,4.938475,4.938475,34200,0.239441
1985-10-30,4.938475,4.998335,4.938475,4.968405,45200,0.239441
1985-10-31,4.968405,5.058195,4.968405,5.058195,179000,0.239441
1985-11-01,5.058196,5.147986,5.058196,5.147986,253600,0.239441
1985-11-04,5.147986,5.237776,5.058195,5.207846,335800,0.239441
1985-11-05,5.207846,5.267707,5.058196,5.118056,207000,0.239441
1985-11-06,5.118056,5.147986,4.848684,5.147986,120800,0.239441
1985-11-07,5.147986,5.177916,5.088126,5.118056,225200,0.239441
1985-11-08,5.118056,5.177916,5.088126,5.147986,286800,0.239441
1985-11-11,5.147985,5.267706,5.118055,5.267706,163600,0.239441
1985-11-12,5.267707,5.417357,5.267707,5.357497,250000,0.239441
1985-11-13,5.357496,5.387427,5.177916,5.267706,63800,0.239441
1985-11-14,5.267706,5.267706,5.207846,5.237776,74800,0.239441
1985-11-15,5.207846,5.207846,5.088126,5.177916,111800,0.239441
1985-11-18,5.147986,5.147986,5.028265,5.147986,98800,0.239441
1985-11-19,5.147986,5.177916,5.088126,5.147986,258200,0.239441
1985-11-20,5.147986,5.237776,5.088125,5.237776,184000,0.239441
1985-11-21,5.237776,5.447287,5.207846,5.387427,411400,0.239441
1985-11-22,5.41027,5.41027,5.350156,5.380213,154800,0.240456
1985-11-25,5.380213,5.500441,5.380213,5.41027,120200,0.240456
1985-11-26,5.41027,5.470384,5.320099,5.350156,118200,0.240456
1985-11-27,5.380214,5.530499,5.380214,5.530499,452200,0.240456
1985-11-29,5.530498,5.590612,5.41027,5.440327,190800,0.240456
1985-12-02,5.440327,5.470384,5.41027,5.41027,81200,0.240456
1985-12-03,5.470385,5.62067,5.470385,5.590613,179200,0.240456
1985-12-04,5.590613,5.590613,5.500442,5.530499,89800,0.240456
1985-12-05,5.530498,5.740898,5.440327,5.440327,335600,0.240456
1985-12-06,5.440327,5.440327,5.350156,5.41027,466000,0.240456
1985-12-09,5.41027,5.41027,5.320099,5.350156,215400,0.240456
1985-12-10,5.350156,5.41027,5.320099,5.320099,209600,0.240456
1985-12-11,5.320099,5.41027,5.259985,5.350156,251200,0.240456
1985-12-12,5.350156,5.380213,5.259985,5.320099,471800,0.240456
1985-12-13,5.320099,5.380213,5.229928,5.350156,199000,0.240456
1985-12-16,5.350156,5.380213,5.290042,5.350156,320400,0.240456
1985-12-17,5.350156,5.41027,5.290042,5.41027,406000,0.240456
1985-12-18,5.41027,5.41027,5.290042,5.320099,382000,0.240456
1985-12-19,5.350156,5.500441,5.350156,5.350156,151600,0.240456
1985-12-20,5.350156,5.41027,5.320099,5.380213,294800,0.240456
1985-12-23,5.380213,5.41027,5.320099,5.350156,161600,0.240456
1985-12-24,5.350156,5.380213,5.320099,5.350156,73200,0.240456
1985-12-26,5.350156,5.41027,5.350156,5.350156,110800,0.240456
1985-12-27,5.350156,5.41027,5.320099,5.41027,131200,0.240456
1985-12-30,5.41027,5.440327,5.320099,5.380213,42000,0.240456
1985-12-31,5.380213,5.380213,5.290042,5.380213,128400,0.240456
1986-01-02,5.380213,5.380213,5.320099,5.350156,50800,0.240456
1986-01-03,5.350156,5.470384,5.320099,5.41027,144600,0.240456
1986-01-06,5.380213,5.380213,5.290042,5.320099,40800,0.240456
1986-01-07,5.320099,5.440327,5.320099,5.350156,320600,0.240456
1986-01-08,5.350156,5.440328,5.049586,5.169814,172000,0.240456
1986-01-09,5.169814,5.259985,5.139757,5.199871,240200,0.240456
1986-01-10,5.199871,5.259985,5.169814,5.199871,138800,0.240456
1986-01-13,5.199871,5.290042,5.169814,5.290042,102600,0.240456
1986-01-14,5.290042,5.350156,5.169814,5.169814,59800,0.240456
1986-01-15,5.199871,5.259985,5.199871,5.229928,112800,0.240456
1986-01-16,5.229928,5.290042,5.229928,5.290042,177600,0.240456
1986-01-17,5.290042,5.290042,5.259985,5.290042,152600,0.240456
1986-01-20,5.290042,5.290042,5.169814,5.199871,242200,0.240456
1986-01-21,5.199871,5.199871,4.899301,5.049586,361800,0.240456
1986-01-22,5.049586,5.1097,4.989472,4.989472,151400,0.240456
1986-01-23,4.989472,4.989472,4.839187,4.959415,169600,0.240456
1986-01-24,4.959415,5.019529,4.899301,4.989472,124800,0.240456
1986-01-27,4.989472,5.049586,4.989472,5.049586,89200,0.240456
1986-01-28,5.049586,5.290042,5.049586,5.290042,148200,0.240456
1986-01-29,5.290042,5.951298,5.139757,5.139757,652800,0.240456
1986-01-30,5.169814,5.380213,5.169814,5.290042,174400,0.240456
1986-01-31,5.290043,5.530499,5.290043,5.470385,341600,0.240456
1986-02-03,5.470384,5.560555,5.350156,5.440327,251200,0.240456
1986-02-04,5.41027,5.41027,4.8993,5.169814,160400,0.240456
1986-02-05,5.229928,5.440327,5.229928,5.440327,229400,0.240456
1986-02-06,5.440327,5.470384,5.320099,5.320099,73800,0.240456
1986-02-07,5.320099,5.350156,5.169814,5.290042,364200,0.240456
1986-02-10,5.290042,5.710841,5.290042,5.710841,269000,0.240456
1986-02-11,5.710841,5.710841,5.650727,5.680784,85000,0.240456
1986-02-12,5.680784,5.680784,5.62067,5.650727,111200,0.240456
1986-02-13,5.650727,5.680784,5.62067,5.650727,54800,0.240456
1986-02-14,5.650727,5.770955,5.62067,5.740898,100400,0.240456
1986-02-18,5.740898,5.740898,5.560556,5.62067,124000,0.240456
1986-02-19,5.62067,5.710841,5.470385,5.470385,256200,0.240456
1986-02-20,5.470385,5.530499,5.470385,5.530499,123000,0.240456
1986-02-21,5.530499,5.530499,5.470385,5.530499,282200,0.240456
1986-02-24,5.462892,5.462892,5.311984,5.372347,236000,0.241454
1986-02-25,5.372347,5.43271,5.311983,5.43271,243000,0.241454
1986-02-26,5.432711,5.523256,5.372347,5.493074,189800,0.241454
1986-02-27,5.493073,5.553437,5.43271,5.523255,203200,0.241454
1986-02-28,5.523255,5.6138,5.462891,5.6138,481200,0.241454
1986-03-03,5.6138,5.6138,5.462892,5.523255,141200,0.241454
1986-03-04,5.523256,5.553437,5.432711,5.493074,196000,0.241454
1986-03-05,5.493074,5.493074,5.402529,5.462892,158400,0.241454
1986-03-06,5.462892,5.553437,5.462892,5.553437,239800,0.241454
1986-03-07,5.553437,5.6138,5.553437,5.6138,248200,0.241454
1986-03-10,5.6138,5.6138,5.523255,5.553437,172600,0.241454
1986-03-11,5.553437,5.704346,5.493074,5.493074,1005200,0.241454
1986-03-12,5.764709,6.006163,5.764709,5.794891,317200,0.241454
1986-03-13,5.794891,6.006163,5.764709,5.915618,193400,0.241454
1986-03-14,5.915617,6.187253,5.855254,6.066526,528200,0.241454
1986-03-17,6.066526,6.187253,5.915617,5.945799,213000,0.241454
1986-03-18,5.945799,6.187253,5.79489,5.825072,190600,0.241454
1986-03-19,5.825072,5.885436,5.674164,5.764709,263400,0.241454
1986-03-20,5.764709,5.915618,5.43271,5.794891,297600,0.241454
1986-03-21,5.794891,5.9458,5.674164,5.704346,313800,0.241454
1986-03-24,5.764709,5.855254,5.764709,5.855254,143400,0.241454
1986-03-25,5.855254,5.915618,5.794891,5.885436,122200,0.241454
1986-03-26,5.885436,6.066527,5.885436,6.036345,167400,0.241454
1986-03-27,6.036345,6.217435,6.006163,6.096708,562600,0.241454
1986-03-31,6.126889,6.126889,5.915617,6.066526,136600,0.241454
1986-04-01,6.066526,6.066526,5.79489,5.825072,159200,0.241454
1986-04-02,5.825073,6.036345,5.734528,6.036345,184000,0.241454
