date,open,high,low,close,volume,adjrate
1985-07-01,3.810089,3.909483,3.810089,3.843223,97200,0.132525
1985-07-02,3.843223,3.942617,3.843223,3.876353,116400,0.132525
1985-07-03,3.876352,3.975746,3.876352,3.975746,150200,0.132525
1985-07-05,3.975746,3.992313,3.942616,3.975746,108200,0.132525
1985-07-08,3.975746,3.975746,3.926049,3.975746,104000,0.132525
1985-07-09,3.975747,3.975747,3.909483,3.909483,37400,0.132525
1985-07-10,3.909483,3.942617,3.876353,3.876353,145400,0.132525
1985-07-11,3.876353,3.92605,3.810089,3.810089,147800,0.132525
1985-07-12,3.810089,3.843223,3.776959,3.843223,98600,0.132525
1985-07-15,3.843223,3.859786,3.644436,3.859786,52400,0.132525
1985-07-16,3.876352,3.975746,3.876352,3.942616,105600,0.132525
1985-07-17,3.942616,4.07514,3.942616,4.008876,489000,0.132525
1985-07-18,4.008876,4.091707,3.992313,4.058573,185600,0.132525
1985-07-19,4.058573,4.091707,4.04201,4.058573,60600,0.132525
1985-07-22,4.058573,4.058573,3.992313,4.025443,33800,0.132525
1985-07-23,4.025443,4.058573,4.008876,4.025443,58800,0.132525
1985-07-24,4.025443,4.091707,4.008876,4.04201,158600,0.132525
1985-07-25,4.04201,4.157967,4.008876,4.124837,152600,0.132525
1985-07-26,4.10827,4.10827,3.992313,4.025443,73200,0.132525
1985-07-29,4.025444,4.025444,3.909483,3.92605,54200,0.132525
1985-07-30,3.92605,3.975747,3.843223,3.843223,184800,0.132525
1985-07-31,3.826656,3.826656,3.776959,3.810089,264000,0.132525
1985-08-01,3.810089,3.975746,3.810089,3.975746,159800,0.132525
1985-08-02,3.975746,3.975746,3.909482,3.975746,24800,0.132525
1985-08-05,3.975746,4.008876,3.942616,4.008876,127800,0.132525
1985-08-06,4.008877,4.008877,3.909483,3.909483,60200,0.132525
1985-08-07,3.909482,3.975746,3.909482,3.942616,69200,0.132525
1985-08-08,3.942617,3.95918,3.92605,3.92605,35000,0.132525
1985-08-09,3.926049,4.008876,3.926049,3.992313,64200,0.132525
1985-08-12,3.975746,3.975746,3.926049,3.942616,21800,0.132525
1985-08-13,3.942616,3.975746,3.926049,3.959179,33000,0.132525
1985-08-14,3.959179,4.008876,3.942616,3.975746,53000,0.132525
1985-08-15,3.975746,3.975746,3.942616,3.959179,30800,0.132525
1985-08-16,3.959179,3.975746,3.942616,3.959179,24600,0.132525
1985-08-19,3.95918,4.008877,3.909483,3.909483,266000,0.132525
1985-08-20,3.926049,3.959179,3.926049,3.959179,38400,0.132525
1985-08-21,3.959179,3.992313,3.942616,3.992313,24800,0.132525
1985-08-22,3.992313,4.008876,3.926049,3.959179,28400,0.132525
1985-08-23,3.959179,3.975746,3.926049,3.959179,30000,0.132525
1985-08-26,3.959179,3.959179,3.909482,3.942616,48000,0.132525
1985-08-27,3.942617,3.95918,3.909483,3.909483,44600,0.132525
1985-08-28,3.909482,3.959179,3.892919,3.959179,57600,0.132525
1985-08-29,3.959179,3.975746,3.942616,3.975746,20000,0.132525
1985-08-30,3.975746,4.008876,3.926049,3.975746,50000,0.132525
1985-09-03,4.010505,4.010505,3.960374,4.010505,36800,0.133684
1985-09-04,4.010506,4.043925,3.977086,3.977086,55400,0.133684
1985-09-05,3.977086,4.043925,3.960374,3.993794,57200,0.133684
1985-09-06,3.977086,3.977086,3.960374,3.960374,24600,0.133684
1985-09-09,3.960374,4.010506,3.960374,3.977086,30800,0.133684
1985-09-10,3.977086,4.010506,3.960374,3.977086,61400,0.133684
1985-09-11,3.977086,3.993794,3.80998,3.8434,92600,0.133684
1985-09-12,3.8434,3.8434,3.759849,3.759849,103200,0.133684
1985-09-13,3.743137,3.743137,3.693005,3.726429,75200,0.133684
1985-09-16,3.72643,3.793269,3.709718,3.776561,45200,0.133684
1985-09-17,3.776561,3.776561,3.726429,3.759849,117800,0.133684
1985-09-18,3.759849,3.776561,3.726429,3.743137,42600,0.133684
1985-09-19,3.743137,3.793268,3.743137,3.793268,47000,0.133684
1985-09-20,3.793269,3.809981,3.776561,3.776561,86000,0.133684
1985-09-23,3.776561,3.80998,3.709717,3.743137,312000,0.133684
1985-09-24,3.743137,3.80998,3.726429,3.759849,201000,0.133684
1985-09-25,3.759849,3.776561,3.743137,3.743137,124400,0.133684
1985-09-26,3.743137,3.80998,3.743137,3.759849,81600,0.133684
1985-09-30,3.759849,3.8434,3.743137,3.8434,70400,0.133684
1985-10-01,3.8434,3.8434,3.793268,3.826692,120000,0.133684
1985-10-02,3.826692,3.876823,3.826692,3.826692,55400,0.133684
1985-10-03,3.826692,3.876823,3.826692,3.826692,52400,0.133684
1985-10-04,3.80998,3.80998,3.743137,3.80998,108200,0.133684
1985-10-07,3.80998,3.8434,3.776561,3.826692,46800,0.133684
1985-10-08,3.826692,3.826692,3.776561,3.826692,29000,0.133684
1985-10-09,3.826692,3.860111,3.793268,3.80998,145400,0.133684
1985-10-10,3.80998,3.860111,3.793268,3.80998,41400,0.133684
1985-10-11,3.80998,3.826692,3.793268,3.826692,17600,0.133684
1985-10-14,3.826692,3.8434,3.793269,3.8434,11600,0.133684
1985-10-15,3.843399,3.926954,3.80998,3.876823,89000,0.133684
1985-10-16,3.876823,3.926955,3.876823,3.893531,47400,0.133684
1985-10-17,3.893531,3.926954,3.843399,3.876823,176000,0.133684
1985-10-18,3.876823,3.910243,3.876823,3.893531,118200,0.133684
1985-10-21,3.893531,3.910243,3.876823,3.893531,70800,0.133684
1985-10-22,3.893531,3.910243,3.893531,3.893531,61400,0.133684
1985-10-23,3.893531,3.910243,3.876823,3.876823,35600,0.133684
1985-10-24,3.876823,3.910242,3.860111,3.860111,44000,0.133683
1985-10-25,3.860112,3.977086,3.8434,3.977086,78600,0.133684
1985-10-28,3.977086,3.977086,3.910242,3.943662,193800,0.133684
1985-10-29,3.926955,3.926955,3.893531,3.910243,162800,0.133684
1985-10-30,3.910243,3.910243,3.826692,3.876823,65000,0.133684
1985-10-31,3.876823,3.977086,3.876823,3.910243,66600,0.133684
1985-11-01,3.910242,4.010505,3.910242,4.010505,182400,0.133684
1985-11-04,4.010506,4.010506,3.926955,3.993794,107000,0.133684
1985-11-05,3.993793,4.010505,3.943662,3.943662,67400,0.133684
1985-11-06,3.943663,3.993794,3.943663,3.993794,65400,0.133684
1985-11-07,3.993793,4.010505,3.893531,3.943662,137400,0.133684
1985-11-08,3.943663,3.943663,3.893531,3.910243,97200,0.133684
1985-11-11,3.910243,3.993794,3.910243,3.977086,53600,0.133684
1985-11-12,3.977086,4.077349,3.960374,4.043925,269000,0.133684
1985-11-13,4.043925,4.110768,3.993794,3.993794,96000,0.133684
1985-11-14,3.993794,4.060637,3.943663,4.060637,81600,0.133684
1985-11-15,4.060637,4.060637,4.010505,4.043925,46200,0.133684
1985-11-18,4.043925,4.043925,4.010505,4.043925,34200,0.133684
1985-11-19,4.043924,4.094056,4.043924,4.077348,102000,0.133683
1985-11-20,4.077348,4.094056,4.043925,4.094056,60200,0.133684
1985-11-21,4.094056,4.110768,4.010505,4.043925,80600,0.133684
1985-11-22,4.043925,4.144188,4.010506,4.144188,153000,0.133684
1985-11-25,4.144188,4.211031,4.110768,4.211031,147600,0.133684
1985-11-26,4.211031,4.261162,4.177611,4.211031,71400,0.133684
1985-11-27,4.21103,4.277874,4.21103,4.24445,256200,0.133684
1985-11-29,4.24445,4.24445,4.144187,4.160899,52400,0.133684
1985-12-02,4.160899,4.194319,4.077348,4.110768,52800,0.133684
1985-12-03,4.128969,4.128969,4.07841,4.112119,56600,0.134824
1985-12-04,4.112119,4.179528,4.07841,4.179528,62400,0.134824
1985-12-05,4.179528,4.230087,4.078411,4.095265,139400,0.134824
1985-12-06,4.095265,4.179528,4.078411,4.162678,142400,0.134824
1985-12-09,4.162678,4.230087,4.145824,4.213237,139800,0.134824
1985-12-10,4.213237,4.230087,4.145824,4.213237,801600,0.134824
1985-12-11,4.213237,4.2975,4.179528,4.230087,210600,0.134824
1985-12-12,4.230086,4.2975,4.213236,4.263795,113600,0.134824
1985-12-13,4.2975,4.482881,4.2975,4.482881,308000,0.134824
1985-12-16,4.482881,4.550294,4.449176,4.499735,189200,0.134824
1985-12-17,4.499736,4.550295,4.415472,4.51659,130200,0.134824
1985-12-18,4.51659,4.51659,4.415472,4.415472,69600,0.134824
1985-12-19,4.415472,4.449177,4.348059,4.415472,86000,0.134824
1985-12-20,4.415472,4.432322,4.381763,4.415472,120200,0.134824
1985-12-23,4.415472,4.415472,4.364913,4.364913,67400,0.134824
1985-12-24,4.348059,4.348059,4.314354,4.348059,50600,0.134824
1985-12-26,4.348059,4.348059,4.2975,4.314354,20000,0.134824
1985-12-27,4.331205,4.381764,4.331205,4.331205,60000,0.134824
1985-12-30,4.331205,4.364913,4.280646,4.280646,93600,0.134824
1985-12-31,4.280645,4.348059,4.263795,4.314354,60600,0.134824
1986-01-02,4.314354,4.314354,4.213236,4.246941,51200,0.134824
1986-01-03,4.246941,4.263795,4.145823,4.196382,171600,0.134824
1986-01-06,4.196382,4.314354,4.196382,4.314354,86400,0.134824
1986-01-07,4.331204,4.364913,4.331204,4.364913,149000,0.134824
1986-01-08,4.364913,4.398618,4.331204,4.364913,81600,0.134824
1986-01-09,4.331205,4.331205,4.246941,4.280646,95000,0.134824
1986-01-10,4.280646,4.314355,4.246941,4.280646,125600,0.134824
1986-01-13,4.280646,4.364914,4.246942,4.331205,175200,0.134824
1986-01-14,4.331204,4.381763,4.2975,4.314354,343800,0.134824
1986-01-15,4.314354,4.314354,4.246941,4.263795,435000,0.134824
1986-01-16,4.263796,4.280646,4.246941,4.280646,114800,0.134824
1986-01-17,4.280645,4.348059,4.280645,4.314354,122600,0.134824
1986-01-20,4.314354,4.364913,4.314354,4.348059,71000,0.134824
1986-01-21,4.348059,4.415472,4.348059,4.348059,111800,0.134824
1986-01-22,4.348059,4.449177,4.331205,4.331205,538400,0.134824
1986-01-23,4.331205,4.348059,4.280646,4.348059,40400,0.134824
1986-01-24,4.348059,4.449177,4.348059,4.415472,516800,0.134824
1986-01-27,4.449177,4.499736,4.449177,4.466031,191600,0.134824
1986-01-28,4.466031,4.51659,4.449177,4.51659,309200,0.134824
1986-01-29,4.51659,4.701971,4.51659,4.651412,1186200,0.134824
1986-01-30,4.651412,4.786234,4.651412,4.769384,265200,0.134824
1986-01-31,4.769384,4.836793,4.735675,4.836793,636000,0.134824
1986-02-03,4.836793,4.836793,4.803088,4.803088,109400,0.134824
1986-02-04,4.803089,4.954765,4.786234,4.954765,250200,0.134824
1986-02-05,4.954765,4.971619,4.904206,4.971619,186800,0.134824
1986-02-06,4.971619,5.089587,4.954765,5.089587,308400,0.134824
1986-02-07,5.089587,5.123296,5.022178,5.089587,367400,0.134824
1986-02-10,5.089587,5.190705,5.089587,5.190705,212600,0.134824
1986-02-11,5.190705,5.258118,5.173855,5.190705,156000,0.134824
1986-02-12,5.157,5.157,5.072736,5.123295,255600,0.134824
1986-02-13,5.123295,5.190704,5.089586,5.123295,306200,0.134824
1986-02-14,5.123295,5.173854,5.123295,5.173854,168000,0.134824
1986-02-18,5.173855,5.173855,5.089587,5.140146,132600,0.134824
1986-02-19,5.140146,5.173855,5.039028,5.072737,192600,0.134824
1986-02-20,5.072736,5.089587,5.022177,5.055882,79800,0.134824
1986-02-21,5.055883,5.207559,5.055883,5.207559,198000,0.134824
1986-02-24,5.207559,5.241264,5.157,5.190705,179400,0.134824
1986-02-25,5.190705,5.258118,5.157,5.258118,225000,0.134824
1986-02-26,5.258118,5.258118,5.173854,5.207559,111200,0.134824
1986-02-27,5.207559,5.224413,5.123295,5.157,85200,0.134824
1986-02-28,5.190705,5.258118,5.190705,5.258118,252600,0.134824
1986-03-03,5.258118,5.274972,5.258118,5.274972,148400,0.134824
1986-03-04,5.293295,5.293295,5.242398,5.276328,126200,0.135726
1986-03-05,5.276328,5.310262,5.242398,5.293295,115200,0.135726
1986-03-06,5.293295,5.479916,5.242398,5.479916,255000,0.135726
1986-03-07,5.479916,5.54778,5.462953,5.530813,116000,0.135726
1986-03-10,5.530813,5.632607,5.462953,5.58171,147600,0.135726
1986-03-11,5.581711,5.87013,5.581711,5.836196,248600,0.135726
1986-03-12,5.836196,5.853163,5.768336,5.836196,227600,0.135726
1986-03-13,5.836195,5.836195,5.717438,5.768335,100400,0.135725
1986-03-14,5.768335,5.785298,5.632607,5.785298,122400,0.135725
1986-03-17,5.785298,5.802265,5.598677,5.802265,237600,0.135725
1986-03-18,5.802265,5.819232,5.700471,5.785298,235200,0.135725
1986-03-19,5.785298,5.836195,5.768335,5.802265,80000,0.135725
1986-03-20,5.802265,5.819232,5.751368,5.751368,278400,0.135725
1986-03-21,5.768335,5.819232,5.768335,5.802265,63800,0.135725
1986-03-24,5.802265,5.819232,5.700471,5.768335,117200,0.135725
1986-03-25,5.768335,5.768335,5.700471,5.768335,70800,0.135725
1986-03-26,5.768336,5.921027,5.734402,5.87013,202200,0.135726
1986-03-27,5.87013,6.039784,5.87013,5.988887,201200,0.135726
1986-03-31,6.209442,6.209442,5.971924,6.175512,263000,0.135726
1986-04-01,6.141578,6.277306,6.141578,6.175512,271800,0.135726
1986-04-02,6.158545,6.158545,6.107648,6.141578,148200,0.135726
1986-04-03,6.141578,6.141578,6.039784,6.056751,136800,0.135726
1986-04-04,6.056751,6.073718,5.93799,5.93799,218600,0.135726
1986-04-07,5.937989,5.937989,5.649574,5.666541,89400,0.135726
1986-04-08,5.666542,5.87013,5.666542,5.87013,623600,0.135726
1986-04-09,5.87013,5.90406,5.836196,5.853163,114800,0.135726
1986-04-10,5.853163,5.87013,5.819233,5.836196,81000,0.135726
1986-04-11,5.836196,5.90406,5.836196,5.853163,112800,0.135726
1986-04-14,5.87013,5.90406,5.87013,5.87013,28200,0.135726
1986-04-15,5.87013,5.93799,5.836196,5.853163,191400,0.135726
1986-04-16,5.853163,5.90406,5.836196,5.90406,107600,0.135726
1986-04-17,5.90406,6.039784,5.87013,6.022821,121800,0.135726
1986-04-18,6.022821,6.107648,5.853163,6.107648,120600,0.135726
1986-04-21,6.107648,6.141578,6.056751,6.107648,70400,0.135726
1986-04-22,6.107648,6.141578,6.005854,6.005854,193800,0.135726
1986-04-23,6.005854,6.107648,6.005854,6.073718,128400,0.135726
1986-04-24,6.090681,6.175512,6.090681,6.107648,91400,0.135726
1986-04-25,6.107648,6.158545,6.073718,6.124615,147800,0.135726
1986-04-28,6.141578,6.192475,6.141578,6.192475,130200,0.135726
1986-04-29,6.192475,6.226409,6.073718,6.073718,123800,0.135726
1986-04-30,6.073718,6.073718,6.039784,6.056751,66800,0.135726
1986-05-01,6.056751,6.090681,6.039784,6.056751,157800,0.135726
1986-05-02,6.056751,6.073718,6.039784,6.039784,83000,0.135726
1986-05-05,6.039784,6.039784,5.988887,6.005854,128400,0.135726
1986-05-06,6.005854,6.039784,5.93799,6.039784,113000,0.135726
