date,open,high,low,close,volume,adjrate
1987-12-30,0.574185,0.574185,0.558238,0.558238,141600,0.031899
1987-12-31,0.566208,0.566208,0.558238,0.566208,36000,0.031899
1988-01-04,0.570196,0.570196,0.570196,0.570196,2102400,0.031899
1988-01-05,0.578173,0.582162,0.578173,0.582162,153600,0.031899
1988-01-06,0.586143,0.606087,0.586143,0.602098,362400,0.031899
1988-01-07,0.594121,0.59811,0.594121,0.594121,146400,0.031899
1988-01-08,0.602098,0.606087,0.594121,0.594121,249600,0.031899
1988-01-11,0.590132,0.590132,0.586143,0.586143,84000,0.031899
1988-01-12,0.582162,0.582162,0.582162,0.582162,4800,0.031899
1988-01-13,0.578621,0.594691,0.578621,0.594691,72000,0.032146
1988-01-14,0.602731,0.602731,0.582641,0.582641,21600,0.032146
1988-01-15,0.590672,0.590672,0.58666,0.58666,67200,0.032146
1988-01-18,0.590672,0.590672,0.578621,0.578621,52800,0.032146
1988-01-19,0.578621,0.58666,0.578621,0.578621,36000,0.032146
1988-01-20,0.586661,0.590672,0.574602,0.574602,112800,0.032146
1988-01-21,0.578621,0.578621,0.558531,0.56657,156000,0.032146
1988-01-22,0.562551,0.562551,0.558531,0.558531,33600,0.032146
1988-01-25,0.558531,0.562551,0.554512,0.562551,93600,0.032146
1988-01-26,0.56657,0.56657,0.562551,0.562551,9600,0.032146
1988-01-27,0.562551,0.562551,0.562551,0.562551,43200,0.032146
1988-01-28,0.554512,0.554512,0.546473,0.546473,26400,0.032146
1988-01-29,0.546473,0.562551,0.546473,0.558531,1308000,0.032146
1988-02-01,0.56657,0.570582,0.554512,0.554512,93600,0.032146
1988-02-02,0.554512,0.554512,0.554512,0.554512,24000,0.032146
1988-02-03,0.554512,0.558531,0.554512,0.558531,1857600,0.032146
1988-02-04,0.550492,0.550492,0.550492,0.550492,31200,0.032146
1988-02-05,0.554512,0.562551,0.546473,0.562551,132000,0.032146
1988-02-08,0.554512,0.554512,0.546473,0.546473,110400,0.032146
1988-02-09,0.554512,0.558531,0.546473,0.546473,120000,0.032146
1988-02-10,0.546473,0.554512,0.546473,0.554512,16800,0.032146
1988-02-11,0.554512,0.570582,0.554512,0.562551,81600,0.032146
1988-02-12,0.56657,0.574601,0.56657,0.56657,117600,0.032146
1988-02-16,0.562551,0.570582,0.554512,0.570582,160800,0.032146
1988-02-17,0.56657,0.570582,0.562551,0.562551,204000,0.032146
1988-02-18,0.566571,0.582641,0.566571,0.574602,324000,0.032146
1988-02-19,0.574602,0.578621,0.574602,0.578621,16800,0.032146
1988-02-22,0.578621,0.578621,0.574602,0.574602,21600,0.032146
1988-02-23,0.578621,0.58264,0.574602,0.578621,28800,0.032146
1988-02-24,0.574602,0.574602,0.574602,0.574602,4800,0.032146
1988-02-25,0.578622,0.586661,0.578622,0.582641,31200,0.032146
1988-02-26,0.58666,0.594691,0.58666,0.594691,48000,0.032146
1988-02-29,0.602731,0.62684,0.602731,0.62684,98400,0.032146
