date,open,high,low,close,volume,adjrate
1983-11-21,1.078813,1.098709,1.078813,1.089866,3910800,0.017685
1983-11-22,1.089866,1.089866,1.081023,1.081023,2934000,0.017685
1983-11-23,1.081023,1.083234,1.072181,1.076602,1618800,0.017685
1983-11-25,1.076601,1.083233,1.076601,1.078812,3380400,0.017685
1983-11-28,1.078812,1.081023,1.067759,1.067759,4315200,0.017685
1983-11-29,1.065548,1.065548,1.050073,1.050073,2295600,0.017685
1983-11-30,1.050073,1.054494,1.04123,1.043441,3908400,0.017685
1983-12-01,1.045652,1.056706,1.045652,1.054495,9553200,0.017685
1983-12-02,1.054494,1.054494,1.047862,1.050073,1928400,0.017685
1983-12-05,1.050073,1.052284,1.045652,1.045652,1501200,0.017685
1983-12-06,1.045652,1.047863,1.041231,1.041231,2966400,0.017685
1983-12-07,1.04123,1.045652,1.030177,1.036809,6301200,0.017685
1983-12-08,1.036809,1.04123,1.034598,1.036809,6476400,0.017685
1983-12-09,1.036809,1.036809,1.027966,1.030177,6897600,0.017685
1983-12-12,1.030177,1.034599,1.030177,1.032388,3379200,0.017685
1983-12-13,1.032388,1.045652,1.030178,1.041231,7300800,0.017685
1983-12-14,1.04123,1.056705,1.04123,1.043441,4986000,0.017685
1983-12-15,1.043441,1.045652,1.034598,1.036809,3711600,0.017685
1983-12-16,1.036809,1.043441,1.030177,1.036809,3331200,0.017685
1983-12-19,1.036809,1.03902,1.034598,1.036809,3752400,0.017685
1983-12-20,1.03681,1.041231,1.034599,1.041231,2410800,0.017685
1983-12-21,1.04123,1.043441,1.034598,1.043441,7482000,0.017685
1983-12-22,1.043441,1.045652,1.036809,1.036809,7561200,0.017685
1983-12-23,1.036809,1.03902,1.030177,1.03902,3861600,0.017685
1983-12-27,1.03902,1.03902,1.032388,1.036809,2546400,0.017685
1983-12-28,1.03681,1.047863,1.03681,1.047863,5358000,0.017685
1983-12-29,1.047863,1.047863,1.043441,1.045652,4488000,0.017685
1983-12-30,1.045652,1.052284,1.041231,1.041231,2923200,0.017685
1984-01-03,1.043441,1.081023,1.043441,1.078812,2491200,0.017685
1984-01-04,1.089866,1.140712,1.089866,1.131869,6492000,0.017685
1984-01-05,1.131868,1.151765,1.123026,1.127447,4051200,0.017685
1984-01-06,1.127447,1.131869,1.098708,1.100919,4563600,0.017685
1984-01-09,1.100919,1.10313,1.089866,1.096498,3231600,0.017685
1984-01-10,1.096498,1.100919,1.089866,1.096498,3289200,0.017685
1984-01-11,1.098709,1.111973,1.098709,1.10313,4245600,0.017685
1984-01-12,1.103129,1.109761,1.098708,1.10534,2680800,0.017685
1984-01-13,1.105341,1.123026,1.105341,1.123026,4046400,0.017685
1984-01-16,1.123026,1.156186,1.114183,1.145133,3388800,0.017685
1984-01-17,1.145133,1.149554,1.138501,1.149554,2637600,0.017685
1984-01-18,1.149554,1.16724,1.149554,1.165029,4465200,0.017685
1984-01-19,1.165029,1.16724,1.151765,1.151765,3014400,0.017685
1984-01-20,1.151765,1.153976,1.142922,1.151765,2479200,0.017685
1984-01-23,1.151765,1.153975,1.145133,1.149554,1770000,0.017685
1984-01-24,1.149554,1.158397,1.145133,1.145133,2148000,0.017685
1984-01-25,1.145132,1.147343,1.125236,1.127447,1590000,0.017685
1984-01-26,1.123025,1.123025,1.103129,1.10534,3070800,0.017685
1984-01-27,1.105341,1.109762,1.092077,1.10313,4377600,0.017685
1984-01-30,1.10313,1.125236,1.100919,1.120815,4933200,0.017685
1984-01-31,1.120816,1.125237,1.111973,1.111973,2198400,0.017685
1984-02-01,1.111972,1.118604,1.10534,1.10534,1904400,0.017685
1984-02-02,1.10534,1.107551,1.098708,1.098708,4267200,0.017685
1984-02-03,1.098708,1.10534,1.096498,1.100919,3247200,0.017685
1984-02-06,1.100919,1.100919,1.089866,1.089866,2737200,0.017685
1984-02-07,1.089865,1.10534,1.076601,1.085444,3242400,0.017685
1984-02-08,1.085444,1.092076,1.078812,1.081023,2004000,0.017685
