date,open,high,low,close,volume,adjrate
1996-06-05,2.4464,2.505874,2.351394,2.4464,27872400,0.095006
1996-06-06,2.434951,2.458321,2.4226,2.4226,5577600,0.095004
1996-06-07,2.351429,2.387152,2.327677,2.3634,3938400,0.095007
1996-06-10,2.387451,2.398851,2.36332,2.3751,1942000,0.095004
1996-06-11,2.3751,2.410822,2.3751,2.3751,1257200,0.095004
1996-06-12,2.3751,2.410822,2.36332,2.3751,1870400,0.095004
1996-06-13,2.387122,2.387122,2.3514,2.3514,3382800,0.095006
1996-06-14,2.351349,2.387071,2.351349,2.3751,1613200,0.095004
1996-06-17,2.36378,2.387152,2.3634,2.3634,1092400,0.095007
1996-06-18,2.387103,2.387103,2.3396,2.3396,2414400,0.095005
1996-06-19,2.340028,2.375181,2.280174,2.3634,1925200,0.095007
1996-06-20,2.327681,2.363404,2.3159,2.3159,2468000,0.095007
1996-06-21,2.316229,2.363351,2.315849,2.3396,417600,0.095005
1996-06-24,2.3276,2.351351,2.3276,2.3276,735200,0.095004
1996-06-25,2.339996,2.422651,2.315865,2.3989,872800,0.095006
1996-06-26,2.398929,2.4109,2.387148,2.4109,501600,0.095007
1996-06-27,2.398926,2.470181,2.387145,2.4584,762800,0.095007
1996-06-28,2.482152,2.482152,2.4584,2.4584,1397200,0.095007
1996-07-01,2.470149,2.565154,2.470149,2.4939,1419200,0.095006
1996-07-02,2.52957,2.52957,2.458318,2.5176,727200,0.095004
1996-07-03,2.588948,2.636452,2.541445,2.6127,1530400,0.095007
1996-07-05,2.612684,2.612684,2.529648,2.5534,107600,0.095007
1996-07-08,2.529952,2.553323,2.4701,2.4701,1448800,0.095004
1996-07-09,2.470129,2.505851,2.458349,2.4821,812000,0.095005
1996-07-10,2.470177,2.517681,2.470177,2.5059,325600,0.095007
1996-07-11,2.517632,2.517632,2.4821,2.4821,747600,0.095005
1996-07-12,2.48245,2.517602,2.4701,2.4701,125200,0.095004
1996-07-15,2.470151,2.505874,2.4464,2.4464,462800,0.095006
1996-07-16,2.446386,2.470137,2.280127,2.3396,875600,0.095005
1996-07-17,2.339953,2.363324,2.173315,2.2801,1107200,0.095004
1996-07-18,2.268773,2.3634,2.268393,2.3634,964400,0.095007
1996-07-19,2.375132,2.375132,2.3396,2.3396,422000,0.095005
1996-07-22,2.35139,2.363361,2.33961,2.3455,848000,0.095006
1996-07-23,2.3276,2.3276,2.3276,2.3276,0,0.095004
1996-07-24,2.292152,2.292152,2.256429,2.2684,805600,0.095008
1996-07-25,2.2687,2.2801,2.256349,2.2801,77200,0.095004
1996-07-26,2.256381,2.280132,2.232629,2.2446,1260000,0.095006
1996-07-29,2.2564,2.2564,2.220868,2.2564,1250400,0.095006
1996-07-30,2.232648,2.268371,2.232648,2.2564,995600,0.095006
1996-07-31,2.268748,2.3039,2.256397,2.3039,2084400,0.095006
1996-08-01,2.303929,2.327681,2.268396,2.3159,135200,0.095007
1996-08-02,2.339571,2.339571,2.3276,2.3276,634000,0.095004
1996-08-05,2.3396,2.3396,2.327629,2.3396,92400,0.095005
1996-08-06,2.303849,2.3276,2.303849,2.3276,158400,0.095004
1996-08-07,2.327632,2.327632,2.256378,2.2921,1830400,0.095005
1996-08-08,2.268748,2.315871,2.268368,2.3039,614800,0.095006
1996-08-09,2.3039,2.3039,2.292119,2.3039,66000,0.095006
1996-08-12,2.303851,2.327602,2.2801,2.2801,2021200,0.095004
1996-08-13,2.280148,2.3039,2.280148,2.3039,301200,0.095006
1996-08-14,2.2801,2.303851,2.2801,2.2801,67200,0.095004
1996-08-15,2.280148,2.3039,2.280148,2.3039,91600,0.095006
1996-08-16,2.303903,2.303903,2.2564,2.2564,71600,0.095006
1996-08-19,2.2564,2.280152,2.2564,2.2564,232000,0.095006
1996-08-20,2.2564,2.280152,2.2564,2.2564,99600,0.095006
1996-08-21,2.256381,2.280132,2.2446,2.2446,515200,0.095006
1996-08-22,2.244999,2.268371,2.244619,2.2564,158000,0.095006
1996-08-23,2.256351,2.256351,2.220819,2.2326,165600,0.095004
1996-08-26,2.208853,2.232604,2.1376,2.1376,379200,0.095004
1996-08-27,2.137629,2.161381,2.137629,2.1496,625200,0.095006
1996-08-28,2.161375,2.256381,2.149594,2.2446,768800,0.095006
1996-08-29,2.256351,2.256351,2.220819,2.2326,282800,0.095004
1996-08-30,2.245028,2.2684,2.232677,2.2684,376400,0.095008
1996-09-03,2.244946,2.3276,2.244566,2.3276,1116000,0.095004
1996-09-04,2.351343,2.5176,2.351343,2.5176,1762800,0.095004
1996-09-05,2.50628,2.541433,2.470177,2.5059,778000,0.095007
1996-09-06,2.506288,2.672171,2.505908,2.6602,234400,0.095007
1996-09-09,2.75519,2.921452,2.648403,2.8977,2750000,0.095007
1996-09-10,2.886289,2.89769,2.731429,2.7434,1405600,0.095006
1996-09-11,2.707657,2.707657,2.577119,2.5889,1802000,0.095006
1996-09-12,2.612704,2.69593,2.553419,2.5652,1133600,0.095007
1996-09-13,2.57748,2.600851,2.541378,2.5771,1213200,0.095005
1996-09-16,2.577547,2.6127,2.577167,2.6127,1930000,0.095007
1996-09-17,2.6127,2.636452,2.600919,2.6127,1850400,0.095007
1996-09-18,2.612681,2.636432,2.565178,2.6009,357200,0.095007
1996-09-19,2.577525,2.755187,2.577145,2.6484,1677600,0.095006
1996-09-20,2.683876,2.7671,2.672096,2.7671,539600,0.095004
1996-09-23,2.7671,2.7671,2.731378,2.7671,712400,0.095004
1996-09-24,2.755129,2.802632,2.743349,2.7671,1220400,0.095004
1996-09-25,2.778871,2.778871,2.75512,2.7612,314000,0.095004
1996-09-26,2.778952,2.778952,2.7552,2.7552,713200,0.095007
1996-09-27,2.767152,2.767152,2.719648,2.7434,144000,0.095006
1996-09-30,2.743799,2.778952,2.743419,2.7552,249600,0.095007
1996-10-01,2.743423,2.743423,2.695919,2.7077,105200,0.095007
1996-10-02,2.672492,2.838371,2.672112,2.8264,769600,0.095005
1996-10-03,2.838423,2.838423,2.790919,2.8027,676800,0.095007
1996-10-04,2.791299,2.826452,2.790919,2.8027,210800,0.095007
1996-10-07,2.826426,2.8859,2.802675,2.8859,361600,0.095006
1996-10-08,2.897681,2.909651,2.873929,2.8859,635200,0.095006
1996-10-09,2.8977,2.909671,2.862168,2.8977,274400,0.095007
1996-10-10,2.8739,2.885871,2.850149,2.8739,674400,0.095005
1996-10-11,2.909622,2.909622,2.8739,2.8739,23200,0.095005
1996-10-14,2.910044,2.9927,2.885913,2.9927,852400,0.095006
1996-10-15,3.016435,3.040187,2.850175,2.9334,1532000,0.095006
1996-10-16,2.957171,2.957171,2.909668,2.9452,1638800,0.095006
1996-10-17,2.945154,2.945154,2.826398,2.8739,372000,0.095005
1996-10-18,2.862551,2.873952,2.8502,2.8502,214800,0.095007
1996-10-21,2.873942,2.873942,2.683929,2.6959,786800,0.095006
1996-10-22,2.696251,2.731403,2.6839,2.6839,510000,0.095005
1996-10-23,2.683876,2.7671,2.683876,2.7671,764000,0.095004
1996-10-24,2.767478,2.8146,2.767098,2.8146,177600,0.095004
1996-10-25,2.826378,2.8621,2.802627,2.8621,67200,0.095004
1996-10-28,2.885851,2.885851,2.850129,2.8621,650000,0.095004
1996-10-29,2.862478,2.921381,2.862098,2.9096,265600,0.095004
1996-10-30,2.897697,2.968952,2.897697,2.9452,1872400,0.095006
1996-10-31,2.945151,2.957122,2.9214,2.9214,1047600,0.095005
1996-11-01,2.957122,2.957122,2.9214,2.9214,837600,0.095005
1996-11-04,2.957122,2.957122,2.9214,2.9214,293200,0.095005
1996-11-05,2.957102,2.957102,2.897629,2.9096,402000,0.095004
1996-11-06,2.933802,2.957174,2.8977,2.8977,144800,0.095007
1996-11-07,2.921452,2.945203,2.8977,2.8977,1466400,0.095007
1996-11-08,2.945181,2.945181,2.897678,2.9334,604800,0.095006
1996-11-11,2.897697,2.9452,2.897697,2.9452,101200,0.095006
1996-11-12,2.8977,2.945203,2.8977,2.8977,712400,0.095007
1996-11-13,2.945151,2.945151,2.897649,2.9214,233200,0.095005
1996-11-14,2.897632,2.897632,2.850129,2.8621,296400,0.095004
1996-11-15,2.862529,2.921432,2.862149,2.8859,818800,0.095006
1996-11-18,2.921432,2.921432,2.8859,2.8859,14400,0.095006
1996-11-19,2.886296,2.957171,2.885916,2.9452,1418000,0.095006
