date,open,high,low,close,volume,adjrate
1987-05-05,1.404957,1.412593,1.404957,1.404957,13702400,0.061085
1987-05-06,1.404957,1.412593,1.397321,1.404957,8601600,0.061085
1987-05-07,1.397321,1.397321,1.351507,1.374414,1852800,0.061085
1987-05-08,1.374415,1.374415,1.320965,1.343872,1464800,0.061085
1987-05-11,1.343872,1.38205,1.328601,1.328601,852800,0.061085
1987-05-12,1.328601,1.343872,1.290422,1.298058,684000,0.061085
1987-05-13,1.298059,1.366779,1.298059,1.351508,739200,0.061085
1987-05-14,1.351507,1.404957,1.351507,1.397321,1886400,0.061085
1987-05-15,1.397321,1.397321,1.366778,1.374414,509600,0.061085
1987-05-18,1.366779,1.366779,1.282787,1.282787,339200,0.061085
1987-05-19,1.282786,1.343872,1.267515,1.313329,247200,0.061085
1987-05-20,1.313329,1.336236,1.275151,1.336236,422400,0.061085
1987-05-21,1.336236,1.343872,1.336236,1.343872,141600,0.061085
1987-05-22,1.343872,1.366779,1.336236,1.336236,228000,0.061085
1987-05-26,1.336236,1.343872,1.313329,1.336236,77600,0.061085
1987-05-27,1.336237,1.359144,1.336237,1.351508,266400,0.061085
1987-05-28,1.351508,1.351508,1.336236,1.343872,60000,0.061085
1987-05-29,1.343872,1.359144,1.328601,1.328601,220800,0.061085
1987-06-01,1.328601,1.336237,1.305694,1.305694,92000,0.061085
1987-06-02,1.305694,1.343872,1.290422,1.320965,245600,0.061085
1987-06-03,1.343872,1.359143,1.343872,1.359143,132800,0.061085
1987-06-04,1.359143,1.374415,1.343872,1.366779,408000,0.061085
1987-06-05,1.366779,1.389686,1.366779,1.389686,57600,0.061085
1987-06-08,1.389686,1.397321,1.38205,1.38205,74400,0.061085
1987-06-09,1.38205,1.389686,1.38205,1.389686,64800,0.061085
1987-06-10,1.397321,1.404957,1.397321,1.404957,453600,0.061085
1987-06-11,1.397321,1.397321,1.397321,1.397321,151200,0.061085
1987-06-12,1.397321,1.404957,1.389685,1.397321,164000,0.061085
