date,open,high,low,close,volume,adjrate
1987-12-30,1.913233,2.002453,1.913233,1.982631,482400,0.079305
1987-12-31,1.962804,1.982632,1.942976,1.942976,456800,0.079305
1988-01-04,1.952889,2.042104,1.952889,2.03219,274500,0.079305
1988-01-05,2.042104,2.061932,2.002454,2.002454,230900,0.079305
1988-01-06,2.002454,2.061932,1.99254,2.052018,297000,0.079305
1988-01-07,2.052018,2.062029,2.021992,2.062029,224100,0.080079
1988-01-08,2.042013,2.042013,1.961933,1.961933,372600,0.080079
1988-01-11,1.961933,2.001976,1.901875,1.991965,896400,0.080079
1988-01-12,2.001975,2.001975,1.961933,1.981954,571500,0.080079
1988-01-13,2.001976,2.021992,1.981954,2.011981,441900,0.080079
1988-01-14,2.011981,2.021992,1.981954,2.011981,572400,0.080079
1988-01-15,2.032002,2.062029,2.032002,2.052018,414900,0.080079
1988-01-18,2.052018,2.07204,2.042013,2.062029,406400,0.080079
1988-01-19,2.052018,2.102071,2.042012,2.102071,265100,0.080079
1988-01-20,2.08205,2.132104,2.062029,2.062029,1757700,0.080079
1988-01-21,2.052018,2.122093,2.052018,2.122093,991400,0.080079
1988-01-22,2.122093,2.222189,2.122093,2.222189,670100,0.080079
1988-01-25,2.222189,2.262231,2.202167,2.24221,407700,0.080079
1988-01-26,2.2322,2.24221,2.222189,2.222189,190800,0.080079
1988-01-27,2.222189,2.24221,2.212178,2.212178,284900,0.080079
1988-01-28,2.212178,2.222189,2.212178,2.212178,60800,0.080079
1988-01-29,2.232199,2.282247,2.232199,2.24221,192200,0.080079
1988-02-01,2.262231,2.312279,2.24221,2.312279,147200,0.080079
1988-02-02,2.302268,2.312279,2.292258,2.312279,305600,0.080079
1988-02-03,2.312279,2.322284,2.282247,2.282247,209700,0.080079
1988-02-04,2.282247,2.292258,2.252221,2.292258,626900,0.080079
1988-02-05,2.292257,2.292257,2.262231,2.262231,193500,0.080079
1988-02-08,2.24221,2.24221,2.222189,2.24221,166100,0.080079
1988-02-09,2.24221,2.262231,2.222188,2.262231,745200,0.080079
1988-02-10,2.272242,2.292258,2.262231,2.282247,592700,0.080079
1988-02-11,2.272242,2.292257,2.262231,2.262231,195800,0.080079
1988-02-12,2.262231,2.272242,2.232199,2.272242,518400,0.080079
1988-02-16,2.262231,2.282247,2.232199,2.232199,236300,0.080079
1988-02-17,2.24221,2.282247,2.232199,2.262231,495900,0.080079
1988-02-18,2.242209,2.312279,2.242209,2.302268,197100,0.080079
1988-02-19,2.312279,2.332295,2.302269,2.332295,1521500,0.080079
