date,open,high,low,close,volume,adjrate
1986-07-09,4.545029,4.623392,4.545029,4.57115,1478000,0.104483
1986-07-10,4.597271,4.649513,4.584211,4.623392,589200,0.104483
1986-07-11,4.623392,4.623392,4.57115,4.597271,320400,0.104483
1986-07-14,4.571151,4.597271,4.492788,4.492788,434000,0.104483
1986-07-15,4.518909,4.54503,4.309942,4.309942,741600,0.104483
1986-07-16,4.309941,4.414425,4.309941,4.388304,606400,0.104483
1986-07-17,4.440546,4.518909,4.414425,4.492788,584000,0.104483
1986-07-18,4.492788,4.54503,4.466667,4.466667,246800,0.104483
1986-07-21,4.518909,4.518909,4.466667,4.466667,168000,0.104483
1986-07-22,4.466666,4.545029,4.466666,4.518908,286400,0.104483
1986-07-23,4.518909,4.54503,4.492788,4.492788,480000,0.104483
1986-07-24,4.518909,4.571151,4.492788,4.492788,516800,0.104483
1986-07-25,4.466667,4.518909,4.466667,4.492788,288800,0.104483
1986-07-28,4.492787,4.492787,4.388304,4.388304,512400,0.104483
1986-07-29,4.388305,4.388305,4.309942,4.309942,363600,0.104483
1986-07-30,4.309942,4.362184,4.231579,4.309942,1024800,0.104483
1986-07-31,4.309941,4.309941,4.022612,4.205458,3426000,0.104483
1986-08-01,4.179337,4.283821,4.179337,4.231579,1432400,0.104483
1986-08-04,4.231579,4.309942,4.100975,4.127096,812400,0.104483
1986-08-05,4.127095,4.205458,4.127095,4.153216,990000,0.104483
1986-08-06,4.179338,4.179338,4.022613,4.127096,1485600,0.104483
1986-08-07,4.074854,4.127096,4.074854,4.100975,1701200,0.104483
1986-08-08,4.100974,4.179337,3.944249,3.996491,2858400,0.104483
1986-08-11,4.022613,4.127096,3.996492,4.035673,1228800,0.104483
1986-08-12,4.074854,4.074854,3.918128,3.996491,2822800,0.104483
1986-08-13,3.996492,4.153217,3.970371,4.127096,4560000,0.104483
1986-08-14,4.074854,4.153217,4.074854,4.127096,2767600,0.104483
1986-08-15,4.127096,4.231579,4.114035,4.231579,1017200,0.104483
1986-08-18,4.231579,4.2577,4.153216,4.179337,765200,0.104483
1986-08-19,4.179338,4.179338,4.048733,4.127096,1069600,0.104483
1986-08-20,4.127096,4.153217,4.100975,4.127096,625600,0.104483
1986-08-21,4.153217,4.166277,4.074854,4.100975,1936800,0.104483
1986-08-22,4.127095,4.153216,4.100974,4.153216,583600,0.104483
1986-08-25,4.153216,4.153216,4.048733,4.048733,627200,0.104483
1986-08-26,4.100975,4.205458,4.074854,4.205458,1796800,0.104483
1986-08-27,4.231579,4.362183,4.179337,4.336062,1865200,0.104483
1986-08-28,4.362184,4.492788,4.336063,4.466667,1195200,0.104483
1986-08-29,4.466667,4.492788,4.414425,4.492788,1402400,0.104483
1986-09-02,4.492788,4.54503,4.466667,4.466667,1400000,0.104483
1986-09-03,4.440546,4.453606,4.362183,4.388304,1788800,0.104483
1986-09-04,4.414425,4.440546,4.388304,4.440546,1042800,0.104483
1986-09-05,4.414425,4.440546,4.296882,4.309942,2570800,0.104483
1986-09-08,4.283821,4.283821,4.100975,4.100975,1161600,0.104483
1986-09-09,4.153216,4.231579,4.127095,4.179337,2043200,0.104483
1986-09-10,4.179337,4.205458,4.153216,4.205458,826400,0.104483
1986-09-11,4.192398,4.205458,4.022612,4.022612,1991200,0.104483
1986-09-12,4.022612,4.048733,3.787524,3.787524,1473200,0.104483
1986-09-15,3.813645,3.839766,3.787524,3.813645,661200,0.104483
1986-09-16,3.865887,3.892008,3.813645,3.892008,220000,0.104483
1986-09-17,3.918129,3.996492,3.892008,3.94425,786800,0.104483
1986-09-18,3.996491,3.996491,3.944249,3.996491,816000,0.104483
1986-09-19,3.970371,4.153217,3.970371,4.127096,868000,0.104483
1986-09-22,4.153217,4.153217,4.048733,4.074854,1065200,0.104483
1986-09-23,4.074854,4.127095,4.074854,4.087914,1162000,0.104483
1986-09-24,4.074854,4.100975,4.061794,4.074854,717200,0.104483
1986-09-25,4.074854,4.074854,3.97037,3.996491,646000,0.104483
1986-09-26,3.970371,3.996492,3.892008,3.94425,636800,0.104483
1986-09-29,3.892008,3.892008,3.735283,3.839766,965600,0.104483
1986-09-30,3.813646,3.94425,3.813646,3.918129,790000,0.104483
1986-10-01,3.94425,4.074854,3.918129,4.074854,509600,0.104483
1986-10-02,4.022612,4.100975,4.022612,4.022612,1281600,0.104483
1986-10-03,4.048733,4.074854,3.996491,4.022612,620000,0.104483
1986-10-06,4.022613,4.074854,3.996492,4.035673,166000,0.104483
1986-10-07,4.048733,4.100975,4.048733,4.074854,160800,0.104483
1986-10-08,4.074854,4.205459,4.048733,4.127096,314400,0.104483
1986-10-09,4.153217,4.179337,4.127096,4.166277,967200,0.104483
1986-10-10,4.166277,4.179338,4.127096,4.127096,1108000,0.104483
1986-10-13,4.127095,4.153216,4.127095,4.153216,516000,0.104483
1986-10-14,4.153216,4.153216,4.127095,4.153216,309600,0.104483
1986-10-15,4.127095,4.205458,4.127095,4.205458,339200,0.104483
1986-10-16,4.2577,4.283821,4.205458,4.231579,438800,0.104483
1986-10-17,4.205458,4.205458,4.100974,4.153216,2217200,0.104483
1986-10-20,4.127096,4.153217,4.074854,4.100975,233600,0.104483
1986-10-21,4.100975,4.100975,4.048733,4.048733,516400,0.104483
1986-10-22,4.048733,4.127096,3.996492,4.127096,476000,0.104483
1986-10-23,4.048733,4.100975,4.022612,4.100975,483200,0.104483
1986-10-24,4.048733,4.153217,4.048733,4.127096,345200,0.104483
1986-10-27,4.100975,4.100975,4.022612,4.074854,789600,0.104483
1986-10-28,4.048733,4.074854,4.022612,4.048733,531200,0.104483
1986-10-29,4.048733,4.074854,4.022612,4.074854,544000,0.104483
1986-10-30,4.074854,4.2577,4.048733,4.205458,1017600,0.104483
1986-10-31,4.179338,4.205458,4.074854,4.100975,2062800,0.104483
1986-11-03,4.074854,4.100975,4.022612,4.022612,2111600,0.104483
1986-11-04,4.048733,4.048733,3.97037,3.996491,1223200,0.104483
1986-11-05,3.97037,4.022612,3.944249,3.996491,854000,0.104483
1986-11-06,3.996491,4.074854,3.996491,4.074854,1211600,0.104483
1986-11-07,4.048733,4.074854,4.022612,4.074854,460800,0.104483
1986-11-10,4.022612,4.127096,4.022612,4.048733,450800,0.104483
1986-11-11,4.048733,4.074854,4.048733,4.074854,213200,0.104483
1986-11-12,4.048733,4.100975,3.996492,4.009552,434000,0.104483
1986-11-13,4.022613,4.022613,3.918129,3.94425,2206800,0.104483
1986-11-14,3.918129,3.970371,3.892008,3.892008,920400,0.104483
1986-11-17,3.865887,3.892008,3.813645,3.892008,834400,0.104483
1986-11-18,3.892008,3.918129,3.839766,3.839766,1300400,0.104483
1986-11-19,3.839766,3.918129,3.839766,3.865887,1251600,0.104483
1986-11-20,3.944249,3.97037,3.892007,3.97037,636000,0.104483
1986-11-21,3.944249,3.996491,3.918128,3.97037,674800,0.104483
1986-11-24,3.918128,3.97037,3.892007,3.97037,566800,0.104483
1986-11-25,3.97037,3.996491,3.944249,3.97037,945200,0.104483
1986-11-26,3.996492,4.127096,3.996492,4.100975,450800,0.104483
1986-11-28,4.127096,4.127096,4.074854,4.074854,191200,0.104483
1986-12-01,4.100975,4.100975,4.022612,4.100975,868800,0.104483
1986-12-02,4.100975,4.2577,4.100975,4.2577,788000,0.104483
1986-12-03,4.257699,4.466666,4.257699,4.427485,721600,0.104483
1986-12-04,4.414425,4.492788,4.388304,4.440546,867600,0.104483
1986-12-05,4.440546,4.492788,4.362184,4.375244,1048400,0.104483
1986-12-08,4.349123,4.414425,4.309941,4.362183,466400,0.104483
1986-12-09,4.362183,4.440546,4.362183,4.414425,543600,0.104483
1986-12-10,4.414425,4.414425,4.362183,4.388304,636000,0.104483
1986-12-11,4.362184,4.388305,4.205459,4.309942,545600,0.104483
1986-12-12,4.309941,4.309941,4.2577,4.27076,475200,0.104483
1986-12-15,4.2577,4.283821,4.231579,4.2577,216000,0.104483
1986-12-16,4.2577,4.283821,4.231579,4.283821,268400,0.104483
1986-12-17,4.309942,4.336063,4.283821,4.309942,153200,0.104483
1986-12-18,4.309942,4.349123,4.283821,4.309942,439600,0.104483
1986-12-19,4.336062,4.362183,4.231579,4.336062,1172800,0.104483
1986-12-22,4.362184,4.362184,4.283821,4.309942,453200,0.104483
1986-12-23,4.309942,4.309942,4.231579,4.2577,680800,0.104483
1986-12-24,4.231579,4.2577,4.192398,4.231579,684400,0.104483
1986-12-26,4.2577,4.2577,4.205458,4.2577,69200,0.104483
1986-12-29,4.2577,4.2577,4.179337,4.205458,533600,0.104483
1986-12-30,4.179337,4.231579,4.127096,4.166277,262800,0.104483
1986-12-31,4.205458,4.283821,4.179337,4.205458,698400,0.104483
1987-01-02,4.205458,4.2577,4.205458,4.2577,450800,0.104483
1987-01-05,4.283821,4.414425,4.283821,4.388304,1230000,0.104483
1987-01-06,4.414425,4.414425,4.362183,4.414425,755200,0.104483
1987-01-07,4.414425,4.466667,4.388304,4.466667,640000,0.104483
1987-01-08,4.466667,4.623392,4.440546,4.57115,948800,0.104483
1987-01-09,4.545029,4.57115,4.518908,4.57115,412000,0.104483
1987-01-12,4.57115,4.623392,4.545029,4.623392,421600,0.104483
1987-01-13,4.623392,4.623392,4.597271,4.623392,297200,0.104483
1987-01-14,4.649513,4.701755,4.623392,4.623392,556400,0.104483
1987-01-15,4.675634,4.701755,4.597271,4.649513,569600,0.104483
1987-01-16,4.649513,4.649513,4.597271,4.649513,558800,0.104483
1987-01-19,4.597271,4.649513,4.597271,4.649513,428400,0.104483
1987-01-20,4.623392,4.649512,4.518908,4.545029,588800,0.104483
1987-01-21,4.57115,4.57115,4.440546,4.479727,745600,0.104483
1987-01-22,4.466667,4.518909,4.401365,4.492788,1131200,0.104483
1987-01-23,4.518908,4.701754,4.492788,4.597271,1085200,0.104483
1987-01-26,4.57115,4.597271,4.518908,4.518908,439200,0.104483
1987-01-27,4.518909,4.623392,4.518909,4.623392,1154400,0.104483
1987-01-28,4.649513,4.675633,4.57115,4.57115,851600,0.104483
1987-01-29,4.57115,4.675634,4.57115,4.623392,1627200,0.104483
1987-01-30,4.675634,4.780117,4.649513,4.780117,1752800,0.104483
1987-02-02,4.753996,4.85848,4.753996,4.832359,2467600,0.104483
1987-02-03,4.832358,4.832358,4.701754,4.701754,940400,0.104483
1987-02-04,4.753996,4.780117,4.727875,4.780117,1445200,0.104483
1987-02-05,4.727876,4.962963,4.727876,4.949903,2094400,0.104483
1987-02-06,4.936842,5.015204,4.936842,4.976023,1468400,0.104483
1987-02-09,4.962963,4.962963,4.8846,4.962963,678400,0.104483
1987-02-10,4.962963,4.962963,4.8846,4.936842,970800,0.104483
1987-02-11,4.936842,5.17193,4.910721,5.17193,2182800,0.104483
1987-02-12,5.17193,5.17193,4.989084,5.041326,519600,0.104483
1987-02-13,5.041325,5.093567,5.015204,5.093567,1517600,0.104483
1987-02-17,5.041326,5.380897,5.041326,5.380897,1435200,0.104483
1987-02-18,5.380897,5.485381,5.354776,5.433139,1281600,0.104483
1987-02-19,5.459259,5.746589,5.433139,5.720468,2645200,0.104483
1987-02-20,5.694347,5.720468,5.642105,5.668226,994000,0.104483
1987-02-23,5.668226,5.681287,5.563743,5.602924,2378000,0.104483
1987-02-24,5.589864,5.615985,5.498441,5.563743,1096400,0.104483
1987-02-25,5.615985,5.642106,5.563743,5.615985,1774000,0.104483
1987-02-26,5.589864,5.642106,5.563743,5.563743,734800,0.104483
1987-02-27,5.589864,5.602924,5.537622,5.589864,911200,0.104483
1987-03-02,5.563743,5.589863,5.459259,5.48538,1644400,0.104483
1987-03-03,5.45926,5.563743,5.407018,5.498441,876400,0.104483
1987-03-04,5.550683,5.615985,5.537622,5.563743,968000,0.104483
1987-03-05,5.563743,5.642106,5.563743,5.589864,1276400,0.104483
1987-03-06,5.589864,5.589864,5.48538,5.511501,324400,0.104483
1987-03-09,5.511501,5.511501,5.302534,5.380897,602000,0.104483
1987-03-10,5.380897,5.380897,5.302534,5.354776,414400,0.104483
1987-03-11,5.354776,5.354776,5.224172,5.224172,706400,0.104483
1987-03-12,5.250293,5.250293,5.17193,5.17193,1836000,0.104483
1987-03-13,5.198051,5.198051,5.041326,5.041326,539200,0.104483
1987-03-16,5.041326,5.067447,4.989084,5.015205,705200,0.104483
1987-03-17,4.989084,5.015205,4.989084,5.015205,581600,0.104483
1987-03-18,5.015205,5.067447,4.989084,5.067447,968400,0.104483
1987-03-19,5.067447,5.067447,5.015205,5.041326,1107600,0.104483
1987-03-20,5.067447,5.198051,5.041326,5.17193,804000,0.104483
1987-03-23,5.17193,5.276413,5.145809,5.17193,710400,0.104483
1987-03-24,5.224172,5.250293,5.17193,5.250293,607600,0.104483
1987-03-25,5.198051,5.263353,5.198051,5.198051,1760000,0.104483
1987-03-26,5.224172,5.224172,5.198051,5.198051,264400,0.104483
1987-03-27,5.224171,5.224171,5.119688,5.119688,1056800,0.104483
1987-03-30,5.067446,5.119688,4.936842,4.936842,651200,0.104483
1987-03-31,4.962963,4.989084,4.832359,4.936842,2702400,0.104483
1987-04-01,4.910721,4.936842,4.8846,4.8846,2132400,0.104483
1987-04-02,4.910721,4.910721,4.884601,4.897661,1041600,0.104483
1987-04-03,4.910721,5.041326,4.884601,4.989084,2615600,0.104483
1987-04-06,4.989084,5.041326,4.989084,5.015205,1564000,0.104483
1987-04-07,5.015205,5.015205,4.936842,4.962963,651600,0.104483
1987-04-08,4.962963,4.962963,4.936842,4.962963,1070000,0.104483
1987-04-09,4.936842,4.962963,4.701754,4.727875,2094400,0.104483
1987-04-10,4.701754,4.780117,4.701754,4.727875,606400,0.104483
1987-04-13,4.727875,4.753996,4.545029,4.545029,1309200,0.104483
1987-04-14,4.518908,4.518908,4.309941,4.362183,2617200,0.104483
1987-04-15,4.414425,4.466667,4.309941,4.388304,1612000,0.104483
1987-04-16,4.414425,4.518909,4.388304,4.466667,2504000,0.104483
1987-04-20,4.492787,4.545029,4.466666,4.518908,440000,0.104483
1987-04-21,4.492787,4.545029,4.440545,4.518908,777600,0.104483
1987-04-22,4.571151,4.571151,4.466667,4.492788,722800,0.104483
1987-04-23,4.492788,4.492788,4.388304,4.414425,481600,0.104483
1987-04-24,4.388304,4.440545,4.336062,4.336062,508800,0.104483
1987-04-27,4.362183,4.545029,4.323002,4.518908,1024400,0.104483
1987-04-28,4.57115,4.57115,4.518908,4.518908,701200,0.104483
1987-04-29,4.545029,4.623392,4.518908,4.597271,830800,0.104483
1987-04-30,4.623392,4.832359,4.597271,4.780117,1837600,0.104483
1987-05-01,4.832359,4.832359,4.780117,4.780117,620000,0.104483
1987-05-04,4.806238,4.806238,4.753996,4.806238,1816800,0.104483
1987-05-05,4.793178,4.884601,4.753997,4.85848,734800,0.104483
1987-05-06,4.85848,4.85848,4.806238,4.832359,379200,0.104483
1987-05-07,4.832359,4.85848,4.780117,4.780117,460400,0.104483
1987-05-08,4.780117,4.806238,4.649513,4.649513,666800,0.104483
1987-05-11,4.649513,4.701755,4.623392,4.623392,590400,0.104483
1987-05-12,4.649513,4.649513,4.597271,4.623392,560400,0.104483
1987-05-13,4.597271,4.649513,4.597271,4.597271,476800,0.104483
1987-05-14,4.623392,4.623392,4.545029,4.57115,632000,0.104483
1987-05-15,4.57115,4.597271,4.518908,4.518908,526000,0.104483
1987-05-18,4.518908,4.518908,4.466666,4.518908,775600,0.104483
1987-05-19,4.518908,4.518908,4.362183,4.388304,654800,0.104483
1987-05-20,4.362183,4.466667,4.362183,4.440546,720000,0.104483
1987-05-21,4.440546,4.518909,4.440546,4.466667,1591600,0.104483
1987-05-22,4.492788,4.492788,4.440546,4.466667,763600,0.104483
1987-05-26,4.492788,4.649513,4.440546,4.597271,889200,0.104483
1987-05-27,4.649513,4.649513,4.597271,4.623392,1178400,0.104483
1987-05-28,4.597271,4.623392,4.57115,4.623392,634800,0.104483
1987-05-29,4.623392,4.623392,4.597271,4.597271,283600,0.104483
1987-06-01,4.649513,4.675634,4.623392,4.649513,1114000,0.104483
1987-06-02,4.649513,4.714815,4.597271,4.675634,1190000,0.104483
