date,open,high,low,close,volume,adjrate
1983-04-06,5.742308,5.790161,5.646603,5.646603,34400,0.382821
1983-04-07,5.694456,5.694456,5.598751,5.694456,20200,0.382821
1983-04-08,5.694456,5.742309,5.598751,5.694456,36400,0.382821
1983-04-11,5.838013,5.933719,5.742308,5.885866,50600,0.382821
1983-04-12,5.885866,6.077276,5.885866,6.077276,138200,0.382821
1983-04-13,6.029424,6.077276,5.885866,5.885866,62800,0.382821
1983-04-14,5.933719,6.029424,5.885866,6.029424,35600,0.382821
1983-04-15,5.981571,6.029423,5.742308,5.742308,115400,0.382821
1983-04-18,5.742308,5.790161,5.694456,5.790161,109200,0.382821
1983-04-19,5.790161,5.838013,5.694455,5.742308,81800,0.382821
1983-04-20,5.694456,5.885866,5.694456,5.790161,80400,0.382821
1983-04-21,5.79016,5.838013,5.79016,5.838013,60600,0.382821
1983-04-22,5.885866,5.885866,5.790161,5.885866,54600,0.382821
1983-04-25,5.838013,5.885866,5.79016,5.838013,62400,0.382821
1983-04-26,5.838013,5.933718,5.694455,5.933718,49600,0.382821
1983-04-27,5.885866,5.933719,5.790161,5.885866,50400,0.382821
1983-04-28,5.838013,5.933718,5.742308,5.742308,57200,0.382821
1983-04-29,5.79016,5.838013,5.742308,5.838013,102000,0.382821
1983-05-02,5.838013,5.838013,5.694455,5.742308,63400,0.382821
1983-05-03,5.742308,5.933718,5.742308,5.933718,64000,0.382821
1983-05-04,5.981571,6.077277,5.838014,6.029424,90200,0.382821
1983-05-05,6.164267,6.212425,6.06795,6.164267,145800,0.385267
1983-05-06,6.164267,6.164267,6.116109,6.116109,79200,0.385267
1983-05-09,6.164267,6.164267,6.116109,6.164267,23000,0.385267
1983-05-10,6.116109,6.164267,6.019792,6.019792,41600,0.385267
1983-05-11,6.019792,6.06795,5.923475,5.923475,87600,0.385267
1983-05-12,5.923475,5.923475,5.827159,5.875317,37200,0.385267
1983-05-13,5.875317,5.923475,5.875317,5.875317,91000,0.385267
1983-05-16,5.827159,5.875317,5.730842,5.827159,92400,0.385267
1983-05-17,5.779,5.827158,5.682683,5.779,132000,0.385267
1983-05-18,5.827159,5.875317,5.779001,5.827159,400400,0.385267
1983-05-19,5.875317,5.875317,5.779001,5.827159,136200,0.385267
1983-05-20,5.730842,5.779,5.730842,5.779,140200,0.385267
1983-05-23,5.730842,6.116108,5.730842,6.06795,484600,0.385267
1983-05-24,6.116109,6.116109,5.971634,6.019792,153600,0.385267
1983-05-25,6.06795,6.06795,5.971634,6.019792,153400,0.385267
1983-05-26,6.019792,6.06795,5.971633,6.06795,146600,0.385267
1983-05-27,6.06795,6.06795,6.019792,6.019792,139800,0.385267
