date,open,high,low,close,volume,adjrate
1984-10-24,2.461705,2.677105,2.461705,2.523248,17392000,0.061543
1984-10-25,2.523248,2.546329,2.392473,2.400163,9512000,0.061543
1984-10-26,2.33862,2.369391,2.261692,2.292463,5972800,0.061543
1984-10-29,2.323235,2.33093,2.215535,2.261692,5658400,0.061543
1984-10-30,2.269387,2.400163,2.253997,2.269387,4671200,0.061543
1984-10-31,2.307849,2.330929,2.200149,2.246306,7843200,0.061543
1984-11-01,2.246307,2.323235,2.246307,2.323235,2288000,0.061543
1984-11-02,2.307849,2.354005,2.307849,2.315539,1428000,0.061543
1984-11-05,2.33862,2.34631,2.292463,2.292463,971200,0.061543
1984-11-06,2.300159,2.354006,2.292463,2.354006,2307200,0.061543
1984-11-07,2.33862,2.354006,2.323234,2.33862,888800,0.061543
1984-11-08,2.33862,2.392472,2.33862,2.384777,1760800,0.061543
1984-11-09,2.369391,2.384777,2.292463,2.300158,1597600,0.061543
1984-11-12,2.307849,2.323235,2.284769,2.323235,351200,0.061543
1984-11-13,2.315539,2.323234,2.269387,2.292463,1725600,0.061543
1984-11-14,2.307849,2.315539,2.284768,2.292463,386400,0.061543
1984-11-15,2.284768,2.300159,2.230921,2.238616,1172000,0.061543
1984-11-16,2.223225,2.223225,2.146302,2.169378,2438400,0.061543
1984-11-19,2.177073,2.184764,2.130912,2.146302,336000,0.061543
1984-11-20,2.169378,2.200149,2.169378,2.200149,264000,0.061543
1984-11-21,2.200149,2.215535,2.184764,2.215535,396800,0.061543
1984-11-23,2.200149,2.223225,2.184764,2.215535,460800,0.061543
1984-11-26,2.230921,2.230921,2.200149,2.215535,168800,0.061543
1984-11-27,2.20015,2.207845,2.138607,2.184764,838400,0.061543
1984-11-28,2.177073,2.192454,2.161683,2.161683,256800,0.061543
1984-11-29,2.161683,2.169378,2.138607,2.138607,453600,0.061543
1984-11-30,2.015522,2.09245,2.000136,2.069369,10840000,0.061543
1984-12-03,1.969365,2.030907,1.969365,1.977055,3474400,0.061543
1984-12-04,1.977055,2.015521,1.969364,1.992445,1960000,0.061543
1984-12-05,2.015521,2.015521,2.000136,2.007826,1814400,0.061543
1984-12-06,2.023216,2.038597,2.000136,2.007826,1164000,0.061543
1984-12-07,2.023217,2.061678,2.015521,2.030907,1740800,0.061543
1984-12-10,2.027787,2.027787,1.99659,2.004387,3161600,0.062393
1984-12-11,1.988794,1.99659,1.97319,1.980992,492000,0.062393
1984-12-12,1.996591,1.996591,1.957597,1.965394,503200,0.062393
1984-12-13,1.957598,1.973191,1.934198,1.973191,1376000,0.062393
1984-12-14,1.973191,1.988794,1.965394,1.965394,468000,0.062393
1984-12-17,1.980992,1.988794,1.973191,1.988794,562400,0.062393
1984-12-18,1.988794,2.027787,1.980992,2.027787,834400,0.062393
1984-12-19,2.027787,2.058984,2.027787,2.035584,1343200,0.062393
1984-12-20,2.043386,2.074582,2.035584,2.058984,2442400,0.062393
1984-12-21,2.058984,2.066781,2.051187,2.066781,1355200,0.062393
1984-12-24,2.051187,2.066781,2.051187,2.058984,512000,0.062393
1984-12-26,2.058984,2.066781,2.051187,2.051187,1364000,0.062393
1984-12-27,2.051188,2.066781,2.043386,2.043386,804800,0.062393
1984-12-28,2.051187,2.082384,2.043386,2.082384,827200,0.062393
1984-12-31,2.066781,2.113581,2.058984,2.113581,436000,0.062393
1985-01-02,2.121378,2.121378,2.074582,2.082384,576800,0.062393
1985-01-03,2.074582,2.074582,2.027787,2.027787,425600,0.062393
1985-01-04,2.027788,2.043386,2.019991,2.043386,221600,0.062393
1985-01-07,2.051187,2.082384,2.051187,2.058984,934400,0.062393
1985-01-08,2.105779,2.121377,2.074582,2.105779,12408000,0.062393
1985-01-09,2.105779,2.113581,2.090181,2.090181,1196000,0.062393
1985-01-10,2.097978,2.121378,2.090181,2.121378,1504000,0.062393
1985-01-11,2.121377,2.136976,2.105779,2.105779,876000,0.062393
1985-01-14,2.10578,2.168173,2.097978,2.168173,973600,0.062393
1985-01-15,2.183771,2.19937,2.160371,2.168173,606400,0.062393
1985-01-16,2.246165,2.246165,2.199369,2.207171,1909600,0.062393
1985-01-17,2.207171,2.246165,2.207171,2.238368,824800,0.062393
1985-01-18,2.238367,2.253961,2.230566,2.246164,452000,0.062393
1985-01-21,2.246165,2.300762,2.246165,2.29296,1003200,0.062393
1985-01-22,2.292959,2.324156,2.277361,2.300761,1021600,0.062393
1985-01-23,2.300761,2.331958,2.29296,2.316355,602400,0.062393
1985-01-24,2.331958,2.425548,2.324156,2.324156,1772000,0.062393
1985-01-25,2.331958,2.370951,2.331958,2.355353,769600,0.062393
1985-01-28,2.370951,2.370951,2.370951,2.370951,1134400,0.062393
1985-01-29,2.363154,2.378748,2.339754,2.378748,1075200,0.062393
1985-01-30,2.363155,2.370952,2.308558,2.331958,1555200,0.062393
1985-01-31,2.355353,2.386549,2.347551,2.370951,2124800,0.062393
1985-02-01,2.355353,2.370952,2.331958,2.339755,372000,0.062393
1985-02-04,2.331958,2.394352,2.324157,2.38655,1477600,0.062393
1985-02-05,2.402148,2.425548,2.394351,2.417746,1935200,0.062393
1985-02-06,2.433344,2.503535,2.433344,2.487941,2886400,0.062393
1985-02-07,2.495738,2.503535,2.48014,2.495738,870400,0.062393
1985-02-08,2.503535,2.534732,2.495738,2.534732,3303200,0.062393
1985-02-11,2.526935,2.526935,2.495738,2.526935,2262400,0.062393
1985-02-12,2.519138,2.542534,2.519138,2.534732,1504800,0.062393
1985-02-13,2.581532,2.659519,2.558132,2.651722,3928000,0.062393
1985-02-14,2.682918,2.682918,2.651722,2.66732,1480800,0.062393
1985-02-15,2.651722,2.682919,2.643925,2.659519,1140800,0.062393
1985-02-19,2.651722,2.651722,2.620525,2.643925,787200,0.062393
1985-02-20,2.643925,2.698517,2.643925,2.682919,1648800,0.062393
1985-02-21,2.698517,2.737515,2.698517,2.721912,1415200,0.062393
1985-02-22,2.721912,2.729714,2.659519,2.675122,1564000,0.062393
1985-02-25,2.675122,2.675122,2.597126,2.636124,602400,0.062393
1985-02-26,2.628322,2.659519,2.620525,2.643925,650400,0.062393
1985-02-27,2.643925,2.651722,2.604927,2.604927,1659200,0.062393
1985-02-28,2.604926,2.620525,2.542533,2.612728,1233600,0.062393
1985-03-01,2.612728,2.659519,2.612728,2.651722,2338400,0.062393
1985-03-04,2.667321,2.682919,2.636124,2.636124,1445600,0.062393
1985-03-05,2.643925,2.659519,2.636124,2.659519,1579200,0.062393
1985-03-06,2.651722,2.659518,2.604926,2.612728,1260000,0.062393
1985-03-07,2.612728,2.612728,2.581531,2.597125,1307200,0.062393
1985-03-08,2.597125,2.597125,2.565928,2.57373,4240800,0.062393
1985-03-11,2.554806,2.562689,2.507495,2.523265,3798400,0.063082
1985-03-12,2.546923,2.586347,2.539036,2.578464,776800,0.063082
1985-03-13,2.578463,2.641545,2.562688,2.617887,2200000,0.063082
1985-03-14,2.610005,2.633658,2.586347,2.586347,2148000,0.063082
1985-03-15,2.594229,2.594229,2.523265,2.523265,2246400,0.063082
1985-03-18,2.539035,2.562688,2.523265,2.539035,1084800,0.063082
1985-03-19,2.546923,2.633657,2.531147,2.617887,1127200,0.063082
1985-03-20,2.617887,2.62577,2.602117,2.617887,334400,0.063082
1985-03-21,2.617887,2.649428,2.602117,2.617887,1786400,0.063082
1985-03-22,2.617887,2.649428,2.610004,2.649428,628800,0.063082
1985-03-25,2.62577,2.649428,2.610004,2.62577,393600,0.063082
1985-03-26,2.625771,2.744051,2.617888,2.744051,2944000,0.063082
1985-03-27,2.775592,2.822903,2.767709,2.822903,2653600,0.063082
1985-03-28,2.822903,2.885985,2.822903,2.878097,3849600,0.063082
1985-03-29,2.870214,2.885984,2.854443,2.862331,2352000,0.063082
1985-04-01,2.775591,2.862331,2.775591,2.862331,1452800,0.063082
1985-04-02,2.870214,2.917525,2.870214,2.901755,1062400,0.063082
1985-04-03,2.885984,2.893872,2.862331,2.885984,939200,0.063082
1985-04-04,2.870213,2.885984,2.846555,2.854443,486400,0.063082
1985-04-08,2.838673,2.854443,2.799249,2.799249,954400,0.063082
1985-04-09,2.775592,2.775592,2.744051,2.744051,517600,0.063082
1985-04-10,2.74405,2.799249,2.74405,2.799249,529600,0.063082
1985-04-11,2.807132,2.854443,2.807132,2.838673,1427200,0.063082
1985-04-12,2.822902,2.838673,2.807132,2.807132,482400,0.063082
1985-04-15,2.815015,2.815015,2.767709,2.767709,555200,0.063082
1985-04-16,2.751934,2.79925,2.751934,2.791362,828800,0.063082
1985-04-17,2.791362,2.815015,2.783474,2.815015,613600,0.063082
1985-04-18,2.815015,2.815015,2.767709,2.767709,581600,0.063082
1985-04-19,2.751934,2.751934,2.72828,2.736168,426400,0.063082
1985-04-22,2.736167,2.775591,2.72828,2.775591,308000,0.063082
1985-04-23,2.775591,2.815015,2.759821,2.807132,1678400,0.063082
1985-04-24,2.799249,2.949066,2.799249,2.917525,1764000,0.063082
1985-04-25,2.933295,2.972719,2.933295,2.964836,1155200,0.063082
1985-04-26,2.964837,2.988495,2.956954,2.980607,868000,0.063082
1985-04-29,2.988495,2.988495,2.964837,2.980607,704800,0.063082
1985-04-30,2.996377,2.996377,2.949066,2.964836,1083200,0.063082
1985-05-01,2.964836,2.988494,2.941178,2.941178,489600,0.063082
1985-05-02,2.941178,2.956953,2.917525,2.933295,423200,0.063082
1985-05-03,2.933296,2.956954,2.933296,2.949066,400800,0.063082
1985-05-06,2.949066,2.956954,2.909638,2.925413,417600,0.063082
1985-05-07,2.933295,2.933295,2.909637,2.933295,235200,0.063082
1985-05-08,2.917525,2.980607,2.909638,2.980607,1010400,0.063082
1985-05-09,2.996377,3.090999,2.980607,3.075229,1039200,0.063082
1985-05-10,3.10677,3.154081,3.10677,3.138311,1259200,0.063082
1985-05-13,3.12254,3.169851,3.12254,3.146198,820000,0.063082
1985-05-14,3.130423,3.138311,3.10677,3.130423,352800,0.063082
1985-05-15,3.138311,3.185622,3.12254,3.154081,796000,0.063082
1985-05-16,3.161964,3.169852,3.154081,3.161964,517600,0.063082
1985-05-17,3.154081,3.240821,3.138311,3.185622,424000,0.063082
1985-05-20,3.201392,3.240821,3.193505,3.232933,1272000,0.063082
1985-05-21,3.217163,3.248704,3.20928,3.248704,728800,0.063082
1985-05-22,3.232933,3.232933,3.201393,3.217163,195200,0.063082
1985-05-23,3.217163,3.232933,3.201393,3.217163,422400,0.063082
1985-05-24,3.201392,3.240821,3.201392,3.232933,358400,0.063082
1985-05-28,3.232933,3.248703,3.225045,3.232933,170400,0.063082
1985-05-29,3.225046,3.232934,3.217163,3.225046,172000,0.063082
1985-05-30,3.232933,3.240821,3.217163,3.217163,1020000,0.063082
1985-05-31,3.217162,3.280244,3.217162,3.280244,318400,0.063082
1985-06-03,3.296014,3.311785,3.256586,3.256586,268800,0.063082
1985-06-04,3.240821,3.248703,3.217163,3.232933,1146400,0.063082
1985-06-05,3.240821,3.248704,3.20928,3.225046,443200,0.063082
1985-06-06,3.225046,3.264474,3.217163,3.264474,561600,0.063082
1985-06-07,3.256587,3.256587,3.225046,3.225046,1338400,0.063082
1985-06-10,3.245731,3.253684,3.229821,3.245731,2012800,0.063642
1985-06-11,3.261642,3.261642,3.205958,3.213911,339200,0.063642
1985-06-12,3.229821,3.229821,3.190043,3.213911,552000,0.063642
1985-06-13,3.221864,3.221864,3.158222,3.174137,683200,0.063642
1985-06-14,3.18209,3.198,3.134358,3.198,438400,0.063642
1985-06-17,3.213911,3.213911,3.158222,3.18209,817600,0.063642
1985-06-18,3.198,3.261642,3.198,3.261642,604800,0.063642
1985-06-19,3.261642,3.333241,3.245731,3.309373,528000,0.063642
1985-06-20,3.309373,3.309373,3.277552,3.309373,216000,0.063642
1985-06-21,3.293463,3.30142,3.277552,3.285505,573600,0.063642
1985-06-24,3.30142,3.325284,3.285505,3.317326,649600,0.063642
1985-06-25,3.333241,3.373015,3.293463,3.317326,427200,0.063642
1985-06-26,3.349147,3.404836,3.349147,3.388926,576800,0.063642
1985-06-27,3.388926,3.468478,3.388926,3.468478,810400,0.063642
1985-06-28,3.468478,3.500299,3.285506,3.500299,1142400,0.063642
1985-07-01,3.500299,3.500299,3.468478,3.476431,1448000,0.063642
1985-07-02,3.47643,3.484388,3.452567,3.452567,807200,0.063642
1985-07-03,3.460525,3.468478,3.436657,3.436657,430400,0.063642
1985-07-05,3.436657,3.452568,3.436657,3.44461,176800,0.063642
1985-07-08,3.436657,3.468477,3.428704,3.452567,708800,0.063642
1985-07-09,3.452567,3.484388,3.444609,3.484388,348000,0.063642
1985-07-10,3.500298,3.627582,3.484388,3.627582,1036800,0.063642
1985-07-11,3.61963,3.723045,3.61963,3.699177,1047200,0.063642
1985-07-12,3.715092,3.802597,3.715092,3.778734,688000,0.063642
1985-07-15,3.691224,3.754866,3.675314,3.675314,1228000,0.063642
1985-07-16,3.675314,3.723045,3.643493,3.723045,1253600,0.063642
1985-07-17,3.738955,3.754865,3.723045,3.738955,539200,0.063642
1985-07-18,3.738955,3.746913,3.723045,3.738955,281600,0.063642
