date,open,high,low,close,volume,adjrate
1987-09-28,4.342432,4.36263,4.281838,4.302036,353100,0.161579
1987-09-29,4.302036,4.342432,4.281837,4.342432,289700,0.161579
1987-09-30,4.342432,4.342432,4.281838,4.302036,191300,0.161579
1987-10-01,4.302036,4.36263,4.281837,4.36263,680800,0.161579
1987-10-02,4.36263,4.403027,4.36263,4.403027,111000,0.161579
1987-10-05,4.403027,4.463615,4.36263,4.423225,760400,0.161579
1987-10-06,4.423225,4.423225,4.241448,4.281838,240100,0.161579
1987-10-07,4.281838,4.281838,4.100067,4.120259,828700,0.161579
1987-10-08,4.120259,4.241448,4.059671,4.241448,280500,0.161579
1987-10-09,4.241448,4.403027,4.241448,4.342432,249400,0.161579
1987-10-12,4.281838,4.281838,4.160655,4.160655,81700,0.161579
1987-10-13,4.160655,4.22125,4.100067,4.160655,164800,0.161579
1987-10-14,4.120258,4.120258,3.999076,4.019274,245800,0.161579
1987-10-15,4.019274,4.05967,3.756711,3.837497,917500,0.161579
1987-10-16,3.837498,3.898092,3.554736,3.554736,479900,0.161579
1987-10-19,3.494142,3.494142,2.787238,2.787238,1466600,0.161579
1987-10-20,2.787237,3.35276,2.706445,3.110395,1985600,0.161579
1987-10-21,3.130594,3.433554,3.130594,3.352761,1081200,0.161579
1987-10-22,3.352761,3.352761,2.989213,3.090198,592400,0.161579
1987-10-23,3.049801,3.049801,2.787238,2.868024,807600,0.161579
1987-10-26,2.76704,2.76704,2.544866,2.645857,1093500,0.161579
1987-10-27,2.746842,2.827628,2.746842,2.787238,1003900,0.161579
1987-10-28,2.787238,2.807436,2.625659,2.807436,833000,0.161579
1987-10-29,3.07,3.191182,3.07,3.090198,940200,0.161579
1987-10-30,3.231579,3.554736,3.231579,3.352761,1018900,0.161579
1987-11-02,3.352761,3.372959,3.231579,3.352761,472200,0.161579
1987-11-03,3.352761,3.372959,3.292173,3.352761,474100,0.161579
1987-11-04,3.352761,3.352761,3.292173,3.312371,268900,0.161579
1987-11-05,3.312371,3.413355,3.292173,3.413355,496800,0.161579
1987-11-06,3.413355,3.453752,3.352761,3.352761,421400,0.161579
1987-11-09,3.231578,3.231578,3.130594,3.150792,615100,0.161579
1987-11-10,3.150791,3.150791,3.069999,3.110395,705000,0.161579
1987-11-11,3.150792,3.413355,3.150792,3.352761,422600,0.161579
1987-11-12,3.413355,3.473943,3.413355,3.453751,200200,0.161579
1987-11-13,3.453751,3.473943,3.372959,3.473943,150600,0.161579
1987-11-16,3.473943,3.595132,3.473943,3.473943,528300,0.161579
1987-11-17,3.413355,3.413355,3.312371,3.352761,493600,0.161579
1987-11-18,3.352761,3.372959,3.292173,3.352761,177800,0.161579
1987-11-19,3.352761,3.372959,3.312371,3.352761,184000,0.161579
1987-11-20,3.352761,3.352761,3.292173,3.352761,226600,0.161579
1987-11-23,3.352761,3.352761,3.292173,3.292173,189000,0.161579
1987-11-24,3.292173,3.413355,3.292173,3.352761,124100,0.161579
1987-11-25,3.35276,3.453751,3.35276,3.453751,126700,0.161579
1987-11-27,3.453752,3.51434,3.413355,3.51434,136000,0.161579
1987-11-30,3.352761,3.352761,3.150792,3.170984,579400,0.161579
1987-12-01,3.231579,3.312371,3.231579,3.292173,160500,0.161579
1987-12-02,3.312371,3.413355,3.312371,3.413355,232400,0.161579
1987-12-03,3.413355,3.413355,3.251776,3.251776,600100,0.161579
1987-12-04,3.231578,3.231578,3.069999,3.110395,315800,0.161579
1987-12-07,3.110396,3.170984,3.110396,3.150792,329700,0.161579
1987-12-08,3.150792,3.191182,3.110396,3.170984,282400,0.161579
1987-12-09,3.170984,3.292173,3.170984,3.191182,492900,0.161579
1987-12-10,3.191182,3.231578,3.130593,3.231578,305000,0.161579
1987-12-11,3.231578,3.292173,3.170984,3.191182,321900,0.161579
