date,open,high,low,close,volume,adjrate
2016-03-23,41.406429,41.406429,41.207836,41.207836,200,0.99296
2016-03-24,40.582271,40.582271,40.582271,40.582271,100,0.99296
2016-03-28,40.582271,40.582271,40.582271,40.582271,0,0.99296
2016-03-29,40.582271,40.582271,40.582271,40.582271,0,0.99296
2016-03-30,41.187977,41.704316,41.178048,41.704316,3700,0.99296
2016-03-31,41.704317,41.704317,41.426289,41.426289,600,0.99296
2016-04-01,40.800723,40.800723,40.800723,40.800723,100,0.99296
2016-04-04,40.800723,40.800723,40.800723,40.800723,0,0.99296
2016-04-05,40.214877,41.734104,40.214877,40.800723,1700,0.99296
2016-04-06,41.058891,41.704317,40.770936,41.505724,700,0.99296
2016-04-07,41.793683,41.833402,41.267415,41.267415,5900,0.99296
2016-04-08,41.317064,44.037771,41.030096,43.710096,3602300,0.99296
2016-04-11,43.33277,43.372489,40.681569,41.168117,4094800,0.99296
2016-04-12,40.959596,41.36671,39.946777,41.356782,3613100,0.99296
2016-04-13,41.039036,42.37953,41.039036,41.505724,4424500,0.99296
2016-04-14,41.694389,42.558263,41.61495,41.932697,2525900,0.99296
2016-04-15,41.525583,41.753963,40.900017,41.704316,2344100,0.99296
2016-04-18,41.09861,42.240516,41.09861,42.121358,2541600,0.99296
2016-04-19,42.250443,43.054743,41.952556,42.697276,1644600,0.99296
2016-04-20,42.558263,43.263264,42.449036,42.458964,2267200,0.99296
2016-04-21,46.023689,46.202423,43.680308,45.408056,3270900,0.99296
2016-04-22,45.159817,45.854889,43.779603,44.742775,2398700,0.99296
2016-04-25,44.57397,44.583902,43.799463,43.948404,2107400,0.99296
2016-04-26,43.898757,44.573969,43.54129,43.640589,2181000,0.99296
2016-04-27,43.878898,43.898757,41.456076,41.86319,1280800,0.99296
2016-04-28,41.813543,42.786643,41.545443,41.59509,1445800,0.99296
2016-04-29,41.416358,41.59509,40.185089,40.512764,1964100,0.99296
2016-05-02,40.284384,40.532624,39.599243,39.986496,1453700,0.99296
2016-05-03,39.142478,40.185089,39.142478,39.837551,1539100,0.99296
2016-05-04,38.576492,38.626143,36.779237,37.126771,4516200,0.99296
2016-05-05,37.136703,37.901278,36.818955,37.226069,1121500,0.99296
2016-05-06,36.739517,37.087051,36.014656,36.123883,1346900,0.99296
2016-05-09,36.054376,36.46149,35.711804,36.054376,1705600,0.99296
2016-05-10,36.332403,37.017545,36.143743,36.292684,1282700,0.99296
2016-05-11,35.746556,35.864717,34.559969,34.981977,1941300,0.99296
2016-05-12,35.319584,35.40895,34.564935,34.942258,1634500,0.99296
2016-05-13,34.72381,34.981978,34.237258,34.465638,1908000,0.99296
2016-05-16,34.336555,34.659264,34.20747,34.296836,1695900,0.99296
2016-05-17,34.20747,34.495429,33.854969,34.227329,1895400,0.99296
2016-05-18,34.088316,34.157823,33.46275,33.979089,980900,0.99296
2016-05-19,33.542185,34.753597,33.542185,34.604651,1057400,0.99296
2016-05-20,34.644371,35.399023,34.485498,35.329516,1052800,0.99296
2016-05-23,35.279865,35.746557,34.505357,34.584796,683700,0.99296
2016-05-24,34.763525,35.835924,34.74367,35.329516,1143100,0.99296
2016-05-25,35.65719,35.746556,35.10113,35.230217,1322900,0.99296
2016-05-26,35.260004,35.260004,34.66423,34.674158,875000,0.99296
2016-05-27,34.72381,34.962118,34.594724,34.813176,1008400,0.99296
2016-05-31,34.991909,35.150783,34.406063,34.723809,6311300,0.99296
2016-06-01,34.72381,34.72381,32.39631,33.48261,3080900,0.99296
2016-06-02,33.432958,34.078384,33.42303,33.979089,2785300,0.99296
2016-06-03,33.542185,34.078385,33.542185,33.919511,967800,0.99296
2016-06-06,33.929438,34.326624,33.879791,34.157823,1956400,0.99296
2016-06-07,34.555004,35.031625,33.969158,34.95219,1441000,0.99296
2016-06-08,35.418878,36.292684,35.031625,36.183458,1287100,0.99296
2016-06-09,35.974938,36.059339,35.587684,35.885571,1224900,0.99296
2016-06-10,35.498317,36.15367,35.44867,35.538036,616900,0.99296
2016-06-13,35.619999,35.740002,34.619999,34.68,1254200,1.0
2016-06-14,34.689999,34.75,34.0,34.400002,1085900,1.0
2016-06-15,34.450001,35.470001,34.450001,34.77,1062800,1.0
2016-06-16,34.220001,34.27,33.16,33.48,1215400,1.0
2016-06-17,33.720001,34.25,33.599998,34.139999,1302200,1.0
2016-06-20,34.709999,35.169998,34.650002,34.77,845900,1.0
2016-06-21,34.91,35.48,34.75,34.919998,585500,1.0
2016-06-22,34.950001,35.009998,34.259998,34.32,635400,1.0
2016-06-23,34.549999,34.775002,34.400002,34.669998,1260800,1.0
2016-06-24,32.849998,33.912998,32.849998,33.5,1992600,1.0
2016-06-27,32.959999,33.075001,31.309999,31.9,1415800,1.0
2016-06-28,32.25,33.970001,32.115002,33.900002,1570600,1.0
2016-06-29,34.595001,36.110001,34.580002,35.91,1750600,1.0
2016-06-30,35.91,36.419998,35.220001,36.400002,853300,1.0
2016-07-01,36.264999,36.98,36.261002,36.84,922500,1.0
2016-07-05,36.5,36.619999,35.119999,35.509998,613200,1.0
2016-07-06,35.345001,36.27,35.259998,36.259998,558500,1.0
2016-07-07,36.200001,36.880001,36.139999,36.880001,591900,1.0
2016-07-08,36.82,37.099998,36.373001,36.779999,700300,1.0
2016-07-11,36.869999,36.955002,36.389999,36.57,547200,1.0
2016-07-12,36.619999,38.07,36.619999,37.869999,1145500,1.0
2016-07-13,37.610001,38.0,36.932999,37.220001,956800,1.0
2016-07-14,37.380001,37.66,36.860001,37.02,862300,1.0
2016-07-15,37.130001,37.395,36.98,37.23,872200,1.0
2016-07-18,37.220001,37.5,37.145,37.200001,472400,1.0
2016-07-19,36.91,37.318001,36.810001,36.950001,752100,1.0
2016-07-20,37.169998,37.27,36.700001,36.790001,1092500,1.0
2016-07-21,36.540001,37.439999,36.540001,37.27,617200,1.0
2016-07-22,37.02,37.669998,36.799999,37.48,564200,1.0
2016-07-25,37.400002,38.779999,36.919998,38.779999,1865500,1.0
2016-07-26,38.43,39.419998,36.509998,37.5,3664300,1.0
2016-07-27,37.5,37.52,35.43,35.93,1135600,1.0
2016-07-28,35.73,36.049999,35.18,35.75,577500,1.0
2016-07-29,35.389999,35.889999,35.139999,35.700001,1040800,1.0
2016-08-01,35.66,36.130001,35.360001,35.5,614400,1.0
2016-08-02,35.360001,35.41,34.139999,34.389999,882700,1.0
