date,open,high,low,close,volume,adjrate
1986-11-06,4.060419,4.114318,3.95262,4.024486,5792000,0.143732
1986-11-07,4.024485,4.024485,3.934653,4.006519,6288000,0.143732
1986-11-10,3.970587,3.970587,3.880755,3.898721,3060000,0.143732
1986-11-11,3.898721,3.95262,3.898721,3.95262,1130000,0.143732
1986-11-12,3.95262,3.988553,3.916687,3.95262,2082800,0.143732
1986-11-13,3.934653,3.934653,3.916687,3.916687,891200,0.143732
1986-11-14,3.916687,3.95262,3.898721,3.95262,952000,0.143732
1986-11-17,3.916687,3.934653,3.880754,3.880754,1055200,0.143732
1986-11-18,3.880754,3.89872,3.790922,3.808888,2426400,0.143732
1986-11-19,3.808888,3.808888,3.737023,3.754989,2026000,0.143732
1986-11-20,3.790922,3.826854,3.754989,3.808888,3253600,0.143732
1986-11-21,3.862788,3.862788,3.826855,3.862788,639600,0.143732
1986-11-24,3.844821,3.862788,3.826855,3.826855,660000,0.143732
1986-11-25,3.826855,3.862787,3.772955,3.844821,1080000,0.143732
1986-11-26,3.844821,3.880754,3.772955,3.844821,963200,0.143732
1986-11-28,3.844822,3.862788,3.826855,3.862788,521600,0.143732
1986-12-01,3.844821,3.880754,3.844821,3.880754,662000,0.143732
1986-12-02,3.880754,3.95262,3.880754,3.95262,1161200,0.143732
1986-12-03,3.95262,4.060418,3.95262,4.006519,1210400,0.143732
1986-12-04,4.00652,4.00652,3.952621,3.970587,1446400,0.143732
1986-12-05,3.95262,3.970587,3.934654,3.934654,737600,0.143732
1986-12-08,3.916687,3.934653,3.880754,3.880754,703600,0.143732
1986-12-09,3.880754,3.89872,3.880754,3.880754,444800,0.143732
1986-12-10,3.880754,3.898721,3.862788,3.862788,902400,0.143732
1986-12-11,3.880754,3.89872,3.790922,3.844821,550400,0.143732
1986-12-12,3.844821,3.880754,3.826855,3.880754,356800,0.143732
1986-12-15,3.862788,3.880754,3.826855,3.862788,521200,0.143732
1986-12-16,3.844821,3.862788,3.808889,3.826855,835600,0.143732
1986-12-17,3.826854,3.826854,3.808888,3.808888,803600,0.143732
1986-12-18,3.808888,3.826855,3.754989,3.790922,1108000,0.143732
1986-12-19,3.737022,3.808888,3.737022,3.808888,556000,0.143732
1986-12-22,3.772956,3.772956,3.737023,3.772956,1456000,0.143732
1986-12-23,3.75499,3.772956,3.737023,3.772956,574000,0.143732
1986-12-24,3.844821,3.844821,3.737023,3.754989,322400,0.143732
1986-12-26,3.737023,3.772956,3.737023,3.772956,486000,0.143732
1986-12-29,3.754989,3.754989,3.719056,3.754989,693200,0.143732
1986-12-30,3.75499,3.772956,3.70109,3.772956,910000,0.143732
1986-12-31,3.737023,3.862788,3.737023,3.862788,841600,0.143732
1987-01-02,3.844821,3.916687,3.808888,3.916687,264800,0.143732
1987-01-05,3.916687,4.006519,3.916687,3.988553,668400,0.143732
1987-01-06,3.95262,4.006519,3.934653,4.006519,554400,0.143732
1987-01-07,3.988553,4.114318,3.988553,4.114318,748400,0.143732
1987-01-08,4.096352,4.347882,4.078385,4.347882,596800,0.143732
1987-01-09,4.329916,4.455681,4.25805,4.383815,759600,0.143732
1987-01-12,4.347882,4.473647,4.347882,4.383815,1196800,0.143732
1987-01-13,4.347882,4.365849,4.222117,4.25805,504800,0.143732
1987-01-14,4.293983,4.365848,4.276016,4.311949,611600,0.143732
1987-01-15,4.293983,4.365848,4.293983,4.311949,463200,0.143732
1987-01-16,4.329916,4.401781,4.276016,4.383815,412800,0.143732
1987-01-19,4.347882,4.383815,4.311949,4.347882,161600,0.143732
1987-01-20,4.380329,4.398355,4.344277,4.380329,642000,0.144208
1987-01-21,4.362303,4.398355,4.344277,4.344277,505200,0.144208
1987-01-22,4.344277,4.344277,4.254147,4.290199,618000,0.144208
1987-01-23,4.308225,4.398355,4.290199,4.398355,573200,0.144208
1987-01-26,4.326251,4.326251,4.254147,4.254147,594800,0.144208
1987-01-27,4.218095,4.326251,4.200069,4.308225,488400,0.144208
1987-01-28,4.290199,4.344277,4.290199,4.290199,462000,0.144208
1987-01-29,4.272173,4.326251,4.254147,4.254147,574000,0.144208
1987-01-30,4.254147,4.308225,4.236121,4.254147,265600,0.144208
1987-02-02,4.326251,4.344277,4.236121,4.344277,900000,0.144208
1987-02-03,4.362303,4.398355,4.326251,4.344277,1131600,0.144208
1987-02-04,4.326251,4.326251,4.272173,4.308225,498800,0.144208
